,Residential,Residential
Date,2020-03-29,2020-04-05
FIPS,,
17037,14.0,11.0
17039,,
17041,,
17045,,
17047,,
17049,12.0,12.0
17051,,
17053,,
17055,14.0,13.0
17057,17.0,15.0
17059,,
17061,,
17063,19.0,18.0
17065,,
17067,,
17071,,
17073,18.0,16.0
17075,3.0,3.0
17077,18.0,17.0
17079,,
17081,14.0,15.0
17083,,
17085,,
17087,,
17089,14.0,12.0
17091,11.0,9.0
17093,17.0,12.0
17095,16.0,14.0
17097,14.0,13.0
17101,,
17103,13.0,13.0
17105,17.0,15.0
17107,6.0,6.0
17109,0.0,0.0
17111,13.0,11.0
17113,12.0,11.0
17115,10.0,8.0
17117,17.0,16.0
17119,10.0,11.0
17121,14.0,15.0
17123,,
17125,,
17127,,
17129,,
17131,,
17133,16.0,16.0
17135,1.0,1.0
17137,6.0,6.0
17139,,
17141,17.0,17.0
17143,11.0,9.0
17145,,
17147,,
17149,,
17153,,
17155,,
17157,10.0,10.0
17159,,
17161,10.0,9.0
17163,10.0,11.0
17165,,
17167,10.0,9.0
17169,,
17173,,
17175,,
17177,17.0,16.0
17179,11.0,9.0
17181,,
17183,9.0,10.0
17185,,
17187,,
17189,,
17191,,
17193,,
17195,18.0,17.0
17197,14.0,12.0
17199,17.0,16.0
17201,11.0,9.0
17203,15.0,19.0
18001,8.0,8.0
18003,12.0,10.0
18005,26.0,24.0
18007,,
18009,,
18011,26.0,24.0
18013,,
18015,,
18017,18.0,15.0
18019,10.0,10.0
18021,-1.0,-1.0
18023,19.0,17.0
18025,,
18027,8.0,8.0
18029,22.0,21.0
18031,11.0,11.0
18033,22.0,18.0
18035,10.0,10.0
18037,21.0,23.0
18039,10.0,8.0
18041,6.0,6.0
18043,21.0,21.0
18045,,
18047,,
18049,,
18051,11.0,11.0
18053,17.0,13.0
18055,5.0,5.0
18057,13.0,13.0
18059,24.0,22.0
18061,20.0,20.0
18063,12.0,11.0
18065,21.0,17.0
18067,14.0,10.0
18069,21.0,18.0
18071,22.0,21.0
18073,15.0,14.0
18075,,
18077,14.0,14.0
18079,12.0,12.0
18081,11.0,11.0
18083,14.0,14.0
18085,23.0,21.0
18089,13.0,12.0
18093,17.0,17.0
18095,10.0,9.0
18097,11.0,11.0
18099,21.0,18.0
18101,,
18103,16.0,16.0
18105,12.0,13.0
18107,16.0,15.0
18109,20.0,18.0
18111,,
18113,23.0,21.0
18115,,
18117,,
18119,,
18121,,
18123,,
18125,,
