,FIPS,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit
56,1113,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.7,0.3,2728,34,1,2,0
57,1115,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
58,1117,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
59,1119,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
60,1121,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
61,1123,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
62,1125,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.9,0.4,9455,47,1,2,0
63,1127,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
64,1129,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
65,1131,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.1,0.0,105,5,0,0,0
66,1133,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
67,2013,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
68,2016,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
69,2020,737506.0,737506.0,737506.0,737503.0,737501.0,737501.0,737500.0,737495.0,3.5,2.6,53537,696,2,9,1
70,2050,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
71,2060,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
72,2068,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
73,2070,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
74,2090,,,,737503.0,737501.0,737501.0,737500.0,737495.0,2.0,1.0,16547,213,3,12,0
75,2100,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
76,2110,,,,737503.0,737501.0,737501.0,737500.0,737495.0,2.6,1.4,12550,308,7,8,5
77,2122,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,1
78,2130,,,,737503.0,737501.0,737501.0,737500.0,737495.0,3.6,1.5,9157,309,2,8,3
79,2150,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
80,2164,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
81,2170,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.5,0.2,2828,33,2,2,0
82,2180,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
83,2185,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,4
84,2188,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
85,2220,,,,737503.0,737501.0,737501.0,737500.0,737495.0,2.2,1.1,2798,218,2,4,1
86,2240,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
87,2261,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
88,2282,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
89,2290,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
90,4001,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.3,0.0,960,19,1,1,1
91,4003,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.7,0.0,1214,66,1,1,0
92,4005,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,2.1,1.2,11784,399,3,4,1
93,4007,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
94,4009,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,1
95,4011,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
96,4012,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.0,0.0,195,1,0,0,0
97,4013,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,4.4,3.1,100236,1146,3,25,2
