,FIPS,Geographic Area Name,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,18 years and over.1,18 years and over!!Male,18 years and over!!Female,65 years and over.1,65 years and over!!Male,65 years and over!!Female,Total population,One race,Two or more races,One race.1,Race_1 White,Race_1 Black or African American,Margin of Error!!Race_1 Black or African American,Race_1 American Indian and Alaska Native,Race_1 American Indian and Alaska Native!!Cherokee tribal grouping,Race_1 American Indian and Alaska Native!!Chippewa tribal grouping,Race_1 American Indian and Alaska Native!!Navajo tribal grouping,Race_1 American Indian and Alaska Native!!Sioux tribal grouping,Race_1 Asian,Race_1 Asian!!Asian Indian,Race_1 Asian!!Chinese,Race_1 Asian!!Filipino,Race_1 Asian!!Japanese,Race_1 Asian!!Korean,Race_1 Asian!!Vietnamese,Race_1 Asian!!Other Asian,Race_1 Native Hawaiian and Other Pacific Islander,Race_1 Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Race_1 Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Race_1 Native Hawaiian and Other Pacific Islander!!Samoan,Race_1 Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Race_1 Some other race,Two or more races.1,Race_2+ White and Black or African American,Race_2+ White and American Indian and Alaska Native,Race_2+ White and Asian,Race_2+ Black or African American and American Indian and Alaska Native,Race_Total Total population,Race_Total White,Race_Total Black or African American,Race_Total American Indian and Alaska Native,Race_Total Asian,Race_Total Native Hawaiian and Other Pacific Islander,Race_Total Some other race,Hispanic: Total population,Hispanic: Hispanic or Latino (of any race),Hispanic: Hispanic or Latino (of any race)!!Mexican,Hispanic: Hispanic or Latino (of any race)!!Puerto Rican,Hispanic: Hispanic or Latino (of any race)!!Cuban,Hispanic: Hispanic or Latino (of any race)!!Other Hispanic or Latino,Hispanic: Not Hispanic or Latino,Hispanic: Not Hispanic or Latino!!White alone,Hispanic: Not Hispanic or Latino!!Black or African American alone,Hispanic: Not Hispanic or Latino!!American Indian and Alaska Native alone,Hispanic: Not Hispanic or Latino!!Asian alone,Hispanic: Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Hispanic: Not Hispanic or Latino!!Some other race alone,Hispanic: Not Hispanic or Latino!!Two or more races,Hispanic: Not Hispanic or Latino!!Race_2+ Two races including Some other race,"Hispanic: Not Hispanic or Latino!!Race_2+ Two races excluding Some other race, and Three or more races",Total housing units
115,6099,"Stanislaus County, California",549815,272319,277496,38528,40377,44908,39410,37796,78160,71804,64510,33245,28570,43137,20813,8557,34.5,148801,418513,401014,377459,89855,72507,401014,196314,204700,72507,31958,40549,549815,525755,24060,525755,434015,16865,1625,5011,N,N,N,N,28148,6388,2920,5438,2976,218,2518,7690,4616,634,892,979,2111,37100,24060,1477,4045,7963,286,549815,453797,20522,12284,40705,7057,43938,549815,258334,236033,3292,298,18711,291481,225566,15920,2862,27668,4358,1314,13793,375,13418,182305
116,6101,"Sutter County, California",96807,47630,49177,6653,7334,6937,6548,5618,14323,11577,11212,5268,6474,7747,4847,2269,35.7,24983,74492,71824,67911,18537,14863,71824,34977,36847,14863,6562,8301,96807,89830,6977,89830,66617,2001,318,888,N,N,N,N,13831,N,N,N,N,N,N,N,1399,N,N,N,N,5094,6977,1223,1586,720,0,96807,71990,4126,3359,16439,2794,6435,96807,30526,27001,309,155,3061,66281,43853,2001,672,13831,1399,267,4258,292,3966,34475
117,6111,"Ventura County, California",850967,420907,430060,49716,54227,56590,56607,57191,114056,106498,111368,61658,50837,76060,37631,18528,38.4,194458,679810,656509,621087,160620,132219,656509,322092,334417,132219,59007,73212,850967,811861,39106,811861,685974,14696,1512,5106,N,N,N,N,64523,13703,11268,19050,3959,4947,7230,4366,1632,245,425,664,298,39930,39106,5704,9185,10342,0,850967,720716,23321,17543,79842,4488,48334,850967,366098,328867,2650,1270,33311,484869,382254,14111,2066,63355,1437,791,20855,539,20316,290984
118,8001,"Adams County, Colorado",511868,258354,253514,36106,36175,41120,34703,32517,83714,75370,63044,31568,24442,33327,15043,4739,34.0,135775,392240,376093,357371,67694,53109,376093,189074,187019,53109,23590,29519,511868,481994,29874,481994,416894,16804,1684,5317,280,145,761,48,18457,1998,1754,2743,637,1338,4188,5799,362,N,N,N,N,24160,29874,5666,10792,6467,272,511868,444940,24447,17715,26475,1228,28751,511868,207046,171224,3344,1117,31361,304822,253015,15758,2443,18387,362,749,14108,505,13603,175623
119,8101,"Pueblo County, Colorado",167529,81804,85725,9603,9595,11040,12165,10044,21666,20602,19705,10331,11946,17912,9020,3900,39.4,37486,134639,130043,122286,38343,30832,130043,62809,67234,30832,13778,17054,167529,161491,6038,161491,137420,3615,635,5493,N,N,N,N,1342,88,170,149,270,352,0,313,79,N,N,N,N,13542,6038,1228,1805,511,0,167529,142788,5351,8049,2790,902,14817,167529,72189,52355,1070,139,18625,95340,86854,3124,1053,926,0,292,3091,102,2989,71451
120,9009,"New Haven County, Connecticut",857620,412943,444677,43987,43761,53644,58472,58809,115098,100495,114724,59073,60768,83150,43029,22610,40.5,173312,705905,684308,643144,183084,148789,684308,324421,359887,148789,63580,85209,857620,831984,25636,831984,624693,120459,3955,2541,N,N,N,N,35199,12807,7914,1634,1182,3639,2655,5368,0,N,N,N,N,49092,25636,10292,2314,3618,980,857620,644148,136387,6858,41131,1659,55054,857620,159804,18230,89021,3302,49251,697816,532314,110050,987,34946,0,2945,16574,1732,14842,367766
121,12061,"Indian River County, Florida",157413,76541,80872,7894,7637,6219,6834,5165,13774,14976,17533,9883,16114,27260,17006,7118,54.5,25217,133911,132196,128217,61325,51384,132196,62214,69982,51384,23656,27728,157413,152843,4570,152843,135869,13492,2060,717,N,N,N,N,1188,N,N,N,N,N,N,N,264,N,N,N,N,1313,4570,N,N,N,N,157413,140150,15622,2048,2053,480,1630,157413,19962,6497,5843,3603,4019,137451,118145,13492,111,1188,264,188,4063,91,3972,81037
122,12081,"Manatee County, Florida",394855,191284,203571,18364,19681,22114,20105,19570,41190,40177,47632,28854,29381,58114,35874,13799,48.7,72457,329783,322398,310774,127080,107787,322398,153855,168543,107787,50086,57701,394855,385910,8945,385910,337520,32646,2368,717,N,N,N,N,9221,1127,1894,663,67,365,4110,995,235,N,N,N,N,5571,8945,4540,1354,468,0,394855,345911,37703,2560,10314,1063,6843,394855,66075,34704,8068,5171,18132,328780,279703,31725,618,9139,235,0,7360,436,6924,194567
123,12099,"Palm Beach County, Florida",1485941,719591,766350,75957,75452,82029,82395,79848,178095,170189,189838,101163,96137,171961,121941,60936,44.9,283443,1237778,1202498,1150033,411206,354838,1202498,575107,627391,354838,157303,197535,1485941,1446679,39262,1446679,1086487,273542,5124,2419,N,N,N,N,42059,15408,9058,4636,1017,1346,4343,6251,1017,N,N,N,N,41155,39262,15772,4231,5530,804,1485941,1119719,296238,7964,53607,3348,47384,1485941,340570,53702,44050,56098,186720,1145371,799421,267692,875,41718,525,4906,30234,767,29467,689961
124,12107,"Putnam County, Florida",74163,36614,37549,4428,4057,4621,4306,4347,7543,7826,8543,5843,5335,10603,5994,717,44.9,15757,60519,58406,55464,19981,17314,58406,28352,30054,17314,8380,8934,74163,72192,1971,72192,59256,11881,1321,0,N,N,N,N,530,N,N,N,N,N,N,N,0,N,N,N,N,525,1971,N,N,N,N,74163,60986,13052,N,848,N,954,74163,7578,4742,1269,15,1552,66585,52871,11685,0,487,0,0,1542,0,1542,37374
125,13021,"Bibb County, Georgia",153095,72997,80098,9939,10274,11150,10257,11537,21063,17780,18199,8879,10043,14270,6902,2802,36.3,37623,120473,115472,108406,30739,23974,115472,52983,62489,23974,9966,14008,153095,148532,4563,148532,61370,81723,2320,188,N,N,N,N,3249,N,N,N,N,N,N,N,144,N,N,N,N,1858,4563,N,N,N,N,153095,64674,85567,1168,3655,N,2536,153095,5216,N,N,N,N,147879,57722,81693,0,3234,144,730,4356,357,3999,70058
126,13057,"Cherokee County, Georgia",254149,125287,128862,14754,16615,19513,17796,14705,30609,35117,37513,16936,14382,23411,10542,2256,38.6,62094,200627,192055,181761,45282,36209,192055,93491,98564,36209,16542,19667,254149,246955,7194,246955,217980,16274,1743,826,N,N,N,N,4850,N,N,N,N,N,N,N,618,N,N,N,N,6407,7194,1542,1276,1793,1295,254149,223410,19506,3618,6722,N,7522,254149,27457,11298,4096,1821,10242,226692,198684,15826,166,4850,618,544,6004,140,5864,94241
127,13089,"DeKalb County, Georgia",756558,356943,399615,52849,50823,45289,42543,47630,127200,108094,99095,45050,43996,60229,22052,11708,35.9,175679,598255,580879,558221,120100,93989,580879,268408,312471,93989,38531,55458,756558,733730,22828,733730,265235,403014,4124,6959,N,N,N,N,47716,13178,7724,647,599,3612,4698,17258,2868,N,N,N,N,7938,22828,7872,2419,4387,1366,756558,281507,414669,14165,54519,3331,12397,756558,65060,32843,3539,2226,26452,691498,220140,400935,595,47381,2848,1234,18365,851,17514,314314
128,13097,"Douglas County, Georgia",145331,69386,75945,8863,9519,11950,11844,9274,17229,21248,21197,9088,7833,11146,4610,1530,36.8,37435,112848,107896,100338,21693,17286,107896,50525,57371,17286,7775,9511,145331,140717,4614,140717,65772,69703,2948,0,N,N,N,N,2431,N,N,N,N,N,N,N,0,N,N,N,N,2811,4614,N,N,N,N,145331,68993,73503,N,4227,N,3152,145331,14528,9001,626,349,4552,130803,56482,67550,0,2326,0,172,4273,0,4273,53044
129,13117,"Forsyth County, Georgia",236612,117349,119263,14133,18258,20332,17755,11757,22261,38907,39255,14179,11377,17876,8924,1598,38.8,64825,179571,171787,163960,34030,28398,171787,84054,87733,28398,12455,15943,236612,231599,5013,231599,183956,9944,957,52,N,N,N,N,34047,21491,4207,1217,459,3181,927,2565,279,N,N,N,N,3321,5013,796,1202,1364,41,236612,188320,11256,1618,36134,N,4450,236612,22933,13802,2687,640,5804,213679,165493,9096,52,34047,0,662,4329,741,3588,84113
130,13121,"Fulton County, Georgia",1050114,508879,541235,61717,65013,63302,70411,75366,178777,149384,144544,62338,56587,72837,36560,13278,35.6,229550,846317,820564,770527,155577,122675,820564,392023,428541,122675,51482,71193,1050114,1026888,23226,1026888,467999,457063,4080,2647,N,N,N,N,78713,38398,16583,2782,1380,7794,2877,8899,478,N,N,N,N,19988,23226,8936,1343,4980,1428,1050114,487470,470951,7568,85624,1497,22924,1050114,76334,47596,8845,2879,17014,973780,414296,453609,1946,78343,409,6835,18342,642,17700,480354
131,13127,"Glynn County, Georgia",85219,38778,46441,4659,6003,4780,5229,5190,8825,12657,9228,5858,5835,10477,4467,2011,40.3,18678,68320,66541,63692,20212,16955,66541,30256,36285,16955,7505,9450,85219,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,85219,59956,23870,N,2248,N,786,85219,5831,N,N,N,N,79388,N,N,N,N,N,N,N,N,N,43518
132,13135,"Gwinnett County, Georgia",927781,452307,475474,61171,64499,77975,69599,60037,123064,133324,136829,57931,49647,60565,23825,9315,35.5,248878,710142,678903,638868,120768,93705,678903,326204,352699,93705,40753,52952,927781,899322,28459,899322,431934,259173,4772,6573,N,N,N,N,111728,22387,15093,2875,1276,20144,28676,21277,45,N,N,N,N,89869,28459,10177,2135,5714,930,927781,454625,276443,11816,121334,1382,93518,927781,199272,105225,12394,6221,75432,728509,335247,253165,1573,111596,0,3670,23258,779,22479,312905
133,13215,"Muscogee County, Georgia",194160,94670,99490,13152,13983,13521,12655,13957,31407,24509,22279,10678,11933,15134,7254,3698,34.2,48112,150923,146048,137922,31415,26086,146048,69868,76180,26086,10468,15618,194160,182621,11539,182621,83257,91077,2137,107,N,N,N,N,4211,1108,748,1022,254,638,53,388,224,N,N,N,N,3745,11539,4030,265,1797,0,194160,91523,96930,862,8795,1603,7545,194160,14887,4974,4653,683,4577,179273,77701,90065,107,4211,224,250,6715,251,6464,85018
134,15001,"Hawaii County, Hawaii",200983,98970,102013,11779,13271,11647,10887,10518,23661,23671,23217,13486,16203,27403,11003,4237,42.5,43630,162367,157353,151325,52057,42643,157353,77312,80041,42643,20740,21903,200983,142471,58512,142471,65322,1487,708,917,N,N,N,N,45875,123,3764,19085,17574,824,151,4354,22582,18984,0,114,3484,6288,58512,691,1853,7252,230,200983,109665,5016,6986,88048,69172,7687,200983,26030,7193,8060,1056,9721,174953,60911,1405,314,42855,21089,249,48130,54,48076,88548
135,15007,"Kauai County, Hawaii",72133,36483,35650,4505,4256,4298,4222,3092,8907,8827,9295,3756,6266,8886,4217,1606,42.0,15680,58085,56453,53913,18185,14709,56453,27688,28765,14709,6835,7874,72133,53929,18204,53929,22378,127,141,242,N,N,N,N,24320,N,N,N,N,N,N,N,6462,N,N,N,N,400,18204,165,568,4252,0,72133,35411,741,1366,36898,18966,1884,72133,8083,1087,2659,0,4337,64050,21189,127,63,22904,5156,22,14589,83,14506,31242
136,16001,"Ada County, Idaho",469966,235896,234070,26178,27450,36620,33752,28113,66481,67005,60077,30629,26185,41657,19173,6646,37.4,111023,371124,358943,340162,84053,67476,358943,177947,180996,67476,30758,36718,469966,455845,14121,455845,423193,7344,2915,2031,N,N,N,N,14535,1535,3901,1799,691,319,2964,3326,1277,N,N,N,N,7465,14121,3357,3912,4760,59,469966,436954,11169,6464,19638,1834,8532,469966,39076,29609,2403,0,7064,430890,396518,5686,1129,14359,775,517,11906,253,11653,186486
137,16027,"Canyon County, Idaho",223499,110799,112700,16032,17805,17790,17254,14968,29942,27990,26115,12029,11644,19122,9327,3481,34.4,62419,168155,161080,150860,39335,31930,161080,78984,82096,31930,14426,17504,223499,213505,9994,213505,183631,897,666,2419,N,N,N,N,1992,N,N,N,N,N,N,N,452,N,N,N,N,24114,9994,1163,1802,1513,0,223499,191827,3216,5709,4719,N,28342,223499,57144,50263,588,0,6293,166355,156681,834,1351,1992,452,0,5045,0,5045,77888
138,17097,"Lake County, Illinois",700832,350487,350345,40183,43792,52487,53736,50841,77969,87661,98601,50847,44914,59310,27703,12788,38.5,168695,553103,532137,499847,125806,99801,532137,264178,267959,99801,45217,54584,700832,680616,20216,680616,519328,46360,2634,3441,N,N,N,N,56758,23763,10577,9528,1065,5479,1467,4879,310,N,N,N,N,54419,20216,6544,1170,4571,447,700832,536569,56192,7069,63592,1138,59061,700832,155394,124070,11544,1420,18360,545438,426587,44532,1675,56090,310,1687,14557,795,13762,265149
139,17111,"McHenry County, Illinois",308570,153957,154613,16534,18558,23076,22002,17221,34994,39101,47049,24942,20476,27717,11721,5179,40.9,72282,245554,236288,226235,55641,44617,236288,116397,119891,44617,20178,24439,308570,302196,6374,302196,283946,5846,2209,345,N,N,N,N,8795,1836,699,1999,372,653,2828,408,0,N,N,N,N,3264,6374,2362,1358,1393,0,308570,289649,8935,1703,10915,N,3775,308570,41498,31328,3004,859,6307,267072,248534,4329,249,8795,0,269,4896,32,4864,118810
140,17179,"Tazewell County, Illinois",132328,65006,67322,7992,8269,8415,7684,7022,16334,16608,16602,8476,9668,14100,6678,4480,41.0,29733,105975,102595,98857,30844,25258,102595,49859,52736,25258,11184,14074,132328,130754,1574,130754,125963,1978,478,317,N,N,N,N,1482,N,N,N,N,N,N,N,53,N,N,N,N,961,1574,526,415,276,0,132328,127387,2609,732,2019,N,1057,132328,3069,N,N,N,N,129259,124213,1978,306,1176,53,64,1469,0,1469,59053
141,18019,"Clark County, Indiana",117360,56839,60521,6925,7135,8266,6567,6166,16865,16653,14642,7316,8464,11434,5638,1289,39.1,26544,93457,90816,86908,22881,18361,90816,43378,47438,18361,7717,10644,117360,112768,4592,112768,102369,8287,1234,0,N,N,N,N,695,N,N,N,N,N,N,N,95,N,N,N,N,1322,4592,N,N,N,N,117360,106237,11471,N,1705,795,1322,117360,6509,N,N,N,N,110851,96814,8242,0,640,95,468,4592,0,4592,51096
142,18053,"Grant County, Indiana",65936,31214,34722,3850,3059,4526,4350,5963,6743,7229,8191,4988,4504,6658,4304,1571,41.4,13607,54145,52329,48612,15406,12533,52329,24623,27706,12533,5505,7028,65936,63852,2084,63852,58339,4966,889,88,N,N,N,N,131,N,N,N,N,N,N,N,0,N,N,N,N,328,2084,N,N,N,N,65936,60394,6522,429,302,N,452,65936,2901,N,N,N,N,63035,N,N,N,N,N,N,N,N,N,30494
143,18081,"Johnson County, Indiana",156225,76121,80104,9433,11140,12324,9860,10314,20513,20291,20999,9790,8841,13445,7246,2029,37.1,39191,120858,117034,111878,27270,22720,117034,56104,60930,22720,9936,12784,156225,152766,3459,152766,143005,3296,1119,0,N,N,N,N,5313,N,N,N,N,N,N,N,251,N,N,N,N,901,3459,N,N,N,N,156225,146464,4916,N,6605,N,1138,156225,5637,N,N,N,N,150588,138095,3220,0,5313,251,552,3157,0,3157,61792
144,18127,"Porter County, Indiana",169594,84184,85410,9325,10095,11423,11450,11527,20314,20818,23161,12276,11810,16416,7900,3079,39.6,37422,136235,132172,125067,34475,27395,132172,64463,67709,27395,12501,14894,169594,164986,4608,164986,153565,6584,958,308,N,N,N,N,2501,N,N,N,N,N,N,N,0,N,N,N,N,2028,4608,1869,341,547,25,169594,158148,8525,721,3213,N,3642,169594,17405,13214,2008,0,2183,152189,140450,6373,292,2501,0,46,2527,15,2512,69387
145,19013,"Black Hawk County, Iowa",132408,65131,67277,8248,7424,8498,9903,14178,17435,15641,13297,8419,8147,12031,6682,2505,35.2,28788,106931,103620,93332,26658,21218,103620,50417,53203,21218,9576,11642,132408,130438,1970,130438,110437,13714,791,744,N,N,N,N,3689,N,N,N,N,N,N,N,365,N,N,N,N,1489,1970,1101,33,176,0,132408,112407,14855,1219,4267,N,1671,132408,5893,N,N,N,N,126515,106406,13618,578,3659,286,585,1383,0,1383,58321
146,19103,"Johnson County, Iowa",151260,75678,75582,8614,8456,8739,12115,24998,21987,19291,14530,6887,8072,10545,4933,2093,30.3,30182,123730,121078,108399,22936,17571,121078,59229,61849,17571,7578,9993,151260,147776,3484,147776,122765,10576,1085,341,N,N,N,N,9222,1498,2484,244,82,1972,1054,1888,423,N,N,N,N,4449,3484,980,467,920,89,151260,125456,11790,1561,10846,581,4583,151260,8772,5370,379,65,2958,142488,116811,10576,292,9222,423,1916,3248,0,3248,65024
147,20173,"Sedgwick County, Kansas",513607,254546,259061,35317,36916,37931,34526,34687,72399,63705,58696,33420,31702,43922,20643,9743,35.7,131921,394965,381686,362451,92200,74308,381686,186922,194764,74308,33409,40899,513607,490788,22819,490788,394951,46536,2637,6261,N,N,N,N,20105,3389,1241,1012,323,1062,9124,3954,166,N,N,N,N,22769,22819,7612,4869,4295,491,513607,414885,56013,13049,27048,2798,24539,513607,76529,66862,1814,1159,6694,437078,348296,44619,3979,19838,166,345,19835,251,19584,220923
148,21015,"Boone County, Kentucky",131533,65940,65593,9034,8706,9687,9599,7301,17788,17679,17871,9238,7267,10778,5187,1398,38.2,33654,101655,97879,92792,21440,17363,97879,47629,50250,17363,7821,9542,131533,126820,4713,126820,119189,3903,1892,0,N,N,N,N,2300,N,N,N,N,N,N,N,0,N,N,N,N,1428,4713,N,N,N,N,131533,123902,5469,N,4107,N,1937,131533,5702,N,N,N,N,125831,114980,3903,0,2300,0,0,4648,136,4512,50035
149,22051,"Jefferson Parish, Louisiana",434051,209971,224080,28563,24722,27317,23329,24023,62919,54162,54413,29961,30401,43668,22509,8064,39.7,95532,348359,338519,324846,90999,74241,338519,161637,176882,74241,32262,41979,434051,421628,12423,421628,268532,118066,3765,1890,N,N,N,N,16431,893,2146,1648,77,198,9428,2041,93,N,N,N,N,16616,12423,2958,1960,3672,127,434051,278494,123034,4833,21769,601,18339,434051,64499,11379,3062,3681,46377,369552,226770,114928,1091,16132,93,522,10016,165,9851,188663
150,22057,"Lafourche Parish, Louisiana",98115,47188,50927,5341,7382,6737,6642,5379,14148,10941,13360,5288,7360,8428,5291,1818,38.1,22982,77660,75133,71323,19817,15537,75133,35953,39180,15537,6531,9006,98115,94702,3413,94702,78106,13264,783,1833,N,N,N,N,281,N,N,N,N,N,N,N,0,N,N,N,N,1218,3413,1041,1578,722,0,98115,81519,14305,3447,1039,N,1254,98115,4297,N,N,N,N,93818,75238,13219,1779,281,0,97,3204,0,3204,41623
151,23031,"York County, Maine",206229,100163,106066,9847,9842,12300,11054,10323,24560,23556,28470,16588,17375,25145,12594,4575,45.8,38788,171367,167441,161590,52062,42314,167441,79974,87467,42314,18644,23670,206229,202993,3236,202993,196797,1954,704,1121,N,N,N,N,2565,161,586,773,179,338,0,528,0,N,N,N,N,556,3236,995,919,1129,0,206229,200033,2949,2040,3844,N,599,206229,3585,N,N,N,N,202644,193909,1847,1121,2512,0,156,3099,0,3099,111043
152,24027,"Howard County, Maryland",323196,157591,165605,19110,21627,23478,21371,18670,39040,45652,47247,23121,19141,28055,13076,3608,39.2,78570,253875,244626,234870,56714,44739,244626,117406,127220,44739,19882,24857,323196,310922,12274,310922,181707,64624,2403,657,N,N,N,N,59189,18058,12618,2460,318,13437,3246,9052,130,N,N,N,N,4615,12274,4570,1164,3963,0,323196,191935,70343,2335,65105,N,6134,323196,23100,6146,3800,936,12218,300096,163542,62416,294,59164,130,3107,11443,1117,10326,120822
153,24031,"Montgomery County, Maryland",1052567,509380,543187,65827,69115,67548,64224,59610,133940,144885,145797,72605,65371,92931,48949,21765,39.2,244087,835782,808480,774268,202674,163645,808480,384753,423727,163645,70804,92841,1052567,998499,54068,998499,542829,196316,3611,2818,N,N,N,N,152890,41916,45033,14389,2894,15268,12211,21179,391,N,N,N,N,103255,54068,12381,2990,16124,1082,1052567,585855,218589,10188,178006,2243,117466,1052567,209033,17673,10521,4158,176681,843534,452893,190069,1807,152005,264,7982,38514,4593,33921,390673
154,24510,"Baltimore city, Maryland",602495,282677,319818,37967,33660,33196,35471,40702,114959,76016,69654,36826,39975,50141,23787,10141,35.5,123114,491977,479381,454928,107962,84069,479381,220247,259134,84069,33869,50200,602495,585434,17061,585434,183276,371664,3517,1600,N,N,N,N,15490,4044,4917,978,326,1768,738,2719,61,N,N,N,N,13343,17061,4620,1571,2920,1675,602495,194713,383157,5910,20437,1970,15732,602495,33061,7433,4029,1680,19919,569434,166647,369090,1467,15490,61,1643,15036,1865,13171,293633
155,26005,"Allegan County, Michigan",117327,58153,59174,7086,7547,8695,7491,6457,13771,14467,15195,9904,6906,12024,5790,1994,40.2,28357,92850,88970,85543,24630,19808,88970,43929,45041,19808,9022,10786,117327,115542,1785,115542,108456,2355,391,404,N,N,N,N,993,N,N,N,N,N,N,N,0,N,N,N,N,3334,1785,280,955,256,0,117327,110209,2867,1591,1281,N,3364,117327,8712,N,N,N,N,108615,103458,2320,404,993,0,35,1405,0,1405,51517
156,26081,"Kent County, Michigan",653786,321933,331853,43746,44781,43000,43065,45104,102709,82906,78240,41058,39426,53249,25723,10779,35.5,157809,512345,495977,469471,112448,89751,495977,240923,255054,89751,39337,50414,653786,626550,27236,626550,519959,62932,3003,2449,N,N,N,N,21059,2892,2674,1585,544,1860,4659,6845,614,N,N,N,N,19537,27236,12798,4702,3244,376,653786,545344,78912,9377,25169,1490,22988,653786,70102,40201,9526,2263,18112,583684,480023,60333,729,21014,252,210,21123,340,20783,257399
157,26099,"Macomb County, Michigan",874759,425723,449036,47646,53994,47899,52316,53532,117326,105190,122624,63815,61410,85055,45260,18692,40.7,184009,713650,690750,663053,183844,149007,690750,331745,359005,149007,64738,84269,874759,854842,19917,854842,703955,105713,2548,2932,N,N,N,N,36776,15420,2925,5214,677,1384,1797,9359,351,N,N,N,N,5115,19917,6983,3209,5510,1084,874759,721702,115491,8115,43231,789,6532,874759,23445,16088,2600,781,3976,851314,686338,105256,2859,36724,351,1038,18748,497,18251,367934
158,27053,"Hennepin County, Minnesota",1259428,623320,636108,81464,76377,75648,71854,78351,213915,172345,153436,84292,74886,103695,49288,23877,36.5,276542,1011141,982886,938521,220811,176860,982886,482818,500068,176860,77830,99030,1259428,1210943,48485,1210943,903643,169349,4175,9894,108,4463,47,1732,90522,23341,16835,3634,1166,5029,7181,33336,235,N,N,N,N,37300,48485,16023,6784,13772,1871,1259428,945966,192168,21049,109014,2428,42005,1259428,87811,52164,5323,1299,29025,1171617,860981,167129,7848,89517,235,4475,41432,1280,40152,537775
159,27131,"Rice County, Minnesota",66523,34196,32327,3472,3620,4948,6883,5692,7261,7875,7875,4552,4048,5870,2713,1714,36.2,14884,53662,51639,45736,13072,10297,51639,26225,25414,10297,4609,5688,66523,65543,980,65543,57152,3893,219,256,N,N,N,N,1653,N,N,N,N,N,N,N,172,N,N,N,N,2417,980,177,201,276,12,66523,58007,4350,576,2000,N,2417,66523,5404,4588,218,0,598,61119,54525,3893,215,1653,62,38,733,0,733,25131
160,28067,"Jones County, Mississippi",68461,32862,35599,4953,4613,4454,5595,2869,9091,9159,7348,2947,5557,7153,3347,1375,37.6,17031,53798,51430,48425,14927,11875,51430,24841,26589,11875,5395,6480,68461,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,68461,46556,20578,N,N,N,1005,68461,3061,N,N,N,N,65400,N,N,N,N,N,N,N,N,N,29143
161,29037,"Cass County, Missouri",104954,50586,54368,5431,7928,6935,7793,5496,11078,12790,14580,7608,7321,10353,5692,1949,41.0,25142,82934,79812,76148,22431,17994,79812,37275,42537,17994,7726,10268,104954,101742,3212,101742,95973,4046,976,544,N,N,N,N,711,N,N,N,N,N,N,N,103,N,N,N,N,365,3212,1687,780,745,0,104954,99185,5733,1324,1456,N,365,104954,4775,N,N,N,N,100179,91900,3709,544,711,103,0,3212,0,3212,42442
162,29051,"Cole County, Missouri",76796,38570,38226,4716,4178,5338,4795,4663,10413,9390,10583,5083,4663,7917,4004,1053,39.1,17241,61444,59555,56664,15251,12974,59555,30006,29549,12974,5583,7391,76796,75332,1464,75332,64447,9206,862,463,N,N,N,N,1023,N,N,N,N,N,N,N,0,N,N,N,N,193,1464,N,N,N,N,76796,65658,10234,N,1344,N,N,76796,2260,N,N,N,N,74536,62402,9206,386,947,0,131,1464,253,1211,33502
163,29071,"Franklin County, Missouri",103670,52247,51423,6409,6284,6623,6557,5666,13144,11610,13917,8194,7318,10318,5429,2201,40.4,23753,83035,79917,76587,22442,17948,79917,39890,40027,17948,8166,9782,103670,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,103670,102667,1964,677,914,N,N,103670,1874,N,N,N,N,101796,N,N,N,N,N,N,N,N,N,45538
164,29189,"St. Louis County, Missouri",996945,472353,524592,59035,60277,62128,61940,60574,128250,119100,124308,69743,71069,101719,54348,24454,40.4,219527,802833,777418,744097,221770,180521,777418,360509,416909,180521,75705,104816,996945,973733,23212,973733,674930,243987,2766,1974,N,N,N,N,45482,16191,11771,3624,715,3162,5460,4559,587,N,N,N,N,6773,23212,11420,2237,5483,1034,996945,695928,258213,6150,52223,1093,8035,996945,29524,17554,1815,714,9441,967421,653163,243112,1336,45482,587,2660,21081,111,20970,441936
165,29510,"St. Louis city, Missouri",302838,146922,155916,18849,14097,16480,13449,22080,60935,40011,34960,18436,21802,25206,11044,5489,36.4,57502,251015,245336,236381,54271,41739,245336,117767,127569,41739,17629,24110,302838,294746,8092,294746,142649,137404,1881,685,N,N,N,N,10878,1831,2609,397,183,1237,2151,2470,432,N,N,N,N,2698,8092,3221,973,1335,449,302838,149514,142596,2763,13247,613,3301,302838,12509,7905,770,436,3398,290329,133688,137087,685,10662,342,719,7146,48,7098,177169
