,FIPS,Geographic Area Name,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,18 years and over.1,18 years and over!!Male,18 years and over!!Female,65 years and over.1,65 years and over!!Male,65 years and over!!Female,Total population,One race,Two or more races,One race.1,Race_1 White,Race_1 Black or African American,Margin of Error!!Race_1 Black or African American,Race_1 American Indian and Alaska Native,Race_1 American Indian and Alaska Native!!Cherokee tribal grouping,Race_1 American Indian and Alaska Native!!Chippewa tribal grouping,Race_1 American Indian and Alaska Native!!Navajo tribal grouping,Race_1 American Indian and Alaska Native!!Sioux tribal grouping,Race_1 Asian,Race_1 Asian!!Asian Indian,Race_1 Asian!!Chinese,Race_1 Asian!!Filipino,Race_1 Asian!!Japanese,Race_1 Asian!!Korean,Race_1 Asian!!Vietnamese,Race_1 Asian!!Other Asian,Race_1 Native Hawaiian and Other Pacific Islander,Race_1 Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Race_1 Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Race_1 Native Hawaiian and Other Pacific Islander!!Samoan,Race_1 Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Race_1 Some other race,Two or more races.1,Race_2+ White and Black or African American,Race_2+ White and American Indian and Alaska Native,Race_2+ White and Asian,Race_2+ Black or African American and American Indian and Alaska Native,Race_Total Total population,Race_Total White,Race_Total Black or African American,Race_Total American Indian and Alaska Native,Race_Total Asian,Race_Total Native Hawaiian and Other Pacific Islander,Race_Total Some other race,Hispanic: Total population,Hispanic: Hispanic or Latino (of any race),Hispanic: Hispanic or Latino (of any race)!!Mexican,Hispanic: Hispanic or Latino (of any race)!!Puerto Rican,Hispanic: Hispanic or Latino (of any race)!!Cuban,Hispanic: Hispanic or Latino (of any race)!!Other Hispanic or Latino,Hispanic: Not Hispanic or Latino,Hispanic: Not Hispanic or Latino!!White alone,Hispanic: Not Hispanic or Latino!!Black or African American alone,Hispanic: Not Hispanic or Latino!!American Indian and Alaska Native alone,Hispanic: Not Hispanic or Latino!!Asian alone,Hispanic: Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Hispanic: Not Hispanic or Latino!!Some other race alone,Hispanic: Not Hispanic or Latino!!Two or more races,Hispanic: Not Hispanic or Latino!!Race_2+ Two races including Some other race,"Hispanic: Not Hispanic or Latino!!Race_2+ Two races excluding Some other race, and Three or more races",Total housing units
10,12089,"Nassau County, Florida",85832,42698,43134,3833,4041,6258,4668,3182,9429,10496,11482,7477,6179,11571,6057,1159,46.1,17088,71032,68744,66433,22574,18787,68744,33676,35068,18787,9087,9700,85832,84336,1496,84336,78055,5011,795,430,N,N,N,N,805,N,N,N,N,N,N,N,0,N,N,N,N,35,1496,N,N,N,N,85832,79380,5965,N,1296,N,N,85832,3845,587,644,702,1912,81987,74416,5011,430,805,0,0,1325,135,1190,39981
11,12111,"St. Lucie County, Florida",321128,155903,165225,15994,17485,18644,16562,18376,35264,37508,38530,25087,20470,42687,26827,7694,45.2,63151,266241,257977,248610,88688,77208,257977,124514,133463,77208,35970,41238,321128,310699,10429,310699,232424,64874,3084,0,N,N,N,N,6057,N,N,N,N,N,N,N,376,N,N,N,N,6968,10429,4735,673,954,106,321128,240796,70423,2489,7771,519,9957,321128,62776,12766,16210,10760,23040,258352,181629,63497,0,5676,232,537,6781,202,6579,142774
12,12113,"Santa Rosa County, Florida",179349,91848,87501,10018,10671,11707,10594,10532,24393,23732,24097,10988,14201,17369,8933,2114,40.0,39294,144746,140055,135175,35943,28416,140055,71084,68971,28416,13388,15028,179349,170705,8644,170705,152137,10837,1931,1194,N,N,N,N,3161,N,N,N,N,N,N,N,865,N,N,N,N,2511,8644,2597,1898,2405,160,179349,160080,13727,3637,6247,1127,3666,179349,10225,1855,2234,1327,4809,169124,146464,10333,915,3105,144,1015,7148,122,7026,73056
13,13013,"Barrow County, Georgia",80809,39917,40892,5177,5902,6164,5534,5039,11257,10802,11468,5240,3983,6657,2580,1006,36.3,20961,62605,59848,57316,12601,10243,59848,28604,31244,10243,4294,5949,80809,79379,1430,79379,63590,9937,966,218,N,N,N,N,3172,N,N,N,N,N,N,N,60,N,N,N,N,2402,1430,N,N,N,N,80809,64939,11078,543,3510,N,2434,80809,9317,4745,586,225,3761,71492,56856,9657,218,3115,60,188,1398,0,1398,28952
14,13157,"Jackson County, Georgia",70422,34762,35660,4268,4690,4921,5587,3664,9107,9174,10669,4363,3735,5979,3064,1201,38.3,17896,55402,52526,50339,12499,10244,52526,25630,26896,10244,4782,5462,70422,68619,1803,68619,61209,4893,832,19,N,N,N,N,1062,N,N,N,N,N,N,N,21,N,N,N,N,1415,1803,N,N,N,N,70422,62702,5933,N,1629,N,1870,70422,5731,N,N,N,N,64691,57138,4850,19,1042,0,0,1642,294,1348,26070
15,13185,"Lowndes County, Georgia",116321,55535,60786,8205,8562,6861,9919,14383,16707,13059,12484,5730,5881,8651,4296,1583,30.8,27878,91357,88443,80384,17773,14530,88443,41765,46678,14530,6010,8520,116321,112945,3376,112945,65868,42377,841,292,N,N,N,N,1882,N,N,N,N,N,N,N,0,N,N,N,N,2526,3376,1383,288,1032,0,116321,68753,44293,747,3228,N,2780,116321,6910,N,N,N,N,109411,62087,42065,292,1882,0,246,2839,0,2839,48525
16,13245,"Richmond County, Georgia",201554,96104,105450,13080,12043,13174,14714,15988,32995,24129,22214,10871,14198,17357,8014,2777,34.4,45628,160792,155926,146529,37121,28148,155926,74317,81609,28148,11699,16449,201554,195136,6418,195136,73586,113773,1484,595,N,N,N,N,4377,N,N,N,N,N,N,N,118,N,N,N,N,2687,6418,3377,522,926,203,201554,79198,118245,1534,5795,197,3515,201554,10115,3378,4495,0,2242,191439,67994,113010,551,3463,95,1278,5048,168,4880,89098
17,13285,"Troup County, Georgia",70034,32962,37072,4402,3367,6284,5207,6264,8354,9144,8207,4033,4707,6009,3000,1056,36.4,17162,54813,52872,49912,13597,10065,52872,24522,28350,10065,4105,5960,70034,69639,395,69639,40980,26220,316,0,N,N,N,N,1622,N,N,N,N,N,N,N,0,N,N,N,N,817,395,N,N,N,N,70034,41375,26435,N,1647,N,817,70034,2620,N,N,N,N,67414,39030,26220,0,1622,0,219,323,0,323,28636
18,13295,"Walker County, Georgia",69410,34967,34443,3992,4566,3762,4539,4247,7927,8334,9075,5111,4764,7325,4541,1227,42.5,14990,56555,54420,51812,15631,13093,54420,26768,27652,13093,5845,7248,69410,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,69410,66016,4589,210,N,N,N,69410,1607,N,N,N,N,67803,N,N,N,N,N,N,N,N,N,30460
19,17001,"Adams County, Illinois",65691,32661,33030,4421,4137,4268,3338,3452,8430,7437,7655,5229,4027,6908,4522,1867,41.5,14979,52121,50712,49145,15562,13297,50712,24666,26046,13297,5914,7383,65691,64911,780,64911,61152,3054,452,248,N,N,N,N,426,N,N,N,N,N,N,N,0,N,N,N,N,31,780,N,N,N,N,65691,61932,3375,N,813,N,N,65691,1091,N,N,N,N,64600,60082,3054,248,426,0,10,780,48,732,30269
