,Region,Population,Code
0,Abruzzo,4393838,1
1,Basilicata,128664,2
2,P.A. Bolzano,9807372,3
3,Calabria,540218,4
4,Campania,536101,4
5,Emilia Romagna,4954952,5
6,Friuli Venezia Giulia,1237025,6
7,Lazio,1605728,7
8,Liguria,4449067,8
9,Lombardia,3760077,9
10,Marche,917784,10
11,Molise,1591265,11
12,Piemonte,5679484,12
13,Puglia,1314045,13
14,Sardegna,308967,14
15,Sicilia,5840408,15
16,Toscana,4090452,16
17,P.A. Trento,573458,17
18,Umbria,1936577,18
19,Valle d'Aosta,5151096,19
20,Veneto,1641331,20
