,FIPS,Pop,Density,Area,UrbanRural,EconType,Policies,Movement,Transit,65+,Male,AfricanAmer,CollegePlus,Income,Unemployed,Dems,Hospitals,ICUBeds,HeartDiseaseMort,StrokeMort,Diabetes,Smokers,pLon,pLat
0,1001,0.27518,0.18359999999999999,0.1510975,13.333333333333332,0.0,0.0,0.3,0.0,0.0660283221573446,29.19465263764774,0.31759510779154654,28.4,29.668999999999997,12.0,18.466898954703833,0.06056641713302808,0.10901955083945053,34.08333333333333,56.1,8.91,16.273401462,-864.94165,325.00388999999996
1,1003,1.0168000000000001,0.2292,0.5068275,20.0,33.333333333333336,1.5,12.4,0.1841645255,0.025791912239444218,29.128336813589932,0.024044445332574823,31.299999999999997,28.794,12.0,15.15584458238907,0.04917387883556255,0.250786782061369,30.53333333333333,41.89999999999999,7.65,15.740129337299997,-877.62381,305.48922999999996
2,1005,0.13100499999999998,0.062,0.22613,40.0,20.0,0.0,-4.3,0.0,0.14051981083218473,31.66204986149584,0.6275169584527058,25.1,17.191000000000003,17.333333333333336,35.38256658595642,0.12722160731778684,0.19083241097668027,36.733333333333334,49.0,14.13,19.7999860752,-853.1003800000001,318.44036
3,1007,0.1129,0.0736,0.15654249999999997,6.666666666666666,0.0,0.5,-3.3,0.0791808485,0.15900629807063016,32.12811011116993,0.5760251712420299,24.4,23.032,13.333333333333332,16.32025081281932,0.14762326542663123,0.0,37.583333333333336,57.2,11.97,17.2027798965,-871.2765899999999,330.30921
4,1009,0.288335,0.1778,0.16265749999999998,6.666666666666666,0.0,0.0,0.0,0.0,0.07433325893381815,29.586816747970282,0.09698430201197944,33.5,25.206,11.666666666666668,6.4641215270837495,0.057803134085930144,0.10404564135467426,37.46666666666667,52.8,13.41,17.287804772999998,-865.9149100000001,339.55243
5,1011,0.05239,0.035,0.156285,40.0,20.0,0.0,-1.6,0.0,0.3243817480196521,32.68018236492385,1.842381020654057,22.3,14.6335,15.666666666666666,56.691648822269805,0.31812686899535536,0.0,35.71666666666667,54.1,20.16,20.605197609900003,-857.01192,321.16327000000007
6,1013,0.10063000000000001,0.054000000000000006,0.19446999999999998,40.0,0.0,0.0,-5.05,0.0,0.2153447832399651,27.940479192938206,0.5655297838224147,24.6,18.6825,15.999999999999998,32.39248869827286,0.16562324025307232,0.3478088045314518,43.25,59.0,15.209999999999999,19.588801466699998,-866.5355,317.73539000000005
7,1015,0.577635,0.3914,0.1530725,20.0,26.666666666666664,3.0,-0.8,0.4240210715,0.03689060447942214,28.841607977128515,0.08340508923417,33.7,22.7,15.666666666666666,21.54011321491314,0.05770656787302247,0.2077436443428809,52.63333333333334,44.0,14.04,18.5513043375,-858.1944200000003,337.2546
8,1017,0.16947500000000001,0.11479999999999999,0.1507775,40.0,0.0,0.0,-0.55,0.0,0.09646125646538266,28.724824251772315,0.42386160987380567,29.699999999999996,19.9585,13.0,31.833859250018346,0.0,0.0,32.78333333333333,45.2,15.75,17.4536343477,-852.66474,328.60438999999997
9,1019,0.129275,0.0938,0.14999500000000002,40.0,0.0,0.0,6.5,0.0,0.16495532559947634,29.808562478245733,0.219868562798427,29.0,21.066,12.0,11.05,0.1289241281505834,0.0,44.56666666666666,47.3,10.979999999999999,15.748806406500002,-856.29194,341.79332999999997
10,1021,0.21902499999999997,0.126,0.17519999999999997,6.666666666666666,0.0,0.0,0.2,0.0,0.08550068381215671,29.50371025937777,0.17432817691846964,24.0,23.7735,12.0,12.134559804357492,0.07609481413841646,0.13697066544914965,45.016666666666666,51.1,15.120000000000001,18.1700811576,-866.8740600000002,328.77547
11,1023,0.06594,0.030399999999999996,0.230215,60.0,20.0,0.0,-2.0,0.0,0.3183739599122199,28.370799536500577,0.40601804643227457,30.2,19.9535,18.333333333333332,32.31808731808732,0.2527550298250935,0.0,45.03333333333333,57.400000000000006,12.510000000000002,16.913923461,-882.6416400000003,320.16562
12,1025,0.12312500000000001,0.0418,0.3131425,46.66666666666667,20.0,0.5,-2.8,0.0617310935,0.18979661884526045,28.32952705227754,0.3954553202670227,24.9,20.3705,25.0,33.45294437116922,0.2707275803722504,0.0,39.11666666666667,45.9,18.090000000000003,18.5216897844,-878.15673,316.85685
13,1027,0.067035,0.0462,0.1515,60.0,20.0,0.0,-1.6,0.0,0.285622247328566,29.369342410413708,0.9232438332624617,29.1,19.6005,13.0,14.312712125887073,0.24862633947440393,0.29835160736928473,49.38333333333333,46.7,10.08,17.6583187377,-858.20227,332.72412
14,1029,0.074695,0.0534,0.1402525,53.33333333333333,0.0,0.0,3.8,0.0,0.2681592087565139,29.750335570469804,0.7129823372978296,24.1,23.2475,14.000000000000002,7.9559553349875936,0.0,0.0,50.016666666666666,45.8,9.36,16.5370191948,-854.9431500000001,336.2977
15,1031,0.255365,0.1472,0.1701225,26.666666666666664,0.0,0.0,0.2,0.0,0.09370140639790203,29.575509889347266,0.13835465873435565,34.9,27.561,13.0,15.753134952229297,0.06526605708169352,0.1370587198715564,36.58333333333333,51.3,12.960000000000003,15.7002818346,-859.04715,313.54433
16,1033,0.272175,0.18359999999999999,0.1555325,20.0,0.0,0.0,3.0,0.0,0.08524101794266596,28.787889908256883,0.08759565983928028,29.699999999999996,24.5275,15.333333333333332,22.794912295286395,0.12247022442668626,0.4041517406080647,43.550000000000004,55.2,12.15,16.792938954900002,-876.8515100000001,347.23385
17,1035,0.063245,0.0312,0.21318,46.66666666666667,0.0,0.0,-4.1,0.0,0.36210750614829307,28.81867030234983,0.4245344253501079,21.299999999999997,16.3065,17.333333333333336,35.53846153846153,0.2635254433815585,0.0,38.916666666666664,60.4,21.33,18.996761668500003,-869.96483,314.18674
18,1037,0.054775,0.0354,0.1665875,53.33333333333333,20.0,0.0,-0.4,0.0,0.35912653379342163,30.117165705783897,0.9833225175294059,29.5,21.2115,14.000000000000002,25.88611272515979,0.0,0.0,39.5,45.60000000000001,16.11,18.3599690607,-861.55035,329.75932
19,1039,0.18759499999999998,0.0732,0.2609475,40.0,0.0,0.0,0.3,0.0,0.128711598689151,28.93561954060175,0.10942514002061282,32.5,20.101499999999998,15.333333333333332,11.436374089689537,0.17768774931812326,0.3464911111703403,43.666666666666664,51.5,11.61,17.3245063869,-864.10955,312.82448999999997
20,1041,0.06933,0.0456,0.15272999999999998,53.33333333333333,20.0,0.0,0.1,0.0,0.31013221295970567,29.054862663110086,0.999765335081375,24.0,19.5285,13.666666666666664,20.20398251578436,0.24039617289292756,0.0,40.650000000000006,56.7,14.670000000000002,16.7822366085,-862.9708000000003,317.43487
21,1043,0.40851499999999996,0.2188,0.188755,26.666666666666664,0.0,0.0,4.05,0.0,0.0558745701851003,29.660322639115467,0.006107517283439877,32.4,22.898,10.999999999999998,7.74322450865795,0.04079817550559139,0.146873431820129,38.43333333333333,52.1,15.479999999999999,16.1109640989,-868.31859,341.62362
22,1045,0.246965,0.17919999999999997,0.14067500000000002,26.666666666666664,20.0,0.0,-4.05,0.0,0.09175153619521537,29.58192824929915,0.22277624261620826,36.1,22.6545,14.000000000000002,18.16448054442676,0.06748594605173473,0.12147470289312251,36.949999999999996,45.5,12.960000000000003,18.051655436100003,-856.4126899999999,313.83346000000006
23,1047,0.20377499999999998,0.08959999999999999,0.24845,26.666666666666664,20.0,0.5,-11.0,0.074345797,0.09041750401126986,27.676654341450973,0.3182746805895673,30.4,17.017500000000002,21.666666666666664,51.68859060402685,0.08178955547376601,0.44166359955833645,51.35000000000001,56.2,12.510000000000002,21.6800919063,-870.3495500000002,324.08815000000004
24,1049,0.35596999999999995,0.183,0.19467250000000003,40.0,20.0,0.0,-0.2,0.0,0.05805643253020496,29.834536492732173,0.011852418862830871,28.1,19.7455,12.666666666666666,10.85427738042914,0.046820424942176773,0.1685535297918364,46.65,51.1,10.08,18.9254437137,-858.1720799999999,344.55109999999996
25,1051,0.404945,0.25639999999999996,0.16426,13.333333333333332,0.0,0.0,2.4,0.0,0.04500170516588925,29.10195036546396,0.11740499946700886,29.0,30.1835,11.333333333333332,17.552041466862548,0.08231570542501657,0.06173677906876243,37.516666666666666,53.0,13.41,15.707251665000001,-862.2564699999999,325.59652
26,1053,0.18810500000000002,0.08099999999999999,0.238285,40.0,0.0,0.0,-2.75,0.0,0.11652522317717967,30.731433759713727,0.1692788659293218,24.4,19.209,15.333333333333332,23.75343878954608,0.17720599310668686,0.3721325855240424,38.916666666666664,51.2,15.39,20.171326124700002,-872.8205300000001,310.88737
