,FIPS,Male,AfricanAmer,CollegePlus,Income,Unemployed,Dems
0,1001,29.19465263764774,0.31759510779154654,28.4,29.668999999999997,12.0,18.466898954703833
1,1003,29.128336813589932,0.024044445332574823,31.299999999999997,28.794,12.0,15.15584458238907
2,1005,31.66204986149584,0.6275169584527058,25.1,17.191000000000003,17.333333333333336,35.38256658595642
3,1007,32.12811011116993,0.5760251712420299,24.4,23.032,13.333333333333332,16.32025081281932
4,1009,29.586816747970282,0.09698430201197944,33.5,25.206,11.666666666666668,6.4641215270837495
5,1011,32.68018236492385,1.842381020654057,22.3,14.6335,15.666666666666666,56.691648822269805
6,1013,27.940479192938206,0.5655297838224147,24.6,18.6825,15.999999999999998,32.39248869827286
7,1015,28.841607977128515,0.08340508923417,33.7,22.7,15.666666666666666,21.54011321491314
8,1017,28.724824251772315,0.42386160987380567,29.699999999999996,19.9585,13.0,31.833859250018346
9,1019,29.808562478245733,0.219868562798427,29.0,21.066,12.0,11.05
10,1021,29.50371025937777,0.17432817691846964,24.0,23.7735,12.0,12.134559804357492
11,1023,28.370799536500577,0.40601804643227457,30.2,19.9535,18.333333333333332,32.31808731808732
12,1025,28.32952705227754,0.3954553202670227,24.9,20.3705,25.0,33.45294437116922
13,1027,29.369342410413708,0.9232438332624617,29.1,19.6005,13.0,14.312712125887073
14,1029,29.750335570469804,0.7129823372978296,24.1,23.2475,14.000000000000002,7.9559553349875936
15,1031,29.575509889347266,0.13835465873435565,34.9,27.561,13.0,15.753134952229297
16,1033,28.787889908256883,0.08759565983928028,29.699999999999996,24.5275,15.333333333333332,22.794912295286395
17,1035,28.81867030234983,0.4245344253501079,21.299999999999997,16.3065,17.333333333333336,35.53846153846153
18,1037,30.117165705783897,0.9833225175294059,29.5,21.2115,14.000000000000002,25.88611272515979
19,1039,28.93561954060175,0.10942514002061282,32.5,20.101499999999998,15.333333333333332,11.436374089689537
20,1041,29.054862663110086,0.999765335081375,24.0,19.5285,13.666666666666664,20.20398251578436
21,1043,29.660322639115467,0.006107517283439877,32.4,22.898,10.999999999999998,7.74322450865795
22,1045,29.58192824929915,0.22277624261620826,36.1,22.6545,14.000000000000002,18.16448054442676
23,1047,27.676654341450973,0.3182746805895673,30.4,17.017500000000002,21.666666666666664,51.68859060402685
24,1049,29.834536492732173,0.011852418862830871,28.1,19.7455,12.666666666666666,10.85427738042914
25,1051,29.10195036546396,0.11740499946700886,29.0,30.1835,11.333333333333332,17.552041466862548
26,1053,30.731433759713727,0.1692788659293218,24.4,19.209,15.333333333333332,23.75343878954608
27,1055,29.01698214198823,0.07392953341306831,33.9,22.451500000000003,13.666666666666664,18.300035050823695
28,1057,29.482632985183386,0.4872745501483188,27.9,19.627,13.666666666666664,12.651721575427297
29,1059,30.15145261152564,0.10683627918433342,27.1,19.694,12.333333333333334,14.128011660807683
30,1061,29.328942886340414,0.3363842617401764,30.8,18.9115,13.0,9.92924733049744
31,1063,28.328931572629052,1.592097756326303,29.0,14.261999999999999,22.333333333333336,62.0439084724799
32,1065,28.513367539832572,0.9330513067595024,26.9,17.362,17.0,45.058505284348264
33,1067,28.997492272700764,0.6999170777827846,28.700000000000003,23.013499999999997,14.666666666666668,21.693589096415952
34,1069,28.779828647001324,0.12325257180187178,33.0,23.996499999999997,13.333333333333332,19.322574410514115
35,1071,29.48737213200023,0.07566915319286655,27.5,20.9645,13.666666666666664,13.540181862865568
36,1073,28.38271412036159,0.029432543467525205,30.6,27.5065,12.333333333333334,40.342321552868086
37,1075,29.35895597303886,0.5613868742737844,30.0,20.468000000000004,12.666666666666666,11.328181950721682
38,1077,28.730467483628345,0.05046478918863017,27.5,24.3535,14.000000000000002,19.71942617103908
39,1079,29.238403582559233,0.15034752314792782,25.8,21.954500000000003,14.000000000000002,18.812240663900415
40,1081,29.567089923516747,0.07399433542322625,32.3,24.4685,12.0,28.51093165255072
41,1083,30.130293849706575,0.07227425661252047,28.5,32.4315,11.666666666666668,18.427403659011286
42,1085,28.433902342199286,2.1081302347523847,24.8,16.9865,24.333333333333332,55.2042508290624
43,1087,27.38149826712877,0.7974513356679573,30.9,16.2475,18.333333333333332,63.071023674558184
44,1089,29.315156517452074,0.033312273235728024,28.6,31.877499999999998,11.666666666666668,30.928109122894533
45,1091,28.24258064516129,0.5347597921182365,28.6,18.8665,16.666666666666668,38.82051991150442
46,1093,29.695303858143667,0.14445001806061006,31.7,18.9435,13.666666666666664,8.452699512041557
47,1095,29.589316364549752,0.023203710572497552,30.5,23.116500000000002,11.333333333333332,10.798682284040996
48,1097,28.622386491285283,0.04026567221950255,29.8,21.799,15.666666666666666,32.360342374867
49,1099,28.54409902939935,0.27291777409663465,23.5,19.778,20.666666666666668,32.08255159474672
50,1101,28.29910962470107,0.11614063897152341,28.0,24.82,13.333333333333332,47.55432150582766
51,1103,29.522294601828,0.05421846877091092,32.0,26.3985,11.666666666666668,17.317398440705784
52,1105,28.050112431737872,1.1037127276764167,22.9,13.407,21.666666666666664,54.82699292678264
53,1107,29.83941316415543,0.5761012829328545,30.4,18.793,15.333333333333332,31.59736953754773
54,1109,28.925962665704752,0.44872283280387604,24.2,18.6295,15.0,29.743509294846653
55,1111,29.126599029554477,0.5992708086412301,27.5,20.273,13.333333333333332,17.18937575030012
56,1113,28.82987115435183,0.3169406501802312,34.5,19.552,13.333333333333332,38.236468146255774
57,1115,29.826188505538617,0.053442412949903526,32.3,28.642,11.666666666666668,11.256041890440386
58,1117,29.09173474403689,0.02918606408491786,29.699999999999996,37.8315,9.666666666666666,17.951342229444666
