,FIPS,Hospitals,ICUBeds,HeartDiseaseMort,StrokeMort,Diabetes,Smokers
0,1001,0.06056641713302808,0.10901955083945053,34.08333333333333,56.1,8.91,16.273401462
1,1003,0.04917387883556255,0.250786782061369,30.53333333333333,41.89999999999999,7.65,15.740129337299997
2,1005,0.12722160731778684,0.19083241097668027,36.733333333333334,49.0,14.13,19.7999860752
3,1007,0.14762326542663123,0.0,37.583333333333336,57.2,11.97,17.2027798965
4,1009,0.057803134085930144,0.10404564135467426,37.46666666666667,52.8,13.41,17.287804772999998
5,1011,0.31812686899535536,0.0,35.71666666666667,54.1,20.16,20.605197609900003
6,1013,0.16562324025307232,0.3478088045314518,43.25,59.0,15.209999999999999,19.588801466699998
7,1015,0.05770656787302247,0.2077436443428809,52.63333333333334,44.0,14.04,18.5513043375
8,1017,0.0,0.0,32.78333333333333,45.2,15.75,17.4536343477
9,1019,0.1289241281505834,0.0,44.56666666666666,47.3,10.979999999999999,15.748806406500002
10,1021,0.07609481413841646,0.13697066544914965,45.016666666666666,51.1,15.120000000000001,18.1700811576
11,1023,0.2527550298250935,0.0,45.03333333333333,57.400000000000006,12.510000000000002,16.913923461
12,1025,0.2707275803722504,0.0,39.11666666666667,45.9,18.090000000000003,18.5216897844
13,1027,0.24862633947440393,0.29835160736928473,49.38333333333333,46.7,10.08,17.6583187377
14,1029,0.0,0.0,50.016666666666666,45.8,9.36,16.5370191948
15,1031,0.06526605708169352,0.1370587198715564,36.58333333333333,51.3,12.960000000000003,15.7002818346
16,1033,0.12247022442668626,0.4041517406080647,43.550000000000004,55.2,12.15,16.792938954900002
17,1035,0.2635254433815585,0.0,38.916666666666664,60.4,21.33,18.996761668500003
18,1037,0.0,0.0,39.5,45.60000000000001,16.11,18.3599690607
19,1039,0.17768774931812326,0.3464911111703403,43.666666666666664,51.5,11.61,17.3245063869
20,1041,0.24039617289292756,0.0,40.650000000000006,56.7,14.670000000000002,16.7822366085
21,1043,0.04079817550559139,0.146873431820129,38.43333333333333,52.1,15.479999999999999,16.1109640989
22,1045,0.06748594605173473,0.12147470289312251,36.949999999999996,45.5,12.960000000000003,18.051655436100003
23,1047,0.08178955547376601,0.44166359955833645,51.35000000000001,56.2,12.510000000000002,21.6800919063
24,1049,0.046820424942176773,0.1685535297918364,46.65,51.1,10.08,18.9254437137
25,1051,0.08231570542501657,0.06173677906876243,37.516666666666666,53.0,13.41,15.707251665000001
26,1053,0.17720599310668686,0.3721325855240424,38.916666666666664,51.2,15.39,20.171326124700002
27,1055,0.06464207682064409,0.5429934452934104,48.71666666666667,48.0,12.15,18.1326587409
28,1057,0.40023213463809004,0.7204178423485621,40.0,52.2,18.9,16.201433930399997
29,1059,0.21159319093111584,0.2221728504776716,43.166666666666664,57.0,11.97,17.325524739600006
30,1061,0.12544533092478297,0.22580159566460936,38.95,49.1,12.870000000000001,18.0032429484
31,1063,0.3906402593851322,0.0,44.6,51.7,10.170000000000002,22.1695368354
32,1065,0.2222963209958875,0.0,42.28333333333333,52.0,13.95,19.8695622051
33,1067,0.0,0.0,34.78333333333333,41.5,12.329999999999998,16.5868608969
34,1069,0.064036065111871,0.6339570446075229,32.599999999999994,43.7,10.619999999999997,17.3248045065
35,1071,0.06370319407815109,0.19110958223445326,47.35,54.39999999999999,12.510000000000002,17.9630287956
36,1073,0.04043712532476067,0.7142207260485851,31.816666666666666,59.6,10.530000000000001,15.859840736699999
37,1075,0.0,0.0,42.9,56.6,14.399999999999999,18.387496803599998
38,1077,0.036001008028224785,0.518414515606437,36.61666666666667,49.900000000000006,10.709999999999999,14.990403870000002
39,1079,0.10013618521188816,0.1802451333813987,42.28333333333333,51.3,15.209999999999999,18.168881544
40,1081,0.021286061248512636,0.17880291448750613,30.03333333333333,45.9,8.55,15.804126366300002
41,1083,0.036352400167221036,0.10905720050166312,38.11666666666667,45.0,11.25,16.356020934600004
42,1085,0.0,0.0,38.46666666666667,57.7,10.26,20.354320069200003
43,1087,0.0,0.0,46.18333333333334,47.9,19.17,19.273226755499998
44,1089,0.01887435249174483,0.2831152873761725,32.86666666666667,42.400000000000006,11.16,15.138155430899998
45,1091,0.16883621199074778,0.25325431798612164,50.31666666666666,54.3,13.41,19.2204003123
46,1093,0.11089671080355756,0.13307605296426908,49.833333333333336,54.1,16.29,17.1541832463
47,1095,0.03518475514928892,0.21110853089573348,43.733333333333334,56.2,9.18,18.9160681329
48,1097,0.03218062340303656,0.37892684057075554,38.583333333333336,49.1,11.34,17.4329722341
49,1099,0.1532919445083161,0.3679006668199586,30.616666666666667,54.8,14.13,20.931785066699998
50,1101,0.044029587883057414,0.3874603733709053,29.949999999999996,54.8,11.7,17.714837619
51,1103,0.0279742972157182,0.28533783160032566,40.53333333333333,50.0,9.99,16.970135534100002
52,1105,0.0,0.0,46.18333333333334,57.1,12.240000000000002,23.402779711200004
53,1107,0.16526194017517765,0.1983143282102132,40.650000000000006,53.6,11.43,19.0792107369
54,1109,0.10013919347893573,0.27037582239312646,32.9,53.8,10.89,18.5441905584
55,1111,0.14795088030773781,0.0,50.91666666666667,48.9,12.42,17.098521775200002
56,1113,0.05699954400364798,0.13679890560875513,34.56666666666666,50.5,16.38,19.6121878515
57,1115,0.038341941099110086,0.06901549397839815,39.233333333333334,53.9,11.07,16.501771155600004
58,1117,0.01597028249832711,0.15331471198394028,27.03333333333333,42.7,8.64,14.0050417212
59,1119,0.2547640884540915,0.0,37.21666666666667,53.4,16.830000000000002,20.2427234748
60,1121,0.08241848811525401,0.17307882504203342,40.983333333333334,48.4,12.870000000000001,20.843876034900003
61,1123,0.16357509732718292,0.14721758759446463,37.849999999999994,45.60000000000001,11.97,16.3620604665
62,1125,0.01630597842392935,0.41091065628301954,36.9,54.8,10.8,16.0853691618
63,1127,0.051339709725281214,0.18482295501101237,61.73333333333333,53.8,10.979999999999999,20.412886104000002
64,1129,0.19905251005215174,0.0,39.766666666666666,56.7,12.779999999999998,18.7110828684
65,1131,0.3052782611350246,0.0,54.18333333333334,59.0,15.39,19.8599671359
66,1133,0.13907432131731198,0.16688918558077437,38.13333333333333,52.5,15.3,17.6831712891
67,2013,0.0,0.0,9.65,2.3,11.7,14.9821298307
68,2016,0.0,0.0,14.083333333333334,3.1,9.629999999999999,13.6285410105
69,2020,0.03353172939894375,0.2447816246122894,22.333333333333336,32.9,7.379999999999999,13.537288823399997
70,2050,0.742514525440404,0.0,23.800000000000004,31.7,13.86,19.3617963198
71,2060,14.540167211922936,13.086150490730644,24.766666666666666,32.1,7.5600000000000005,13.496261094000001
72,2068,4.342162396873643,17.802865827181936,20.71666666666667,30.4,6.93,14.391167425199999
73,2070,2.010454362685967,1.6083634901487738,26.9,31.4,10.8,15.865294260600002
74,2090,0.033323003202340606,0.0,24.266666666666666,37.0,8.64,15.781043690999999
