,FIPS,Pop,Density,Area,UrbanRural,EconType,Policies,Movement,Transit
57,1115,0.434685,0.2646,0.16341,6.666666666666666,0.0,0.0,3.7,0.0
58,1117,1.043605,0.497,0.2023825,6.666666666666666,0.0,0.0,3.0,0.0
59,1119,0.06542,0.030399999999999996,0.22833000000000003,53.33333333333333,26.666666666666664,0.0,-2.6500000000000004,0.0
60,1121,0.40444,0.22340000000000002,0.1900775,26.666666666666664,20.0,0.0,0.25,0.0
61,1123,0.20378000000000002,0.1162,0.1915625,40.0,0.0,0.0,0.4,0.0
62,1125,1.02212,0.29460000000000003,0.33781249999999996,20.0,26.666666666666664,4.5,1.25,0.7329534775000001
63,1127,0.324635,0.1694,0.20129750000000002,6.666666666666666,0.0,0.0,0.25,0.0
64,1129,0.08373,0.032600000000000004,0.2721425,53.33333333333333,20.0,0.0,-3.9000000000000004,0.0
65,1131,0.054595,0.0262,0.2268525,60.0,20.0,0.5,-3.8,0.15014317900000002
66,1133,0.11984,0.0798,0.1579675,40.0,20.0,0.0,0.3,0.0
67,2013,0.01669,0.0008,3.7524650000000004,40.0,26.666666666666664,0.0,0.05,0.1928959765
68,2016,0.02892,0.0026000000000000003,3.52911,20.0,26.666666666666664,0.0,6.65,0.539332141
69,2020,1.491125,0.3424,0.49024999999999996,20.0,26.666666666666664,17.5,3.7,1.485476682
70,2050,0.089785,0.0008,11.3760525,26.666666666666664,33.333333333333336,0.0,4.55,0.0
71,2060,0.004585,0.004,0.22188999999999998,46.66666666666667,26.666666666666664,0.0,4.6,0.0
72,2068,0.011515,0.0002,3.19423,46.66666666666667,13.333333333333332,0.0,-4.4,0.0
73,2070,0.02487,0.0006,5.2288025,40.0,33.333333333333336,0.0,10.95,0.024411903500000002
74,2090,0.500155,0.0266,1.8609224999999998,6.666666666666666,0.0,10.0,6.799999999999999,2.328270248
75,2100,0.012685000000000002,0.0022,0.6813750000000001,20.0,33.333333333333336,0.0,9.3,0.2562527705
76,2105,0.01073,0.0006,2.7285375,26.666666666666664,33.333333333333336,13.0,4.05,0.0678952085
77,2110,0.16216999999999998,0.0232,0.8134724999999999,13.333333333333332,0.0,0.0,4.95,2.071851596
78,2122,0.289805,0.0068,6.18808,6.666666666666666,0.0,18.0,15.5,0.04356789950000001
79,2130,0.06872500000000001,0.005599999999999999,1.6633900000000001,26.666666666666664,26.666666666666664,0.0,-4.75,0.0
80,2150,0.06886500000000001,0.004200000000000001,3.0054575,20.0,33.333333333333336,0.0,11.05,0.258060258
81,2164,0.006505,0.0002,8.230625,20.0,33.333333333333336,2.5,2.4,1.1497902005
82,2170,0.505675,0.007200000000000001,6.3144025,40.0,20.0,0.0,-4.0,0.0
83,2180,0.049345,0.0008,7.069405,46.66666666666667,20.0,0.0,-6.35,0.0
84,2185,0.048785,0.0002,23.69907,46.66666666666667,0.0,0.0,7.9,0.0
85,2188,0.038575,0.0004,10.187235000000001,13.333333333333332,0.0,11.0,7.800000000000001,0.4270819595
86,2195,0.016375,0.0024,1.4210175,46.66666666666667,0.0,0.0,-0.4,0.0
87,2198,0.032365,0.0027999999999999995,1.92082,46.66666666666667,0.0,0.0,2.4,0.0
88,2220,0.04405,0.0062,1.2028575000000001,60.0,20.0,0.0,4.5,0.0
89,2230,0.00519,0.004200000000000001,0.11601,40.0,20.0,0.0,4.45,0.0
90,2240,0.034445,0.0006,6.2648649999999995,46.66666666666667,6.666666666666666,1.5,-7.9,0.0
91,2261,0.047195,0.0006,10.085042499999998,46.66666666666667,26.666666666666664,3.5,-2.3,0.228410569
92,2270,0.034162859999999996,0.0008,4.9182375,46.66666666666667,6.666666666666666,10.5,-1.65,0.0
93,2275,0.012375,0.0018000000000000002,0.865515,40.0,33.333333333333336,0.0,1.75,0.0
94,2282,0.00341,0.0002,2.3657175,20.0,0.0,0.0,-10.05,0.0
95,2290,0.027265,0.0,36.9511575,46.66666666666667,20.0,0.0,-2.9,0.0
96,4001,0.35801,0.0128,2.8046100000000003,40.0,0.0,0.0,0.95,0.0
97,4003,0.6325799999999999,0.0426,1.55465,20.0,0.0,22.0,5.0,0.930881096
98,4005,0.693195,0.014400000000000001,4.665335,13.333333333333332,20.0,2.0,3.5,0.0
99,4007,0.265725,0.022600000000000002,1.1988575000000001,6.666666666666666,0.0,0.5,-5.65,0.849058549
100,4009,0.1885,0.0162,1.1602675,40.0,0.0,18.5,-5.35,0.0
101,4011,0.04684,0.0092,0.4621075,40.0,0.0,0.5,-11.35,0.0
102,4012,0.10238499999999999,0.0092,1.1284375,40.0,0.0,0.0,-8.5,0.0
103,4013,20.777505,0.8298,2.3060975,40.0,26.666666666666664,2.0,-1.65,0.0
104,4015,1.023455,0.03,3.3651625000000003,13.333333333333332,0.0,10.0,3.2,0.0
105,4017,0.5395099999999999,0.0216,2.4899299999999998,40.0,0.0,0.0,-0.55,0.0
106,4019,5.036285,0.2134,2.297275,60.0,0.0,0.0,10.85,0.0
107,4021,2.027685,0.14,1.3435575,20.0,33.333333333333336,0.0,5.05,0.824240088
108,4023,0.23179000000000002,0.07659999999999999,0.30952749999999996,13.333333333333332,0.0,3.0,2.6500000000000004,0.0
