,FIPS,Pop,Density,Area,UrbanRural,pLon,pLat
0,1001,0.27518,0.18359999999999999,0.1510975,13.333333333333332,-864.94165,325.00388999999996
1,1003,1.0168000000000001,0.2292,0.5068275,20.0,-877.62381,305.48922999999996
2,1005,0.13100499999999998,0.062,0.22613,40.0,-853.1003800000001,318.44036
3,1007,0.1129,0.0736,0.15654249999999997,6.666666666666666,-871.2765899999999,330.30921
4,1009,0.288335,0.1778,0.16265749999999998,6.666666666666666,-865.9149100000001,339.55243
5,1011,0.05239,0.035,0.156285,40.0,-857.01192,321.16327000000007
6,1013,0.10063000000000001,0.054000000000000006,0.19446999999999998,40.0,-866.5355,317.73539000000005
7,1015,0.577635,0.3914,0.1530725,20.0,-858.1944200000003,337.2546
8,1017,0.16947500000000001,0.11479999999999999,0.1507775,40.0,-852.66474,328.60438999999997
9,1019,0.129275,0.0938,0.14999500000000002,40.0,-856.29194,341.79332999999997
10,1021,0.21902499999999997,0.126,0.17519999999999997,6.666666666666666,-866.8740600000002,328.77547
11,1023,0.06594,0.030399999999999996,0.230215,60.0,-882.6416400000003,320.16562
12,1025,0.12312500000000001,0.0418,0.3131425,46.66666666666667,-878.15673,316.85685
13,1027,0.067035,0.0462,0.1515,60.0,-858.20227,332.72412
14,1029,0.074695,0.0534,0.1402525,53.33333333333333,-854.9431500000001,336.2977
15,1031,0.255365,0.1472,0.1701225,26.666666666666664,-859.04715,313.54433
16,1033,0.272175,0.18359999999999999,0.1555325,20.0,-876.8515100000001,347.23385
17,1035,0.063245,0.0312,0.21318,46.66666666666667,-869.96483,314.18674
18,1037,0.054775,0.0354,0.1665875,53.33333333333333,-861.55035,329.75932
19,1039,0.18759499999999998,0.0732,0.2609475,40.0,-864.10955,312.82448999999997
20,1041,0.06933,0.0456,0.15272999999999998,53.33333333333333,-862.9708000000003,317.43487
21,1043,0.40851499999999996,0.2188,0.188755,26.666666666666664,-868.31859,341.62362
22,1045,0.246965,0.17919999999999997,0.14067500000000002,26.666666666666664,-856.4126899999999,313.83346000000006
23,1047,0.20377499999999998,0.08959999999999999,0.24845,26.666666666666664,-870.3495500000002,324.08815000000004
24,1049,0.35596999999999995,0.183,0.19467250000000003,40.0,-858.1720799999999,344.55109999999996
25,1051,0.404945,0.25639999999999996,0.16426,13.333333333333332,-862.2564699999999,325.59652
26,1053,0.18810500000000002,0.08099999999999999,0.238285,40.0,-872.8205300000001,310.88737
27,1055,0.51566,0.39039999999999997,0.13715750000000002,20.0,-860.2539300000002,340.13693
28,1057,0.08328500000000001,0.05499999999999999,0.15734,40.0,-877.7035500000002,337.26422
29,1059,0.157535,0.1,0.16163,40.0,-877.93594,344.60481000000004
30,1061,0.13285999999999998,0.0932,0.14473750000000002,20.0,-857.88849,310.94259999999997
31,1063,0.042665,0.028,0.16498500000000002,53.33333333333333,-879.2399999999998,328.30505000000005
32,1065,0.074975,0.049,0.164125,20.0,-876.2608399999998,327.75804
33,1067,0.08555,0.0616,0.14207749999999997,20.0,-852.68828,314.78593
34,1069,0.52054,0.35019999999999996,0.1454125,20.0,-853.91221,312.0455
35,1071,0.26163,0.0988,0.2816925,40.0,-859.38698,347.31984000000006
36,1073,3.2973000000000003,1.185,0.2809525,6.666666666666666,-868.14688,335.18601
37,1075,0.070105,0.04820000000000001,0.151365,53.33333333333333,-881.09649,337.62769
38,1077,0.46295000000000003,0.2776,0.1802475,20.0,-876.0875899999998,348.66178999999994
39,1079,0.16643999999999998,0.09940000000000002,0.17930000000000001,20.0,-872.72414,345.43683
40,1081,0.7829849999999999,0.4616,0.1539625,20.0,-853.4583299999999,325.88092000000006
41,1083,0.45847499999999997,0.29560000000000003,0.1517975,13.333333333333332,-869.3897199999998,348.15612
42,1085,0.051809999999999995,0.0316,0.1812675,13.333333333333332,-866.1868800000001,321.62415000000004
43,1087,0.09679,0.0704,0.1533025,40.0,-857.15007,324.25739
44,1089,1.766065,0.8354,0.20317500000000002,13.333333333333332,-866.1323199999999,347.46392000000003
45,1091,0.098715,0.043,0.24566749999999998,46.66666666666667,-878.00648,323.40478999999993
46,1093,0.15029,0.083,0.18589250000000002,46.66666666666667,-878.743,341.11797
47,1095,0.47369,0.3288,0.155795,26.666666666666664,-862.93279,343.11974
48,1097,2.07164,0.6718,0.4110025,13.333333333333332,-881.70637,306.83993
49,1099,0.108725,0.045,0.25860500000000003,46.66666666666667,-873.6089399999998,315.05611
50,1101,1.1356,0.5850000000000001,0.19997749999999997,13.333333333333332,-862.43797,323.46175000000005
51,1103,0.595785,0.4126000000000001,0.1497625,20.0,-869.3078100000002,345.14252
52,1105,0.0484,0.0294,0.18097,53.33333333333333,-873.69219,325.81066
53,1107,0.10085,0.04479999999999999,0.2225325,20.0,-880.6647199999998,332.92973000000006
54,1109,0.166435,0.0978,0.1682525,40.0,-859.4864699999999,317.87277000000006
55,1111,0.11265,0.07900000000000001,0.1460325,40.0,-854.2726600000001,332.57607
56,1113,0.2924,0.1652,0.16179749999999998,13.333333333333332,-850.62843,324.21971999999994
57,1115,0.434685,0.2646,0.16341,6.666666666666666,-863.69107,336.60628
58,1117,1.043605,0.497,0.2023825,6.666666666666666,-867.37978,332.90719
59,1119,0.06542,0.030399999999999996,0.22833000000000003,53.33333333333333,-882.32646,325.74420000000003
60,1121,0.40444,0.22340000000000002,0.1900775,26.666666666666664,-861.6923800000001,333.72083000000003
61,1123,0.20378000000000002,0.1162,0.1915625,40.0,-858.64503,328.5306
62,1125,1.02212,0.29460000000000003,0.33781249999999996,20.0,-875.20229,332.14154
