FIPS,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit
5079,0.0,0.0,0,0,0,0,0
5081,0.0,0.0,0,0,0,0,0
5083,0.0,0.0,0,0,0,0,0
5085,0.0,0.0,0,0,0,0,0
5087,0.0,0.0,0,0,0,0,0
5089,0.0,0.0,0,0,0,0,0
5091,1.4,0.7,8913,94,2,7,0
5093,0.0,0.0,0,0,0,0,0
5095,0.0,0.0,0,0,0,0,0
5097,0.0,0.0,0,0,0,0,0
5099,0.0,0.0,0,0,0,0,0
5101,0.0,0.0,0,0,0,0,0
5103,0.0,0.0,0,0,0,0,0
5105,0.0,0.0,0,0,0,0,0
5107,0.0,0.0,0,0,0,0,0
5109,0.0,0.0,0,0,0,0,0
5111,0.0,0.0,0,0,0,0,0
5113,0.0,0.0,0,0,0,0,0
5115,0.0,0.0,0,0,0,0,0
5117,0.0,0.0,0,0,0,0,0
5119,2.3,1.4,69678,222,2,19,1
5121,0.0,0.0,0,0,0,0,0
5123,0.0,0.0,0,0,0,0,0
5125,0.0,0.0,0,0,0,0,0
5127,0.0,0.0,0,0,0,0,0
5129,0.0,0.0,0,0,0,0,0
5131,1.4,0.8,11216,70,1,5,0
5133,0.0,0.0,0,0,0,0,0
5135,0.0,0.0,0,0,0,0,0
5137,0.0,0.0,0,0,0,0,0
5139,0.0,0.0,0,0,0,0,0
5141,0.0,0.0,0,0,0,0,0
5143,2.5,1.5,20706,565,6,9,0
5145,0.0,0.0,0,0,0,0,0
5147,0.0,0.0,0,0,0,0,1
5149,0.0,0.0,0,0,0,0,0
6001,7.1,8.9,222025,2682,10,32,15
6003,0.0,0.0,0,0,0,0,0
6005,0.8,0.3,2268,66,2,4,0
6007,2.9,1.7,28092,478,5,13,1
6009,0.6,0.1,972,51,1,1,1
6011,0.0,0.0,0,0,0,0,0
6013,5.0,4.0,91167,1068,7,26,11
6015,2.1,1.1,4316,220,4,7,0
6017,1.3,0.6,5406,134,2,3,1
6019,3.2,2.1,48607,611,3,16,1
6021,0.0,0.0,0,0,0,0,0
6023,2.1,1.1,12880,198,3,6,2
6025,0.1,0.0,803,3,0,0,0
6027,0.4,0.1,216,27,1,1,1
6029,3.1,1.9,26813,552,3,12,0
6031,3.0,0.8,9939,450,7,7,0
6033,1.8,0.9,3318,174,2,7,1
6035,0.9,0.4,1638,51,2,3,0
6037,6.8,8.0,321664,2608,8,46,6
6039,1.2,0.6,6065,101,2,2,0
6041,4.8,3.6,79497,1153,10,17,10
6043,0.4,0.1,7938,52,0,5,2
6045,1.6,0.8,6309,142,2,4,0
6047,2.4,1.5,11658,268,4,7,1
6049,0.3,0.1,100,8,0,0,0
6051,3.5,1.9,2830,1178,6,3,21
6053,4.2,2.4,33243,870,6,16,1
6055,3.3,2.0,21478,475,4,7,1
6057,1.2,0.5,5333,105,2,4,1
6059,4.2,2.7,172595,528,4,32,2
6061,2.0,0.9,22351,184,3,7,1
6063,0.7,0.2,859,45,1,2,0
6065,3.3,2.0,27262,589,3,13,1
6067,4.8,4.1,93403,729,6,22,2
6069,1.7,1.0,4149,110,2,3,0
6071,4.4,3.1,44660,1098,3,17,1
6073,5.3,5.1,82735,1358,4,19,3
6075,9.6,31.7,653730,11896,26,37,36
6077,3.0,1.8,33035,373,5,12,1
6079,2.6,0.9,13506,277,4,6,1
6081,6.1,6.5,183088,1411,8,27,10
6083,4.3,2.5,31301,718,5,10,3
6085,6.5,6.7,222227,1629,6,40,4
6087,4.8,4.1,33599,1269,6,15,2
6089,1.8,1.0,11633,168,3,6,0
6091,0.0,0.0,0,0,0,0,0
6093,0.9,0.3,2647,63,2,3,0
6095,3.9,2.3,25574,597,5,12,3
6097,3.4,2.0,46795,430,7,21,2
6099,3.6,2.7,34836,540,4,13,0
6101,2.7,1.5,11554,277,2,6,0
6103,1.0,0.5,3041,76,3,3,0
6105,0.6,0.2,647,35,2,4,0
6107,4.1,2.5,29351,885,8,19,0
6109,1.3,0.6,2515,143,2,2,0
6111,3.4,2.0,33851,468,5,10,1
6113,4.6,3.6,77241,661,10,16,4
6115,2.4,1.3,7646,320,2,5,1
8001,4.5,3.2,93889,843,4,28,4
8003,0.0,0.0,0,0,0,0,0
8005,5.8,5.7,110792,1244,4,30,4
8007,0.0,0.0,0,0,0,0,0
8009,0.0,0.0,0,0,0,0,0
8011,0.0,0.0,0,0,0,0,0
8013,5.1,3.8,73569,1633,8,24,5
8015,0.0,0.0,0,0,0,0,0
8017,0.0,0.0,0,0,0,0,0
8019,0.2,0.0,0,26,1,0,0
8021,0.0,0.0,0,0,0,0,0
8023,0.0,0.0,0,0,0,0,0
8025,0.0,0.0,0,0,0,0,0
8027,0.0,0.0,0,0,0,0,0
8029,0.0,0.0,0,0,0,0,0
8031,7.8,10.3,294829,3294,11,51,7
8033,0.0,0.0,0,0,0,0,0
8035,2.1,1.5,26032,303,1,8,2
8037,2.8,0.7,15044,1298,8,10,5
8039,0.0,0.0,0,0,0,0,0
8041,2.4,1.9,27790,334,2,9,0
8043,0.0,0.0,0,0,0,0,0
8045,2.2,0.1,7240,604,2,4,4
8047,0.0,0.0,0,0,0,0,1
8049,1.2,0.2,1613,485,3,3,3
8051,1.1,0.5,1705,71,1,1,3
8053,0.0,0.0,0,0,0,0,0
8055,0.0,0.0,0,0,0,0,1
8057,0.0,0.0,0,0,0,0,0
8059,4.5,3.5,94547,766,4,27,3
8061,0.0,0.0,0,0,0,0,0
8063,0.0,0.0,0,0,0,0,0
8065,1.1,0.5,1131,64,1,2,1
8067,0.0,0.0,0,0,0,0,1
8069,3.0,1.5,26579,610,4,10,1
8071,0.5,0.3,0,5,0,0,0
8073,0.0,0.0,0,0,0,0,0
8075,0.0,0.0,0,0,0,0,0
8077,2.3,1.2,15556,201,3,8,0
8079,0.0,0.0,0,0,0,0,1
8081,0.0,0.0,0,0,0,0,1
8083,0.0,0.0,0,0,0,0,0
8085,0.0,0.0,0,0,0,0,0
8087,0.4,0.2,0,2,0,0,0
8089,0.3,0.2,0,2,0,0,0
8091,0.0,0.0,0,0,0,0,0
8093,0.0,0.0,21,5,0,0,1
8095,0.0,0.0,0,0,0,0,0
8097,4.7,0.0,13576,5293,13,10,16
8099,0.5,0.3,0,3,0,0,0
8101,2.2,1.2,19048,156,2,9,1
8103,0.0,0.0,0,0,0,0,1
8105,0.0,0.0,0,0,0,0,0
8107,0.0,0.0,0,0,0,0,3
8109,0.0,0.0,0,0,0,0,0
8111,0.0,0.0,0,0,0,0,0
8113,0.0,0.0,0,0,0,0,13
8115,0.0,0.0,0,0,0,0,0
8117,2.5,1.1,6702,739,4,6,7
8119,0.0,0.0,0,0,0,0,0
8121,0.0,0.0,0,0,0,0,0
8123,1.4,0.8,13094,107,1,6,0
8125,0.0,0.0,0,0,0,0,0
9001,4.5,4.0,67611,734,4,17,11
9003,4.6,2.8,93246,1835,5,23,3
9005,0.7,0.3,7559,53,1,3,1
9007,2.3,1.2,25612,205,3,16,1
9009,4.6,3.1,59527,1091,4,19,4
9011,1.8,1.0,9935,110,3,7,1
9013,1.4,0.5,12775,186,1,3,2
9015,0.5,0.3,1832,43,1,1,0
10001,2.0,0.9,10049,378,3,6,1
10003,4.4,2.5,72686,878,5,20,4
10005,1.2,0.5,3978,215,1,3,0
11001,9.3,23.3,658064,8095,25,50,37
12001,4.2,3.2,52308,1522,6,24,4
12003,0.0,0.0,0,0,0,0,0
12005,1.6,0.8,8856,136,1,5,1
12007,0.0,0.0,0,0,0,0,0
12009,1.9,0.9,12984,164,2,8,0
12011,5.0,3.5,116570,979,4,33,2
12013,0.0,0.0,0,0,0,0,0
12015,0.0,0.0,122,4,0,0,0
12017,0.6,0.2,1780,30,1,2,0
12019,0.3,0.1,1299,26,0,1,0
12021,1.9,0.9,19540,158,3,10,2
12023,0.0,0.0,0,0,0,0,0
12027,0.0,0.0,0,0,0,0,6
12029,0.0,0.0,0,0,0,0,0
12031,3.8,2.3,54749,790,3,17,2
12033,2.4,1.3,27998,261,2,12,0
12035,0.0,0.0,0,0,0,0,0
12037,0.0,0.0,0,0,0,0,0
12039,0.0,0.0,0,0,0,0,0
12041,0.0,0.0,0,0,0,0,0
12043,0.0,0.0,0,0,0,0,0
12045,0.0,0.0,0,0,0,0,0
12047,0.0,0.0,0,0,0,0,0
12049,0.0,0.0,0,0,0,0,3
12051,0.0,0.0,0,0,0,0,9
12053,1.5,0.7,7930,127,1,9,0
12055,0.1,0.1,0,1,0,0,2
12057,3.2,2.2,56792,662,3,13,1
12059,0.0,0.0,0,0,0,0,0
12061,0.0,0.0,0,0,0,0,0
12063,0.0,0.0,0,0,0,0,0
12065,0.0,0.0,0,0,0,0,0
12067,0.0,0.0,0,0,0,0,0
12069,1.1,0.4,6815,96,1,4,0
12071,2.3,1.3,21139,261,2,10,0
12073,3.3,2.0,54342,773,4,15,1
12075,0.0,0.0,0,0,0,0,0
12077,0.0,0.0,0,0,0,0,5
12079,0.0,0.0,0,0,0,0,0
12081,2.6,1.6,25342,307,2,13,0
12083,0.7,0.4,6019,68,1,3,0
12085,0.6,0.2,2904,44,1,1,0
12086,6.5,7.1,169478,1841,6,38,5
12087,1.6,0.8,4528,151,2,2,2
12089,0.1,0.0,40,9,0,0,0
12091,1.1,0.9,5578,81,1,2,0
12093,0.1,0.1,0,1,0,0,0
12095,4.2,3.6,152899,1038,4,32,2
12097,3.1,2.2,38378,584,3,18,1
12099,3.3,1.7,42790,457,2,15,2
12101,1.7,0.9,10794,131,2,10,0
12103,4.6,2.4,82372,763,4,30,1
12105,1.6,0.7,14933,143,2,8,0
12107,0.1,0.1,17,4,0,0,0
12109,0.8,0.3,7856,83,1,3,0
