FIPS,Area in square miles - Total area,Area in square miles - Land area,2010 Density per square mile of land area - Population,2010 Density per square mile of land area - Housing units
5083,731.56,708.12,31.6,14.3
5085,802.84,770.73,88.7,35.3
5087,837.08,834.26,18.8,9.0
5089,640.32,597.01,27.9,15.7
5091,637.65,625.58,69.5,30.8
5093,919.81,900.57,51.6,22.7
5095,621.3,607.12,13.4,7.3
5097,800.29,779.88,12.2,7.4
5099,620.64,617.84,14.6,7.4
5101,823.19,820.9,10.1,5.7
5103,739.75,732.78,35.6,17.9
5105,560.53,551.4,18.9,8.9
5107,727.34,695.66,31.3,14.6
5109,614.13,600.62,18.8,9.3
5111,763.61,758.39,32.4,14.4
5113,862.46,857.68,24.1,11.7
5115,830.78,812.55,76.0,31.4
5117,675.61,647.96,13.4,6.9
5119,807.66,759.76,503.8,231.1
5121,656.04,652.19,27.6,13.1
5123,642.51,634.77,44.5,17.2
5125,730.49,723.6,148.0,61.9
5127,898.07,892.32,12.6,5.8
5129,668.51,666.09,12.3,7.4
5131,546.16,531.91,236.4,102.7
5133,581.28,565.13,30.2,12.2
5135,606.44,604.44,28.6,16.2
5137,609.43,606.4,20.4,11.1
5139,1055.2,1039.21,40.1,18.9
5141,724.28,708.14,24.4,14.6
5143,952.41,941.97,215.6,93.2
5145,1042.15,1035.08,74.5,31.4
5147,594.01,586.79,12.4,6.6
5149,948.86,929.98,23.9,10.5
6001,821.33,739.02,2043.6,788.3
6003,743.18,738.33,1.6,2.4
6005,605.96,594.58,64.1,30.3
6007,1677.13,1636.46,134.4,58.6
6009,1036.93,1020.01,44.7,27.4
6011,1156.36,1150.73,18.6,6.9
6013,803.77,715.94,1465.2,559.1
6015,1229.74,1006.37,28.4,11.1
6017,1786.36,1707.88,106.0,51.6
6019,6011.2,5957.99,156.2,53.0
6021,1326.98,1313.95,21.4,8.2
6023,4052.26,3567.99,37.7,17.3
6025,4481.72,4176.6,41.8,13.4
6027,10226.91,10180.88,1.8,0.9
6029,8162.64,8131.92,103.3,35.0
6031,1391.53,1389.42,110.1,31.6
6033,1329.42,1256.46,51.5,28.2
6035,4720.12,4541.18,7.7,2.8
6037,4750.94,4057.88,2419.6,849.0
6039,2153.27,2137.07,70.6,23.0
6041,828.19,520.31,485.1,213.7
6043,1462.82,1448.82,12.6,7.0
6045,3878.14,3506.34,25.1,11.5
6047,1978.51,1934.97,132.2,43.3
6049,4203.4,3917.77,2.5,1.3
6051,3131.88,3048.98,4.7,4.6
6053,3771.22,3280.6,126.5,42.4
6055,788.58,748.36,182.4,73.2
6057,973.8,957.77,103.1,54.9
6059,948.07,790.57,3807.7,1326.8
6061,1502.46,1407.01,247.6,108.5
6063,2613.43,2553.04,7.8,6.1
6065,7303.42,7206.48,303.8,111.1
6067,994.02,964.64,1470.8,576.3
6069,1390.47,1388.71,39.8,12.9
6071,20104.83,20056.94,101.5,34.9
6073,4525.68,4206.63,735.8,276.9
6075,231.89,46.87,17179.2,8041.8
6077,1426.5,1391.32,492.6,168.0
6079,3615.55,3298.57,81.7,35.6
6081,740.96,448.41,1602.2,604.4
6083,3789.08,2735.09,155.0,55.9
6085,1304.07,1290.1,1381.0,489.8
6087,607.17,445.17,589.4,234.7
6089,3847.42,3775.4,46.9,20.5
6091,962.21,953.21,3.4,2.4
6093,6347.34,6277.89,7.2,3.8
6095,906.19,821.76,503.0,185.8
6097,1767.95,1575.85,307.1,129.8
6099,1514.69,1494.83,344.2,120.1
6101,608.49,602.41,157.3,56.2
6103,2962.17,2949.71,21.5,9.1
6105,3207.6,3179.25,4.3,2.7
6107,4838.65,4824.21,91.7,29.4
6109,2274.43,2220.88,24.9,14.1
6111,2208.38,1843.13,446.7,152.8
6113,1023.56,1014.69,197.9,74.0
6115,643.81,631.84,114.2,43.7
8001,1183.9,1167.65,378.2,139.7
8003,723.34,722.64,21.4,9.1
8005,805.44,798.1,716.7,298.6
8007,1355.51,1350.18,8.9,6.5
8009,2557.34,2554.97,1.5,0.9
8011,1541.08,1512.86,4.3,1.5
8013,740.37,726.29,405.6,175.0
8014,33.6,33.03,1691.9,685.5
8015,1014.95,1013.4,17.6,9.9
8017,1781.43,1778.28,1.0,0.5
8019,396.49,395.23,23.0,14.4
8021,1290.96,1287.39,6.4,3.3
8023,1230.36,1226.95,2.9,2.1
8025,800.33,787.42,7.4,2.0
8027,739.92,738.63,5.8,5.4
8029,1148.6,1142.05,27.1,12.8
8031,154.63,153.0,3922.6,1868.0
8033,1068.1,1067.05,1.9,1.4
8035,842.87,840.25,339.7,127.2
8037,1691.79,1684.53,31.0,18.6
8039,1851.02,1850.85,12.5,4.8
8041,2129.55,2126.8,292.6,118.9
8043,1533.93,1533.07,30.5,12.6
8045,2955.84,2947.56,19.1,7.9
8047,150.26,149.9,36.3,23.7
8049,1869.59,1846.33,8.0,8.7
8051,3259.63,3239.1,4.7,3.5
8053,1123.17,1117.25,0.8,1.2
8055,1593.24,1591.0,4.2,3.2
8057,1620.96,1613.72,0.9,0.8
8059,774.03,764.21,699.5,300.9
8061,1785.93,1767.77,0.8,0.5
8063,2161.69,2160.82,3.8,1.6
8065,383.91,376.91,19.4,11.3
8067,1699.71,1692.08,30.3,15.3
8069,2633.95,2596.0,115.4,51.1
8071,4775.35,4772.67,3.2,1.7
8073,2586.42,2577.63,2.1,0.9
8075,1844.86,1838.55,12.4,4.9
8077,3341.12,3328.97,44.1,18.8
8079,877.68,875.67,0.8,1.4
8081,4750.91,4743.29,2.9,1.3
8083,2040.15,2029.53,12.6,6.0
8085,2242.6,2240.7,18.4,8.1
8087,1293.74,1280.43,22.0,9.0
8089,1269.7,1261.96,14.9,7.1
8091,542.21,541.59,8.2,5.7
8093,2210.65,2193.85,7.4,6.4
8095,688.04,687.93,6.5,3.0
8097,973.2,970.7,17.7,13.3
8099,1644.32,1638.39,7.7,3.6
8101,2397.8,2386.1,66.7,29.1
8103,3222.81,3220.93,2.1,1.0
8105,912.34,911.96,13.1,7.3
8107,2368.14,2362.03,10.0,6.9
8109,3170.24,3168.52,1.9,1.2
8111,388.27,387.49,1.8,2.0
8113,1288.62,1286.61,5.7,5.2
8115,549.4,548.04,4.3,2.6
8117,619.28,608.36,46.0,49.1
8119,558.96,557.06,41.9,22.7
8121,2523.9,2518.03,1.9,1.0
8123,4016.8,3987.24,63.4,24.1
8125,2368.7,2364.4,4.2,1.9
9001,836.92,624.89,1467.2,578.1
9003,750.62,735.1,1216.2,509.1
9005,944.56,920.56,206.3,95.1
9007,439.06,369.3,448.6,202.6
9009,862.06,604.51,1426.7,598.8
9011,771.7,664.88,412.2,182.0
9013,417.05,410.21,372.2,141.3
9015,521.44,512.91,230.9,95.7
10001,798.33,586.18,276.9,111.5
10003,494.0,426.29,1263.2,510.2
10005,1196.39,936.08,210.6,131.4
11001,68.34,61.05,9856.5,4860.4
12001,968.81,875.02,282.7,128.9
12003,588.97,585.23,46.3,16.6
12005,1033.15,758.46,222.6,131.4
12007,300.49,293.96,97.0,37.5
12009,1557.0,1015.66,535.0,265.7
12011,1322.86,1209.79,1444.9,669.9
12013,574.31,567.33,25.8,10.6
12015,858.3,680.28,235.2,147.9
12017,773.29,581.7,242.8,134.1
12019,643.55,604.36,315.8,124.9
12021,2305.02,1998.32,160.9,98.7
12023,801.33,797.57,84.7,35.9
12027,639.48,637.06,54.7,22.9
12029,863.65,705.05,23.3,13.2
12031,918.45,762.19,1133.9,509.7
12033,874.7,656.46,453.4,208.2
12035,570.82,485.46,197.1,100.1
12037,1026.49,534.72,21.6,16.2
12039,528.53,516.33,89.8,37.8
12041,355.24,349.68,48.4,20.9
12043,986.85,806.01,16.0,8.7
12045,755.56,564.01,28.1,16.2
12047,519.06,513.79,28.8,11.2
12049,638.34,637.78,43.5,15.2
12051,1190.0,1152.75,34.0,12.6
12053,589.02,472.54,365.6,178.8
12055,1106.03,1016.61,97.2,54.5
12057,1265.76,1020.21,1204.9,525.5
12059,489.05,478.78,41.6,18.0
12061,617.01,502.87,274.5,151.8
12063,954.56,917.76,54.2,22.9
12065,636.54,598.1,24.7,11.1
12067,547.91,543.41,16.3,6.1
12069,1156.96,938.38,316.6,154.5
12071,1212.46,784.51,788.7,473.0
12073,701.79,666.85,413.1,186.2
12075,1412.79,1118.21,36.5,18.0
12077,843.12,835.56,10.0,4.0
12079,715.68,695.95,27.6,12.2
12081,892.68,742.93,434.5,232.4
12083,1662.61,1584.55,209.1,103.5
12085,752.83,543.46,269.2,143.8
12086,2431.18,1897.72,1315.5,521.4
12087,3737.52,983.28,74.3,53.7
12089,725.92,648.64,113.0,54.0
12091,1082.08,930.25,194.4,99.3
12093,891.91,768.91,52.0,24.1
12095,1003.26,903.43,1268.5,540.0
12097,1505.91,1327.45,202.4,96.6
12099,2383.01,1969.76,670.2,337.4
12101,868.45,746.89,622.2,306.5
12103,608.13,273.8,3347.5,1839.4
12105,2010.55,1797.84,334.9,156.4
12107,826.92,727.62,102.2,51.3
12109,821.53,600.66,316.4,149.6
12111,688.11,571.93,485.7,239.6
12113,1173.78,1011.6,149.6,64.0
12115,725.34,555.87,682.6,410.9
12117,345.29,309.22,1367.0,586.3
12119,579.83,546.93,170.8,97.0
12121,692.26,688.55,60.3,27.8
12123,1232.2,1043.31,21.6,10.5
12125,249.75,243.56,63.8,18.5
12127,1432.44,1101.03,449.2,230.9
12129,735.73,606.42,50.8,21.1
12131,1239.59,1037.62,53.0,43.5
12133,615.95,582.8,42.7,18.5
13001,512.26,507.08,36.0,16.8
13003,344.53,339.38,24.7,10.4
13005,285.82,258.58,42.9,18.6
13007,349.14,341.94,10.1,4.8
13009,267.41,257.84,177.3,78.2
13011,233.89,232.09,79.3,32.7
13013,162.94,160.31,432.7,164.7
13015,470.11,459.54,217.9,86.7
13017,253.91,250.12,70.5,31.8
13019,457.88,451.9,42.7,19.3
13021,255.37,249.76,622.8,278.9
13023,219.13,215.87,60.5,24.6
13025,447.2,442.36,41.6,18.3
13027,497.8,493.05,32.9,15.6
13029,454.46,435.97,69.3,27.2
13031,688.63,672.81,104.4,42.8
13033,834.98,826.97,28.2,11.9
13035,188.04,184.39,128.3,50.7
13037,283.58,280.37,23.9,8.6
13039,781.86,613.03,82.4,34.4
13043,248.86,243.04,45.3,19.6
13045,503.84,499.08,221.5,89.4
13047,162.46,162.16,394.3,164.1
13049,782.37,773.58,15.7,5.8
13051,632.26,426.44,621.7,279.8
13053,251.17,248.74,45.3,13.6
13055,313.56,313.34,83.0,35.0
13057,434.41,421.67,508.3,195.3
13059,121.04,119.2,979.1,428.4
13061,217.23,195.38,16.3,10.8
13063,144.33,141.57,1832.5,739.6
13065,823.99,800.22,8.5,3.8
13067,344.52,339.55,2026.4,843.7
13069,602.65,575.1,73.7,29.7
13071,556.64,544.15,83.6,33.7
13073,307.6,290.09,427.6,167.6
13075,233.2,227.16,75.8,32.1
13077,445.82,440.89,288.8,113.8
13079,326.45,324.89,38.9,16.3
13081,280.95,272.58,86.0,39.4
13083,174.16,173.98,95.6,42.0
13085,214.41,210.83,105.9,49.4
13087,623.17,597.14,46.6,20.3
13089,271.14,267.58,2585.7,1139.7
13091,503.11,495.89,44.0,19.9
13093,397.28,391.94,38.1,16.1
13095,334.63,328.69,287.7,124.1
13097,201.03,200.07,661.8,258.3
13099,516.35,512.59,21.5,9.7
13101,420.72,414.89,9.7,3.8
13103,482.93,477.7,109.4,41.6
13105,374.22,351.06,57.4,27.3
13107,690.18,680.6,33.2,14.6
13109,186.87,182.85,60.2,25.5
13111,391.96,386.72,61.2,41.9
13113,199.32,194.34,548.3,209.9
13115,518.47,509.91,188.9,79.5
13117,247.17,224.02,783.5,285.9
13119,266.45,261.5,84.5,40.4
13121,534.32,526.63,1748.0,830.0
13123,431.25,426.54,66.3,38.8
13125,144.45,143.74,21.4,10.6
13127,585.25,419.75,189.7,97.0
13129,358.04,355.81,155.1,62.6
13131,460.26,454.53,55.0,23.7
13133,406.21,387.44,41.3,22.4
13135,436.78,430.38,1871.2,677.4
13137,279.03,276.74,155.5,65.6
13139,429.29,392.78,457.5,175.2
13141,478.68,471.84,20.0,11.4
13143,283.18,282.17,102.0,43.5
13145,472.96,463.87,69.0,28.9
13147,256.95,232.39,108.5,56.0
13149,301.09,296.03,40.0,17.4
13151,326.55,322.13,633.0,237.6
13153,379.92,375.54,372.5,155.3
13155,362.76,354.34,26.9,11.4
13157,343.1,339.66,178.1,69.9
13159,373.46,368.16,37.8,16.7
13161,335.4,330.74,45.6,19.6
13163,529.67,526.48,32.2,13.9
13165,352.47,347.28,24.0,12.2
13167,306.59,303.01,32.9,13.6
13169,395.42,393.93,72.8,29.7
13171,185.83,183.5,99.8,40.7
13173,199.79,185.26,54.4,22.9
13175,818.47,807.3,60.0,26.5
13177,361.73,355.78,79.5,28.9
13179,602.53,489.8,129.5,54.6
13181,257.3,210.38,38.0,22.7
13183,403.81,400.29,36.1,15.1
13185,510.58,496.07,220.2,88.5
13187,284.2,282.93,105.9,45.7
13189,266.39,257.46,85.0,36.2
13191,573.89,424.3,33.8,21.7
13193,405.99,400.64,36.8,15.3
13195,285.59,282.31,99.6,41.7
13197,367.48,366.0,23.9,11.4
13199,505.41,501.22,43.9,19.9
13201,283.66,282.42,21.7,9.9
13205,513.82,512.08,45.9,17.6
13207,397.81,395.66,66.8,27.1
13209,244.69,239.52,38.1,16.4
13211,354.62,347.35,51.4,21.5
13213,346.66,344.47,115.0,46.4
13215,221.01,216.39,877.5,382.1
13217,279.2,272.16,367.3,140.9
13219,186.37,184.29,178.0,67.2
13221,442.04,439.01,33.9,14.8
13223,314.34,312.22,455.8,167.0
13225,151.3,150.27,184.3,73.5
13227,232.71,232.06,126.8,59.0
13229,343.23,316.49,59.3,25.2
13231,219.4,216.09,82.7,31.6
13233,312.14,310.33,133.6,54.5
13235,251.21,249.03,48.2,20.7
13237,360.69,344.64,61.6,37.2
13239,160.56,151.24,16.6,13.5
13241,376.88,369.99,44.0,33.3
13243,430.87,428.24,18.0,9.7
13245,328.59,324.33,618.4,266.2
13247,132.1,129.79,656.5,256.3
13249,167.82,166.91,30.0,13.2
13251,655.87,645.1,22.6,10.4
13253,256.56,235.23,37.1,20.4
13255,199.59,196.47,326.1,136.3
13257,184.2,179.13,146.1,70.7
13259,463.61,458.73,13.2,5.2
13261,492.65,482.7,68.0,28.8
13263,394.76,391.39,17.5,8.7
13265,195.35,194.61,8.8,5.2
13267,488.35,479.4,53.2,20.8
13269,379.7,376.69,23.6,12.1
13271,444.01,437.3,37.7,16.7
13273,337.7,335.44,27.8,12.2
13275,552.22,544.6,82.1,37.0
13277,268.79,258.91,154.9,63.5
13279,370.99,364.0,74.8,33.4
13281,171.98,166.56,62.9,46.4
13283,202.45,199.44,34.5,15.0
13285,445.96,413.99,161.9,67.7
13287,289.98,285.39,31.3,13.5
13289,362.63,358.4,25.2,11.8
13291,329.0,321.93,66.3,43.6
13293,327.55,323.44,84.0,37.6
13295,447.03,446.38,154.0,67.4
13297,330.0,325.68,257.2,99.6
13299,907.99,892.46,40.7,18.3
13301,286.69,284.3,20.5,10.5
13303,684.36,678.45,31.2,13.3
13305,648.8,641.78,46.9,19.0
13307,210.26,209.12,13.4,7.3
13309,300.27,295.48,25.1,8.9
13311,242.21,240.69,112.8,66.7
13313,291.05,290.46,353.2,137.4
13315,382.12,377.7,24.5,9.3
13317,474.09,469.49,22.6,11.0
13319,451.95,447.31,21.4,10.0
13321,574.76,570.7,38.0,16.2
15001,5086.13,4028.42,45.9,20.4
15003,2128.07,600.74,1586.7,560.8
15005,52.83,11.99,7.5,9.4
15007,1266.36,619.96,108.2,48.1
15009,2398.33,1161.52,133.3,60.6
16001,1060.46,1052.58,372.8,151.5
16003,1369.77,1363.06,2.9,1.9
16005,1147.43,1111.99,74.5,29.8
16007,1049.41,974.78,6.1,4.0
16009,783.95,776.62,12.0,6.0
16011,2120.41,2093.98,21.8,7.7
16013,2660.71,2643.59,8.1,5.7
16015,1906.69,1899.24,3.7,2.8
16017,1919.5,1734.57,23.6,14.2
16019,1900.64,1866.08,55.9,21.3
16021,1277.86,1268.56,8.6,4.1
16023,2233.7,2231.67,1.3,0.6
16025,1078.95,1074.49,1.0,0.8
16027,603.55,587.37,321.6,118.2
16029,1798.57,1764.15,3.9,1.8
16031,2580.28,2565.08,8.9,3.3
16033,1765.14,1764.19,0.6,0.3
16035,2487.99,2457.27,3.6,1.8
16037,4937.31,4920.94,0.9,0.6
16039,3100.75,3074.74,8.8,4.0
16041,668.34,663.64,19.3,6.8
16043,1895.68,1863.53,7.1,4.6
16045,565.71,560.9,29.8,12.7
16047,733.72,728.97,21.2,8.4
16049,8503.35,8477.35,1.9,1.0
16051,1105.57,1093.5,23.9,8.0
16053,602.15,597.18,37.5,13.6
16055,1315.62,1244.12,111.3,50.8
16057,1076.91,1076.0,34.6,14.9
16059,4568.75,4563.39,1.7,1.0
16061,479.74,478.8,8.0,3.9
16063,1205.89,1201.41,4.3,1.6
16065,473.23,469.21,80.0,24.0
16067,762.93,757.59,26.5,10.1
16069,856.28,848.09,46.3,20.6
16071,1201.6,1200.06,3.6,1.6
16073,7696.98,7665.51,1.5,0.6
16075,410.28,406.87,55.6,22.0
16077,1442.67,1404.24,5.6,2.1
16079,2635.12,2629.66,4.9,2.7
16081,450.56,449.46,22.6,12.2
16083,1928.32,1921.21,40.2,16.2
16085,3732.96,3664.52,2.7,3.2
16087,1473.53,1452.98,7.0,3.1
17001,871.34,855.2,78.5,34.9
17003,252.6,235.51,35.0,17.0
17005,382.76,380.28,46.7,18.6
17007,282.02,280.72,193.0,71.1
17009,307.21,305.61,22.7,8.1
17011,873.5,869.03,40.2,18.1
17013,283.58,253.82,20.0,11.2
17015,466.36,444.81,34.6,19.0
17017,383.76,375.82,36.3,15.5
17019,998.39,996.27,201.8,87.9
17021,715.64,709.38,49.1,21.9
17023,504.82,501.42,32.6,15.5
17025,469.59,468.32,29.5,13.7
17027,503.27,474.09,79.7,32.3
17029,510.08,508.29,106.0,46.1
17031,1634.86,945.33,5495.1,2306.5
17033,445.82,443.63,44.7,19.5
17035,347.0,346.02,31.9,14.1
17037,634.66,631.31,166.6,65.1
17039,405.08,397.51,41.7,18.9
17041,417.22,416.66,48.0,20.1
17043,336.41,327.5,2799.8,1087.6
17045,624.0,623.37,29.8,14.1
17047,222.72,222.42,30.2,14.3
17049,480.01,478.78,71.5,30.4
17051,725.34,716.48,30.9,13.0
17053,486.24,485.62,29.0,12.9
17055,431.44,408.89,96.8,45.3
17057,882.57,865.59,42.8,18.7
17059,328.18,323.07,17.3,8.5
17061,546.27,543.02,25.6,11.8
17063,430.45,418.04,119.8,47.8
17065,435.89,434.67,19.5,9.4
17067,814.4,793.73,24.1,11.7
17069,181.58,177.53,24.3,14.0
17071,395.22,378.87,19.3,10.1
17073,825.64,822.99,61.3,26.9
17075,1118.93,1117.32,26.6,12.0
17077,602.38,584.08,103.1,48.9
17079,498.12,494.51,19.6,8.8
17081,583.78,571.17,68.0,29.7
17083,377.13,369.27,62.2,26.7
17085,618.73,601.09,37.7,22.6
17087,348.86,343.92,36.6,16.3
17089,524.2,520.06,990.8,350.1
17091,681.36,676.56,167.7,66.9
17093,322.32,320.34,358.2,125.9
17095,719.81,716.39,73.9,33.6
17097,1368.48,443.67,1585.6,586.7
17099,1148.14,1135.12,100.4,44.0
17101,374.14,372.18,45.2,18.6
17103,728.95,724.9,49.7,20.8
17105,1045.93,1044.29,37.3,15.2
17107,618.93,618.06,49.0,19.6
17109,590.18,589.41,55.3,24.5
17111,610.81,603.17,511.9,192.4
17113,1186.27,1183.38,143.3,58.9
17115,585.86,580.69,190.8,86.9
17117,867.65,862.91,55.4,25.0
17119,740.56,715.58,376.3,163.7
17121,576.04,572.36,68.9,32.0
17123,398.51,386.79,32.7,15.3
17125,563.46,539.24,27.2,13.1
17127,241.81,237.22,65.0,30.0
17129,315.46,314.44,40.4,18.0
17131,568.69,561.2,29.3,13.1
17133,398.04,385.01,85.6,34.8
17135,709.68,703.69,42.8,18.6
17137,572.3,568.79,62.5,27.3
17139,344.48,335.94,44.2,18.6
17141,762.99,758.57,70.5,29.7
17143,630.6,619.21,301.2,134.1
17145,446.95,441.76,50.6,21.3
17147,439.46,439.2,38.1,16.6
17149,848.88,831.38,19.8,9.6
17151,374.3,368.77,12.1,6.8
17153,203.23,199.18,30.9,15.8
17155,172.22,160.16,37.5,19.2
17157,597.2,575.5,58.2,23.8
17159,361.9,359.99,45.1,20.9
17161,451.29,427.64,345.0,153.8
17163,674.03,657.76,410.6,176.7
17165,386.78,379.82,65.6,30.8
17167,877.02,868.3,227.4,103.5
17169,441.33,437.27,17.3,7.9
17171,252.77,250.91,21.3,9.8
17173,768.07,758.52,29.5,13.7
17175,288.35,288.08,20.8,9.3
17177,565.06,564.52,84.5,39.1
17179,657.94,648.97,208.6,88.6
17181,422.15,413.46,43.1,19.2
17183,901.28,898.37,90.9,40.4
17185,227.51,223.25,53.5,25.0
17187,543.05,542.41,32.6,14.2
17189,563.91,562.57,26.2,11.6
17191,715.49,713.81,23.5,11.2
17193,501.86,494.77,29.6,14.5
17195,696.53,684.25,85.5,37.7
17197,849.23,836.91,809.6,283.8
17199,444.35,420.15,157.9,72.3
17201,519.25,513.36,575.2,245.4
17203,542.64,527.8,73.3,28.7
18001,339.97,339.03,101.4,38.4
18003,660.02,657.31,540.6,231.5
18005,409.52,406.91,188.7,81.3
18007,406.51,406.42,21.8,9.7
18009,165.58,165.08,77.3,36.7
18011,423.25,422.91,133.9,53.8
18013,316.63,311.98,48.9,26.6
18015,375.02,372.22,54.1,25.4
18017,414.85,412.15,94.5,40.0
18019,376.45,372.86,295.6,128.1
18021,360.32,357.54,75.2,32.7
18023,405.25,405.07,82.0,32.9
18025,308.72,305.64,35.1,18.1
18027,436.87,429.49,73.7,29.0
18029,307.42,305.03,164.1,66.1
18031,373.32,372.57,69.1,30.1
18033,363.85,362.82,116.4,48.4
18035,395.91,392.12,300.1,133.5
18037,435.33,427.27,98.0,40.7
18039,467.97,463.17,426.5,167.9
18041,215.16,215.01,112.9,50.7
18043,148.96,147.93,504.1,216.1
18045,397.88,395.66,43.6,19.9
18047,391.05,384.43,60.1,24.8
18049,371.27,368.39,56.6,26.4
18051,499.16,487.49,68.7,30.0
18053,414.9,414.07,169.2,73.5
18055,545.92,542.49,61.1,28.0
18057,402.44,394.27,696.4,270.8
18059,307.03,306.02,228.8,91.9
18061,486.52,484.52,81.2,34.1
18063,408.78,406.91,357.4,136.3
18065,394.83,391.88,126.2,54.3
18067,293.92,293.06,282.4,132.0
18069,387.72,382.65,97.0,41.3
18071,513.91,509.31,83.2,35.7
18073,561.39,559.62,59.8,23.5
18075,384.08,383.91,55.4,24.0
18077,362.89,360.63,89.9,39.7
18079,378.35,376.58,75.7,32.0
18081,321.79,320.43,435.8,176.8
18083,524.04,516.03,74.5,33.0
18085,554.39,531.38,145.6,69.7
18087,386.7,379.62,97.8,37.1
18089,626.56,498.96,994.1,418.4
18091,613.26,598.3,186.3,81.0
18093,451.93,449.17,102.7,46.9
18095,452.9,451.92,291.3,130.7
18097,403.01,396.3,2279.6,1054.4
18099,449.74,443.63,106.1,44.7
18101,340.41,335.74,30.8,14.3
18103,377.39,373.84,98.7,41.4
18105,411.32,394.51,349.7,149.8
18107,505.45,504.61,75.6,32.8
18109,409.43,403.97,170.5,68.7
18111,403.44,401.76,35.5,15.0
18113,417.43,410.84,115.7,48.9
18115,87.43,86.14,71.1,32.3
18117,408.19,398.39,49.8,23.0
18119,387.83,385.29,56.0,26.2
18121,449.98,444.66,39.0,18.2
18123,386.29,381.73,50.7,22.3
18125,341.09,334.24,38.4,17.2
18127,521.78,418.15,393.0,158.3
18129,419.33,409.57,63.3,27.4
18131,434.53,433.65,30.9,14.0
18133,482.69,480.53,79.0,30.6
18135,453.31,452.38,57.9,26.0
18137,448.06,446.43,64.6,26.8
18139,408.46,408.12,42.6,18.4
18141,461.39,457.85,583.0,250.8
18143,192.75,190.4,127.0,54.8
18145,412.76,411.15,108.1,46.4
18147,401.43,396.74,52.8,22.4
18149,312.21,309.13,75.6,35.5
18151,322.47,308.94,110.7,62.7
18153,454.12,447.14,48.0,20.0
18155,223.44,220.63,48.1,22.5
18157,503.24,499.81,345.7,142.2
18159,260.57,260.54,61.2,26.9
18161,165.18,161.22,46.6,20.1
18163,236.33,233.48,769.7,355.5
18165,259.93,256.88,63.1,29.1
18167,410.45,403.31,267.4,114.1
18169,420.98,412.43,79.7,34.4
18171,366.41,364.68,23.3,10.1
18173,391.05,384.82,155.1,62.9
18175,516.6,513.73,55.0,23.8
18177,404.34,401.74,171.5,77.8
18179,370.25,368.09,75.1,31.7
18181,508.68,505.12,48.8,25.7
18183,337.91,335.57,99.2,42.6
19001,570.27,569.27,13.5,6.5
19003,425.51,423.44,9.5,4.7
19005,658.77,639.08,22.4,11.9
19007,516.24,497.29,25.9,13.3
19009,443.41,442.96,13.8,6.7
19011,718.49,716.26,36.4,15.5
19013,572.68,565.77,231.7,98.8
19015,573.64,571.57,46.0,20.6
19017,439.4,435.48,55.7,22.8
19019,573.12,571.02,36.7,15.7
19021,580.23,574.91,35.2,14.3
19023,581.76,580.13,25.6,11.5
19025,572.11,569.97,17.0,9.0
19027,570.27,569.44,36.6,16.5
19029,564.95,564.27,24.7,11.7
19031,581.9,579.44,31.9,13.9
19033,575.12,568.31,77.7,39.0
19035,577.07,576.91,20.9,10.0
19037,505.66,504.38,24.7,11.3
19039,431.76,431.17,21.5,9.5
19041,572.59,567.24,29.4,14.2
19043,792.66,778.54,23.3,11.6
19045,710.18,694.91,70.7,31.3
19047,715.04,714.19,23.9,9.7
19049,591.7,588.45,112.4,46.3
19051,504.85,502.19,17.4,7.2
19053,533.48,531.88,15.9,7.2
19055,578.95,577.76,30.7,13.9
19057,429.75,416.12,96.9,44.5
19059,403.96,380.61,43.8,33.8
19061,616.63,608.3,154.0,64.0
19063,402.52,395.88,26.0,12.0
19065,731.33,730.81,28.6,13.1
19067,501.38,500.63,32.6,15.0
19069,582.52,581.97,18.4,8.4
19071,516.64,511.15,14.6,6.7
19073,571.21,569.57,16.4,8.0
19075,501.89,501.86,24.8,11.0
19077,593.07,590.62,18.5,9.7
19079,577.51,576.75,27.2,12.5
19081,573.04,571.0,19.9,9.3
19083,569.99,569.31,30.8,14.4
19085,701.64,696.85,21.4,9.7
19087,436.56,434.33,46.4,19.1
19089,473.61,473.25,20.2,9.2
19091,435.67,434.35,22.6,10.8
19093,432.05,431.51,16.4,7.9
19095,587.49,586.46,27.9,12.4
19097,649.61,636.04,31.2,14.8
19099,732.96,730.42,50.4,22.2
19101,436.88,435.51,38.7,17.4
19103,623.15,614.04,213.1,91.1
19105,577.0,575.62,35.9,15.5
19107,579.92,579.18,18.1,8.5
19109,974.32,972.72,16.0,7.7
19111,538.87,517.52,69.3,31.3
19113,724.5,716.88,294.6,128.7
19115,417.52,401.77,28.3,12.5
19117,434.4,430.59,20.7,9.8
19119,587.78,587.65,19.7,8.2
19121,562.16,561.01,27.9,11.7
19123,573.4,570.86,39.2,17.1
19125,570.51,554.53,60.1,25.1
19127,573.2,572.5,71.0,29.4
19129,440.64,437.44,34.4,14.0
19131,469.56,469.13,23.0,10.3
19133,698.93,694.07,13.3,6.8
19135,434.3,433.72,18.4,9.0
19137,425.03,424.1,25.3,12.4
19139,449.13,437.47,97.7,40.9
19141,573.21,573.04,25.1,11.6
19143,399.39,398.68,16.2,7.5
19145,535.47,534.94,29.8,13.4
19147,569.43,563.84,16.7,8.2
19149,863.73,862.89,29.0,12.2
19151,578.66,577.24,12.7,6.6
19153,591.53,573.79,750.5,317.6
19155,959.13,950.28,98.0,41.4
19157,586.07,584.93,32.3,15.3
