FIPS,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
12103,1,1,1,"492,704","476,541","16,163",3.3,"$52,226 ",94.2
12105,2,2,1,"298,759","286,603","12,156",4.1,"$51,354 ",92.6
12107,4,3,0,"27,097","25,794","1,303",4.8,"$39,578 ",71.4
12109,1,1,1,"127,595","123,928","3,667",2.9,"$81,925 ",147.8
12111,2,2,1,"142,635","136,390","6,245",4.4,"$53,377 ",96.3
12113,2,2,1,"80,654","77,976","2,678",3.3,"$69,541 ",125.5
12115,2,2,1,"188,038","181,707","6,331",3.4,"$61,652 ",111.2
12117,1,1,1,"254,438","246,363","8,075",3.2,"$67,187 ",121.2
12119,3,2,1,"31,241","29,649","1,592",5.1,"$55,324 ",99.8
12121,6,6,0,"18,286","17,608",678,3.7,"$38,525 ",69.5
12123,6,6,0,"8,735","8,399",336,3.8,"$42,307 ",76.3
12125,6,4,0,"4,670","4,511",159,3.4,"$45,906 ",82.8
12127,2,2,1,"253,439","243,967","9,472",3.7,"$50,285 ",90.7
12129,2,2,1,"14,767","14,307",460,3.1,"$58,203 ",105.0
12131,3,2,1,"30,644","29,698",946,3.1,"$60,973 ",110.0
12133,6,6,0,"9,920","9,541",379,3.8,"$39,225 ",70.8
13001,7,9,0,"9,044","8,651",393,4.3,"$42,781 ",73.0
13003,9,10,0,"4,358","4,204",154,3.5,"$36,779 ",62.7
13005,7,9,0,"5,057","4,864",193,3.8,"$38,775 ",66.1
13007,3,2,1,"1,217","1,155",62,5.1,"$38,288 ",65.3
13009,4,5,0,"17,286","16,415",871,5.0,"$42,727 ",72.9
13011,8,6,0,"9,538","9,241",297,3.1,"$55,384 ",94.5
13013,1,1,1,"39,665","38,362","1,303",3.3,"$61,413 ",104.7
13015,1,1,1,"50,113","48,219","1,894",3.8,"$57,409 ",97.9
13017,7,8,0,"5,508","5,184",324,5.9,"$35,020 ",59.7
13019,6,6,0,"7,477","7,166",311,4.2,"$39,412 ",67.2
13021,3,2,1,"69,212","66,083","3,129",4.5,"$41,390 ",70.6
13023,6,6,0,"4,660","4,394",266,5.7,"$46,019 ",78.5
13025,3,2,1,"7,351","7,022",329,4.5,"$41,874 ",71.4
13027,3,2,1,"7,044","6,767",277,3.9,"$36,354 ",62.0
13029,2,2,1,"17,868","17,260",608,3.4,"$79,658 ",135.9
13031,4,5,0,"37,503","35,935","1,568",4.2,"$43,766 ",74.6
13033,2,2,1,"9,367","8,805",562,6.0,"$42,785 ",73.0
13035,1,1,1,"10,744","10,310",434,4.0,"$48,831 ",83.3
13037,8,7,0,"2,256","2,160",96,4.3,"$33,393 ",57.0
13039,4,3,0,"20,982","20,110",872,4.2,"$56,555 ",96.5
13043,7,9,0,"5,358","5,174",184,3.4,"$35,841 ",61.1
13045,1,1,1,"55,383","53,163","2,220",4.0,"$52,502 ",89.5
13047,2,2,1,"33,156","32,022","1,134",3.4,"$55,807 ",95.2
13049,6,4,0,"4,805","4,599",206,4.3,"$40,499 ",69.1
13051,2,2,1,"140,971","135,719","5,252",3.7,"$54,165 ",92.4
13053,2,2,1,"1,988","1,877",111,5.6,"$46,869 ",79.9
13055,6,5,0,"10,487","10,058",429,4.1,"$39,513 ",67.4
13057,1,1,1,"132,799","128,664","4,135",3.1,"$82,733 ",141.1
13059,3,2,1,"61,475","59,045","2,430",4.0,"$42,112 ",71.8
13061,9,12,0,858,792,66,7.7,"$30,239 ",51.6
13063,1,1,1,"136,502","129,814","6,688",4.9,"$46,059 ",78.6
13065,6,7,0,"2,766","2,640",126,4.6,"$37,593 ",64.1
13067,1,1,1,"426,279","411,814","14,465",3.4,"$78,603 ",134.1
13069,7,8,0,"18,709","17,864",845,4.5,"$39,480 ",67.3
13071,6,5,0,"21,551","20,740",811,3.8,"$38,633 ",65.9
13073,2,2,1,"74,950","72,341","2,609",3.5,"$82,184 ",140.2
13075,6,6,0,"7,886","7,588",298,3.8,"$38,827 ",66.2
13077,1,1,1,"73,505","70,987","2,518",3.4,"$70,974 ",121.0
13079,3,2,1,"5,703","5,466",237,4.2,"$48,004 ",81.9
13081,6,5,0,"9,399","8,943",456,4.9,"$36,096 ",61.6
13083,2,2,1,"8,274","7,974",300,3.6,"$48,779 ",83.2
13085,1,1,1,"12,040","11,639",401,3.3,"$68,835 ",117.4
13087,6,5,0,"11,551","11,012",539,4.7,"$38,441 ",65.6
13089,1,1,1,"399,846","383,773","16,073",4.0,"$63,477 ",108.3
13091,6,6,0,"7,176","6,804",372,5.2,"$35,636 ",60.8
13093,6,6,0,"5,157","4,919",238,4.6,"$37,278 ",63.6
13095,3,2,1,"38,361","36,395","1,966",5.1,"$38,806 ",66.2
13097,1,1,1,"72,900","69,898","3,002",4.1,"$60,512 ",103.2
13099,6,6,0,"4,560","4,351",209,4.6,"$34,984 ",59.7
13101,3,2,1,"1,900","1,839",61,3.2,"$38,667 ",65.9
13103,2,2,1,"29,925","28,936",989,3.3,"$65,793 ",112.2
13105,6,6,0,"7,843","7,465",378,4.8,"$39,681 ",67.7
13107,7,9,0,"8,324","7,834",490,5.9,"$37,574 ",64.1
13109,6,6,0,"4,915","4,735",180,3.7,"$37,319 ",63.6
13111,8,4,0,"11,207","10,765",442,3.9,"$43,439 ",74.1
13113,1,1,1,"57,768","55,758","2,010",3.5,"$95,021 ",162.1
13115,3,2,1,"44,274","42,368","1,906",4.3,"$44,906 ",76.6
13117,1,1,1,"118,048","114,331","3,717",3.1,"$105,921 ",180.6
13119,8,6,0,"9,993","9,610",383,3.8,"$42,904 ",73.2
13121,1,1,1,"555,127","532,817","22,310",4.0,"$70,808 ",120.8
13123,6,4,0,"11,992","11,485",507,4.2,"$47,757 ",81.4
13125,9,12,0,"1,295","1,241",54,4.2,"$42,820 ",73.0
13127,3,2,1,"40,225","38,749","1,476",3.7,"$53,906 ",91.9
13129,4,3,0,"27,993","26,940","1,053",3.8,"$49,101 ",83.7
13131,6,6,0,"10,684","10,271",413,3.9,"$41,002 ",69.9
13133,6,4,0,"6,994","6,697",297,4.2,"$54,016 ",92.1
13135,1,1,1,"487,986","470,913","17,073",3.5,"$72,008 ",122.8
13137,6,5,0,"19,385","18,670",715,3.7,"$51,829 ",88.4
13139,3,2,1,"102,169","98,934","3,235",3.2,"$61,631 ",105.1
13141,7,8,0,"2,479","2,330",149,6.0,"$31,716 ",54.1
13143,1,1,1,"12,508","12,026",482,3.9,"$47,662 ",81.3
13145,2,2,1,"16,736","16,165",571,3.4,"$74,686 ",127.4
13147,6,6,0,"11,681","11,258",423,3.6,"$47,171 ",80.4
13149,1,1,1,"5,208","5,006",202,3.9,"$46,218 ",78.8
13151,1,1,1,"113,843","109,127","4,716",4.1,"$72,970 ",124.5
13153,3,2,1,"70,197","67,394","2,803",4.0,"$60,728 ",103.6
13155,7,9,0,"3,340","3,153",187,5.6,"$38,156 ",65.1
13157,4,3,0,"36,248","35,165","1,083",3.0,"$68,984 ",117.7
13159,1,1,1,"6,926","6,686",240,3.5,"$51,241 ",87.4
13161,7,9,0,"6,077","5,781",296,4.9,"$37,211 ",63.5
13163,6,7,0,"6,747","6,388",359,5.3,"$38,274 ",65.3
13165,6,6,0,"3,206","3,033",173,5.4,"$31,419 ",53.6
13167,7,8,0,"4,147","3,983",164,4.0,"$34,849 ",59.4
13169,3,2,1,"13,886","13,378",508,3.7,"$55,737 ",95.1
13171,1,1,1,"8,118","7,748",370,4.6,"$48,323 ",82.4
13173,3,2,1,"3,845","3,676",169,4.4,"$41,564 ",70.9
13175,5,8,0,"19,524","18,585",939,4.8,"$42,114 ",71.8
13177,3,2,1,"14,885","14,355",530,3.6,"$66,090 ",112.7
13179,3,2,1,"25,706","24,597","1,109",4.3,"$47,685 ",81.3
13181,2,2,1,"3,611","3,432",179,5.0,"$46,967 ",80.1
13183,3,2,1,"8,028","7,710",318,4.0,"$46,428 ",79.2
13185,3,2,1,"51,746","49,640","2,106",4.1,"$41,820 ",71.3
13187,6,4,0,"16,714","16,114",600,3.6,"$55,583 ",94.8
13189,2,2,1,"8,973","8,474",499,5.6,"$42,768 ",72.9
13191,3,2,1,"6,190","5,943",247,4.0,"$42,513 ",72.5
13193,6,6,0,"4,731","4,436",295,6.2,"$32,868 ",56.1
13195,3,2,1,"13,689","13,206",483,3.5,"$51,338 ",87.6
13197,2,2,1,"3,435","3,261",174,5.1,"$39,114 ",66.7
13199,1,1,1,"8,947","8,500",447,5.0,"$38,886 ",66.3
13201,8,7,0,"2,813","2,709",104,3.7,"$42,483 ",72.5
13205,6,6,0,"8,408","7,956",452,5.4,"$36,788 ",62.7
13207,3,2,1,"13,043","12,564",479,3.7,"$59,362 ",101.2
13209,9,8,0,"3,799","3,582",217,5.7,"$41,834 ",71.3
13211,1,1,1,"9,067","8,744",323,3.6,"$57,978 ",98.9
13213,3,2,1,"15,943","15,096",847,5.3,"$46,810 ",79.8
13215,2,2,1,"79,354","75,325","4,029",5.1,"$46,628 ",79.5
13217,1,1,1,"51,780","49,474","2,306",4.5,"$56,598 ",96.5
13219,3,2,1,"19,687","19,105",582,3.0,"$99,497 ",169.7
13221,3,2,1,"7,124","6,863",261,3.7,"$51,105 ",87.2
13223,1,1,1,"83,868","80,981","2,887",3.4,"$73,309 ",125.0
13225,3,2,1,"11,911","11,304",607,5.1,"$46,525 ",79.3
13227,1,1,1,"15,158","14,626",532,3.5,"$65,062 ",111.0
13229,6,5,0,"8,686","8,352",334,3.8,"$44,389 ",75.7
13231,1,1,1,"8,756","8,437",319,3.6,"$66,901 ",114.1
13233,4,3,0,"18,522","17,746",776,4.2,"$43,679 ",74.5
13235,3,2,1,"4,134","3,958",176,4.3,"$40,582 ",69.2
13237,6,4,0,"8,223","7,815",408,5.0,"$51,205 ",87.3
13239,9,11,0,830,784,46,5.5,"$33,908 ",57.8
13241,7,10,0,"7,092","6,808",284,4.0,"$44,213 ",75.4
13243,6,6,0,"2,489","2,343",146,5.9,"$28,298 ",48.3
13245,2,2,1,"86,626","82,166","4,460",5.1,"$40,168 ",68.5
13247,1,1,1,"44,875","42,903","1,972",4.4,"$59,673 ",101.8
13249,8,5,0,"2,193","2,091",102,4.7,"$45,378 ",77.4
13251,6,6,0,"5,330","5,042",288,5.4,"$39,048 ",66.6
13253,6,6,0,"3,062","2,900",162,5.3,"$36,869 ",62.9
13255,1,1,1,"28,551","27,209","1,342",4.7,"$43,510 ",74.2
13257,7,8,0,"10,964","10,468",496,4.5,"$45,850 ",78.2
13259,8,6,0,"2,352","2,242",110,4.7,"$33,053 ",56.4
13261,6,5,0,"12,782","12,025",757,5.9,"$37,562 ",64.1
13263,8,4,0,"2,835","2,692",143,5.0,"$37,265 ",63.6
13265,8,7,0,585,555,30,5.1,"$34,090 ",58.1
13267,6,6,0,"9,692","9,285",407,4.2,"$41,440 ",70.7
13269,8,7,0,"2,784","2,602",182,6.5,"$36,310 ",61.9
13271,7,11,0,"4,375","4,078",297,6.8,"$34,297 ",58.5
13273,3,2,1,"3,673","3,432",241,6.6,"$35,290 ",60.2
13275,4,5,0,"16,925","16,127",798,4.7,"$41,642 ",71.0
13277,5,8,0,"19,337","18,561",776,4.0,"$45,680 ",77.9
13279,7,8,0,"11,945","11,251",694,5.8,"$37,148 ",63.4
13281,9,12,0,"3,886","3,673",213,5.5,"$45,853 ",78.2
13283,7,9,0,"2,704","2,547",157,5.8,"$35,069 ",59.8
13285,4,3,0,"36,651","35,295","1,356",3.7,"$45,234 ",77.1
13287,6,6,0,"3,185","3,023",162,5.1,"$33,261 ",56.7
13289,3,2,1,"2,925","2,753",172,5.9,"$42,054 ",71.7
13291,9,12,0,"10,317","9,941",376,3.6,"$45,943 ",78.4
13293,6,3,0,"11,376","10,875",501,4.4,"$40,965 ",69.9
13295,2,2,1,"31,167","29,961","1,206",3.9,"$43,767 ",74.6
13297,1,1,1,"45,262","43,654","1,608",3.6,"$65,416 ",111.6
13299,5,8,0,"15,646","15,030",616,3.9,"$38,357 ",65.4
13301,8,7,0,"2,748","2,611",137,5.0,"$38,352 ",65.4
13303,7,9,0,"7,157","6,799",358,5.0,"$39,444 ",67.3
13305,6,5,0,"11,398","10,868",530,4.6,"$44,607 ",76.1
13307,8,6,0,"1,001",938,63,6.3,"$38,187 ",65.1
13309,9,9,0,"1,670","1,547",123,7.4,"$32,691 ",55.8
13311,6,6,0,"16,103","15,612",491,3.0,"$51,579 ",88.0
13313,3,2,1,"45,256","43,107","2,149",4.7,"$47,074 ",80.3
13315,8,6,0,"2,679","2,539",140,5.2,"$35,961 ",61.3
13317,6,6,0,"3,891","3,713",178,4.6,"$39,361 ",67.1
13319,8,7,0,"3,833","3,663",170,4.4,"$41,036 ",70.0
13321,3,2,1,"9,182","8,778",404,4.4,"$48,708 ",83.1
15001,5,8,0,"91,305","88,577","2,728",3.0,"$56,383 ",70.0
15003,2,2,1,"465,193","454,330","10,863",2.3,"$83,695 ",103.9
15007,5,8,0,"36,100","35,193",907,2.5,"$73,981 ",91.9
15009,3,2,1,"86,137","84,028","2,109",2.4,"$78,503 ",97.5
16001,2,2,1,"244,525","238,510","6,015",2.5,"$66,827 ",120.4
16003,9,12,0,"1,722","1,628",94,5.5,"$45,311 ",81.6
16005,3,2,1,"41,686","40,547","1,139",2.7,"$51,300 ",92.4
16007,9,11,0,"2,835","2,753",82,2.9,"$53,780 ",96.9
16009,6,7,0,"4,021","3,835",186,4.6,"$48,451 ",87.3
16011,4,5,0,"23,357","22,724",633,2.7,"$50,941 ",91.7
16013,7,8,0,"12,323","12,032",291,2.4,"$76,113 ",137.1
16015,2,2,1,"3,329","3,188",141,4.2,"$56,837 ",102.4
16017,6,5,0,"19,610","18,807",803,4.1,"$51,373 ",92.5
16019,3,2,1,"55,403","54,077","1,326",2.4,"$60,444 ",108.9
16021,7,9,0,"5,296","5,061",235,4.4,"$47,118 ",84.9
16023,3,2,1,"1,382","1,338",44,3.2,"$50,050 ",90.1
16025,9,8,0,690,674,16,2.3,"$53,866 ",97.0
16027,2,2,1,"100,275","97,188","3,087",3.1,"$53,381 ",96.1
16029,6,6,0,"3,831","3,723",108,2.8,"$61,219 ",110.3
16031,7,8,0,"11,750","11,488",262,2.2,"$51,804 ",93.3
16033,9,12,0,405,393,12,3.0,"$48,471 ",87.3
16035,6,6,0,"2,925","2,728",197,6.7,"$46,417 ",83.6
16037,8,7,0,"2,190","2,102",88,4.0,"$47,682 ",85.9
16039,6,5,0,"11,416","11,044",372,3.3,"$49,344 ",88.9
16041,3,2,1,"6,920","6,772",148,2.1,"$58,170 ",104.8
16043,6,5,0,"7,781","7,592",189,2.4,"$51,155 ",92.1
16045,2,2,1,"8,141","7,862",279,3.4,"$49,857 ",89.8
16047,7,9,0,"8,105","7,910",195,2.4,"$51,302 ",92.4
16049,6,6,0,"6,426","6,125",301,4.7,"$40,569 ",73.1
16051,3,2,1,"13,488","13,183",305,2.3,"$61,927 ",111.5
16053,7,8,0,"11,963","11,659",304,2.5,"$54,020 ",97.3
16055,3,2,1,"77,765","75,065","2,700",3.5,"$56,188 ",101.2
16057,4,5,0,"20,267","19,769",498,2.5,"$49,538 ",89.2
16059,7,11,0,"3,511","3,354",157,4.5,"$44,248 ",79.7
16061,8,7,0,"1,637","1,547",90,5.5,"$44,911 ",80.9
16063,9,8,0,"2,738","2,646",92,3.4,"$50,464 ",90.9
16065,4,5,0,"21,678","21,304",374,1.7,"$41,827 ",75.3
16067,7,8,0,"11,031","10,753",278,2.5,"$53,447 ",96.3
16069,3,2,1,"21,053","20,474",579,2.8,"$54,476 ",98.1
16071,8,7,0,"2,339","2,288",51,2.2,"$52,602 ",94.7
16073,2,2,1,"5,448","5,252",196,3.6,"$48,192 ",86.8
16075,6,5,0,"11,535","11,122",413,3.6,"$51,835 ",93.4
16077,6,6,0,"4,090","3,972",118,2.9,"$51,921 ",93.5
16079,6,7,0,"5,068","4,777",291,5.7,"$36,085 ",65.0
16081,9,8,0,"6,407","6,263",144,2.2,"$68,749 ",123.8
16083,5,8,0,"40,747","39,651","1,096",2.7,"$51,594 ",92.9
16085,8,6,0,"5,313","5,113",200,3.8,"$60,285 ",108.6
16087,6,6,0,"4,632","4,440",192,4.1,"$43,402 ",78.2
17001,5,8,0,"32,893","31,616","1,277",3.9,"$55,174 ",84.8
17003,3,2,1,"2,153","1,982",171,7.9,"$35,249 ",54.2
17005,1,1,1,"7,929","7,582",347,4.4,"$54,800 ",84.2
17007,2,2,1,"26,473","24,950","1,523",5.8,"$74,507 ",114.5
17009,7,10,0,"2,896","2,818",78,2.7,"$55,327 ",85.0
17011,7,8,0,"17,390","16,519",871,5.0,"$56,099 ",86.2
17013,1,1,1,"2,340","2,215",125,5.3,"$56,099 ",86.2
17015,7,9,0,"7,525","7,190",335,4.5,"$51,963 ",79.9
17017,6,6,0,"6,162","5,885",277,4.5,"$52,486 ",80.7
17019,3,2,1,"105,669","101,016","4,653",4.4,"$53,251 ",81.8
17021,6,5,0,"14,837","14,052",785,5.3,"$52,936 ",81.4
17023,6,6,0,"7,775","7,373",402,5.2,"$54,092 ",83.1
17025,7,9,0,"6,611","6,260",351,5.3,"$45,427 ",69.8
17027,1,1,1,"20,378","19,650",728,3.6,"$66,597 ",102.4
17029,5,8,0,"24,195","23,024","1,171",4.8,"$47,291 ",72.7
17031,1,1,1,"2,611,512","2,506,103","105,409",4.0,"$63,347 ",97.4
17033,7,9,0,"8,777","8,307",470,5.4,"$52,313 ",80.4
17035,9,8,0,"6,080","5,834",246,4.0,"$60,572 ",93.1
17037,1,1,1,"55,487","53,047","2,440",4.4,"$63,274 ",97.3
17039,3,2,1,"7,582","7,197",385,5.1,"$55,300 ",85.0
17041,6,6,0,"10,212","9,793",419,4.1,"$56,976 ",87.6
17043,1,1,1,"508,650","492,726","15,924",3.1,"$93,540 ",143.8
17045,6,6,0,"9,200","8,770",430,4.7,"$51,577 ",79.3
17047,9,12,0,"2,779","2,653",126,4.5,"$51,280 ",78.8
17049,7,8,0,"19,119","18,403",716,3.7,"$60,773 ",93.4
17051,6,4,0,"9,810","9,291",519,5.3,"$47,484 ",73.0
17053,3,2,1,"6,334","6,029",305,4.8,"$55,357 ",85.1
17055,4,6,0,"17,065","16,016","1,049",6.1,"$42,071 ",64.7
17057,6,5,0,"15,224","14,273",951,6.2,"$51,258 ",78.8
17059,8,7,0,"2,434","2,294",140,5.8,"$43,330 ",66.6
17061,6,4,0,"6,015","5,720",295,4.9,"$47,314 ",72.7
17063,1,1,1,"25,255","24,072","1,183",4.7,"$79,348 ",122.0
17065,7,9,0,"4,493","4,297",196,4.4,"$53,028 ",81.5
17067,7,8,0,"8,469","8,069",400,4.7,"$53,553 ",82.3
17069,9,12,0,"1,343","1,238",105,7.8,"$41,713 ",64.1
17071,9,8,0,"3,664","3,481",183,5.0,"$53,632 ",82.4
17073,2,2,1,"25,083","23,824","1,259",5.0,"$58,042 ",89.2
17075,6,4,0,"14,394","13,749",645,4.5,"$55,247 ",84.9
17077,3,2,1,"28,137","26,847","1,290",4.6,"$41,445 ",63.7
17079,7,9,0,"4,617","4,389",228,4.9,"$54,552 ",83.8
17081,7,8,0,"17,661","16,723",938,5.3,"$47,425 ",72.9
17083,1,1,1,"11,007","10,473",534,4.9,"$59,117 ",90.9
17085,6,6,0,"10,983","10,501",482,4.4,"$56,832 ",87.3
17087,8,6,0,"4,100","3,780",320,7.8,"$53,884 ",82.8
17089,1,1,1,"273,901","260,449","13,452",4.9,"$79,834 ",122.7
17091,3,2,1,"55,920","52,888","3,032",5.4,"$53,884 ",82.8
17093,1,1,1,"67,661","65,281","2,380",3.5,"$93,345 ",143.5
17095,4,5,0,"22,203","21,020","1,183",5.3,"$44,553 ",68.5
17097,1,1,1,"378,401","361,302","17,099",4.5,"$87,336 ",134.2
17099,4,3,0,"56,230","52,968","3,262",5.8,"$54,063 ",83.1
17101,7,9,0,"5,981","5,629",352,5.9,"$43,767 ",67.3
17103,6,3,0,"17,831","17,043",788,4.4,"$54,915 ",84.4
17105,4,3,0,"16,610","15,876",734,4.4,"$59,323 ",91.2
17107,6,5,0,"12,852","12,246",606,4.7,"$52,959 ",81.4
17109,5,8,0,"13,359","12,675",684,5.1,"$42,887 ",65.9
17111,1,1,1,"165,849","160,050","5,799",3.5,"$86,268 ",132.6
17113,3,2,1,"87,889","84,209","3,680",4.2,"$67,087 ",103.1
17115,3,2,1,"49,961","47,166","2,795",5.6,"$50,684 ",77.9
17117,1,1,1,"23,066","21,934","1,132",4.9,"$53,409 ",82.1
17119,1,1,1,"134,575","128,495","6,080",4.5,"$60,121 ",92.4
17121,4,3,0,"17,778","16,899",879,4.9,"$46,096 ",70.8
17123,2,2,1,"5,510","5,224",286,5.2,"$57,422 ",88.3
17125,6,6,0,"6,318","5,939",379,6.0,"$48,764 ",74.9
17127,7,8,0,"5,748","5,345",403,7.0,"$43,783 ",67.3
17129,3,2,1,"6,689","6,421",268,4.0,"$74,872 ",115.1
17131,2,2,1,"8,103","7,675",428,5.3,"$58,384 ",89.7
17133,1,1,1,"18,595","17,951",644,3.5,"$88,481 ",136.0
17135,6,4,0,"11,891","11,185",706,5.9,"$53,138 ",81.7
17137,4,5,0,"16,309","15,590",719,4.4,"$48,976 ",75.3
17139,6,6,0,"7,524","7,235",289,3.8,"$59,901 ",92.1
17141,4,3,0,"25,289","24,014","1,275",5.0,"$61,794 ",95.0
17143,2,2,1,"87,398","82,552","4,846",5.5,"$56,478 ",86.8
17145,6,6,0,"8,456","7,951",505,6.0,"$49,965 ",76.8
17147,3,2,1,"8,430","8,067",363,4.3,"$67,460 ",103.7
17149,7,9,0,"7,256","6,907",349,4.8,"$47,815 ",73.5
17151,8,7,0,"1,751","1,644",107,6.1,"$43,053 ",66.2
17153,8,7,0,"2,055","1,886",169,8.2,"$38,400 ",59.0
17155,8,5,0,"3,040","2,881",159,5.2,"$66,319 ",101.9
17157,6,4,0,"14,202","13,572",630,4.4,"$53,607 ",82.4
17159,7,11,0,"7,455","7,105",350,4.7,"$48,152 ",74.0
17161,2,2,1,"71,847","68,090","3,757",5.2,"$52,642 ",80.9
17163,1,1,1,"127,192","120,769","6,423",5.0,"$58,222 ",89.5
17165,6,6,0,"9,879","9,236",643,6.5,"$40,761 ",62.6
17167,3,2,1,"104,949","100,443","4,506",4.3,"$62,242 ",95.7
17169,7,9,0,"3,334","3,185",149,4.5,"$52,018 ",80.0
17171,9,8,0,"2,481","2,348",133,5.4,"$55,198 ",84.8
17173,6,6,0,"10,725","10,262",463,4.3,"$56,509 ",86.9
17175,2,2,1,"2,587","2,424",163,6.3,"$52,651 ",80.9
17177,4,5,0,"21,904","20,863","1,041",4.8,"$47,357 ",72.8
17179,2,2,1,"65,386","62,196","3,190",4.9,"$61,508 ",94.5
17181,6,6,0,"7,423","6,943",480,6.5,"$49,716 ",76.4
17183,3,2,1,"33,578","31,504","2,074",6.2,"$44,638 ",68.6
17185,7,11,0,"5,728","5,473",255,4.5,"$53,414 ",82.1
17187,6,6,0,"8,691","8,324",367,4.2,"$53,532 ",82.3
17189,6,4,0,"9,625","9,335",290,3.0,"$66,937 ",102.9
17191,7,9,0,"6,949","6,563",386,5.6,"$50,471 ",77.6
17193,6,6,0,"6,685","6,397",288,4.3,"$49,507 ",76.1
17195,4,5,0,"28,466","27,164","1,302",4.6,"$57,197 ",87.9
17197,1,1,1,"357,226","342,785","14,441",4.0,"$86,108 ",132.3
17199,3,2,1,"31,873","30,236","1,637",5.1,"$46,187 ",71.0
17201,2,2,1,"141,196","133,101","8,095",5.7,"$53,795 ",82.7
17203,2,2,1,"19,161","18,379",782,4.1,"$72,247 ",111.0
18001,6,5,0,"17,494","17,038",456,2.6,"$56,693 ",101.7
18003,2,2,1,"184,863","179,032","5,831",3.2,"$54,473 ",97.8
18005,3,2,1,"45,295","44,110","1,185",2.6,"$63,067 ",113.2
18007,3,2,1,"4,574","4,427",147,3.2,"$51,649 ",92.7
18009,6,6,0,"5,341","5,135",206,3.9,"$45,161 ",81.0
18011,1,1,1,"35,904","34,933",971,2.7,"$85,876 ",154.1
18013,1,1,1,"7,659","7,416",243,3.2,"$60,944 ",109.4
18015,3,2,1,"10,264","9,928",336,3.3,"$57,092 ",102.5
18017,4,5,0,"18,296","17,620",676,3.7,"$48,598 ",87.2
18019,1,1,1,"61,620","59,509","2,111",3.4,"$56,774 ",101.9
18021,3,2,1,"12,332","11,850",482,3.9,"$52,699 ",94.6
18023,6,3,0,"17,200","16,715",485,2.8,"$51,730 ",92.8
18025,8,4,0,"4,958","4,736",222,4.5,"$44,152 ",79.2
18027,7,8,0,"16,531","16,084",447,2.7,"$55,434 ",99.5
18029,1,1,1,"26,132","25,182",950,3.6,"$66,502 ",119.3
18031,6,3,0,"14,967","14,519",448,3.0,"$57,441 ",103.1
18033,4,5,0,"22,501","21,865",636,2.8,"$58,987 ",105.9
18035,3,2,1,"54,159","51,986","2,173",4.0,"$43,096 ",77.3
18037,5,8,0,"23,357","22,777",580,2.5,"$62,126 ",111.5
18039,3,2,1,"116,267","113,255","3,012",2.6,"$59,251 ",106.3
18041,6,3,0,"9,203","8,776",427,4.6,"$47,737 ",85.7
18043,1,1,1,"41,401","40,026","1,375",3.3,"$64,992 ",116.6
18045,6,6,0,"8,131","7,837",294,3.6,"$53,493 ",96.0
18047,6,4,0,"11,395","10,972",423,3.7,"$62,251 ",111.7
18049,7,9,0,"9,958","9,620",338,3.4,"$52,798 ",94.7
18051,6,6,0,"19,475","18,954",521,2.7,"$56,960 ",102.2
18053,4,3,0,"32,239","30,996","1,243",3.9,"$45,138 ",81.0
18055,6,6,0,"13,754","13,145",609,4.4,"$46,835 ",84.0
18057,1,1,1,"181,103","176,224","4,879",2.7,"$101,740 ",182.6
18059,1,1,1,"39,772","38,566","1,206",3.0,"$73,831 ",132.5
18061,1,1,1,"20,172","19,474",698,3.5,"$60,379 ",108.4
18063,1,1,1,"88,595","86,041","2,554",2.9,"$80,834 ",145.1
18065,4,3,0,"22,475","21,683",792,3.5,"$50,183 ",90.1
18067,3,2,1,"37,645","36,116","1,529",4.1,"$55,365 ",99.4
18069,6,5,0,"18,376","17,722",654,3.6,"$53,809 ",96.6
18071,4,5,0,"22,870","22,219",651,2.8,"$55,518 ",99.6
18073,1,1,1,"16,509","15,860",649,3.9,"$66,720 ",119.7
18075,6,6,0,"9,843","9,516",327,3.3,"$48,392 ",86.8
18077,6,3,0,"15,100","14,582",518,3.4,"$51,031 ",91.6
18079,6,5,0,"13,642","13,145",497,3.6,"$51,560 ",92.5
18081,1,1,1,"82,164","79,802","2,362",2.9,"$69,880 ",125.4
18083,5,8,0,"18,898","18,283",615,3.3,"$48,606 ",87.2
18085,4,5,0,"42,697","41,567","1,130",2.6,"$57,367 ",102.9
18087,6,6,0,"20,613","20,098",515,2.5,"$67,498 ",121.1
18089,1,1,1,"232,368","220,886","11,482",4.9,"$55,280 ",99.2
18091,3,2,1,"48,027","45,925","2,102",4.4,"$52,095 ",93.5
18093,6,5,0,"21,152","20,339",813,3.8,"$53,187 ",95.4
18095,1,1,1,"59,431","57,126","2,305",3.9,"$49,522 ",88.9
18097,1,1,1,"490,706","473,574","17,132",3.5,"$48,409 ",86.9
18099,6,5,0,"23,481","22,735",746,3.2,"$55,766 ",100.1
18101,7,9,0,"5,214","5,071",143,2.7,"$55,444 ",99.5
18103,6,5,0,"15,892","15,254",638,4.0,"$47,624 ",85.5
18105,3,2,1,"69,690","67,180","2,510",3.6,"$48,883 ",87.7
18107,6,3,0,"19,157","18,575",582,3.0,"$53,700 ",96.4
18109,1,1,1,"36,392","35,160","1,232",3.4,"$66,151 ",118.7
