FIPS,staffed_beds,licensed_beds,icu_beds
36097,25,0,0
36101,95,115,8
36103,3509,3181,250
36105,99,154,0
36109,163,212,16
36111,209,300,25
36113,361,406,24
36117,101,120,8
36119,3160,3396,158
36121,50,62,5
36123,25,0,0
37001,176,238,20
37005,25,41,0
37007,15,15,0
37009,25,76,0
37011,21,50,0
37013,72,142,8
37015,6,6,0
37017,25,58,4
37019,126,99,19
37021,1708,884,146
37023,587,315,16
37025,540,497,15
37027,110,110,12
37031,99,135,8
37035,426,613,52
37037,25,25,4
37039,25,57,0
37041,25,49,4
37045,292,308,57
37047,154,154,0
37049,286,350,72
37051,726,700,56
37055,21,21,0
37057,154,240,29
37059,50,50,0
37061,49,81,9
37063,1376,1374,70
37065,101,117,15
37067,2172,1878,180
37071,423,475,57
37077,1342,142,6
37081,1354,1411,107
37083,106,204,16
37085,268,151,14
37087,122,159,12
37089,233,325,27
37091,70,114,10
37093,61,49,0
37097,406,514,36
37099,82,86,9
37101,229,199,24
37105,127,137,8
37107,1086,261,0
37109,101,101,10
37111,49,65,9
37113,49,83,5
37117,43,49,6
37119,2898,2646,141
37121,25,46,0
37123,4,37,0
37125,412,402,0
37127,372,395,21
37129,992,769,29
37133,306,162,14
37135,1086,905,0
37139,91,182,10
37141,25,86,0
37145,38,98,6
37147,930,909,71
37149,25,35,6
37151,145,145,12
37153,99,99,0
37155,256,452,25
37157,218,218,9
37159,169,268,20
37161,111,143,18
37163,71,146,8
37165,97,104,8
37167,97,109,10
37169,25,99,0
37171,181,226,10
37173,44,48,0
37175,25,92,4
37179,182,252,14
37181,91,102,20
37183,2920,1704,117
37187,25,0,0
37189,95,117,10
37191,514,316,16
37193,93,130,8
37195,270,294,14
38001,25,25,0
38003,25,25,0
38009,25,25,0
38011,23,23,0
38015,458,510,52
38017,1407,1052,111
38019,20,20,0
38021,20,20,0
38023,15,15,0
38029,14,14,0
38031,25,25,0
38035,384,404,16
38037,30,30,0
38039,18,18,0
38051,44,44,0
38053,24,24,0
38055,47,47,0
38057,13,13,0
38059,41,41,0
38061,11,11,0
38063,19,19,0
38067,20,20,0
38069,25,25,0
38071,25,25,0
38073,25,25,0
38079,52,25,0
38085,12,0,0
38089,25,25,4
38093,131,165,6
38095,20,20,0
38097,41,41,0
38099,28,28,0
38101,466,441,19
38103,25,25,0
38105,50,50,0
39001,25,25,0
39003,529,830,34
39005,39,123,6
39007,286,431,19
39009,156,0,0
39011,36,131,6
39013,185,45,0
39017,809,593,56
39021,25,0,0
39023,270,40,38
39025,147,160,16
39027,89,165,6
39029,219,199,20
39031,56,56,7
39033,50,75,9
39035,5850,5935,397
39037,40,104,6
39039,73,104,8
39041,124,60,6
39043,410,405,18
39045,213,245,20
39047,25,25,0
39049,5911,3692,368
39051,25,117,7
39053,157,287,14
39055,124,0,12
39057,235,206,20
39059,156,255,11
39061,3829,3626,232
39063,141,176,0
39065,25,25,0
39067,25,25,0
39069,25,31,5
39071,50,70,0
39073,25,0,0
39075,41,69,4
39077,148,198,22
39079,24,25,0
39081,448,500,12
39083,65,111,12
39085,709,531,27
39087,8,8,0
39089,262,35,13
39091,39,115,0
39093,838,453,54
39095,2468,3274,158
39097,45,94,13
39099,826,1100,38
39101,174,0,15
39103,150,191,12
39107,42,88,5
39109,119,182,10
39113,2153,2327,208
39117,23,25,3
39119,282,321,24
39123,25,25,4
39125,25,25,0
39129,83,83,8
39131,25,25,0
39133,191,302,16
39139,279,358,37
39141,189,261,12
39143,102,186,8
39145,202,446,16
39147,94,145,9
39149,61,90,7
39151,1006,1523,68
39153,2260,2097,145
39155,435,590,42
39157,153,174,10
39159,60,97,7
39161,145,195,5
39165,265,340,16
39167,213,243,11
39169,129,184,14
39171,100,123,7
39173,149,0,10
39175,24,31,0
40001,30,67,0
40005,25,25,0
40007,24,24,0
40009,34,62,6
40011,42,42,0
40013,140,148,8
40015,42,42,0
40017,74,75,8
40019,162,212,13
40021,122,98,14
40023,34,34,0
40025,25,25,0
40027,1025,605,52
40029,20,20,0
40031,365,512,28
40035,235,55,0
40037,95,95,0
40039,70,81,4
40041,58,58,6
40043,18,18,0
40045,25,25,0
40047,349,436,30
40049,26,26,0
40051,49,75,9
40055,18,18,0
40057,22,25,0
40059,15,25,0
40063,25,25,0
40065,49,49,6
40067,25,25,0
40069,25,25,0
40071,82,189,10
40073,25,25,0
40075,38,38,0
40077,43,0,0
40079,25,43,4
40081,50,50,0
40083,25,25,0
40085,25,25,0
40087,39,39,0
40089,77,0,6
40093,25,25,0
40095,21,25,0
40097,24,48,0
40099,25,25,0
40101,373,384,24
40103,26,26,0
40105,25,25,0
40107,25,0,0
40109,4337,4357,267
40111,107,107,0
40113,40,40,0
40115,144,167,9
40117,14,14,0
40119,161,216,11
40121,132,164,15
40123,240,216,12
40125,111,130,14
40127,42,0,0
40129,15,15,0
40131,100,81,6
40133,32,32,0
40135,41,41,0
40137,86,138,9
40139,47,47,0
40143,3313,3360,276
40145,100,100,6
40147,81,140,0
40149,14,14,0
40151,25,25,0
40153,64,115,6
41001,21,36,2
41003,169,188,12
41005,453,549,54
41007,48,83,4
41011,166,218,12
41013,16,16,0
41015,16,24,0
41017,270,304,36
41019,156,190,32
41023,14,25,0
41025,19,25,2
41027,25,25,0
41029,458,595,34
41031,25,25,0
41033,121,125,12
41035,105,176,0
41037,24,24,0
41039,721,599,71
41041,50,50,0
41043,92,128,11
41045,44,49,8
41047,1067,543,68
41049,21,21,0
41051,2852,2598,165
41053,15,25,0
41057,25,49,4
41059,66,98,8
41061,25,25,4
41063,23,25,0
41065,43,49,17
41067,989,795,85
41071,90,128,11
42001,76,76,8
42003,6602,6736,443
42005,131,154,12
42007,229,320,20
42009,40,49,4
42011,1142,1326,50
42013,496,518,42
42015,310,314,42
42017,1105,1155,91
42019,292,296,35
42021,423,539,19
42025,68,159,6
42027,432,440,0
42029,1133,1109,54
42031,169,146,7
42033,241,315,15
42035,63,68,0
42037,143,173,22
42039,170,242,16
42041,724,684,31
42043,1516,1433,36
42045,2036,1329,101
42047,25,35,0
42049,1040,1116,40
42051,210,235,15
42055,299,314,0
42057,21,21,0
42059,23,49,0
42061,57,62,7
42063,134,166,12
42065,69,84,5
42069,855,984,53
42071,1031,941,73
42073,206,207,12
42075,393,273,18
42077,2277,1271,98
42079,1248,1114,67
42081,303,300,32
42083,138,138,10
42085,562,478,26
42087,109,123,10
42089,295,239,24
42091,3019,2778,165
42093,848,773,68
42095,1000,1220,80
42097,45,0,0
42101,6540,7129,387
42105,25,59,4
42107,266,349,26
42111,148,185,6
42115,50,50,4
42117,25,25,6
42119,123,132,12
42121,118,158,8
42123,237,237,6
42125,448,578,16
42127,76,112,8
42129,794,974,33
42131,44,44,6
42133,808,985,70
44003,323,359,15
44005,102,129,10
44007,3416,2627,204
44009,154,225,17
45001,25,25,6
45003,204,259,35
45005,25,25,0
45007,532,793,25
45013,318,290,24
45019,2172,2029,221
45021,44,125,12
45023,36,82,6
45025,48,59,6
45027,49,81,6
45029,102,135,8
45031,152,188,12
45033,72,79,6
45035,94,94,0
45037,25,25,0
45041,1011,1033,63
45043,131,131,10
45045,1560,1748,123
45047,332,400,20
45049,32,32,6
45051,1032,973,100
45053,41,41,4
45055,121,121,10
45057,208,253,20
45059,43,76,0
45063,634,636,37
45067,94,124,10
45071,48,90,7
45073,122,169,0
45075,266,301,20
45077,131,164,4
45079,2339,1490,82
45083,748,884,41
45085,173,283,17
45087,49,143,6
45089,25,25,4
45091,318,338,24
46005,25,25,6
46007,14,14,0
46009,50,50,0
46011,49,49,0
46013,97,157,6
46015,25,25,0
46023,37,37,0
46027,25,25,0
46029,81,81,8
46033,11,11,0
46035,50,67,8
46037,20,25,0
46039,10,10,0
46041,8,0,0
46043,11,11,0
46045,12,12,0
46047,25,25,0
46049,12,12,0
46051,25,25,0
46053,41,41,0
46055,18,18,0
46059,25,0,0
46065,50,50,6
46067,50,50,0
46073,16,16,0
46077,6,6,0
46079,22,22,0
46081,45,62,5
46083,64,64,0
46089,4,6,0
46091,20,20,0
46093,79,25,3
46099,1296,1150,56
46101,18,18,0
46102,45,0,0
46103,403,449,38
46107,10,10,0
46109,25,25,0
46115,23,25,0
46121,35,0,0
46123,25,25,0
46125,12,12,0
46127,38,40,0
46129,25,25,4
46135,168,232,10
47001,220,317,25
47003,44,60,8
47005,25,25,0
47007,25,25,0
47009,348,459,8
47011,183,251,27
47013,81,120,10
47015,30,60,0
47017,42,70,0
47019,109,121,8
47021,12,12,0
47025,33,85,5
47029,32,74,5
47031,123,160,13
47035,73,189,12
47037,3658,4073,359
47039,40,40,0
47041,52,71,4
47043,91,157,6
47045,109,225,14
47051,152,173,10
47053,47,70,3
47055,81,95,6
47059,189,240,17
47063,116,167,20
47065,2141,2052,151
47067,10,10,0
47069,175,238,0
47071,49,58,0
47073,32,50,6
47077,36,45,0
47079,64,142,0
47081,25,25,0
47083,25,25,0
47085,25,25,0
47089,58,58,6
47091,2,2,0
47093,1751,1253,147
47097,25,25,0
47099,89,99,6
47103,49,59,6
47105,30,50,5
47107,88,118,4
47111,25,25,0
47113,870,177,89
47115,28,70,0
47117,25,25,0
47119,281,271,41
47123,59,59,0
47125,260,296,21
47131,63,173,0
47133,90,114,6
47135,21,53,0
47141,247,285,38
47143,25,25,3
47145,52,54,6
47147,109,109,8
47149,759,491,78
47151,25,25,0
47155,58,79,16
47157,4470,4745,196
47159,25,25,2
47163,851,1139,92
47165,255,265,38
47167,47,100,0
47169,25,25,0
47171,10,48,0
47177,100,125,8
47179,630,581,76
47181,30,80,0
47183,94,156,0
47185,32,60,4
47187,543,270,28
47189,170,170,12
48001,150,0,10
48003,30,34,0
48005,367,446,39
48013,67,67,6
48015,32,32,0
48017,25,25,0
48021,8,8,0
48023,27,49,0
48025,40,69,8
48027,1241,365,90
48029,8584,7596,505
48035,25,25,0
48037,679,864,58
48039,247,312,16
48041,579,537,48
48043,25,25,3
48049,77,188,12
48051,15,25,0
48053,71,71,12
48055,57,59,0
48057,25,25,6
48061,1214,1277,96
48063,25,25,0
48067,43,43,0
48069,17,17,0
48071,39,39,0
48073,346,97,0
48075,39,39,0
48077,25,25,0
48079,18,18,0
48083,25,25,0
48085,1826,1928,82
48087,13,13,0
48089,61,65,0
48091,324,340,16
48093,25,25,0
48095,16,16,0
48097,54,78,5
48099,25,25,4
48103,25,25,0
48107,25,25,0
48109,14,14,0
48111,21,21,0
48113,7823,7317,508
48115,22,23,0
48117,30,42,0
48121,1464,1349,85
48123,44,49,0
48127,25,25,0
48133,36,52,0
48135,560,638,30
48139,166,189,18
48141,2763,2094,225
48143,50,98,5
48145,36,36,0
48147,317,25,2
48149,38,65,0
48151,14,14,0
48153,25,25,0
48157,1327,1268,146
48161,37,37,0
48163,24,22,0
48165,25,33,0
48167,1363,252,0
48171,57,86,10
48177,34,33,0
48179,97,115,8
48181,663,623,71
48183,644,681,57
48185,18,25,0
48187,123,133,9
48189,69,68,5
48193,42,42,0
48195,14,14,0
48197,24,24,0
48201,14802,13137,1039
48203,149,149,42
48207,25,25,0
48209,391,385,42
48211,15,26,0
48213,127,127,10
48215,2212,2332,195
48217,25,116,0
48219,48,48,0
48221,48,73,12
48223,56,96,14
48225,25,0,0
48227,275,150,8
48231,176,181,16
48233,25,25,4
48237,17,17,0
48239,25,25,0
48241,40,59,6
48245,1362,1179,88
48249,72,135,8
48251,346,501,35
48253,7,45,0
48255,25,25,0
48257,351,91,8
48265,302,124,12
48267,15,15,0
48273,50,96,10
48275,28,28,0
48277,154,202,20
48279,42,75,0
48281,25,25,0
48285,50,50,3
48291,41,32,0
48293,69,78,6
48299,25,27,0
48303,2730,1569,194
48305,25,24,0
48307,14,25,0
48309,738,526,42
48313,15,25,0
48317,18,18,0
48321,63,75,6
48323,86,101,10
48325,25,25,0
48329,626,554,0
48335,25,25,0
48337,55,87,0
48339,1491,1431,113
48341,19,25,3
48347,297,392,27
48349,49,162,9
48353,39,86,5
48355,1808,1872,105
48357,25,25,0
48363,48,74,8
48365,42,42,0
48367,108,129,20
48369,25,25,0
48371,39,39,0
48373,52,66,8
48375,1354,967,51
48383,7,7,0
48389,25,25,0
48391,20,0,0
48397,61,69,6
48399,31,50,0
48401,41,96,0
48403,25,25,0
48405,9,18,0
48413,14,14,0
48415,25,25,0
48423,1632,1234,211
48425,16,16,0
48427,48,48,0
48429,14,40,0
48433,20,20,0
48435,12,12,0
48437,20,20,0
48439,5952,5762,372
48441,733,878,66
48445,26,45,0
48447,14,14,0
48449,49,174,8
48451,580,470,29
48453,3005,2714,301
48457,25,49,0
48461,26,29,0
48463,21,25,6
48465,47,93,7
48469,685,717,35
48471,90,123,6
48475,21,25,0
48477,50,60,5
48479,515,557,56
48481,26,49,4
48483,41,41,0
48485,812,479,12
48487,398,47,0
48491,954,848,100
48493,44,44,4
48495,19,19,0
48497,49,99,21
48499,48,50,0
48501,24,24,0
48503,50,50,0
49001,30,74,0
49003,56,74,0
49005,152,168,14
49007,49,0,6
49011,310,390,22
49013,35,49,4
49017,15,36,0
49019,17,17,0
49021,48,48,6
49023,25,25,0
49025,25,25,0
49027,37,37,0
49035,2967,3377,230
49037,32,36,1
49039,43,43,0
49041,24,29,0
49043,37,38,4
49045,36,44,4
49047,39,39,4
49049,1227,1384,122
49051,19,19,0
49053,164,245,32
49057,457,593,64
50001,25,45,0
50003,78,99,10
50005,25,75,4
50007,415,522,21
50011,53,70,0
50015,25,43,0
50017,25,52,2
50019,25,49,5
50021,124,188,13
50023,101,130,14
50025,185,229,0
50027,50,144,0
51001,46,0,10
51003,150,0,12
51005,95,0,10
51013,305,0,32
51015,209,0,8
51017,14,0,0
51019,34,0,6
51027,49,0,12
51041,450,0,94
51047,70,0,6
51051,2,0,0
51057,67,0,7
51059,2807,0,142
51061,97,0,8
51067,37,0,4
51071,25,0,0
51073,67,0,7
51083,107,0,12
51085,264,0,24
51087,1018,0,81
51095,276,0,26
51103,25,0,0
51107,429,0,33
51117,70,0,0
51121,198,0,22
51127,94,0,0
51135,180,0,0
51139,25,0,0
51147,86,0,8
51153,207,0,24
51155,92,0,8
51161,270,0,0
51167,49,0,5
51171,25,0,0
51173,139,0,4
51177,105,0,12
51179,90,0,4
51185,207,0,12
51187,46,0,8
51191,115,0,14
51195,68,0,8
51197,92,0,6
51199,110,0,0
51510,339,0,40
51520,25,0,0
51540,786,0,14
51550,310,0,28
51590,367,0,34
51595,70,0,7
51620,75,0,8
51630,533,0,0
51640,141,0,10
51650,251,0,24
51660,238,0,34
51670,107,0,17
51678,25,0,0
51680,555,0,37
51683,94,0,11
51690,223,0,0
51700,605,0,34
51710,1346,0,87
51720,233,0,11
51730,618,0,28
51740,417,0,22
51760,2507,0,33
51770,747,0,36
51775,330,0,24
51790,132,0,0
51800,155,0,12
51810,487,0,38
51840,389,0,48
53001,28,0,0
53003,25,0,0
53005,453,32,44
53007,221,0,20
53009,103,0,19
53011,746,220,96
53013,25,0,0
53015,166,346,18
53019,25,0,0
53021,25,95,0
53023,25,0,0
53025,123,0,12
53027,108,0,8
53029,30,0,6
53031,25,0,6
53033,4354,2228,541
53035,334,336,20
53037,25,0,6
53039,28,0,0
53041,152,0,6
53043,50,0,0
53045,25,0,6
53047,71,0,0
53049,35,0,0
53051,20,0,0
53053,2531,552,197
53055,10,10,0
53057,205,25,6
53061,863,0,72
53063,1896,16,79
53065,48,0,0
53067,411,0,72
53071,120,0,28
53073,207,241,24
53075,50,0,6
53077,258,0,52
54001,12,72,0
54003,146,241,20
54005,25,25,0
54007,25,25,0
54011,1068,961,32
54013,25,42,0
54019,50,94,3
54023,25,61,3
54025,92,122,12
54027,14,44,0
54029,199,251,10
54033,423,292,20
54035,25,46,0
54037,25,25,5
54039,1706,1381,100
54041,220,70,6
54045,132,140,12
54047,49,124,7
54049,89,207,14
54051,59,127,9
54053,94,201,5
54055,206,419,17
54057,25,25,4
54059,27,76,6
54061,1005,985,91
54065,25,41,0
54067,49,105,6
54069,317,432,22
54075,25,25,0
54077,25,25,0
54079,70,70,0
54081,413,473,27
54083,90,90,0
54087,25,60,0
54089,25,25,0
54091,25,101,0
54095,25,12,0
54097,25,51,4
54099,80,0,0
54101,25,15,0
54103,48,58,5
54107,270,313,18
55001,25,25,0
55003,25,35,0
55005,90,90,5
55009,828,1278,56
55013,25,25,0
55015,25,25,0
55017,151,242,6
55019,25,25,0
55021,68,98,10
55023,24,25,0
55025,1901,2075,32
55027,245,245,10
55029,25,25,4
55031,25,25,0
55033,25,25,0
55035,418,661,40
55039,158,189,15
55043,75,75,0
55045,58,95,6
55047,25,25,5
55049,25,25,0
55053,25,25,0
55055,49,82,4
55057,40,40,0
55059,492,517,27
55063,395,656,52
55065,25,25,0
55067,25,25,4
55069,40,43,0
55071,127,236,16
55073,338,440,52
55075,55,99,10
55079,4025,4651,455
55081,50,50,0
55083,32,35,0
55085,102,172,30
55087,441,492,64
55089,246,309,46
55091,25,25,0
55093,25,25,0
55095,70,73,3
55097,84,94,12
55099,24,25,4
55101,657,715,33
55103,25,25,4
55105,381,564,33
55107,25,25,4
55109,75,75,0
55111,104,161,10
55113,25,25,0
55115,25,25,0
55117,189,370,13
55119,25,25,0
55121,43,43,0
55123,50,50,0
55125,14,25,0
55127,79,134,16
55129,45,50,0
55131,105,141,12
55133,710,1243,64
55135,50,50,4
55137,25,25,0
55139,687,795,60
55141,315,619,4
56001,66,99,4
56003,22,25,0
56005,66,90,14
56007,25,25,6
56009,25,25,0
56011,16,16,0
56013,133,159,12
56015,25,25,0
56017,25,25,0
56019,22,25,0
56021,252,206,15
56023,35,38,0
56025,372,269,14
56027,24,24,0
56029,50,50,4
56031,25,25,0
56033,71,88,11
56037,74,115,10
56039,48,48,6
56041,105,42,6
56043,18,18,0
56045,12,12,0
66010,304,0,31
72005,124,0,8
72009,210,0,6
72013,292,0,14
72021,837,0,66
72023,43,0,0
72025,665,0,64
72031,342,0,14
72035,225,0,35
72041,216,0,0
72045,0,0,0
72053,222,0,21
72057,116,0,6
72061,49,0,0
72069,296,0,39
72081,0,0,0
72091,553,0,28
72097,468,0,44
72099,106,0,7
72113,848,0,111
72125,232,0,18
72127,2555,0,245
72141,7,0,0
72145,130,0,6
72153,84,0,11
78010,77,0,11
78030,107,0,8
