FIPS,staffed_beds,licensed_beds,icu_beds
13071,127,158,10
13075,33,60,0
13077,250,186,23
13081,65,73,16
13083,36,0,0
13087,80,80,10
13089,1997,2227,278
13091,40,94,6
13095,657,691,50
13097,102,108,8
13099,15,25,0
13103,25,25,0
13105,52,52,4
13107,45,72,8
13109,49,49,0
13111,50,50,5
13113,221,221,66
13115,435,514,42
13117,304,304,24
13119,56,56,8
13121,3927,4992,519
13127,401,401,0
13129,69,69,8
13131,46,60,4
13133,25,25,0
13135,945,931,70
13137,53,53,4
13139,545,657,85
13143,15,25,0
13151,215,215,0
13153,276,276,36
13155,34,34,0
13157,128,90,0
13159,12,17,0
13161,25,25,4
13163,37,37,0
13165,15,25,0
13173,25,25,0
13175,145,190,16
13179,64,25,0
13185,377,403,48
13187,0,0,0
13189,25,25,0
13193,22,49,0
13199,109,109,0
13201,25,25,0
13205,25,0,0
13207,25,25,0
13211,25,25,0
13213,29,42,0
13215,1627,1167,61
13217,94,101,10
13223,112,112,8
13225,25,25,0
13227,52,52,6
13233,25,25,0
13235,55,49,6
13237,25,25,0
13241,25,25,0
13243,25,25,0
13245,2160,2524,209
13247,138,138,16
13251,25,25,0
13253,45,65,0
13255,160,160,22
13257,74,96,6
13261,54,76,0
13267,25,25,0
13275,226,264,35
13277,181,181,20
13279,52,57,8
13281,25,25,0
13285,276,276,20
13291,39,45,5
13293,87,115,28
13297,164,77,7
13299,134,231,10
13303,56,56,0
13305,88,88,12
13313,246,282,26
13317,25,25,0
13321,25,25,0
15001,296,531,24
15003,2716,2175,136
15007,102,197,9
15009,247,366,20
16001,1405,1209,88
16005,137,205,20
16007,21,21,0
16009,19,19,0
16011,131,145,5
16013,25,25,0
16017,25,25,4
16019,267,332,35
16021,20,20,0
16023,14,14,0
16027,282,346,41
16029,25,25,0
16031,31,25,6
16035,78,83,0
16039,21,25,0
16041,20,20,0
16045,13,16,0
16047,16,18,0
16049,40,41,0
16053,25,25,0
16055,401,403,55
16057,25,25,3
16059,18,18,0
16065,67,69,4
16067,16,25,0
16069,110,145,9
16071,11,11,0
16077,10,10,0
16079,21,25,0
16081,13,13,0
16083,186,224,30
16085,23,25,0
16087,19,25,0
17001,248,307,25
17005,32,42,0
17007,36,34,0
17011,69,94,9
17019,637,603,13
17021,47,47,0
17025,20,20,0
17027,46,70,0
17029,82,149,0
17031,18615,18128,1299
17033,25,63,0
17037,192,192,16
17039,15,25,0
17043,2083,2253,241
17045,25,25,0
17049,133,133,10
17051,29,110,4
17053,25,41,2
17055,16,16,0
17057,43,87,5
17061,25,25,0
17063,89,89,8
17065,25,25,0
17067,18,18,0
17069,25,25,0
17073,50,86,3
17075,25,25,0
17077,179,179,21
17081,171,181,22
17083,46,65,4
17085,18,25,0
17089,1114,890,65
17091,460,500,18
17095,177,254,18
17097,975,1158,108
17099,164,171,13
17101,25,25,0
17103,66,80,6
17105,42,42,5
17107,25,25,0
17109,45,60,7
17111,437,476,33
17113,343,370,30
17115,446,424,35
17117,50,50,0
17119,677,929,58
17121,107,149,9
17125,25,25,0
17127,25,25,0
17131,22,22,0
17135,50,50,0
17137,93,131,9
17141,17,16,4
17143,1122,1226,95
17145,42,42,0
17147,16,16,0
17149,25,35,0
17157,171,75,0
17159,47,134,8
17161,480,510,27
17163,556,736,42
17165,65,102,0
17167,1004,1012,83
17169,22,22,0
17173,30,30,0
17177,100,100,8
17179,132,132,8
17181,113,47,0
17183,179,198,12
17185,25,25,4
17187,23,23,0
17189,22,50,0
17191,25,55,4
17195,121,123,9
17197,850,923,73
17199,294,212,26
17201,932,936,90
17203,25,25,0
18001,25,0,4
18003,2176,0,134
