,Date,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential,FIPS
92,2020-04-11,-30.0,13.0,,,-33.0,16.0,37003
93,2020-03-29,-79.0,-57.0,-54.0,,-56.0,,26003
94,2020-04-05,-79.0,-45.0,-49.0,,-56.0,,26003
95,2020-04-11,-79.0,-45.0,-14.0,,-62.0,,26003
96,2020-03-29,-57.0,-27.0,,,-22.0,,19005
97,2020-04-05,-75.0,-5.0,,,-25.0,,19005
98,2020-04-11,-75.0,-5.0,,,-38.0,,19005
99,2020-03-29,-49.0,-17.0,-21.0,-36.0,-39.0,12.0,26005
100,2020-04-05,-42.0,-10.0,-21.0,-30.0,-39.0,10.0,26005
101,2020-04-11,-49.0,-4.0,,-51.0,-41.0,15.0,26005
102,2020-03-29,-39.0,-17.0,-8.0,-32.0,-31.0,16.0,24001
103,2020-04-05,-48.0,-22.0,-33.0,-44.0,-32.0,18.0,24001
104,2020-04-11,-41.0,-6.0,-55.0,-39.0,-30.0,20.0,24001
105,2020-03-29,-40.0,-15.0,,,-33.0,18.0,36003
106,2020-04-05,-35.0,-2.0,,,-33.0,20.0,36003
107,2020-04-11,-35.0,-15.0,,,-31.0,18.0,36003
108,2020-03-29,-31.0,-11.0,,,-22.0,,37005
109,2020-04-05,-29.0,-5.0,,,-28.0,,37005
110,2020-04-11,-29.0,-5.0,,,-42.0,,37005
111,2020-03-29,-32.0,,,-12.0,-23.0,,51005
112,2020-04-05,-17.0,,,-20.0,-28.0,,51005
113,2020-04-11,-17.0,,,-22.0,-25.0,,51005
114,2020-03-29,-51.0,-21.0,83.0,-56.0,-41.0,11.0,42003
115,2020-04-05,-55.0,-23.0,36.0,-61.0,-44.0,12.0,42003
116,2020-04-11,-54.0,-8.0,8.0,-52.0,-45.0,15.0,42003
117,2020-03-29,-54.0,-36.0,13.0,-44.0,-39.0,12.0,18003
118,2020-04-05,-47.0,-23.0,121.0,-42.0,-40.0,10.0,18003
119,2020-04-11,-48.0,-12.0,76.0,-38.0,-39.0,13.0,18003
120,2020-03-29,-19.0,-2.0,,,-14.0,,20001
121,2020-04-05,-28.0,-2.0,,,-26.0,,20001
122,2020-04-11,-28.0,-2.0,,,-30.0,,20001
123,2020-03-29,-17.0,0.0,,,-24.0,,21003
124,2020-04-05,-9.0,7.0,,,-33.0,,21003
125,2020-04-11,-9.0,7.0,,,-28.0,,21003
126,2020-03-29,-48.0,-25.0,13.0,-31.0,-29.0,10.0,39003
127,2020-04-05,-48.0,-16.0,11.0,-28.0,-35.0,10.0,39003
128,2020-04-11,-44.0,-2.0,11.0,-20.0,-32.0,12.0,39003
129,2020-03-29,-34.0,-19.0,,,-33.0,,22003
130,2020-04-05,-35.0,-10.0,,,-41.0,,22003
131,2020-04-11,-35.0,-10.0,,,-38.0,,22003
132,2020-03-29,,-12.0,,,-16.0,,45005
133,2020-04-05,,-12.0,,,-18.0,,45005
134,2020-04-11,,-12.0,,,-43.0,,45005
135,2020-03-29,-43.0,-17.0,,,-31.0,3.0,26007
136,2020-04-05,-38.0,-10.0,,,-36.0,3.0,26007
137,2020-04-11,-50.0,-10.0,,,-34.0,3.0,26007
138,2020-03-29,-41.0,-20.0,-50.0,,-44.0,0.0,6005
139,2020-04-05,-56.0,-44.0,-64.0,,-52.0,0.0,6005
140,2020-04-11,-35.0,-26.0,-64.0,,-39.0,0.0,6005
141,2020-03-29,-31.0,-18.0,,,-35.0,,51007
142,2020-04-05,-60.0,-21.0,,,-36.0,,51007
143,2020-04-11,-60.0,-21.0,,,-43.0,,51007
144,2020-03-29,-9.0,-7.0,,,-23.0,8.0,51009
145,2020-04-05,-15.0,-2.0,,,-27.0,8.0,51009
146,2020-04-11,-2.0,-2.0,,,-23.0,8.0,51009
147,2020-03-29,-34.0,-13.0,,,-33.0,,28005
148,2020-04-05,-50.0,-31.0,,,-29.0,,28005
149,2020-04-11,-50.0,-31.0,,,-35.0,,28005
150,2020-03-29,-18.0,,,,-27.0,,20003
151,2020-04-05,-33.0,,,,-28.0,,20003
152,2020-04-11,-33.0,,,,-37.0,,20003
153,2020-03-29,-26.0,-5.0,,,-27.0,-1.0,21005
154,2020-04-05,-21.0,-3.0,,,-33.0,-1.0,21005
155,2020-04-11,-21.0,-3.0,,,-34.0,-1.0,21005
156,2020-03-29,-40.0,-3.0,-1.0,-20.0,-34.0,8.0,45007
157,2020-04-05,-44.0,-4.0,7.0,-25.0,-35.0,9.0,45007
158,2020-04-11,-45.0,8.0,8.0,-37.0,-33.0,11.0,45007
159,2020-03-29,-30.0,-5.0,65.0,,-31.0,8.0,47001
160,2020-04-05,-40.0,4.0,27.0,,-37.0,10.0,47001
161,2020-04-11,-35.0,8.0,12.0,,-28.0,9.0,47001
162,2020-03-29,-23.0,1.0,,-17.0,-22.0,11.0,48001
163,2020-04-05,-39.0,-6.0,,-17.0,-26.0,15.0,48001
164,2020-04-11,-35.0,-2.0,,,-24.0,16.0,48001
165,2020-03-29,-63.0,5.0,,,-32.0,,29003
166,2020-04-05,-68.0,12.0,,,-32.0,,29003
167,2020-04-11,-68.0,12.0,,,-24.0,,29003
168,2020-03-29,-28.0,-22.0,,32.0,-33.0,,48003
169,2020-04-05,-45.0,-40.0,,11.0,-31.0,,48003
170,2020-04-11,-45.0,-40.0,,-13.0,-36.0,,48003
171,2020-03-29,-49.0,-21.0,-26.0,,-30.0,10.0,23001
172,2020-04-05,-49.0,-18.0,24.0,,-31.0,10.0,23001
173,2020-04-11,-41.0,4.0,-33.0,,-31.0,10.0,23001
174,2020-03-29,-38.0,-9.0,-45.0,-25.0,-25.0,12.0,48005
