,Parks,Parks,Parks
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
12005,-2.0,-20.0,-18.0
12007,,,
12009,-26.0,-67.0,-32.0
12011,-62.0,-69.0,-69.0
12013,,,
12015,-35.0,-61.0,-49.0
12017,-35.0,-78.0,-43.0
12019,1.0,-46.0,-22.0
12021,-62.0,-76.0,-70.0
12023,-41.0,-57.0,-42.0
12027,-28.0,-57.0,-37.0
12029,,,
12031,-26.0,-60.0,-45.0
12033,-11.0,-16.0,-11.0
12035,-34.0,-72.0,-55.0
12037,-14.0,-23.0,-45.0
12039,,,
12041,,-36.0,-44.0
12043,-65.0,-65.0,-65.0
12045,,,
12047,,,
12049,-30.0,-52.0,-34.0
12051,-42.0,-64.0,-52.0
12053,-10.0,-64.0,-41.0
12055,-49.0,-66.0,-57.0
12057,-53.0,-75.0,-57.0
12059,,,
12061,-30.0,-65.0,-48.0
12063,,-24.0,-24.0
12065,,,
12067,,,
12069,-24.0,-66.0,-35.0
12071,-60.0,-76.0,-69.0
12073,0.0,-20.0,-23.0
12075,-20.0,-48.0,-36.0
12077,,,
12079,,,
12081,-28.0,-73.0,-44.0
12083,-40.0,-65.0,-49.0
12085,-28.0,-55.0,-44.0
12086,-77.0,-80.0,-81.0
12087,-76.0,-79.0,-77.0
12089,-24.0,-60.0,-42.0
12091,-7.0,-27.0,-28.0
12093,-23.0,-56.0,-29.0
12095,-59.0,-81.0,-53.0
12097,-49.0,-67.0,-47.0
12099,-65.0,-76.0,-70.0
12101,-10.0,-65.0,-47.0
12103,-16.0,-62.0,-35.0
12105,-28.0,-55.0,-43.0
12107,-20.0,-44.0,-37.0
12109,-53.0,-79.0,-63.0
12111,-22.0,-53.0,-24.0
12113,17.0,-3.0,0.0
12115,-59.0,-76.0,-66.0
12117,-19.0,-71.0,-33.0
12119,-31.0,-69.0,-41.0
12121,0.0,-20.0,-23.0
12123,,,
12125,,,
12127,-10.0,-73.0,-32.0
12129,20.0,4.0,-10.0
12131,-29.0,-44.0,-49.0
12133,,,
13001,,,
13003,,,
13005,,,
13009,,,
13011,,,
13013,-37.0,,
13015,40.0,74.0,126.0
13017,,,
13019,,,
13021,36.0,-3.0,-6.0
13023,,,
13025,,,
13027,,,
13029,-9.0,-32.0,-19.0
13031,,-31.0,-31.0
13033,-23.0,-2.0,-2.0
13035,,,
13039,7.0,-40.0,-17.0
13043,,,
13045,12.0,-8.0,0.0
13047,14.0,-35.0,-21.0
13049,,,
13051,-32.0,-51.0,-28.0
13053,,,
13055,,,
13057,59.0,60.0,134.0
13059,-21.0,-45.0,-25.0
13063,15.0,-10.0,-10.0
13065,,,
13067,-47.0,-54.0,-34.0
13069,,,
