,fips,pclon10,pclat10
163,5099,-93.358085,33.722167999999996
164,5101,-93.1705,35.98494
165,5103,-92.838871,33.574461
166,5105,-92.779271,34.999054
167,5107,-90.707796,34.529768
168,5109,-93.624765,34.187298
169,5111,-90.557998,35.60191
170,5113,-94.25851899999999,34.52045
171,5115,-93.097238,35.309776
172,5117,-91.536241,34.859177
173,5119,-92.31165899999999,34.773719
174,5121,-90.98841999999999,36.304758
175,5123,-90.770297,35.015313
176,5125,-92.546163,34.593233000000005
177,5127,-94.095905,34.907145
178,5129,-92.659155,35.922829
179,5131,-94.354435,35.318195
180,5133,-94.304091,34.014236
181,5135,-91.520168,36.178492999999996
182,5137,-92.137,35.856705
183,5139,-92.64508000000001,33.20687
184,5141,-92.421475,35.567839
185,5143,-94.17222199999999,36.094275
186,5145,-91.767388,35.243736
187,5147,-91.25207900000001,35.233191
188,5149,-93.28945999999999,35.120982
189,6001,-122.100393,37.705201
190,6003,-119.847603,38.728297999999995
191,6005,-120.775729,38.394208
192,6007,-121.70763500000001,39.669037
193,6009,-120.63371799999999,38.163627000000005
194,6011,-122.08555700000001,39.156147999999995
195,6013,-122.03013100000001,37.935588
196,6015,-124.16308799999999,41.791232
197,6017,-120.74433,38.746543
198,6019,-119.76788400000001,36.738918
199,6021,-122.17749099999999,39.663418
200,6023,-124.087189,40.752982
201,6025,-115.53448700000001,32.841101
202,6027,-118.267513,37.160247
203,6029,-118.936004,35.372968
204,6031,-119.72908400000001,36.242748999999996
205,6033,-122.734609,38.973362
206,6035,-120.579176,40.392396999999995
207,6037,-118.244222,34.065193
208,6039,-120.00675,37.043099
209,6041,-122.547075,37.986705
210,6043,-119.957219,37.542747999999996
211,6045,-123.397227,39.285329
212,6047,-120.623989,37.281015999999994
213,6049,-120.65091100000001,41.522584
214,6051,-118.97059399999999,37.763321999999995
215,6053,-121.64616200000002,36.611722
216,6055,-122.321646,38.329075
217,6057,-120.916546,39.219524
218,6059,-117.86288,33.733953
219,6061,-121.18246599999999,38.844511
220,6063,-120.825847,39.983857
221,6065,-117.06620500000001,33.800439000000004
222,6067,-121.38086100000001,38.56895
223,6069,-121.40385900000001,36.843404
224,6071,-117.357474,34.190248
225,6073,-117.112994,32.88326
226,6075,-122.438323,37.759598
227,6077,-121.29810800000001,37.931804
228,6079,-120.667689,35.342391
229,6081,-122.34099099999999,37.56395
230,6083,-120.092602,34.639262
231,6085,-121.910421,37.315104999999996
232,6087,-121.936728,36.985171
233,6089,-122.29996100000001,40.580269
234,6091,-120.41423600000002,39.612588
235,6093,-122.489833,41.576203
236,6095,-122.069324,38.235582
237,6097,-122.720522,38.41408
238,6099,-120.955577,37.619147
239,6101,-121.644269,39.135490000000004
240,6103,-122.218704,40.115187
241,6105,-123.07235700000001,40.681267999999996
242,6107,-119.23154699999999,36.251227
243,6109,-120.32853,37.971531
244,6111,-119.02501799999999,34.241989000000004
245,6113,-121.721112,38.598913
246,6115,-121.506626,39.13883
247,8001,-104.92747299999999,39.874297
248,8003,-105.877245,37.483069
249,8005,-104.845968,39.647528
250,8007,-107.085027,37.240087
251,8009,-102.527089,37.368221000000005
252,8011,-103.1631,38.072386
253,8013,-105.183981,40.063299
254,8014,-105.05549099999999,39.936888
255,8015,-106.082645,38.676497
256,8017,-102.45777,38.816795
257,8019,-105.52965,39.712957
