FIPS,01/01/20,01/02/20,01/03/20,01/04/20,01/05/20,01/06/20,01/07/20,01/08/20,01/09/20,01/10/20,01/11/20,01/12/20,01/13/20,01/14/20,01/15/20,01/16/20,01/17/20,01/18/20,01/19/20,01/20/20,01/21/20,01/22/20,01/23/20,01/24/20,01/25/20,01/26/20,01/27/20,01/28/20,01/29/20,01/30/20,01/31/20,02/01/20,02/02/20,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/10/20,04/11/20,04/12/20
48273,13.1875,18.125,7.75,3.0,5.25,10.5,22.75,24.8125,49.125,52.5,21.875,28.3125,21.5,15.1875,16.9375,20.75,20.625,16.75,11.25,14.25,29.1875,33.09090909090909,26.666666666666668,20.5,19.6875,38.5,19.25,28.4375,39.125,20.375,29.75,19.875,23.9375,36.0625,64.875,30.25,16.375,20.25,26.25,52.6875,59.6875,31.25,4.625,11.0,29.25,30.25,30.3125,45.0,48.42857142857143,26.0,7.875,18.75,35.875,29.8125,42.125,24.4375,7.285714285714286,2.0,27.785714285714285,,,55.8125,59.0,34.25,13.25,37.0,39.875,40.75,50.375,51.8125,27.5,35.625,41.25,55.6875,49.3125,39.0,40.6875,60.25,60.5625,52.6,37.25,51.285714285714285,52.84615384615385,71.625,50.785714285714285,62.5625,62.5,63.875,,58.8125,37.375,38.75,50.5,103.0
48303,,,,7.5,,,,3.6363636363636362,10.5625,24.8125,17.125,11.5625,17.3125,15.9375,17.875,17.9375,19.0625,12.6875,8.625,11.9375,15.75,24.0625,13.6875,17.4375,22.75,17.8125,23.9375,14.4375,10.375,18.4375,17.3125,9.5,10.0625,19.875,19.625,8.375,13.75,8.2,,,20.4375,17.25,18.4375,15.75,25.8125,37.5625,18.25,16.625,20.75,17.375,25.6875,25.3125,24.75,28.8125,13.75,9.1875,8.25,13.3125,8.666666666666666,,,11.6,16.9375,29.0,20.3125,15.875,26.9375,25.75,12.375,17.8125,11.8125,10.75,15.4375,9.0625,6.125,10.0625,10.625,15.4375,5.5625,7.0625,13.625,15.3125,16.9375,6.625,12.8125,18.625,11.125,8.9375,10.5625,28.5,19.875,58.375,39.25,11.727272727272727
48309,34.75,29.625,25.375,23.0,24.75,23.6875,21.3125,24.8125,22.875,26.4375,23.0625,23.625,30.9375,27.125,32.0625,30.3125,22.25,24.4375,19.1875,23.1875,26.5625,25.625,20.8125,21.5,21.9375,24.75,31.125,29.375,19.1875,21.8125,24.8125,24.125,23.625,27.5,26.5,20.25,18.125,25.125,25.9375,24.1875,24.5625,22.1875,17.3125,25.375,22.125,26.9375,31.75,27.4375,34.875,20.4375,21.75,25.5625,25.4375,25.375,20.3125,23.0,21.9375,22.0,24.625,,,36.1875,38.9375,35.9375,25.75,21.875,24.625,34.0625,24.625,26.9375,36.9375,34.4375,35.5625,37.0,20.0625,27.8125,39.9375,33.375,41.0625,26.4375,19.9375,22.6875,27.5,31.75,31.4375,53.0625,47.09090909090909,29.6875,37.75,27.625,18.5,33.1875,33.9375,34.09090909090909
48315,42.9375,29.8125,27.3125,17.625,21.5,24.5,32.4375,89.9375,32.375,25.0,,14.9375,26.3125,28.6875,24.8125,26.0,23.1875,23.0625,14.625,18.5,21.875,21.4375,14.875,16.1875,21.875,28.125,27.5,26.125,15.875,23.5625,27.6875,19.875,20.1875,27.625,23.9375,10.75,14.875,24.75,26.3125,21.5,16.25,11.4375,11.125,15.25,15.25,19.6875,37.8125,37.3125,42.25,15.625,17.0,16.0625,17.5,27.9375,16.625,18.9375,17.5,16.8125,22.8125,,,49.1875,46.625,35.125,20.833333333333332,26.4375,22.0,22.3125,38.0625,29.8125,37.6875,42.0,29.0,34.1875,17.125,24.3125,26.375,22.125,41.125,27.0,13.25,14.875,9.9375,40.0625,35.625,52.125,52.1875,43.5,28.285714285714285,19.125,12.5625,22.625,25.0625,31.375
48323,11.5,17.5625,18.125,12.875,17.916666666666668,41.666666666666664,8.1875,18.5625,25.6875,44.25,10.625,13.3125,35.75,28.1875,42.75,23.625,3.8125,15.3125,5.0,8.75,12.75,11.4375,16.25,13.125,14.25,21.6875,25.5,19.5625,17.375,15.625,19.1875,21.5625,29.0,28.5625,17.6875,6.75,26.0625,17.0,22.5625,30.8125,47.6875,9.6875,4.6875,8.5625,27.5625,17.0625,18.3125,28.9375,45.3125,12.9375,17.25,14.25,17.625,21.8125,16.75,20.4375,14.75,24.6875,22.2,,,41.625,53.3125,23.4375,14.125,25.375,54.625,24.375,21.75,29.714285714285715,55.8125,46.6875,48.75,63.25,54.375,33.1875,37.8125,37.5625,48.1875,15.4375,5.6875,11.875,32.3125,45.375,46.1875,68.0625,58.375,38.1875,24.75,38.25,32.625,27.875,43.75,55.36363636363637
48339,110.625,22.0,21.75,21.8125,35.75,21.125,29.1875,37.3125,24.1875,33.4375,17.1875,24.4375,33.25,26.5625,34.3125,30.1875,28.9375,26.4375,10.0,18.5,30.0625,34.3125,14.25,18.125,30.375,25.125,32.375,29.5,11.875,20.8125,31.5,31.625,28.875,27.8125,39.8125,13.6875,10.8125,27.5625,30.75,26.8125,41.25,12.4375,9.4375,16.3125,16.625,31.4375,42.25,51.3125,51.3125,11.5,11.1875,21.25,27.1875,33.8125,17.75,19.4375,18.125,18.75,20.9375,,,42.125,54.625,28.0,9.25,15.0625,31.9375,28.6875,32.0625,29.5,25.375,31.625,33.4375,35.25,39.75,38.4375,29.3125,29.5,46.75,27.8125,11.5,27.625,45.625,48.0,42.5,49.125,48.875,41.3125,26.875,39.1875,22.4375,17.6875,31.0625,67.0
48349,37.4375,29.75,27.125,25.8125,24.625,52.4375,45.25,47.875,36.25,31.0625,19.25,24.0625,34.75,35.0625,45.4375,42.375,43.9375,34.875,13.75,28.3125,51.5625,19.375,16.6875,26.4375,31.1875,37.125,32.4375,31.25,16.0625,15.625,32.8125,28.0,24.9375,40.875,39.0,14.25,17.75,31.125,23.5625,33.875,21.6875,16.375,10.25,18.25,17.75,27.0625,39.875,28.25,41.875,14.625,15.9375,22.5,27.6875,28.875,17.0,19.375,16.875,16.9375,19.0,,,44.1875,51.6875,36.25,23.3125,26.384615384615383,19.5625,33.25,24.75,25.9375,38.875,29.375,34.25,41.125,10.5,38.9375,52.375,32.5,41.625,15.9375,16.9375,15.4375,34.0625,33.8125,25.75,,,,,,,26.0,29.5,31.363636363636363
48355,17.96875,18.46875,12.5625,10.09375,13.25,12.90625,18.96875,24.125,20.875,33.40625,18.0,21.34375,30.03125,31.90625,30.5,30.8125,22.4375,21.78125,12.09375,14.78125,20.34375,15.65625,10.4375,19.0625,11.4375,22.3125,29.375,26.1875,15.09375,21.09375,25.75,23.34375,28.4375,29.875,53.375,26.28125,8.5,24.75,23.75,40.96875,61.59375,25.53125,7.9375,14.0,20.8125,28.9375,29.84375,39.391304347826086,55.45,26.0,11.4375,26.71875,32.3125,21.09375,24.28125,25.15625,10.625,13.90625,27.967741935483872,,,44.0,54.5,41.18518518518518,12.0,27.6875,27.25,18.09375,27.21875,36.34375,29.5625,30.15625,40.34375,49.0,43.34375,31.625,38.78125,51.28125,57.40625,45.625,20.25,39.875,50.71875,59.25,45.46875,53.25,48.9375,40.9375,17.90625,37.84375,24.53125,30.0,34.5,78.27272727272727
48361,81.3125,35.75,18.4375,26.28125,32.4375,20.08,16.5625,27.8125,28.6875,33.875,22.65625,25.8125,35.46875,31.8125,28.25,23.8125,31.46875,23.65625,9.1875,15.09375,30.09375,35.3125,22.25,19.4375,22.71875,15.9375,25.96875,31.0625,12.40625,22.78125,26.0,26.46875,28.8125,21.3125,41.5625,38.90625,13.25,18.90625,23.8125,17.09375,42.0625,27.96875,16.875,10.4375,13.9375,21.03125,32.875,41.71875,41.4375,16.46875,9.0625,16.28125,22.96875,30.90625,19.375,21.1875,10.8125,21.96875,35.36666666666667,,,38.34375,54.09375,30.8,16.04,44.96875,22.59375,36.375,29.375,35.6875,27.03125,27.90625,22.0,23.46875,27.6875,31.0,23.375,20.375,45.1875,41.0625,18.53125,36.5625,41.40625,52.6875,54.71875,52.09375,38.46875,45.75,22.1875,36.46875,36.28125,26.21875,30.96875,74.68181818181819
48375,15.3125,6.3125,7.9375,10.25,6.3125,10.0625,11.0625,13.5625,12.4375,16.6875,14.25,6.875,10.875,7.9375,8.9375,20.0625,20.125,12.0,12.3125,24.75,21.875,23.75,5.5,10.5625,18.8125,22.1875,17.4375,11.0,10.3125,11.0,5.5,6.9375,7.6875,12.3125,11.875,5.533333333333333,11.0,6.75,14.375,12.0625,17.25,21.75,16.3125,16.9375,23.375,31.6875,13.0625,20.5,17.125,18.8125,25.375,28.875,37.25,16.75,12.4375,12.5,7.25,9.1875,11.384615384615385,,8.9375,12.8125,16.6875,20.625,17.0625,16.375,19.75,35.3125,8.125,16.53846153846154,13.5,4.6875,14.3125,11.4375,15.0,11.125,13.9375,8.25,3.3125,9.875,15.875,13.25,27.0,4.6875,5.0,,,,,23.375,15.1875,53.75,30.125,29.636363636363637
48439,57.78125,35.40625,24.25,29.0625,29.15625,23.59375,21.65625,35.75,27.40625,29.59375,28.75,42.125,51.666666666666664,41.03125,41.53125,42.6875,28.8125,17.71875,18.5625,41.96875,50.4375,39.40625,19.84375,20.75,36.5625,28.75,52.46666666666667,37.85,20.0625,26.28125,28.78125,27.34375,24.8125,28.40625,33.40625,26.71875,25.78125,28.59375,34.65625,26.0,27.125,33.6875,23.375,28.5625,29.4375,38.125,32.0625,38.03125,28.03125,26.625,20.59375,34.78125,40.375,36.71875,19.90625,14.125,15.46875,22.9375,22.033333333333335,,,42.63333333333333,47.34375,42.59375,28.9375,20.28125,44.03125,52.3125,26.3125,29.15625,48.09375,42.59375,28.03125,32.625,20.25,34.21875,75.59375,37.5625,43.827586206896555,21.63157894736842,25.25,20.15625,38.5,38.5,46.96875,65.53125,58.0,30.0625,25.8,37.75,14.3125,48.65625,42.9375,46.45454545454545
48453,53.125,45.25,20.479166666666668,12.833333333333334,21.895833333333332,28.145833333333332,21.458333333333332,36.479166666666664,22.1875,30.291666666666668,19.479166666666668,27.291666666666668,43.333333333333336,47.4375,44.583333333333336,26.916666666666668,17.125,22.729166666666668,7.8125,17.520833333333332,25.333333333333332,17.666666666666668,23.3125,24.854166666666668,31.729166666666668,22.958333333333332,36.9375,28.208333333333332,9.375,20.708333333333332,25.333333333333332,25.770833333333332,33.6875,29.791666666666668,32.270833333333336,13.1875,14.395833333333334,26.625,28.875,27.0,40.52777777777778,20.125,12.875,27.291666666666668,25.875,42.020833333333336,44.3125,37.416666666666664,50.625,16.25,8.75,37.375,42.90625,27.90625,21.96875,23.0,10.28125,21.78125,26.266666666666666,,,49.625,57.65625,31.125,19.96875,22.375,39.5,35.40625,32.78125,36.464285714285715,53.96875,45.6875,47.5625,54.21875,26.09375,38.5,43.90625,47.4375,57.90625,21.59375,26.09375,22.0,58.0,46.96875,46.46875,66.71875,57.1875,49.9375,39.40625,41.6875,28.3125,43.69565217391305,48.125,56.86363636363637
48479,45.0,30.375,18.375,15.0625,21.1875,32.0625,25.375,30.9375,38.125,49.0625,18.5,18.5,22.833333333333332,40.375,54.266666666666666,,13.5,25.0,23.25,22.5625,28.75,29.3125,24.75,25.25,24.75,28.3125,34.375,30.0625,27.6875,34.5625,33.4375,40.875,45.5625,38.8125,43.0,25.9375,25.3125,40.875,32.9375,47.8125,70.8125,40.25,14.0,18.4375,38.75,34.625,34.0625,45.25,60.25,32.125,17.0,26.8125,37.875,31.1875,26.3125,24.5625,18.3125,22.875,36.92307692307692,,,54.125,67.5625,41.0625,10.25,26.0,46.0625,24.5625,35.8125,44.25,53.75,53.4375,64.875,61.875,57.0,40.6875,35.5,47.1875,60.4375,31.625,13.625,6.6875,28.25,53.5625,63.875,76.0,71.125,74.5,35.8125,43.1875,44.875,34.5,50.375,74.27272727272727
48493,40.6875,52.0625,41.875,,22.5,20.4375,9.1875,26.8125,20.125,29.875,14.9375,24.125,27.625,35.9375,45.1875,29.8125,26.5625,16.125,6.3125,15.8125,21.9375,10.75,19.375,26.9375,14.6875,20.4375,36.5,25.5,7.125,22.375,27.3125,25.9375,34.0625,30.3125,36.4375,8.9375,14.9375,31.8125,32.625,35.5625,59.4375,14.3125,6.0,,,,,,49.9375,13.5,7.875,35.8125,38.8125,19.125,14.125,21.1875,6.125,24.875,33.333333333333336,,,45.875,50.25,20.0,17.214285714285715,32.5,36.1875,25.25,28.0625,38.875,38.8125,42.9375,52.125,56.0,40.0625,46.75,43.5,47.75,61.125,,,,,,,,,,,66.0,29.1875,47.0625,37.1875,65.18181818181819
49005,50.9375,12.875,42.0625,46.375,18.375,18.375,24.6875,51.38461538461539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
