fips,num_neighbors,center_00,center_10,pop_00,pop_10
1001,5,40.398738472033685,46.367879833041556,38.28225443739261,38.375192516565434
1003,6,81.71537192814698,78.91155000487275,83.47232943412614,84.55800073025623
1005,8,48.22633691526717,47.494926796018675,49.14119883611503,49.16280012223456
1007,6,50.5737528668721,50.372913043702546,50.70009719365296,50.5980516982465
1009,6,48.80654523937714,48.37720123811084,47.90858661723063,47.80685226872544
1011,5,48.764334764094336,42.39411365283401,50.41829260996104,50.317822957305815
1013,6,55.06085610470327,53.149960476254115,55.46493055656263,55.65863027166525
1015,5,44.089273423357646,40.9771386926577,44.823322586038714,44.97681618896214
1017,5,39.08595289917902,40.383186085892895,39.87469437494983,40.42158522942507
1019,7,45.09097597861695,43.74447220533374,46.2866954183071,46.159505958359645
1021,7,51.30713302636207,51.055708682965424,53.65950899095709,53.74692734349997
1023,7,57.33676148849323,56.429941577400264,56.891568030653914,57.21061465352923
1025,6,66.56220964892599,63.240778317742944,66.86051620468366,67.15687458025913
1027,5,43.814574511977185,44.097833250318956,42.378841191183774,42.58365101819561
1029,8,47.311602432066735,45.34467850411537,47.575431967699785,47.5160500116269
1031,5,41.5673278941283,42.7420440162282,41.790033751416594,42.03400642327712
1033,4,35.373274335028135,35.85487516364144,35.18784462035161,35.16497132756375
1035,4,46.23443036718781,45.176615712268095,47.53824167910096,47.58125278127557
1037,6,45.899370471364485,46.960803495599635,46.78157539627069,46.994050053949785
1039,8,62.248385360621775,61.119407455479134,65.87906819343105,66.27416811064586
1041,6,50.288667793305194,47.288071277636334,49.82849405588292,49.84803426273444
1043,6,49.647002739930656,47.34692217927031,48.54869959733414,48.34227045794313
1045,6,41.930284318551486,43.67074867212091,40.6047036007349,40.270817317840645
1047,6,51.89040754175369,51.73604291658512,54.07795397492049,54.34517058930365
1049,7,46.50488821310858,47.448751147237424,47.18499433417154,47.20785954543158
1051,6,42.480134061961934,47.25123024519221,41.864812537395046,41.57786987370428
1053,7,64.85800598121054,60.01905094437456,67.83787229936091,68.01240287375467
1055,6,45.00388355802932,42.753250084172095,45.76209852153579,45.86324658678081
1057,5,47.918321875237645,46.39160087713594,48.49008081003016,48.32264056579678
1059,6,45.48079071089336,44.34714348819649,45.71105829668297,45.88274663362404
1061,7,47.13583263096001,49.60480257254234,46.703472416927454,46.88516622159745
1063,5,47.728810759687214,50.58551353485872,46.92453991648734,46.90327220932501
1065,5,44.76776309097387,48.04799756153842,43.23138100535543,43.20927814832105
1067,5,35.3545501464954,36.62105579986971,35.485116608005455,35.431407369085
1069,6,42.47119646045172,44.11551638162255,42.82107845206229,42.450259793862635
1071,6,48.78479374659414,48.46825933633722,50.13853950890442,50.33509532730961
1073,6,53.5671838487092,54.21412072954479,52.54653641894597,52.03684597318269
1075,5,42.56357370347327,43.16521570936393,41.49173135026961,41.32010003679916
1077,8,49.69739079865552,50.38102252888976,50.93129213895465,51.21278253015587
1079,7,46.168552793727635,48.431791197265476,45.19668190381607,45.134973483923396
1081,6,40.579266036729706,42.28865633932444,40.635297241325524,40.64247599590314
1083,6,43.73216838096675,47.03369012351044,43.071105197926094,42.937658089093226
1085,6,50.709353364886915,49.60946450641354,49.83653178375809,50.12532549357903
1087,6,47.272506243723235,45.8053163303563,47.617103112022654,47.49222820845591
1089,6,50.021233622045855,48.78681330809155,49.5924032477102,49.40697614965608
1091,8,57.534650960344024,59.70179620252183,57.313295621814305,57.463139638089025
1093,7,48.84372001333155,49.555076814665505,49.807892296062995,49.88443359231094
1095,7,51.24710382716082,50.31255981449185,51.83651588462043,52.0584851860234
1097,5,57.82734835103885,57.95386677539811,58.97753396171445,58.6268347032978
1099,6,61.14440603085961,60.2717409213003,61.69552115602672,61.88637604085403
1101,7,50.730006991858524,49.4621305911225,48.55464445219733,48.038363862628
1103,5,41.8976429147441,43.25734675481942,41.48134400454488,41.337011208878735
1105,5,47.87825821708504,47.574934587882915,48.72473020205185,48.86453170460578
1107,7,55.77024534950747,54.502609917544035,54.529671116230986,54.441514717090975
1109,6,49.926493176271634,45.78199746487024,51.121802937815225,51.17947008606003
1111,7,44.41101131270401,43.84357426096149,44.2490059293055,44.792336577926086
1113,7,44.49567290382555,44.18985339762239,44.03226888620649,44.48642332332131
1115,6,46.15410467456662,47.69277416446622,46.04470360296721,45.879329100068624
1117,6,47.57295648050163,49.48855659089741,48.711070092496385,48.421877796785004
1119,7,55.715117419885885,56.151094235780256,56.01007650528402,56.31358070564594
1121,6,47.926748052284644,49.009439393697185,47.99270750319559,48.13733004306366
1123,7,48.66009758148483,47.374807927996734,49.3266588010461,49.5630074132338
1125,7,58.58536759084198,57.70152584435214,58.49477889131152,58.34225572240455
1127,7,56.30695771670219,54.31363532608581,56.92511860533715,56.672721178341746
1129,6,65.43099673580177,64.25492395657751,66.45779298647489,66.50253787216671
1131,6,58.49253188713942,55.01676004875276,60.842433024296646,61.1186185051257
1133,5,46.65337460504935,46.053561135874325,45.79436975181854,45.59840556179996
2013,2,635.8573455435056,904.9799632194423,442.86425225140545,467.6731491677351
2016,1,754.6914564877228,1349.9196427636437,352.94640245291106,361.8677114441669
2020,3,139.98510441944504,176.7045610865163,128.66920007224948,127.60466677919271
2050,6,443.34204817151993,401.3026156235888,471.45288579903666,473.97851853476294
2060,2,71.44141472991689,106.7923394593555,78.54685433333918,75.35651004508675
2068,4,203.62961354385703,227.56281874713278,204.51138050884325,201.05213702508325
2070,3,166.43619307234627,171.10634942549254,174.23566385447214,175.04353644298695
2090,3,185.14714600563093,211.77103603225123,185.6290745275868,179.4745757229455
2100,3,38.557298082668005,95.18581884678416,38.84795910533608,92.00259532210225
2105,5,0.0,167.4842081959348,0.0,160.0310840201393
2110,2,57.83594712400201,91.14733388331976,58.27193865800412,88.0939531691892
2122,6,309.9430664615623,326.2942182451236,312.9008516229152,309.19986254987344
