FIPS,03/29/20_grocery,03/29/20_parks,03/29/20_residential,03/29/20_transit,03/29/20_workplaces,03/29/20retail,04/05/20_grocery,04/05/20_parks,04/05/20_residential,04/05/20_transit,04/05/20_workplaces,04/05/20retail,04/11/20_grocery,04/11/20_parks,04/11/20_residential,04/11/20_transit,04/11/20_workplaces,04/11/20retail
18025,-16.0,,,-38.0,-36.0,-58.0,-16.0,,,-35.0,-44.0,-47.0,-16.0,,,-42.0,-54.0,-47.0
18027,-5.0,,8.0,,-25.0,-40.0,5.0,,8.0,,-27.0,-39.0,5.0,,8.0,,-28.0,-38.0
18029,-11.0,,22.0,,-42.0,-35.0,-14.0,,21.0,,-45.0,-46.0,-14.0,,24.0,,-44.0,-42.0
18031,-26.0,,11.0,-35.0,-43.0,-45.0,-46.0,,11.0,-45.0,-48.0,-78.0,-46.0,,11.0,-35.0,-44.0,-53.0
18033,-18.0,,22.0,,-34.0,-50.0,-5.0,,18.0,,-37.0,-43.0,-5.0,,20.0,,-37.0,-40.0
18035,-28.0,,10.0,1.0,-36.0,-52.0,-24.0,,10.0,-18.0,-38.0,-51.0,-7.0,,10.0,-4.0,-33.0,-42.0
18037,-19.0,,21.0,,-29.0,-40.0,-14.0,,23.0,,-30.0,-44.0,-14.0,,23.0,,-49.0,-47.0
18039,-35.0,18.0,10.0,-19.0,-35.0,-43.0,-21.0,17.0,8.0,-9.0,-36.0,-32.0,-5.0,23.0,11.0,-20.0,-40.0,-32.0
18041,-21.0,,6.0,,-35.0,-32.0,-16.0,,6.0,,-36.0,-31.0,-16.0,,6.0,,-26.0,-27.0
18043,-21.0,,21.0,,-38.0,-39.0,-23.0,,21.0,,-39.0,-45.0,-4.0,,23.0,,-38.0,-40.0
18045,-10.0,,,,-36.0,-65.0,0.0,,,,-36.0,-47.0,0.0,,,,-31.0,-47.0
18047,-28.0,,,,-36.0,-38.0,-32.0,,,,-34.0,-38.0,-32.0,,,,-33.0,-38.0
18049,-19.0,,,-54.0,-31.0,-33.0,-10.0,,,-54.0,-17.0,-21.0,-10.0,,,-46.0,-35.0,-21.0
18051,-19.0,,11.0,-29.0,-29.0,-35.0,-4.0,,11.0,-38.0,-26.0,-36.0,-4.0,,11.0,-46.0,-26.0,-27.0
18053,-17.0,,17.0,-13.0,-22.0,-46.0,-1.0,,13.0,-16.0,-28.0,-39.0,8.0,,8.0,-32.0,-24.0,-28.0
18055,-23.0,,5.0,,-29.0,-33.0,-15.0,,5.0,,-31.0,-40.0,-15.0,,5.0,,-29.0,-40.0
18057,-31.0,38.0,13.0,,-47.0,-58.0,-28.0,59.0,13.0,,-48.0,-58.0,-8.0,111.0,14.0,,-42.0,-51.0
18059,9.0,,24.0,-12.0,-38.0,-46.0,9.0,,22.0,-15.0,-41.0,-49.0,33.0,,23.0,-24.0,-33.0,-39.0
18061,-8.0,,20.0,,-30.0,-44.0,1.0,,20.0,,-30.0,-41.0,0.0,,19.0,,-30.0,-40.0
18063,-26.0,-13.0,12.0,-19.0,-39.0,-47.0,-26.0,-13.0,11.0,-23.0,-39.0,-48.0,-1.0,-13.0,13.0,-24.0,-34.0,-36.0
18065,-19.0,,21.0,-28.0,-31.0,-32.0,-7.0,,17.0,-33.0,-28.0,-33.0,-1.0,,23.0,-28.0,-31.0,-25.0
18067,-36.0,,14.0,,-47.0,-56.0,-22.0,,10.0,,-44.0,-44.0,-3.0,,11.0,,-41.0,-42.0
18069,-29.0,,21.0,-46.0,-34.0,-47.0,-18.0,,18.0,-46.0,-34.0,-40.0,-18.0,,18.0,-46.0,-27.0,-33.0
18071,-55.0,,22.0,-6.0,-41.0,-24.0,-54.0,,21.0,-19.0,-45.0,-35.0,-45.0,,25.0,-23.0,-44.0,-26.0
18073,-24.0,,15.0,-22.0,-33.0,-44.0,-8.0,,14.0,-25.0,-31.0,-29.0,-3.0,,14.0,-21.0,-26.0,-24.0
18075,-35.0,,,,-22.0,-40.0,-20.0,,,,-25.0,-43.0,-20.0,,,,-20.0,-43.0
18077,-1.0,,14.0,,-23.0,-37.0,1.0,,14.0,,-31.0,-42.0,-7.0,,14.0,,-26.0,-31.0
18079,-11.0,,12.0,,-37.0,-26.0,-14.0,,12.0,,-41.0,-43.0,-14.0,,12.0,,-41.0,-43.0
18081,-22.0,-5.0,11.0,-24.0,-37.0,-51.0,-20.0,-11.0,11.0,-32.0,-38.0,-54.0,3.0,0.0,12.0,-26.0,-37.0,-46.0
18083,-15.0,,14.0,,-31.0,-44.0,-5.0,,14.0,,-30.0,-43.0,-5.0,,14.0,,-31.0,-34.0
18085,-24.0,,23.0,,-33.0,-52.0,-10.0,,21.0,,-34.0,-41.0,-2.0,,26.0,,-36.0,-39.0
18089,-27.0,-18.0,13.0,-25.0,-38.0,-52.0,-15.0,-5.0,12.0,-25.0,-38.0,-44.0,4.0,18.0,13.0,-18.0,-35.0,-37.0
18093,-23.0,,17.0,,-34.0,-41.0,-24.0,,17.0,,-38.0,-44.0,-2.0,,19.0,,-32.0,-32.0
18095,-12.0,,10.0,-27.0,-35.0,-44.0,-7.0,,9.0,-28.0,-38.0,-44.0,10.0,,10.0,-29.0,-35.0,-32.0
18097,-27.0,17.0,11.0,-49.0,-38.0,-52.0,-22.0,15.0,11.0,-50.0,-40.0,-50.0,-5.0,50.0,11.0,-35.0,-38.0,-45.0
18099,-19.0,,21.0,-26.0,-25.0,-48.0,-2.0,,18.0,-24.0,-27.0,-39.0,7.0,,17.0,-19.0,-30.0,-31.0
18101,-4.0,,,,-36.0,-40.0,-8.0,,,,-41.0,-53.0,-8.0,,,,-51.0,-53.0
18103,-27.0,,16.0,,-39.0,-43.0,-9.0,,16.0,,-34.0,-26.0,-9.0,,16.0,,-35.0,-26.0
18105,-33.0,39.0,12.0,-40.0,-42.0,-53.0,-29.0,35.0,13.0,-41.0,-44.0,-55.0,-12.0,35.0,12.0,-33.0,-40.0,-49.0
18107,-25.0,,16.0,-35.0,-31.0,-40.0,-7.0,,15.0,-19.0,-35.0,-33.0,-9.0,,14.0,-28.0,-33.0,-23.0
18109,-12.0,,20.0,,-32.0,-39.0,-2.0,,18.0,,-38.0,-41.0,8.0,,19.0,,-31.0,-27.0
18111,,,,,-27.0,-45.0,,,,,-22.0,-18.0,,,,,-27.0,-18.0
18113,-26.0,,23.0,,-42.0,-42.0,1.0,,21.0,,-34.0,-26.0,1.0,,22.0,,-37.0,-25.0
18115,,,,,-53.0,,,,,,-40.0,,,,,,-49.0,
18117,-19.0,,,,-45.0,-41.0,-20.0,,,,-50.0,-48.0,-20.0,,,,-48.0,-48.0
18119,-21.0,,,,-29.0,-30.0,-7.0,,,,-33.0,-26.0,-7.0,,,,-27.0,-26.0
18121,-2.0,,,,-37.0,-44.0,10.0,,,,-34.0,-53.0,10.0,,,,-48.0,-53.0
18123,-4.0,,,,-45.0,-59.0,85.0,,,,-40.0,-57.0,85.0,,,,-41.0,-57.0
18125,-7.0,,,,-39.0,-54.0,8.0,,,,-42.0,-54.0,8.0,,,,-56.0,-54.0
18127,-28.0,20.0,13.0,-39.0,-34.0,-54.0,-21.0,120.0,11.0,-39.0,-38.0,-47.0,1.0,160.0,12.0,-35.0,-37.0,-43.0
18129,6.0,,-1.0,,-22.0,-25.0,0.0,,-1.0,,-25.0,-27.0,0.0,,-1.0,,-18.0,-27.0
18131,-23.0,,,,-34.0,-33.0,-20.0,,,,-36.0,-7.0,-20.0,,,,-48.0,-7.0
18133,-31.0,,11.0,,-26.0,-45.0,-14.0,,11.0,,-33.0,-41.0,-14.0,,11.0,,-26.0,-28.0
18135,-14.0,,8.0,,-28.0,-24.0,-12.0,,8.0,,-20.0,-26.0,-12.0,,8.0,,-23.0,-26.0
18137,-18.0,,0.0,,-27.0,-46.0,-15.0,,0.0,,-33.0,-51.0,-15.0,,0.0,,-30.0,-51.0
18139,-11.0,,,,-35.0,-44.0,-9.0,,,,-38.0,-39.0,-9.0,,,,-34.0,-39.0
18141,-26.0,-17.0,11.0,-37.0,-35.0,-53.0,-15.0,142.0,9.0,-29.0,-34.0,-46.0,-4.0,104.0,11.0,-24.0,-39.0,-43.0
18143,-8.0,,3.0,,-33.0,-30.0,1.0,,3.0,,-27.0,-36.0,1.0,,3.0,,-38.0,-26.0
18145,-18.0,,21.0,-43.0,-32.0,-46.0,-14.0,,18.0,-47.0,-35.0,-49.0,-4.0,,21.0,-51.0,-38.0,-37.0
18147,15.0,,,,-24.0,-45.0,19.0,,,,-26.0,-44.0,19.0,,,,-27.0,-44.0
18149,-10.0,,,,-25.0,-50.0,11.0,,,,-21.0,-23.0,11.0,,,,-26.0,-23.0
18151,-32.0,,19.0,-29.0,-37.0,-49.0,-17.0,,20.0,-32.0,-36.0,-40.0,1.0,,18.0,-32.0,-36.0,-44.0
18153,-17.0,,,,-20.0,-38.0,-5.0,,,,-29.0,-38.0,-5.0,,,,-24.0,-38.0
18155,-34.0,,,,-44.0,,-20.0,,,,-46.0,,-20.0,,,,-54.0,
18157,-37.0,5.0,12.0,-27.0,-41.0,-57.0,-28.0,82.0,11.0,2.0,-40.0,-52.0,-12.0,39.0,13.0,3.0,-43.0,-46.0
18159,-22.0,,,,-33.0,-46.0,-2.0,,,,-38.0,-35.0,-2.0,,,,-34.0,-35.0
18161,,,,,-39.0,-55.0,,,,,-37.0,-38.0,,,,,-48.0,-38.0
18163,-16.0,-16.0,10.0,-53.0,-29.0,-41.0,-17.0,29.0,10.0,-45.0,-31.0,-44.0,-3.0,29.0,12.0,-63.0,-34.0,-49.0
18165,4.0,,,-32.0,-20.0,-34.0,0.0,,,-22.0,-23.0,-31.0,0.0,,,-28.0,-27.0,-31.0
18167,-24.0,-12.0,9.0,-9.0,-36.0,-47.0,-20.0,-7.0,10.0,-15.0,-37.0,-48.0,-8.0,-7.0,11.0,5.0,-35.0,-46.0
18169,-36.0,,8.0,,-26.0,-50.0,-9.0,,8.0,,-31.0,-38.0,-9.0,,8.0,,-31.0,-35.0
18171,,,,,-32.0,,,,,,-34.0,,,,,,-56.0,
18173,-1.0,,22.0,,-30.0,-23.0,-13.0,,21.0,,-32.0,-36.0,-13.0,,24.0,,-34.0,-35.0
18175,-22.0,,11.0,,-25.0,-27.0,-18.0,,11.0,,-24.0,-40.0,-18.0,,11.0,,-24.0,-40.0
18177,-30.0,,12.0,-18.0,-32.0,-48.0,-24.0,,10.0,-27.0,-31.0,-48.0,-9.0,,11.0,-27.0,-32.0,-47.0
18179,-12.0,,11.0,,-29.0,-35.0,6.0,,11.0,,-30.0,-30.0,6.0,,11.0,,-28.0,-30.0
18181,-12.0,,6.0,-22.0,-39.0,-38.0,-8.0,,6.0,-34.0,-28.0,-24.0,-8.0,,6.0,-34.0,-32.0,-25.0
18183,-34.0,,22.0,,-32.0,-45.0,-12.0,,19.0,,-33.0,-38.0,-12.0,,21.0,,-38.0,-32.0
19001,-3.0,,,,-33.0,-46.0,2.0,,,,-36.0,-44.0,2.0,,,,-43.0,-44.0
19005,-27.0,,,,-22.0,-57.0,-5.0,,,,-25.0,-75.0,-5.0,,,,-38.0,-75.0
19007,26.0,,,,-24.0,-21.0,52.0,,,,-26.0,-7.0,52.0,,,,-14.0,-7.0
19009,,,,,-28.0,,,,,,-28.0,,,,,,-28.0,
19011,-10.0,,8.0,,-33.0,-54.0,25.0,,8.0,,-33.0,-16.0,25.0,,8.0,,-33.0,-16.0
19013,-23.0,11.0,10.0,-14.0,-30.0,-46.0,-9.0,-25.0,8.0,-5.0,-30.0,-43.0,-3.0,-15.0,12.0,-14.0,-30.0,-47.0
19015,-21.0,,14.0,,-22.0,-32.0,-21.0,,14.0,,-28.0,-28.0,-21.0,,14.0,,-17.0,-28.0
19017,-24.0,,-1.0,,-34.0,-36.0,-12.0,,-1.0,,-31.0,-32.0,-12.0,,-1.0,,-31.0,-32.0
19019,-13.0,,,,-23.0,-39.0,0.0,,,,-25.0,-29.0,0.0,,,,-17.0,-29.0
19021,-6.0,,,,-13.0,-28.0,-15.0,,,,-16.0,-31.0,-15.0,,,,-17.0,-31.0
19023,-15.0,,,,-30.0,,2.0,,,,-32.0,,2.0,,,,-43.0,
19025,-12.0,,,,-29.0,,-12.0,,,,-27.0,,-12.0,,,,-37.0,
19027,-4.0,,,,-29.0,-34.0,13.0,,,,-20.0,-29.0,13.0,,,,-26.0,-29.0
19029,-6.0,,,,-16.0,-23.0,13.0,,,,-16.0,-32.0,13.0,,,,-20.0,-32.0
19031,-23.0,,,14.0,-18.0,-44.0,0.0,,,8.0,-22.0,-30.0,0.0,,,-25.0,-21.0,-30.0
19033,-13.0,,17.0,-44.0,-29.0,-46.0,6.0,,20.0,-26.0,-26.0,-38.0,19.0,,18.0,-25.0,-29.0,-42.0
19035,,,,,-20.0,-75.0,,,,,-33.0,-76.0,,,,,-32.0,-76.0
19037,-28.0,,,,-25.0,-56.0,-18.0,,,,-27.0,-25.0,-18.0,,,,-39.0,-25.0
19039,,,,-29.0,-17.0,-30.0,,,,-38.0,-24.0,-27.0,,,,-36.0,-27.0,-27.0
19041,-18.0,,,,-17.0,-27.0,-12.0,,,,-26.0,-33.0,-12.0,,,,-20.0,-34.0
19043,-12.0,,,,-19.0,-61.0,7.0,,,,-26.0,-59.0,7.0,,,,-19.0,-59.0
19045,18.0,,16.0,,-24.0,-41.0,48.0,,16.0,,-28.0,-25.0,12.0,,18.0,,-26.0,-38.0
19047,,,,,-23.0,-34.0,,,,,-15.0,-38.0,,,,,-27.0,-38.0
19049,-40.0,,25.0,,-34.0,-60.0,-39.0,,27.0,,-37.0,-59.0,-28.0,,24.0,,-32.0,-67.0
19051,,,,,-21.0,-64.0,,,,,-23.0,-44.0,,,,,-31.0,-44.0
19053,,,,,-25.0,,,,,,-20.0,,,,,,-29.0,
19055,-20.0,,,,-22.0,-40.0,19.0,,,,-13.0,-33.0,19.0,,,,-15.0,-33.0
19057,-7.0,,14.0,-32.0,-24.0,-40.0,14.0,,15.0,-26.0,-27.0,-33.0,14.0,,16.0,-24.0,-23.0,-40.0
19059,-2.0,-50.0,,,-20.0,-29.0,12.0,0.0,,,-31.0,-33.0,12.0,12.0,,,-31.0,-33.0
19061,-9.0,-25.0,15.0,-63.0,-34.0,-53.0,4.0,1.0,13.0,-51.0,-31.0,-43.0,9.0,-12.0,14.0,-59.0,-37.0,-53.0
19063,11.0,,,,-32.0,-42.0,11.0,,,,-33.0,-17.0,11.0,,,,-49.0,-17.0
19065,-11.0,,,,-20.0,-36.0,7.0,,,,-24.0,-15.0,7.0,,,,-21.0,-15.0
19067,-21.0,,,-9.0,-16.0,-40.0,-12.0,,,-28.0,-18.0,-28.0,-12.0,,,-16.0,-8.0,-28.0
19069,-16.0,,,,-25.0,-47.0,7.0,,,,-32.0,-39.0,7.0,,,,-31.0,-39.0
19071,-9.0,,,-16.0,-15.0,-65.0,-9.0,,,-28.0,-31.0,-45.0,,,,-16.0,-35.0,-45.0
19073,2.0,,,,-31.0,-51.0,4.0,,,,-38.0,-45.0,4.0,,,,-40.0,-45.0
19075,-33.0,,,,-29.0,-70.0,-25.0,,,,-33.0,-64.0,-25.0,,,,-44.0,-64.0
19077,,,,,-34.0,,,,,,-36.0,,,,,,-34.0,
19079,-6.0,,,-39.0,-6.0,-27.0,-3.0,,,-39.0,6.0,-23.0,-3.0,,,-25.0,-6.0,-23.0
19081,-22.0,,,,-34.0,,-2.0,,,,-37.0,,-2.0,,,,-44.0,
19083,15.0,,,,-25.0,-52.0,26.0,,,,-30.0,-40.0,26.0,,,,-17.0,-40.0
19085,0.0,,,,-19.0,-26.0,3.0,,,,-11.0,-30.0,3.0,,,,-17.0,-30.0
19087,-17.0,,,-17.0,-30.0,-28.0,12.0,,,-29.0,-18.0,-27.0,12.0,,,-20.0,-21.0,-27.0
19089,-5.0,,,,-21.0,-69.0,4.0,,,,-30.0,-37.0,4.0,,,,-46.0,-37.0
19091,-7.0,,,,-32.0,-45.0,-7.0,,,,-36.0,-39.0,-7.0,,,,-46.0,-39.0
19093,,,,,-22.0,-57.0,,,,,-27.0,-64.0,,,,,-25.0,-64.0
19095,-9.0,,,,-41.0,-80.0,4.0,,,,-36.0,-71.0,4.0,,,,-31.0,-71.0
19097,-10.0,,,,-24.0,-37.0,16.0,,,,-20.0,-26.0,16.0,,,,-25.0,-26.0
19099,60.0,,11.0,5.0,-22.0,-40.0,97.0,,12.0,-2.0,-21.0,-35.0,97.0,,12.0,-9.0,-28.0,-44.0
19101,,,,,-34.0,-40.0,,,,,-20.0,-39.0,,,,,-27.0,-39.0
19103,-36.0,-6.0,13.0,-24.0,-36.0,-58.0,-30.0,-26.0,11.0,-18.0,-38.0,-52.0,-24.0,35.0,15.0,-28.0,-37.0,-55.0
19105,4.0,,,,-30.0,-43.0,14.0,,,,-20.0,-37.0,14.0,,,,-21.0,-37.0
19107,,,,,-21.0,-66.0,,,,,-29.0,-66.0,,,,,-33.0,-66.0
19109,47.0,,,,-21.0,-70.0,60.0,,,,-33.0,-62.0,60.0,,,,-27.0,-62.0
19111,-13.0,,14.0,,-14.0,-24.0,-4.0,,14.0,,-13.0,-26.0,-1.0,,13.0,,-21.0,-28.0
19113,-7.0,2.0,11.0,-55.0,-36.0,-52.0,11.0,172.0,9.0,-50.0,-34.0,-48.0,10.0,37.0,13.0,-53.0,-35.0,-51.0
19115,,,,,-18.0,,,,,,-23.0,,,,,,-51.0,
19117,6.0,,,,-16.0,-59.0,8.0,,,,-16.0,-59.0,8.0,,,,-25.0,-59.0
19119,,,,,-24.0,-66.0,,,,,-28.0,-70.0,,,,,-42.0,-70.0
19121,33.0,,,,-25.0,-53.0,26.0,,,,-27.0,-46.0,26.0,,,,-29.0,-46.0
19123,,,,,-22.0,-31.0,,,,,-22.0,-32.0,,,,,-19.0,-32.0
19125,26.0,,13.0,,-19.0,-17.0,43.0,,13.0,,-22.0,-26.0,43.0,,13.0,,-35.0,-35.0
19127,-15.0,,14.0,,-29.0,-36.0,-4.0,,17.0,,-24.0,-32.0,7.0,,17.0,,-23.0,-34.0
19129,,,,,-20.0,-6.0,,,,,-22.0,-8.0,,,,,-27.0,-8.0
19131,,,,,-28.0,-73.0,,,,,-30.0,-67.0,,,,,-38.0,-67.0
19133,,,,,-30.0,-35.0,,,,,-39.0,-25.0,,,,,-38.0,-25.0
19135,,,,,-26.0,-51.0,,,,,-31.0,-51.0,,,,,-40.0,-51.0
19137,2.0,,,,-23.0,-56.0,-3.0,,,,-34.0,-42.0,-3.0,,,,-26.0,-42.0
19139,33.0,,16.0,,-28.0,-42.0,51.0,,17.0,,-27.0,-35.0,51.0,,21.0,,-30.0,-36.0
19141,-6.0,,,,-4.0,-22.0,-9.0,,,,-17.0,-17.0,-9.0,,,,-11.0,-17.0
19143,,,,,-25.0,,,,,,-27.0,,,,,,-41.0,
19145,,,,,-22.0,-35.0,,,,,-24.0,-43.0,,,,,-20.0,-43.0
19147,-55.0,,,,-30.0,-73.0,-18.0,,,,-28.0,-33.0,-18.0,,,,-40.0,-33.0
19149,6.0,,8.0,,-30.0,-26.0,16.0,,8.0,,-23.0,-32.0,16.0,,8.0,,-27.0,-32.0
19151,,,,,-26.0,,,,,,-28.0,,,,,,-37.0,
19153,-9.0,66.0,10.0,-45.0,-34.0,-44.0,-2.0,150.0,9.0,-45.0,-35.0,-43.0,5.0,27.0,13.0,-42.0,-32.0,-49.0
19155,2.0,14.0,7.0,-4.0,-30.0,-33.0,7.0,93.0,8.0,-11.0,-32.0,-35.0,17.0,53.0,11.0,-18.0,-31.0,-40.0
19157,-15.0,,,-18.0,-28.0,-36.0,-5.0,,,-20.0,-28.0,-23.0,-5.0,,,-18.0,-28.0,-23.0
19161,,,,,-22.0,,,,,,-28.0,,,,,,-32.0,
19163,-22.0,-1.0,11.0,-24.0,-31.0,-50.0,-8.0,137.0,9.0,-26.0,-34.0,-45.0,-2.0,30.0,13.0,-12.0,-33.0,-48.0
19165,-5.0,,,,-25.0,-17.0,-14.0,,,,-31.0,-20.0,-14.0,,,,-37.0,-20.0
19167,4.0,,19.0,,-23.0,-25.0,11.0,,22.0,,-32.0,-29.0,11.0,,16.0,,-17.0,-33.0
19169,-29.0,,22.0,-38.0,-43.0,-50.0,-26.0,,25.0,-45.0,-40.0,-48.0,-9.0,,22.0,-28.0,-37.0,-48.0
19171,-18.0,,,,-36.0,-44.0,-7.0,,,,-40.0,-42.0,-7.0,,,,-34.0,-42.0
19173,,,,,-18.0,,,,,,-20.0,,,,,,-21.0,
19175,,,,,-29.0,-14.0,,,,,-31.0,-22.0,,,,,-29.0,-22.0
19177,-7.0,,,,-13.0,,-7.0,,,,-23.0,,,,,,-42.0,
19179,8.0,,10.0,,-18.0,-33.0,19.0,,10.0,,-19.0,-28.0,19.0,,11.0,,-25.0,-38.0
19181,-13.0,,15.0,,-32.0,-28.0,-10.0,,18.0,,-33.0,-31.0,7.0,,15.0,,-31.0,-33.0
19183,-19.0,,-3.0,,-30.0,-41.0,-9.0,,-3.0,,-29.0,-23.0,-9.0,,-3.0,,-23.0,-23.0
19185,,,,,-25.0,,,,,,-31.0,,,,,,-31.0,
19187,22.0,,15.0,,-24.0,-33.0,44.0,,18.0,,-19.0,-29.0,44.0,,17.0,,-20.0,-34.0
19189,-18.0,,,,-36.0,-53.0,-16.0,,,,-42.0,-45.0,-16.0,,,,-50.0,-45.0
19191,-33.0,,,,-33.0,-56.0,-17.0,,,,-39.0,-56.0,-17.0,,,,-36.0,-56.0
19193,-3.0,,8.0,-13.0,-26.0,-34.0,9.0,,8.0,-12.0,-26.0,-39.0,4.0,,11.0,-13.0,-24.0,-44.0
19195,-42.0,,,,-31.0,,-31.0,,,,-35.0,,-31.0,,,,-44.0,
19197,-4.0,,,,-8.0,-57.0,4.0,,,,-26.0,-27.0,4.0,,,,-17.0,-27.0
20001,-2.0,,,,-14.0,-19.0,-2.0,,,,-26.0,-28.0,-2.0,,,,-30.0,-28.0
20003,,,,,-27.0,-18.0,,,,,-28.0,-33.0,,,,,-37.0,-33.0
20005,,,,,-27.0,-24.0,,,,,-24.0,-20.0,,,,,-29.0,-20.0
20009,3.0,,-1.0,,-15.0,-12.0,-16.0,,-1.0,,-24.0,-31.0,-16.0,,-1.0,,-18.0,-30.0
20011,-21.0,,,,-29.0,-38.0,-15.0,,,,-37.0,-37.0,-15.0,,,,-24.0,-37.0
20013,0.0,,,,-20.0,8.0,-13.0,,,,-31.0,-18.0,-13.0,,,,-35.0,-18.0
20015,-11.0,-46.0,15.0,,-25.0,-19.0,-21.0,-46.0,19.0,,-30.0,-36.0,-3.0,,18.0,,-24.0,-24.0
20021,16.0,,-4.0,,-23.0,5.0,5.0,,-4.0,,-33.0,-24.0,5.0,,-4.0,,-27.0,-24.0
20027,-22.0,,,,-27.0,-16.0,-22.0,,,,-39.0,-23.0,-22.0,,,,-40.0,-23.0
20029,,,,,-20.0,-27.0,,,,,-29.0,-47.0,,,,,-33.0,-47.0
20031,-24.0,,,-29.0,-35.0,-67.0,-49.0,,,-26.0,-40.0,-73.0,-49.0,,,-32.0,-39.0,-73.0
20035,5.0,,12.0,,-28.0,-17.0,-20.0,,18.0,,-35.0,-35.0,-20.0,,16.0,-57.0,-34.0,-25.0
20037,-29.0,,15.0,,-22.0,-42.0,-28.0,,18.0,,-23.0,-46.0,-14.0,,15.0,,-21.0,-41.0
20041,-4.0,,,-9.0,-24.0,-29.0,-14.0,,,-21.0,-29.0,-44.0,-14.0,,,-17.0,-18.0,-44.0
20043,,,,,-24.0,,,,,,-20.0,,,,,,-31.0,
20045,-20.0,88.0,11.0,-26.0,-38.0,-50.0,-21.0,57.0,12.0,-28.0,-40.0,-53.0,-16.0,110.0,13.0,-9.0,-40.0,-50.0
20051,-19.0,,-1.0,-17.0,-14.0,-34.0,-23.0,,-1.0,-12.0,-27.0,-52.0,-23.0,,-1.0,-15.0,-41.0,-53.0
20053,,,,,-16.0,,-31.0,,,,-26.0,,-31.0,,,,-35.0,
20055,2.0,,12.0,-24.0,-15.0,-24.0,-29.0,,17.0,-51.0,-24.0,-50.0,-18.0,,19.0,-46.0,11.0,-43.0
20057,-1.0,,11.0,-8.0,-16.0,-21.0,-22.0,,14.0,-17.0,-32.0,-42.0,-22.0,,13.0,-22.0,-43.0,-37.0
20059,-27.0,,15.0,-17.0,-20.0,-30.0,-19.0,,12.0,-28.0,-19.0,-34.0,-19.0,,12.0,-16.0,-28.0,-29.0
20061,-18.0,,15.0,,-33.0,-38.0,-24.0,,20.0,,-34.0,-43.0,-12.0,,22.0,,-27.0,-31.0
20067,,,,,-14.0,-20.0,,,,,-23.0,-22.0,,,,,-30.0,-22.0
20073,,,,,-27.0,,,,,,-29.0,,,,,,-40.0,
20077,,,,,,-61.0,,,,,-28.0,-65.0,,,,,-34.0,-65.0
20079,-1.0,,14.0,-38.0,-31.0,-13.0,27.0,,19.0,-38.0,-37.0,-52.0,27.0,,19.0,-35.0,-27.0,-42.0
20085,-33.0,,,,-35.0,-24.0,-26.0,,,,-32.0,-29.0,-26.0,,,,-38.0,-29.0
20087,13.0,,,,-31.0,-62.0,5.0,,,,-38.0,-62.0,5.0,,,,-24.0,-62.0
20091,-24.0,192.0,12.0,-20.0,-40.0,-42.0,-24.0,142.0,12.0,-25.0,-42.0,-45.0,-9.0,148.0,14.0,-11.0,-39.0,-48.0
20095,,,,,-28.0,-51.0,,,,,-27.0,-46.0,,,,,-33.0,-46.0
20099,0.0,,,,-6.0,-13.0,-15.0,,,,-19.0,-34.0,-15.0,,,,-13.0,-34.0
20103,-19.0,,17.0,-43.0,-32.0,-30.0,-8.0,,19.0,-54.0,-33.0,-34.0,-2.0,,17.0,-52.0,-28.0,-31.0
20107,,,,,-17.0,,,,,,-25.0,,,,,,-32.0,
20111,-27.0,,15.0,-31.0,-23.0,-41.0,-28.0,,18.0,-34.0,-25.0,-48.0,-28.0,,16.0,-40.0,-28.0,-41.0
20113,-9.0,,13.0,-16.0,-26.0,-32.0,-20.0,,16.0,-26.0,-31.0,-42.0,-20.0,,13.0,-37.0,-24.0,-39.0
20115,,,,,-28.0,-32.0,,,,,-36.0,-30.0,,,,,-44.0,-30.0
20117,,,,,-13.0,-15.0,,,,,-26.0,-30.0,,,,,-40.0,-30.0
20121,-16.0,,16.0,,-28.0,-19.0,-13.0,,18.0,,-31.0,-34.0,-13.0,,16.0,,-27.0,-18.0
20123,,,,,-24.0,-73.0,,,,,-24.0,-71.0,,,,,-31.0,-71.0
20125,13.0,,9.0,,1.0,-8.0,-7.0,,14.0,,-5.0,-30.0,-7.0,,12.0,,-15.0,-23.0
20127,,,,,-29.0,,,,,,-45.0,,,,,,-48.0,
20131,,,,,-15.0,-40.0,,,,,-26.0,-76.0,,,,,-34.0,-76.0
20133,15.0,,,-22.0,-18.0,-11.0,-8.0,,,-54.0,-27.0,-29.0,-8.0,,,-20.0,-15.0,-29.0
20139,-7.0,,,,-12.0,-51.0,7.0,,,,-22.0,-66.0,7.0,,,,-24.0,-66.0
20143,,,,,-24.0,,,,,,-35.0,,,,,,-37.0,
20145,2.0,,,,-26.0,-22.0,-21.0,,,,-33.0,-48.0,-21.0,,,,-30.0,-48.0
20149,-26.0,,2.0,,-31.0,-37.0,-31.0,,2.0,,-35.0,-41.0,-9.0,,2.0,,-33.0,-41.0
20151,-2.0,,,,-20.0,-8.0,-13.0,,,,-28.0,-33.0,-13.0,,,,-35.0,-33.0
20155,-11.0,,10.0,-16.0,-25.0,-28.0,-21.0,,12.0,-27.0,-28.0,-40.0,-7.0,,9.0,-30.0,-29.0,-33.0
20159,10.0,,,,-27.0,-26.0,-25.0,,,,-32.0,-33.0,-25.0,,,,-40.0,-33.0
