FIPS,03/29/20_grocery,03/29/20_parks,03/29/20_residential,03/29/20_transit,03/29/20_workplaces,03/29/20retail,04/05/20_grocery,04/05/20_parks,04/05/20_residential,04/05/20_transit,04/05/20_workplaces,04/05/20retail,04/11/20_grocery,04/11/20_parks,04/11/20_residential,04/11/20_transit,04/11/20_workplaces,04/11/20retail
1089,-17.0,35.0,10.0,-39.0,-38.0,-46.0,-28.0,8.0,13.0,-53.0,-43.0,-56.0,-5.0,55.0,11.0,-37.0,-36.0,-46.0
1091,-4.0,,,,-17.0,-18.0,5.0,,,,-19.0,-26.0,5.0,,,,-9.0,-26.0
1093,-4.0,,,,-24.0,-31.0,-13.0,,,,-31.0,-43.0,-13.0,,,,-32.0,-43.0
1095,-4.0,107.0,8.0,,-30.0,-34.0,-12.0,63.0,8.0,,-31.0,-50.0,7.0,94.0,8.0,,-28.0,-34.0
1097,-11.0,-21.0,9.0,-30.0,-29.0,-39.0,-10.0,-30.0,11.0,-37.0,-33.0,-42.0,6.0,-33.0,12.0,-36.0,-28.0,-35.0
1099,-7.0,,,,-27.0,-28.0,36.0,,,,-34.0,-52.0,36.0,,,,-24.0,-52.0
1101,-14.0,-9.0,11.0,-14.0,-34.0,-44.0,-17.0,-16.0,13.0,-30.0,-38.0,-52.0,-2.0,0.0,11.0,4.0,-29.0,-43.0
1103,-4.0,18.0,8.0,-27.0,-27.0,-37.0,-14.0,-1.0,11.0,-32.0,-34.0,-49.0,11.0,49.0,9.0,-34.0,-31.0,-37.0
1105,4.0,,,,-29.0,-53.0,-16.0,,,,-37.0,-58.0,-16.0,,,,-44.0,-58.0
1107,-4.0,,,,-36.0,-36.0,9.0,,,,-35.0,-36.0,9.0,,,,-36.0,-36.0
1109,-36.0,,0.0,,-25.0,-39.0,-34.0,,0.0,,-31.0,-43.0,-20.0,,0.0,,-34.0,-31.0
1111,-14.0,,,,-22.0,-29.0,-7.0,,,,-31.0,-45.0,-7.0,,,,-26.0,-45.0
1113,-5.0,,13.0,,-27.0,-28.0,19.0,,16.0,,-35.0,-46.0,48.0,,18.0,,-27.0,-30.0
1115,-15.0,,9.0,-24.0,-34.0,-30.0,-15.0,,10.0,-32.0,-37.0,-45.0,8.0,,9.0,-34.0,-26.0,-30.0
1117,-20.0,44.0,12.0,,-36.0,-43.0,-27.0,8.0,14.0,,-41.0,-53.0,-4.0,56.0,12.0,,-32.0,-41.0
1119,-6.0,,,,-31.0,-52.0,-11.0,,,,-33.0,-61.0,-11.0,,,,-45.0,-61.0
1121,-10.0,17.0,7.0,-12.0,-33.0,-31.0,-13.0,0.0,10.0,-29.0,-35.0,-44.0,11.0,16.0,9.0,-30.0,-26.0,-25.0
1123,-9.0,,13.0,,-25.0,-31.0,-9.0,,14.0,,-30.0,-43.0,6.0,,18.0,,-31.0,-33.0
1125,-14.0,-1.0,12.0,-29.0,-40.0,-46.0,-18.0,-13.0,13.0,-38.0,-42.0,-52.0,5.0,-10.0,12.0,-34.0,-35.0,-42.0
1127,-10.0,,12.0,-32.0,-24.0,-37.0,-14.0,,13.0,-40.0,-26.0,-46.0,7.0,,14.0,-39.0,-15.0,-31.0
1129,-13.0,,,,-25.0,,-16.0,,,,-23.0,,-16.0,,,,-36.0,
1131,-17.0,,,,-31.0,-49.0,-17.0,,,,-38.0,-61.0,,,,,-44.0,-61.0
1133,1.0,,,,-21.0,-28.0,-12.0,,,,-27.0,-42.0,-12.0,,,,-23.0,-42.0
2122,-28.0,,14.0,,-24.0,-49.0,-15.0,,14.0,,-21.0,-37.0,-8.0,,14.0,,-24.0,-34.0
4001,-13.0,-35.0,20.0,-8.0,-27.0,-38.0,-8.0,-23.0,17.0,-16.0,-30.0,-38.0,-54.0,-59.0,16.0,-35.0,-34.0,-80.0
4003,-21.0,-14.0,8.0,-23.0,-29.0,-37.0,-22.0,-18.0,9.0,-30.0,-34.0,-41.0,-18.0,-44.0,11.0,-35.0,-34.0,-41.0
4005,-24.0,-25.0,12.0,-34.0,-38.0,-55.0,-27.0,-34.0,13.0,-36.0,-41.0,-59.0,-32.0,-46.0,18.0,-42.0,-42.0,-65.0
4007,16.0,95.0,11.0,,-28.0,-14.0,9.0,72.0,11.0,,-32.0,-21.0,16.0,41.0,12.0,,-27.0,-26.0
4009,14.0,-63.0,11.0,,-19.0,-21.0,17.0,-63.0,12.0,,-24.0,-17.0,12.0,,11.0,,-19.0,-29.0
4011,-10.0,,,,-28.0,-37.0,-13.0,,,,-30.0,-65.0,-13.0,,,,-37.0,-65.0
4012,-35.0,-54.0,,-50.0,-21.0,-61.0,-42.0,-65.0,,-54.0,-23.0,-64.0,-39.0,-67.0,,-51.0,-21.0,-62.0
4013,-18.0,-6.0,10.0,-44.0,-33.0,-40.0,-21.0,-26.0,11.0,-50.0,-38.0,-44.0,-13.0,-41.0,14.0,-46.0,-37.0,-42.0
4015,-13.0,-13.0,9.0,-23.0,-37.0,-36.0,-11.0,-27.0,9.0,-30.0,-39.0,-39.0,-5.0,-27.0,10.0,-26.0,-36.0,-37.0
4017,-9.0,11.0,10.0,-12.0,-28.0,-29.0,-15.0,5.0,11.0,-21.0,-34.0,-35.0,-23.0,5.0,14.0,-24.0,-30.0,-39.0
4019,-16.0,-16.0,10.0,-43.0,-36.0,-43.0,-16.0,-27.0,11.0,-48.0,-39.0,-45.0,-14.0,-52.0,14.0,-48.0,-39.0,-47.0
4021,-23.0,1.0,8.0,-28.0,-31.0,-27.0,-22.0,-21.0,9.0,-39.0,-33.0,-31.0,-16.0,-45.0,12.0,-45.0,-31.0,-33.0
4023,-47.0,-29.0,18.0,-25.0,-33.0,-56.0,-49.0,-40.0,19.0,-31.0,-37.0,-58.0,-43.0,-62.0,22.0,-27.0,-36.0,-58.0
4025,-15.0,6.0,9.0,-27.0,-38.0,-40.0,-15.0,-10.0,9.0,-30.0,-42.0,-45.0,-6.0,-32.0,11.0,-38.0,-37.0,-43.0
4027,-21.0,-17.0,10.0,-53.0,-27.0,-45.0,-24.0,-41.0,11.0,-61.0,-28.0,-52.0,-23.0,-53.0,16.0,-60.0,-34.0,-51.0
5001,-7.0,,,,-11.0,-22.0,8.0,,,,-26.0,-23.0,8.0,,,,-24.0,-23.0
5003,-4.0,,,,-27.0,-24.0,6.0,,,,-21.0,-32.0,6.0,,,,-13.0,-32.0
5005,-2.0,,11.0,,-26.0,-30.0,18.0,,13.0,,-26.0,-33.0,18.0,,13.0,,-22.0,-34.0
5007,-16.0,56.0,9.0,-65.0,-34.0,-36.0,-21.0,-16.0,11.0,-74.0,-35.0,-48.0,-7.0,21.0,12.0,-62.0,-32.0,-42.0
5009,-17.0,,14.0,,-32.0,-25.0,-12.0,,17.0,,-37.0,-36.0,5.0,,16.0,,-35.0,-30.0
5011,-17.0,,,,-37.0,-28.0,-7.0,,,,-33.0,-40.0,-7.0,,,,-42.0,-40.0
5015,14.0,,-1.0,,-27.0,-27.0,-3.0,,-1.0,,-33.0,-49.0,-3.0,,-1.0,,-43.0,-42.0
5017,6.0,,,,-25.0,-19.0,4.0,,,,-27.0,-22.0,4.0,,,,-35.0,-22.0
5019,2.0,,,-23.0,-22.0,-33.0,-4.0,,,-35.0,-31.0,-42.0,-4.0,,,-37.0,-13.0,-26.0
5021,-2.0,,,,-21.0,-7.0,-2.0,,,,-32.0,-10.0,-2.0,,,,-36.0,-10.0
5023,0.0,,,,-37.0,-16.0,43.0,,,,-35.0,-48.0,43.0,,,,-27.0,-48.0
5025,,,,,-33.0,,,,,,-33.0,,,,,,-40.0,
5027,-20.0,,,,-20.0,-18.0,-11.0,,,,-31.0,-20.0,-11.0,,,,-21.0,-20.0
5029,4.0,,,-2.0,-25.0,2.0,2.0,,,-21.0,-23.0,-25.0,2.0,,,-18.0,-21.0,-25.0
5031,-3.0,-59.0,4.0,-5.0,-24.0,-32.0,0.0,-59.0,7.0,-9.0,-28.0,-39.0,-6.0,-59.0,9.0,-14.0,-26.0,-44.0
5033,-1.0,,14.0,-11.0,-21.0,-16.0,4.0,,16.0,-16.0,-24.0,-28.0,6.0,,15.0,-4.0,-20.0,-16.0
5035,-11.0,,15.0,-17.0,-26.0,-15.0,6.0,,15.0,-22.0,-28.0,-29.0,10.0,,19.0,-27.0,-25.0,-29.0
5037,90.0,,,,-7.0,-49.0,93.0,,,,-17.0,-55.0,93.0,,,,-7.0,-55.0
5039,,,,,-32.0,-17.0,,,,,-30.0,-25.0,,,,,-25.0,-25.0
5041,0.0,,,,-33.0,-8.0,11.0,,,,-25.0,-22.0,11.0,,,,-41.0,-22.0
5043,-10.0,,,,-16.0,-27.0,5.0,,,,-20.0,-27.0,5.0,,,,-27.0,-27.0
5045,-15.0,-21.0,8.0,,-31.0,-32.0,-14.0,-23.0,10.0,,-31.0,-40.0,-11.0,-2.0,11.0,,-28.0,-44.0
5047,12.0,,,8.0,-16.0,-8.0,-3.0,,,-19.0,-20.0,-10.0,-3.0,,,-22.0,-20.0,-10.0
5049,,,,,-28.0,,,,,,-24.0,,,,,,-31.0,
5051,-12.0,17.0,7.0,,-32.0,-32.0,-1.0,-14.0,9.0,,-37.0,-40.0,0.0,-43.0,11.0,,-34.0,-41.0
5053,-17.0,,,,-26.0,-10.0,6.0,,,,-29.0,-6.0,6.0,,,,-16.0,-6.0
5055,-4.0,,12.0,,-20.0,-18.0,-2.0,,14.0,,-24.0,-32.0,5.0,,15.0,,-23.0,-21.0
5057,-13.0,,,,-24.0,-19.0,-3.0,,,,-27.0,-33.0,-3.0,,,,-25.0,-33.0
5059,9.0,,10.0,-28.0,-24.0,5.0,21.0,,8.0,-30.0,-22.0,-16.0,21.0,,8.0,-37.0,-19.0,-16.0
5061,-7.0,,,,-29.0,-8.0,4.0,,,,-17.0,-36.0,4.0,,,,-24.0,-36.0
5063,9.0,,13.0,,-24.0,-27.0,50.0,,12.0,,-21.0,-40.0,50.0,,13.0,,-16.0,-43.0
5065,-15.0,,,,-29.0,-24.0,8.0,,,,-25.0,-22.0,8.0,,,,-36.0,-22.0
5067,-12.0,,,,-14.0,-10.0,24.0,,,,-25.0,-12.0,24.0,,,,-32.0,-12.0
5069,4.0,,11.0,-14.0,-26.0,-30.0,13.0,,12.0,-18.0,-27.0,-32.0,21.0,,15.0,-20.0,-25.0,-26.0
5071,12.0,-28.0,-2.0,,-14.0,-24.0,4.0,-12.0,-2.0,,-18.0,-34.0,4.0,-12.0,-2.0,,-20.0,-34.0
5075,-6.0,,,,-30.0,-19.0,-1.0,,,,-32.0,-22.0,-1.0,,,,-43.0,-22.0
5079,-16.0,,,,-23.0,-60.0,-4.0,,,,-20.0,-60.0,-4.0,,,,-39.0,-60.0
5081,5.0,,,,-34.0,-7.0,-4.0,,,,-31.0,-25.0,-4.0,,,,-42.0,-25.0
5083,13.0,,,,-18.0,-5.0,9.0,,,,-21.0,-24.0,9.0,,,,-15.0,-24.0
5085,-5.0,,15.0,,-27.0,-23.0,4.0,,16.0,,-26.0,-29.0,12.0,,17.0,,-22.0,-24.0
5087,17.0,,,,-11.0,-10.0,-13.0,,,,-32.0,-31.0,-13.0,,,,-20.0,-31.0
5089,5.0,,,,-26.0,4.0,3.0,,,,-24.0,-16.0,3.0,,,,-31.0,-16.0
5091,-10.0,-35.0,12.0,-24.0,-32.0,-33.0,-9.0,-37.0,15.0,-38.0,-35.0,-35.0,-2.0,-33.0,14.0,-47.0,-26.0,-35.0
5093,-1.0,,10.0,-18.0,-15.0,-11.0,18.0,,11.0,-24.0,-20.0,-14.0,18.0,,10.0,-26.0,-15.0,-13.0
5095,-8.0,,,,-34.0,-26.0,-8.0,,,,-20.0,-40.0,-8.0,,,,-39.0,-40.0
5097,,,,,-33.0,,,,,,-33.0,,,,,,-35.0,
5099,,,,-23.0,-21.0,-61.0,,,,-36.0,-28.0,-61.0,,,,-40.0,-33.0,-61.0
5101,,,,,-38.0,,,,,,-31.0,,,,,,-29.0,
5103,-21.0,,,,-16.0,-9.0,-20.0,,,,-18.0,-16.0,-20.0,,,,-19.0,-16.0
5105,,,,,-35.0,,,,,,-33.0,,,,,,-41.0,
5107,-6.0,,,,-32.0,-1.0,16.0,,,,-29.0,-5.0,16.0,,,,-17.0,-5.0
5109,13.0,,,,-33.0,-30.0,-8.0,,,,-28.0,-30.0,-8.0,,,,-31.0,-30.0
5111,-5.0,,,,-15.0,2.0,7.0,,,,-19.0,-2.0,7.0,,,,-5.0,-2.0
5113,3.0,,,,-25.0,-17.0,31.0,,,,-23.0,-51.0,31.0,,,,-28.0,-51.0
5115,-9.0,,12.0,-11.0,-22.0,-32.0,-4.0,,14.0,-25.0,-21.0,-40.0,-6.0,,15.0,-31.0,-20.0,-41.0
5117,,,,,-26.0,,,,,,-24.0,,,,,,-39.0,
5119,-9.0,73.0,9.0,-38.0,-30.0,-35.0,-5.0,34.0,9.0,-45.0,-31.0,-38.0,-5.0,-18.0,11.0,-46.0,-30.0,-41.0
5121,12.0,,,,-23.0,-22.0,12.0,,,,-28.0,-33.0,12.0,,,,-18.0,-33.0
5123,10.0,,,-22.0,-25.0,-16.0,28.0,,,-29.0,-14.0,-26.0,28.0,,,-27.0,-18.0,-26.0
5125,-13.0,-52.0,7.0,-10.0,-33.0,-26.0,-7.0,-65.0,8.0,-22.0,-32.0,-30.0,-3.0,-44.0,11.0,-20.0,-26.0,-30.0
5127,,,,,-27.0,-39.0,,,,,-23.0,-53.0,,,,,-33.0,-53.0
5129,,,,,-39.0,,,,,,-43.0,,,,,,-43.0,
5131,-11.0,45.0,7.0,-41.0,-27.0,-36.0,-7.0,-10.0,9.0,-41.0,-30.0,-42.0,-3.0,0.0,10.0,-58.0,-30.0,-39.0
5133,-11.0,,,,-19.0,-24.0,-8.0,,,,-28.0,-35.0,-8.0,,,,-28.0,-35.0
5135,-7.0,,,,-26.0,-17.0,0.0,,,,-24.0,-27.0,0.0,,,,-25.0,-27.0
5137,-29.0,,,,-26.0,-11.0,8.0,,,,-26.0,-23.0,8.0,,,,-25.0,-23.0
5139,-8.0,,8.0,,-24.0,-33.0,-2.0,,9.0,,-23.0,-32.0,-9.0,,10.0,,-21.0,-32.0
5141,,,,,-39.0,-20.0,,,,,-32.0,-33.0,,,,,-38.0,-33.0
5143,-16.0,37.0,8.0,-10.0,-34.0,-37.0,-18.0,-21.0,11.0,-29.0,-36.0,-45.0,-9.0,13.0,12.0,-30.0,-33.0,-43.0
5145,-12.0,-19.0,9.0,4.0,-21.0,-27.0,5.0,-23.0,13.0,-6.0,-26.0,-32.0,1.0,-9.0,13.0,-19.0,-20.0,-30.0
5149,13.0,16.0,,,-19.0,-11.0,10.0,-27.0,,,-15.0,-27.0,10.0,18.0,,,-15.0,-27.0
6001,-27.0,-14.0,17.0,-64.0,-44.0,-58.0,-36.0,-61.0,18.0,-72.0,-49.0,-65.0,-23.0,-30.0,19.0,-65.0,-45.0,-59.0
6005,-20.0,-50.0,0.0,,-44.0,-41.0,-44.0,-64.0,0.0,,-52.0,-56.0,-26.0,-64.0,0.0,,-39.0,-35.0
6007,-16.0,-23.0,11.0,-45.0,-34.0,-45.0,-23.0,-63.0,12.0,-53.0,-38.0,-47.0,-1.0,-22.0,10.0,-34.0,-31.0,-35.0
6009,-12.0,-28.0,10.0,,-39.0,-42.0,-18.0,-75.0,10.0,,-45.0,-56.0,-18.0,-54.0,10.0,,-34.0,-41.0
6011,-1.0,,,-32.0,-37.0,-37.0,-6.0,,,-42.0,-39.0,-46.0,-6.0,,,-38.0,-30.0,-46.0
6013,-21.0,-15.0,15.0,-49.0,-41.0,-48.0,-25.0,-53.0,17.0,-60.0,-44.0,-54.0,-7.0,-17.0,17.0,-51.0,-43.0,-47.0
