,Workplaces,Workplaces,Workplaces
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
6043,-45.0,-53.0,-51.0
6045,-32.0,-34.0,-31.0
6047,-26.0,-31.0,-29.0
6049,-26.0,-26.0,-28.0
6051,-73.0,-73.0,-70.0
6053,-43.0,-46.0,-33.0
6055,-51.0,-52.0,-50.0
6057,-41.0,-48.0,-41.0
6059,-44.0,-46.0,-43.0
6061,-44.0,-48.0,-41.0
6063,-25.0,-36.0,-18.0
6065,-39.0,-41.0,-39.0
6067,-37.0,-42.0,-37.0
6069,-32.0,-38.0,-38.0
6071,-34.0,-36.0,-35.0
6073,-41.0,-43.0,-42.0
6075,-53.0,-54.0,-54.0
6077,-30.0,-36.0,-31.0
6079,-45.0,-48.0,-39.0
6081,-46.0,-50.0,-47.0
6083,-40.0,-45.0,-36.0
6085,-48.0,-52.0,-48.0
6087,-41.0,-45.0,-40.0
6089,-31.0,-35.0,-29.0
6093,-25.0,-28.0,-23.0
6095,-34.0,-36.0,-35.0
6097,-41.0,-43.0,-41.0
6099,-29.0,-35.0,-32.0
6101,-34.0,-43.0,-37.0
6103,-27.0,-31.0,-24.0
6105,-28.0,-32.0,-35.0
6107,-25.0,-29.0,-29.0
6109,-38.0,-44.0,-34.0
6111,-39.0,-39.0,-36.0
6113,-37.0,-43.0,-38.0
6115,-38.0,-41.0,-30.0
8001,-36.0,-36.0,-36.0
8003,-28.0,-17.0,-24.0
8005,-40.0,-42.0,-41.0
8007,-44.0,-46.0,-44.0
8011,,-34.0,-32.0
8013,-47.0,-47.0,-45.0
8015,-45.0,-45.0,-41.0
8019,-40.0,-48.0,-47.0
8021,-29.0,-33.0,-36.0
8029,-19.0,-27.0,-23.0
8031,-43.0,-45.0,-45.0
8035,-43.0,-45.0,-43.0
8037,-74.0,-74.0,-72.0
8039,-37.0,-43.0,-30.0
8041,-40.0,-40.0,-39.0
8043,-29.0,-27.0,-33.0
8045,-45.0,-40.0,-41.0
8047,-67.0,-63.0,-65.0
8049,-60.0,-64.0,-59.0
8051,-55.0,-55.0,-49.0
8055,-28.0,-25.0,-28.0
8059,-43.0,-44.0,-41.0
8061,,,
8063,-13.0,-20.0,-18.0
8065,-57.0,-49.0,-55.0
8067,-43.0,-46.0,-46.0
8069,-38.0,-40.0,-39.0
8071,-21.0,-27.0,-28.0
8073,-30.0,-33.0,-26.0
8075,-26.0,-29.0,-28.0
8077,-35.0,-33.0,-35.0
8081,-36.0,-33.0,-30.0
8083,-31.0,-25.0,-28.0
8085,-36.0,-39.0,-32.0
8087,-18.0,-25.0,-22.0
8089,-25.0,-23.0,-21.0
8091,-56.0,-56.0,-56.0
8093,-52.0,-48.0,-36.0
8095,,,-39.0
8097,-75.0,-75.0,-72.0
8099,-17.0,-26.0,-14.0
8101,-29.0,-27.0,-28.0
8103,-28.0,-36.0,-28.0
8105,-17.0,-27.0,-24.0
8107,-62.0,-63.0,-60.0
8109,-44.0,-44.0,-44.0
8113,-69.0,-69.0,-71.0
8117,-71.0,-65.0,-64.0
8119,-45.0,-46.0,-51.0
8121,,-42.0,-39.0
8123,-33.0,-32.0,-33.0
8125,-30.0,-23.0,-23.0
9001,-44.0,-44.0,-45.0
9003,-35.0,-36.0,-39.0
9005,-33.0,-36.0,-37.0
9007,-38.0,-35.0,-38.0
9009,-36.0,-38.0,-39.0
9011,-41.0,-39.0,-41.0
9013,-37.0,-39.0,-40.0
9015,-32.0,-32.0,-35.0
10001,-35.0,-37.0,-35.0
10003,-37.0,-38.0,-39.0
10005,-36.0,-39.0,-35.0
12001,-37.0,-40.0,-32.0
12003,-27.0,-30.0,-20.0
12005,-27.0,-32.0,-29.0
12007,-26.0,-38.0,-26.0
12009,-38.0,-45.0,-38.0
12011,-42.0,-45.0,-43.0
12013,-28.0,-35.0,-41.0
12015,-40.0,-44.0,-39.0
12017,-36.0,-42.0,-33.0
12019,-34.0,-39.0,-33.0
12021,-44.0,-48.0,-44.0
12023,-25.0,-29.0,-23.0
12027,-26.0,-30.0,-16.0
12029,-31.0,-33.0,-23.0
12031,-33.0,-39.0,-35.0
12033,-32.0,-36.0,-31.0
12035,-40.0,-47.0,-39.0
12037,-30.0,-43.0,-31.0
12039,-31.0,-32.0,-22.0
12041,-24.0,-33.0,-28.0
12043,-30.0,-22.0,-23.0
12045,-16.0,-24.0,-24.0
12047,-24.0,-36.0,-39.0
12049,-29.0,-27.0,-15.0
12051,-28.0,-29.0,-25.0
12053,-36.0,-43.0,-33.0
12055,-36.0,-44.0,-27.0
12057,-42.0,-46.0,-41.0
12059,-18.0,-14.0,-20.0
12061,-38.0,-43.0,-37.0
12063,-32.0,-35.0,-22.0
12065,-28.0,-32.0,-31.0
12067,-28.0,-30.0,-39.0
12069,-41.0,-46.0,-37.0
12071,-41.0,-46.0,-41.0
12073,-36.0,-40.0,-34.0
12075,-31.0,-34.0,-24.0
12077,-28.0,-40.0,-43.0
12079,-31.0,-41.0,-15.0
12081,-36.0,-44.0,-38.0
12083,-34.0,-41.0,-33.0
12085,-37.0,-43.0,-37.0
12086,-46.0,-48.0,-48.0
12087,-55.0,-57.0,-53.0
12089,-34.0,-41.0,-33.0
12091,-32.0,-41.0,-33.0
12093,-33.0,-34.0,-26.0
12095,-53.0,-56.0,-50.0
12097,-54.0,-58.0,-51.0
12099,-40.0,-44.0,-41.0
12101,-35.0,-41.0,-34.0
12103,-39.0,-44.0,-39.0
12105,-38.0,-44.0,-37.0
12107,-33.0,-35.0,-33.0
12109,-41.0,-47.0,-42.0
12111,-34.0,-41.0,-34.0
12113,-32.0,-36.0,-28.0
12115,-41.0,-46.0,-42.0
12117,-42.0,-48.0,-43.0
12119,-45.0,-50.0,-36.0
12121,-27.0,-34.0,-22.0
12123,-25.0,-26.0,-22.0
12125,-35.0,-38.0,-42.0
12127,-38.0,-46.0,-38.0
12129,-20.0,-29.0,-24.0
12131,-31.0,-36.0,-31.0
12133,-31.0,-36.0,-28.0
13001,-19.0,-19.0,-16.0
13003,-26.0,-35.0,-37.0
13005,-20.0,-27.0,-39.0
13009,-31.0,-36.0,-31.0
13011,-19.0,-30.0,-19.0
13013,-34.0,-42.0,-31.0
13015,-33.0,-34.0,-33.0
13017,-30.0,-26.0,-20.0
13019,-20.0,-25.0,-27.0
13021,-32.0,-36.0,-30.0
13023,-37.0,-40.0,-52.0
13025,-28.0,-28.0,-27.0
13027,-23.0,-36.0,-18.0
13029,-36.0,-36.0,-36.0
13031,-35.0,-40.0,-31.0
13033,-14.0,-26.0,-39.0
13035,-31.0,-40.0,-30.0
13039,-30.0,-35.0,-31.0
13043,-24.0,-27.0,-38.0
13045,-36.0,-35.0,-27.0
13047,-33.0,-41.0,-29.0
13049,-25.0,-32.0,-38.0
13051,-41.0,-45.0,-43.0
13053,-36.0,-34.0,-51.0
13055,-42.0,-29.0,-35.0
13057,-40.0,-44.0,-35.0
13059,-41.0,-46.0,-39.0
13063,-33.0,-40.0,-36.0
13065,-25.0,-20.0,-32.0
13067,-41.0,-47.0,-41.0
13069,-23.0,-32.0,-27.0
13071,-25.0,-28.0,-24.0
13073,-37.0,-44.0,-38.0
13075,-21.0,-28.0,-24.0
13077,-35.0,-43.0,-34.0
13079,-20.0,-27.0,-24.0
13081,-35.0,-37.0,-22.0
13083,-23.0,-34.0,-30.0
13085,-37.0,-37.0,-32.0
13087,-19.0,-30.0,-26.0
13089,-42.0,-47.0,-43.0
13091,-26.0,-26.0,-23.0
13093,-21.0,-30.0,-40.0
13095,-34.0,-37.0,-34.0
13097,-37.0,-42.0,-37.0
13099,-27.0,-32.0,-44.0
13103,-33.0,-37.0,-33.0
13105,-25.0,-27.0,-24.0
13107,-9.0,-29.0,-17.0
13109,-23.0,-31.0,-37.0
13111,-38.0,-42.0,-35.0
13113,-43.0,-51.0,-37.0
13115,-28.0,-35.0,-29.0
13117,-42.0,-49.0,-38.0
13119,-28.0,-35.0,-30.0
13121,-43.0,-48.0,-44.0
13123,-33.0,-39.0,-28.0
13127,-40.0,-45.0,-38.0
13129,-33.0,-39.0,-38.0
13131,-35.0,-37.0,-25.0
13133,-36.0,-44.0,-30.0
13135,-46.0,-50.0,-41.0
13137,-27.0,-37.0,-36.0
13139,-34.0,-40.0,-34.0
13141,-24.0,-28.0,-42.0
13143,-33.0,-37.0,-28.0
13145,-41.0,-50.0,-29.0
13147,-17.0,-25.0,-29.0
13149,-31.0,-38.0,-47.0
13151,-41.0,-48.0,-38.0
13153,-36.0,-40.0,-34.0
13155,-26.0,-32.0,-48.0
13157,-30.0,-37.0,-22.0
13159,-9.0,-19.0,-23.0
13161,-21.0,-21.0,-23.0
13163,-13.0,-24.0,-21.0
13165,-25.0,-38.0,-43.0
13167,-26.0,-30.0,-42.0
13169,-38.0,-39.0,-35.0
13171,-36.0,-43.0,-39.0
13173,-35.0,-39.0,-47.0
13175,-31.0,-33.0,-25.0
13177,-28.0,-35.0,-34.0
13179,-27.0,-35.0,-32.0
13181,-27.0,-27.0,-37.0
13183,-30.0,-34.0,-27.0
13185,-29.0,-33.0,-29.0
13187,-37.0,-42.0,-33.0
13189,-18.0,-26.0,-27.0
13191,-39.0,-39.0,-32.0
13193,-22.0,-29.0,-38.0
13195,-24.0,-29.0,-29.0
13197,-27.0,-29.0,-39.0
13199,-26.0,-39.0,-31.0
13201,-30.0,-40.0,-40.0
13205,-13.0,-27.0,-29.0
13207,-32.0,-37.0,-35.0
13209,-26.0,-28.0,-37.0
13211,-30.0,-30.0,-33.0
13213,-25.0,-39.0,-39.0
13215,-29.0,-34.0,-31.0
13217,-36.0,-42.0,-35.0
13219,-37.0,-38.0,-32.0
13221,-41.0,-38.0,-34.0
13223,-36.0,-42.0,-36.0
13225,-33.0,-36.0,-33.0
13227,-30.0,-32.0,-31.0
13229,-26.0,-40.0,-19.0
13231,-38.0,-42.0,-34.0
13233,-31.0,-33.0,-33.0
13235,-31.0,-37.0,-42.0
13237,-28.0,-31.0,-24.0
13241,-40.0,-42.0,-31.0
13243,-32.0,-41.0,-56.0
13245,-31.0,-39.0,-34.0
13247,-39.0,-42.0,-36.0
13249,-36.0,-38.0,-51.0
13251,-29.0,-26.0,-44.0
13253,-22.0,-33.0,-38.0
13255,-31.0,-41.0,-30.0
13257,-27.0,-38.0,-29.0
13261,-21.0,-28.0,-21.0
13263,-29.0,-43.0,-48.0
13267,-23.0,-25.0,-14.0
13269,-15.0,-30.0,-36.0
13271,-28.0,-28.0,-37.0
13273,-33.0,-33.0,-41.0
13275,-28.0,-38.0,-29.0
13277,-25.0,-33.0,-30.0
13279,-23.0,-26.0,-26.0
13281,-22.0,-39.0,-37.0
13283,-26.0,-38.0,-41.0
13285,-27.0,-37.0,-40.0
13287,-23.0,-35.0,-42.0
13289,-36.0,-36.0,-42.0
13291,-36.0,-38.0,-33.0
13293,-36.0,-33.0,-26.0
13295,-28.0,-36.0,-29.0
13297,-35.0,-40.0,-33.0
13299,-23.0,-38.0,-28.0
13301,-32.0,-30.0,-53.0
13303,-13.0,-25.0,-23.0
13305,-33.0,-40.0,-21.0
13311,-29.0,-37.0,-36.0
13313,-25.0,-43.0,-41.0
13315,-24.0,-32.0,-50.0
13317,-22.0,-26.0,-31.0
13319,-24.0,-29.0,-46.0
13321,-28.0,-32.0,-33.0
15001,-41.0,-43.0,-42.0
15003,-44.0,-45.0,-46.0
15007,-48.0,-46.0,-47.0
15009,-54.0,-57.0,-54.0
16001,-43.0,-44.0,-40.0
16005,-37.0,-39.0,-32.0
16007,-36.0,-44.0,-41.0
16009,-35.0,-45.0,-43.0
16011,-38.0,-33.0,-24.0
16013,-62.0,-65.0,-64.0
16015,-48.0,-50.0,-50.0
16017,-38.0,-42.0,-33.0
16019,-34.0,-37.0,-28.0
16021,-18.0,-25.0,-25.0
16027,-37.0,-39.0,-32.0
16029,-27.0,-31.0,-29.0
16031,-26.0,-31.0,-28.0
16035,-28.0,-30.0,-21.0
16039,-29.0,-32.0,-24.0
16041,-27.0,-27.0,-20.0
16043,-57.0,-51.0,-22.0
16045,-34.0,-34.0,-24.0
16047,-21.0,-21.0,-11.0
16049,-46.0,-31.0,-30.0
16051,-45.0,-45.0,-26.0
16053,-27.0,-19.0,-19.0
16055,-40.0,-41.0,-36.0
16057,-47.0,-50.0,-42.0
16059,-28.0,-28.0,-28.0
16063,-44.0,-44.0,-39.0
16065,-59.0,-61.0,-45.0
16067,-33.0,-30.0,-24.0
16069,-31.0,-30.0,-27.0
16071,-42.0,-39.0,-42.0
16073,-20.0,-25.0,-25.0
16075,-26.0,-29.0,-29.0
16077,-34.0,-32.0,-32.0
16079,-31.0,-31.0,-29.0
16081,-47.0,-50.0,-56.0
16083,-25.0,-30.0,-31.0
16085,-60.0,-57.0,-58.0
16087,-39.0,-35.0,-37.0
17001,-27.0,-26.0,-29.0
17003,-30.0,-27.0,-43.0
17005,-21.0,-26.0,-18.0
17007,-38.0,-35.0,-39.0
17011,-25.0,-23.0,-29.0
17015,-32.0,-38.0,-23.0
17017,-6.0,-33.0,-33.0
17019,-40.0,-38.0,-37.0
17021,-20.0,-25.0,-28.0
17023,-32.0,-32.0,-33.0
17025,-27.0,-27.0,-27.0
17027,-29.0,-33.0,-27.0
17029,-27.0,-28.0,-31.0
17031,-45.0,-45.0,-43.0
17033,-27.0,-31.0,-23.0
17035,-33.0,-35.0,-58.0
17037,-37.0,-34.0,-34.0
17039,-22.0,-22.0,-21.0
17041,-30.0,-38.0,-30.0
17045,-38.0,-36.0,-21.0
17047,-39.0,-44.0,-54.0
17049,-36.0,-37.0,-33.0
17051,-19.0,-16.0,-19.0
17053,-22.0,-24.0,-24.0
17055,-28.0,-31.0,-25.0
17057,-26.0,-22.0,-28.0
17059,,-39.0,-42.0
17061,-21.0,-26.0,-36.0
17063,-34.0,-31.0,-31.0
17065,-33.0,-40.0,-45.0
17067,-24.0,-18.0,-15.0
17071,-23.0,-26.0,-38.0
17073,-31.0,-27.0,-28.0
17075,-24.0,-22.0,-18.0
17077,-33.0,-36.0,-34.0
17079,-27.0,-34.0,-45.0
17081,-39.0,-45.0,-36.0
17083,-23.0,-23.0,-18.0
17085,-38.0,-38.0,-40.0
17087,-35.0,-37.0,-48.0
17089,-39.0,-39.0,-40.0
17091,-29.0,-31.0,-33.0
17093,-38.0,-39.0,-39.0
17095,-32.0,-34.0,-29.0
17097,-41.0,-41.0,-39.0
17101,-17.0,-21.0,-19.0
17103,-24.0,-28.0,-22.0
17105,-27.0,-23.0,-21.0
17107,-25.0,-29.0,-27.0
17109,-28.0,-25.0,-24.0
17111,-38.0,-37.0,-37.0
17113,-41.0,-40.0,-35.0
17115,-30.0,-31.0,-29.0
17117,-30.0,-32.0,-29.0
17119,-34.0,-36.0,-31.0
17121,-33.0,-33.0,-28.0
17123,-39.0,-35.0,-48.0
17125,-27.0,-34.0,-19.0
17127,-22.0,-31.0,-32.0
17129,-42.0,-48.0,-46.0
17131,-33.0,-31.0,-24.0
17133,-33.0,-41.0,-32.0
17135,-28.0,-28.0,-19.0
17137,-34.0,-34.0,-29.0
17139,-26.0,-26.0,-28.0
17141,-27.0,-25.0,-26.0
17143,-35.0,-35.0,-32.0
17145,-28.0,-34.0,-30.0
17147,-26.0,-32.0,-22.0
17149,-19.0,-19.0,-29.0
17153,-33.0,-36.0,-57.0
17155,-38.0,-38.0,-45.0
17157,-24.0,-27.0,-18.0
17159,-19.0,-23.0,-21.0
17161,-36.0,-34.0,-34.0
17163,-34.0,-37.0,-35.0
17165,-24.0,-31.0,-19.0
17167,-36.0,-36.0,-35.0
17169,-29.0,-23.0,-37.0
17173,-31.0,-20.0,-25.0
17175,-36.0,-31.0,-41.0
17177,-30.0,-30.0,-22.0
17179,-33.0,-33.0,-31.0
17181,-23.0,-25.0,-25.0
17183,-26.0,-26.0,-27.0
17185,-32.0,-44.0,-34.0
17187,-20.0,-20.0,-36.0
17189,-40.0,-43.0,-26.0
17191,-24.0,-27.0,-17.0
17193,-23.0,-16.0,-19.0
17195,-30.0,-28.0,-27.0
17197,-36.0,-38.0,-37.0
17199,-32.0,-38.0,-34.0
17201,-36.0,-33.0,-36.0
17203,-34.0,-35.0,-29.0
18001,-33.0,-33.0,-27.0
18003,-39.0,-40.0,-39.0
18005,-45.0,-46.0,-49.0
18007,-42.0,-43.0,-52.0
18009,-24.0,-24.0,-17.0
18011,-39.0,-39.0,-35.0
18013,-37.0,-42.0,-39.0
18015,-38.0,-38.0,-30.0
18017,-34.0,-35.0,-20.0
18019,-36.0,-39.0,-36.0
18021,-32.0,-32.0,-39.0
18023,-30.0,-25.0,-34.0
18025,-36.0,-44.0,-54.0
18027,-25.0,-27.0,-28.0
18029,-42.0,-45.0,-44.0
18031,-43.0,-48.0,-44.0
18033,-34.0,-37.0,-37.0
18035,-36.0,-38.0,-33.0
18037,-29.0,-30.0,-49.0
18039,-35.0,-36.0,-40.0
18041,-35.0,-36.0,-26.0
18043,-38.0,-39.0,-38.0
18045,-36.0,-36.0,-31.0
18047,-36.0,-34.0,-33.0
18049,-31.0,-17.0,-35.0
18051,-29.0,-26.0,-26.0
18053,-22.0,-28.0,-24.0
18055,-29.0,-31.0,-29.0
18057,-47.0,-48.0,-42.0
18059,-38.0,-41.0,-33.0
18061,-30.0,-30.0,-30.0
18063,-39.0,-39.0,-34.0
