,Workplaces,Workplaces,Workplaces
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
19107,-21.0,-29.0,-33.0
19109,-21.0,-33.0,-27.0
19111,-14.0,-13.0,-21.0
19113,-36.0,-34.0,-35.0
19115,-18.0,-23.0,-51.0
19117,-16.0,-16.0,-25.0
19119,-24.0,-28.0,-42.0
19121,-25.0,-27.0,-29.0
19123,-22.0,-22.0,-19.0
19125,-19.0,-22.0,-35.0
19127,-29.0,-24.0,-23.0
19129,-20.0,-22.0,-27.0
19131,-28.0,-30.0,-38.0
19133,-30.0,-39.0,-38.0
19135,-26.0,-31.0,-40.0
19137,-23.0,-34.0,-26.0
19139,-28.0,-27.0,-30.0
19141,-4.0,-17.0,-11.0
19143,-25.0,-27.0,-41.0
19145,-22.0,-24.0,-20.0
19147,-30.0,-28.0,-40.0
19149,-30.0,-23.0,-27.0
19151,-26.0,-28.0,-37.0
19153,-34.0,-35.0,-32.0
19155,-30.0,-32.0,-31.0
19157,-28.0,-28.0,-28.0
19161,-22.0,-28.0,-32.0
19163,-31.0,-34.0,-33.0
19165,-25.0,-31.0,-37.0
19167,-23.0,-32.0,-17.0
19169,-43.0,-40.0,-37.0
19171,-36.0,-40.0,-34.0
19173,-18.0,-20.0,-21.0
19175,-29.0,-31.0,-29.0
19177,-13.0,-23.0,-42.0
19179,-18.0,-19.0,-25.0
19181,-32.0,-33.0,-31.0
19183,-30.0,-29.0,-23.0
19185,-25.0,-31.0,-31.0
19187,-24.0,-19.0,-20.0
19189,-36.0,-42.0,-50.0
19191,-33.0,-39.0,-36.0
19193,-26.0,-26.0,-24.0
19195,-31.0,-35.0,-44.0
19197,-8.0,-26.0,-17.0
20001,-14.0,-26.0,-30.0
20003,-27.0,-28.0,-37.0
20005,-27.0,-24.0,-29.0
20009,-15.0,-24.0,-18.0
20011,-29.0,-37.0,-24.0
20013,-20.0,-31.0,-35.0
20015,-25.0,-30.0,-24.0
20021,-23.0,-33.0,-27.0
20027,-27.0,-39.0,-40.0
20029,-20.0,-29.0,-33.0
20031,-35.0,-40.0,-39.0
20035,-28.0,-35.0,-34.0
20037,-22.0,-23.0,-21.0
20041,-24.0,-29.0,-18.0
20043,-24.0,-20.0,-31.0
20045,-38.0,-40.0,-40.0
20051,-14.0,-27.0,-41.0
20053,-16.0,-26.0,-35.0
20055,-15.0,-24.0,11.0
20057,-16.0,-32.0,-43.0
20059,-20.0,-19.0,-28.0
20061,-33.0,-34.0,-27.0
20067,-14.0,-23.0,-30.0
20073,-27.0,-29.0,-40.0
20077,,-28.0,-34.0
20079,-31.0,-37.0,-27.0
20085,-35.0,-32.0,-38.0
20087,-31.0,-38.0,-24.0
20091,-40.0,-42.0,-39.0
20095,-28.0,-27.0,-33.0
20099,-6.0,-19.0,-13.0
20103,-32.0,-33.0,-28.0
20107,-17.0,-25.0,-32.0
20111,-23.0,-25.0,-28.0
20113,-26.0,-31.0,-24.0
20115,-28.0,-36.0,-44.0
20117,-13.0,-26.0,-40.0
20121,-28.0,-31.0,-27.0
20123,-24.0,-24.0,-31.0
20125,1.0,-5.0,-15.0
20127,-29.0,-45.0,-48.0
20131,-15.0,-26.0,-34.0
20133,-18.0,-27.0,-15.0
20139,-12.0,-22.0,-24.0
20143,-24.0,-35.0,-37.0
20145,-26.0,-33.0,-30.0
20149,-31.0,-35.0,-33.0
20151,-20.0,-28.0,-35.0
20155,-25.0,-28.0,-29.0
20159,-27.0,-32.0,-40.0
20161,-38.0,-40.0,-38.0
20167,-17.0,-23.0,-34.0
20169,-21.0,-30.0,-36.0
20171,-19.0,-28.0,-33.0
20173,-34.0,-36.0,-35.0
20175,-14.0,-20.0,-17.0
20177,-30.0,-30.0,-32.0
20181,,-32.0,-34.0
20189,,,-49.0
20191,-30.0,-35.0,-24.0
20193,-25.0,-25.0,-25.0
20195,,,
20197,-32.0,-42.0,-46.0
20201,-16.0,-31.0,-38.0
20205,-26.0,-40.0,-42.0
20209,-33.0,-37.0,-33.0
21001,-39.0,-43.0,-52.0
21003,-24.0,-33.0,-28.0
21005,-27.0,-33.0,-34.0
21007,-24.0,-30.0,-41.0
21009,-28.0,-35.0,-27.0
21011,-34.0,-38.0,-48.0
21013,-25.0,-15.0,-21.0
21015,-37.0,-35.0,-39.0
21017,-29.0,-35.0,-25.0
21019,-27.0,-30.0,-30.0
21021,-38.0,-42.0,-28.0
21023,-33.0,-29.0,-47.0
21025,-33.0,-36.0,-42.0
21027,-21.0,-29.0,-31.0
21029,-35.0,-35.0,-32.0
21031,-33.0,-37.0,-52.0
21033,-30.0,-26.0,-40.0
21035,-34.0,-33.0,-34.0
21037,-38.0,-43.0,-41.0
21039,,-39.0,-42.0
21041,-9.0,-27.0,-13.0
21043,-15.0,-13.0,-21.0
21045,-38.0,-43.0,-49.0
21047,-36.0,-32.0,-28.0
21049,-34.0,-36.0,-33.0
21051,-24.0,-22.0,-36.0
21053,-29.0,-26.0,-33.0
21055,-25.0,-30.0,-46.0
21059,-28.0,-31.0,-29.0
21061,-35.0,-38.0,-50.0
21065,-34.0,-35.0,-48.0
21067,-39.0,-42.0,-40.0
21069,-39.0,-40.0,-46.0
21071,-25.0,-9.0,-17.0
21073,-36.0,-39.0,-37.0
21075,-22.0,-32.0,-44.0
21077,-34.0,-30.0,-46.0
21079,-34.0,-34.0,-33.0
21081,-42.0,-39.0,-38.0
21083,-32.0,-29.0,-26.0
21085,-36.0,-33.0,-32.0
21087,-30.0,-37.0,-48.0
21089,-23.0,-32.0,-28.0
21091,-32.0,-41.0,-49.0
21093,-38.0,-40.0,-38.0
21095,-4.0,-11.0,-13.0
21097,-33.0,-37.0,-24.0
21099,-30.0,-33.0,-16.0
21101,-30.0,-35.0,-29.0
21103,-42.0,-35.0,-41.0
21107,-31.0,-34.0,-26.0
21109,-38.0,-48.0,-46.0
21111,-38.0,-39.0,-40.0
21113,-39.0,-37.0,-28.0
21115,-22.0,-16.0,-30.0
21117,-35.0,-39.0,-37.0
21119,-35.0,-32.0,-43.0
21121,-24.0,-22.0,-25.0
21123,-28.0,-25.0,-30.0
21125,-30.0,-31.0,-32.0
21127,-20.0,-22.0,-27.0
21133,-32.0,-34.0,-43.0
21135,-22.0,-20.0,-37.0
21137,-29.0,-31.0,-22.0
21139,-34.0,-28.0,-37.0
21141,-23.0,-25.0,-27.0
21143,-29.0,-29.0,-47.0
21145,-34.0,-36.0,-30.0
21147,-33.0,-24.0,-39.0
21149,-27.0,-29.0,-45.0
21151,-41.0,-41.0,-39.0
21155,-34.0,-22.0,-39.0
21157,-30.0,-33.0,-23.0
21161,-20.0,-22.0,-26.0
21163,-29.0,-36.0,-38.0
21165,-38.0,-41.0,-46.0
21167,-28.0,-30.0,-35.0
21169,-36.0,-36.0,-47.0
21171,-33.0,-34.0,-34.0
21173,-23.0,-30.0,-34.0
21175,-34.0,-34.0,-48.0
21177,-30.0,-30.0,-25.0
21179,-35.0,-36.0,-37.0
21181,-43.0,-50.0,-45.0
21183,-27.0,-22.0,-20.0
21185,-41.0,-42.0,-30.0
21187,-41.0,-44.0,-52.0
21191,-35.0,-22.0,-25.0
21193,-18.0,-25.0,-23.0
21195,-25.0,-24.0,-21.0
21197,-37.0,-35.0,-43.0
21199,-36.0,-36.0,-33.0
21203,-24.0,-24.0,-24.0
21205,-28.0,-28.0,-27.0
21207,-32.0,-35.0,-45.0
21209,-42.0,-43.0,-41.0
21211,-45.0,-44.0,-43.0
21213,-31.0,-36.0,-38.0
21215,-40.0,-45.0,-31.0
21217,-22.0,-32.0,-26.0
21219,-32.0,-36.0,-51.0
21221,-35.0,-41.0,-50.0
21223,-36.0,-40.0,-50.0
21225,-44.0,-49.0,-56.0
21227,-37.0,-36.0,-37.0
21229,-44.0,-45.0,-59.0
21231,-29.0,-30.0,-32.0
21233,-25.0,-34.0,-34.0
21235,-26.0,-29.0,-27.0
21237,,,-49.0
21239,-30.0,-34.0,-29.0
22001,-21.0,-30.0,-28.0
22003,-33.0,-41.0,-38.0
22005,-34.0,-36.0,-36.0
22007,-36.0,-27.0,-31.0
22009,-32.0,-33.0,-27.0
22011,-31.0,-35.0,-33.0
22013,-32.0,-34.0,-40.0
22015,-37.0,-39.0,-41.0
22017,-32.0,-37.0,-36.0
22019,-34.0,-37.0,-33.0
22021,-29.0,-33.0,-43.0
22023,-17.0,-23.0,-48.0
22025,-38.0,-35.0,-44.0
22027,-31.0,-31.0,-41.0
22029,-20.0,-27.0,-30.0
22031,-24.0,-31.0,-23.0
22033,-34.0,-36.0,-36.0
22037,-35.0,-36.0,-58.0
22039,-25.0,-27.0,-28.0
22041,-22.0,-26.0,-20.0
22043,-20.0,-33.0,-20.0
22045,-23.0,-26.0,-27.0
22047,-30.0,-36.0,-37.0
22049,-30.0,-26.0,-44.0
22051,-44.0,-44.0,-45.0
22053,-33.0,-29.0,-30.0
22055,-31.0,-35.0,-36.0
22057,-25.0,-30.0,-29.0
22059,-31.0,-25.0,-41.0
22061,-38.0,-40.0,-33.0
22063,-32.0,-34.0,-34.0
22065,-20.0,-18.0,-36.0
22067,-23.0,-19.0,-25.0
22069,-30.0,-34.0,-32.0
22071,-54.0,-54.0,-53.0
22073,-29.0,-28.0,-30.0
22075,-25.0,-37.0,-46.0
22077,-16.0,-19.0,-9.0
22079,-30.0,-29.0,-27.0
22081,-26.0,-28.0,-40.0
22083,-16.0,-16.0,-17.0
22085,-23.0,-35.0,-23.0
22087,-35.0,-36.0,-42.0
22089,-35.0,-34.0,-38.0
22091,-35.0,-33.0,-58.0
22093,-17.0,-29.0,-29.0
22095,-37.0,-39.0,-38.0
22097,-28.0,-24.0,-26.0
22099,-29.0,-31.0,-36.0
22101,-33.0,-31.0,-41.0
22103,-35.0,-35.0,-35.0
22105,-32.0,-33.0,-31.0
22109,-32.0,-33.0,-37.0
22111,-31.0,-31.0,-24.0
22113,-29.0,-27.0,-27.0
22115,-34.0,-38.0,-26.0
22117,-20.0,-15.0,-22.0
22119,-31.0,-35.0,-35.0
22121,-36.0,-34.0,-34.0
22123,-22.0,-29.0,-47.0
22125,-45.0,-43.0,-60.0
22127,-23.0,-24.0,-41.0
23001,-30.0,-31.0,-31.0
23003,-18.0,-23.0,-23.0
23005,-37.0,-39.0,-40.0
23007,-32.0,-33.0,-33.0
23009,-22.0,-29.0,-27.0
23011,-28.0,-33.0,-30.0
23013,-30.0,-29.0,-30.0
23015,-30.0,-28.0,-29.0
23017,-38.0,-37.0,-36.0
23019,-31.0,-35.0,-33.0
23021,-14.0,-19.0,-28.0
23023,-34.0,-32.0,-36.0
23025,-22.0,-27.0,-26.0
23027,-27.0,-30.0,-28.0
23029,-24.0,-24.0,-25.0
23031,-36.0,-38.0,-36.0
24001,-31.0,-32.0,-30.0
24003,-42.0,-45.0,-41.0
24005,-36.0,-39.0,-37.0
24009,-39.0,-43.0,-36.0
24011,-28.0,-31.0,-28.0
24013,-34.0,-37.0,-36.0
24015,-30.0,-32.0,-32.0
24017,-39.0,-44.0,-39.0
24019,-28.0,-32.0,-25.0
24021,-38.0,-41.0,-38.0
24023,-37.0,-36.0,-30.0
24025,-32.0,-36.0,-35.0
24027,-47.0,-49.0,-46.0
24029,-33.0,-31.0,-22.0
24031,-45.0,-50.0,-46.0
24033,-40.0,-44.0,-40.0
24035,-40.0,-39.0,-33.0
24037,-34.0,-38.0,-33.0
24039,-36.0,-34.0,-26.0
24041,-38.0,-38.0,-32.0
24043,-32.0,-36.0,-33.0
24045,-34.0,-36.0,-37.0
24047,-39.0,-44.0,-37.0
25001,-41.0,-39.0,-38.0
25003,-35.0,-35.0,-36.0
25005,-35.0,-35.0,-38.0
25007,-51.0,-53.0,-51.0
25009,-44.0,-43.0,-46.0
25011,-37.0,-37.0,-37.0
25013,-37.0,-37.0,-39.0
25015,-43.0,-42.0,-41.0
25017,-46.0,-46.0,-47.0
25019,-54.0,-57.0,-54.0
25021,-44.0,-43.0,-45.0
25023,-37.0,-35.0,-38.0
25025,-51.0,-52.0,-55.0
25027,-38.0,-38.0,-39.0
26001,-45.0,-50.0,-50.0
26003,-56.0,-56.0,-62.0
26005,-39.0,-39.0,-41.0
26007,-31.0,-36.0,-34.0
26009,-43.0,-40.0,-43.0
26011,-36.0,-40.0,-35.0
26013,-57.0,-57.0,-63.0
26015,-40.0,-37.0,-37.0
26017,-37.0,-39.0,-41.0
26019,-39.0,-30.0,-33.0
26021,-38.0,-40.0,-37.0
26023,-28.0,-35.0,-40.0
26025,-42.0,-40.0,-41.0
26027,-38.0,-35.0,-32.0
26029,-40.0,-51.0,-43.0
26031,-37.0,-41.0,-38.0
26033,-44.0,-38.0,-40.0
26035,-35.0,-32.0,-30.0
26037,-38.0,-35.0,-41.0
26039,-39.0,-32.0,-35.0
26041,-29.0,-30.0,-34.0
26043,-27.0,-28.0,-29.0
26045,-38.0,-40.0,-37.0
26047,-49.0,-52.0,-49.0
26049,-45.0,-46.0,-46.0
26051,-41.0,-35.0,-38.0
26053,-45.0,-48.0,-41.0
26055,-43.0,-41.0,-44.0
26057,-32.0,-38.0,-31.0
26059,-38.0,-38.0,-41.0
26061,-44.0,-44.0,-39.0
26063,-29.0,-38.0,-32.0
26065,-41.0,-41.0,-40.0
26067,-39.0,-38.0,-34.0
26069,-39.0,-37.0,-37.0
26071,-39.0,-41.0,-44.0
26073,-47.0,-43.0,-44.0
26075,-42.0,-40.0,-39.0
26077,-40.0,-40.0,-40.0
26079,-42.0,-45.0,-42.0
26081,-44.0,-44.0,-44.0
26085,-47.0,-47.0,-51.0
26087,-46.0,-47.0,-48.0
26089,-49.0,-46.0,-47.0
26091,-42.0,-44.0,-43.0
26093,-46.0,-47.0,-48.0
26095,,,
26097,-52.0,-47.0,-60.0
26099,-48.0,-50.0,-53.0
26101,-40.0,-43.0,-31.0
26103,-37.0,-36.0,-33.0
26105,-43.0,-40.0,-38.0
26107,-37.0,-38.0,-29.0
26109,-23.0,-19.0,-29.0
26111,-40.0,-38.0,-38.0
26113,-39.0,-47.0,-30.0
26115,-34.0,-36.0,-38.0
26117,-29.0,-30.0,-32.0
26119,-40.0,-40.0,-50.0
26121,-40.0,-45.0,-42.0
26123,-34.0,-34.0,-32.0
26125,-50.0,-52.0,-52.0
26127,-35.0,-37.0,-34.0
26129,-45.0,-34.0,-31.0
26131,,,
26133,-42.0,-34.0,-34.0
26135,-43.0,-50.0,-55.0
26137,-41.0,-46.0,-44.0
26139,-48.0,-48.0,-45.0
26141,-38.0,-41.0,-47.0
26143,-43.0,-38.0,-37.0
26145,-43.0,-43.0,-44.0
26147,-37.0,-40.0,-46.0
26149,-39.0,-36.0,-38.0
26151,-39.0,-42.0,-36.0
26153,-44.0,-42.0,-51.0
26155,-34.0,-37.0,-43.0
26157,-37.0,-37.0,-38.0
26159,-30.0,-32.0,-35.0
26161,-53.0,-54.0,-53.0
26163,-45.0,-47.0,-48.0
26165,-37.0,-40.0,-40.0
27001,-41.0,-46.0,-33.0
27003,-39.0,-38.0,-36.0
27005,-35.0,-33.0,-36.0
27007,-36.0,-33.0,-30.0
27009,-31.0,-32.0,-33.0
27011,-35.0,-46.0,-35.0
27013,-35.0,-33.0,-32.0
27015,-19.0,-21.0,-16.0
27017,-26.0,-25.0,-27.0
27019,-46.0,-41.0,-33.0
27021,-45.0,-40.0,-33.0
27023,-25.0,-34.0,-22.0
27025,-35.0,-36.0,-32.0
27027,-34.0,-35.0,-35.0
27029,-38.0,-52.0,-47.0
27031,-46.0,-51.0,-54.0
27033,-24.0,-35.0,-52.0
27035,-37.0,-35.0,-39.0
27037,-41.0,-42.0,-38.0
27039,-30.0,-32.0,-27.0
27041,-35.0,-34.0,-27.0
27043,-18.0,-18.0,-14.0
27045,-28.0,-19.0,-21.0
27047,-32.0,-26.0,-30.0
27049,-39.0,-35.0,-34.0
27051,-23.0,-40.0,-38.0
27053,-44.0,-44.0,-43.0
27055,-28.0,-26.0,-30.0
27057,-44.0,-42.0,-42.0
27059,-32.0,-33.0,-24.0
27061,-26.0,-32.0,-31.0
27063,-27.0,-39.0,-46.0
27065,-38.0,-43.0,-40.0
27067,-29.0,-22.0,-20.0
27071,-29.0,-29.0,-29.0
27073,-20.0,-24.0,-36.0
27075,-31.0,-39.0,-42.0
27077,,,
27079,-33.0,-27.0,-26.0
27081,-26.0,-38.0,-40.0
27083,-25.0,-27.0,-26.0
27085,-25.0,-26.0,-22.0
27087,-52.0,-60.0,-60.0
27089,-29.0,-59.0,-49.0
27091,-26.0,-26.0,-13.0
27093,-32.0,-32.0,-21.0
27095,-39.0,-35.0,-32.0
27097,-27.0,-31.0,-28.0
27099,-25.0,-17.0,-17.0
27101,-22.0,-31.0,-39.0
27103,-33.0,-35.0,-34.0
27105,-22.0,-32.0,-45.0
27107,-23.0,-44.0,-38.0
27109,-40.0,-40.0,-37.0
27111,-30.0,-33.0,-26.0
27113,-40.0,-52.0,-49.0
27115,-53.0,-51.0,-46.0
27117,-26.0,-35.0,-33.0
27119,-29.0,-32.0,-32.0
27121,-33.0,-39.0,-39.0
27123,-42.0,-40.0,-39.0
27125,,-32.0,-37.0
27127,-38.0,-38.0,-30.0
27129,-22.0,-25.0,-22.0
27131,-39.0,-35.0,-38.0
27133,-26.0,-36.0,-40.0
27135,-49.0,-54.0,-52.0
27137,-37.0,-37.0,-36.0
27139,-42.0,-39.0,-40.0
27141,-38.0,-35.0,-32.0
27143,-18.0,-14.0,-11.0
27145,-36.0,-35.0,-34.0
27147,-33.0,-29.0,-33.0
27149,-28.0,-40.0,-33.0
27151,-23.0,-33.0,-41.0
27153,-28.0,-28.0,-35.0
27157,-28.0,-19.0,-31.0
27159,-28.0,-26.0,-38.0
27161,-21.0,-21.0,-23.0
27163,-40.0,-39.0,-38.0
27165,-7.0,-31.0,-12.0
27167,-28.0,-35.0,-38.0
27169,-23.0,-33.0,-31.0
27171,-35.0,-34.0,-31.0
27173,-26.0,-32.0,-38.0
28001,-34.0,-37.0,-29.0
28003,-28.0,-38.0,-31.0
28005,-33.0,-29.0,-35.0
28007,-20.0,-29.0,-37.0
28009,-23.0,-30.0,-45.0
28011,-24.0,-33.0,-24.0
28013,-32.0,-35.0,-53.0
28015,-33.0,-31.0,-48.0
28017,-35.0,-37.0,-37.0
28021,-9.0,-11.0,-28.0
28023,-25.0,-30.0,-46.0
28025,-33.0,-35.0,-23.0
28027,-43.0,-43.0,-36.0
28029,-15.0,-19.0,-24.0
28031,-29.0,-35.0,-20.0
28035,-30.0,-30.0,-30.0
28039,-28.0,-22.0,-29.0
28041,-23.0,-30.0,-47.0
28043,-15.0,-26.0,-30.0
28045,-40.0,-43.0,-40.0
28047,-44.0,-46.0,-45.0
28049,-29.0,-35.0,-27.0
28051,-30.0,-35.0,-51.0
28053,-30.0,-36.0,-40.0
28057,-28.0,-30.0,-33.0
28059,-38.0,-43.0,-43.0
28061,-18.0,-25.0,-40.0
28063,,,-35.0
28065,-34.0,-41.0,-51.0
28067,-28.0,-34.0,-31.0
28069,-26.0,-33.0,-45.0
28071,-35.0,-43.0,-41.0
28073,-25.0,-36.0,-30.0
28075,-35.0,-38.0,-32.0
28077,-30.0,-30.0,-40.0
28079,-26.0,-28.0,-33.0
28081,-33.0,-37.0,-37.0
28083,-15.0,-27.0,-24.0
28085,-25.0,-37.0,-26.0
28087,-28.0,-33.0,-27.0
28089,-37.0,-42.0,-33.0
28091,-15.0,-31.0,-15.0
28093,-22.0,-35.0,-33.0
28095,-31.0,-36.0,-31.0
28097,-17.0,-21.0,-43.0
28099,-27.0,-29.0,-30.0
28101,-16.0,-39.0,-36.0
28103,-19.0,-21.0,-31.0
28105,-32.0,-41.0,-34.0
28107,-22.0,-28.0,-34.0
28109,-28.0,-33.0,-28.0
28111,-27.0,-25.0,-44.0
28113,-19.0,-23.0,-26.0
28115,-29.0,-31.0,-47.0
28117,-25.0,-31.0,-13.0
28119,-32.0,-41.0,-48.0
28121,-27.0,-36.0,-28.0
28123,-17.0,-29.0,-25.0
28127,-20.0,-29.0,-17.0
28129,-21.0,-31.0,-48.0
28131,-28.0,-30.0,-31.0
28133,-10.0,-17.0,-20.0
28135,-31.0,-31.0,-41.0
28137,-28.0,-34.0,-27.0
28139,-25.0,-22.0,-33.0
28141,-22.0,-22.0,-24.0
28143,-44.0,-51.0,-50.0
28145,-32.0,-30.0,-39.0
28147,-28.0,-32.0,-35.0
28149,-28.0,-34.0,-27.0
28151,-18.0,-26.0,-23.0
28153,-21.0,-22.0,-20.0
28155,-33.0,-40.0,-49.0
28157,-28.0,-38.0,-51.0
28159,-23.0,-24.0,-20.0
28161,-28.0,-35.0,-51.0
28163,-20.0,-26.0,-18.0
29001,-20.0,-24.0,-29.0
29003,-32.0,-32.0,-24.0
29007,-20.0,-24.0,-23.0
29009,-26.0,-25.0,-23.0
29011,-25.0,-25.0,-34.0
29013,-18.0,-24.0,-19.0
29015,-24.0,-24.0,-32.0
29017,-35.0,-39.0,-45.0
29019,-36.0,-35.0,-34.0
29021,-22.0,-22.0,-30.0
29023,-20.0,-25.0,-22.0
29025,-20.0,-28.0,-28.0
29027,-20.0,-22.0,-18.0
29029,-36.0,-34.0,-32.0
29031,-33.0,-39.0,-35.0
29033,-19.0,-19.0,-34.0
29037,-33.0,-36.0,-30.0
29039,-28.0,-35.0,-27.0
29041,-30.0,-39.0,-39.0
29043,-33.0,-37.0,-30.0
29045,-4.0,-11.0,-28.0
29047,-38.0,-40.0,-37.0
29049,-31.0,-27.0,-20.0
29051,-29.0,-28.0,-27.0
29053,-20.0,-29.0,-21.0
29055,-17.0,-22.0,-28.0
29057,-13.0,-28.0,-38.0
29059,-16.0,-14.0,-25.0
29061,-13.0,-17.0,-26.0
29063,-18.0,-24.0,-34.0
29065,-5.0,-12.0,-11.0
29067,-21.0,-20.0,-33.0
29069,-23.0,-21.0,-9.0
29071,-25.0,-29.0,-28.0
29073,-25.0,-25.0,-30.0
29075,-34.0,-32.0,-50.0
29077,-36.0,-37.0,-36.0
29079,-10.0,-12.0,-27.0
29081,-20.0,-20.0,-32.0
29083,-20.0,-17.0,-20.0
29085,-2.0,-15.0,-25.0
29089,-23.0,-27.0,-33.0
29091,-28.0,-30.0,-23.0
29093,-9.0,-13.0,-32.0
29095,-36.0,-38.0,-37.0
29097,-22.0,-28.0,-30.0
29099,-33.0,-35.0,-32.0
29101,-20.0,-24.0,-29.0
29105,-22.0,-31.0,-26.0
29107,-24.0,-30.0,-27.0
29109,-25.0,-22.0,-29.0
29111,-13.0,-18.0,-41.0
29113,-32.0,-31.0,-30.0
29115,-7.0,-25.0,-29.0
29117,-25.0,-23.0,-23.0
29119,-25.0,-25.0,-16.0
29121,-19.0,-15.0,-25.0
29123,-22.0,-21.0,-30.0
29125,-21.0,-17.0,-38.0
29127,-26.0,-22.0,-29.0
29131,-24.0,-29.0,-29.0
29133,-16.0,-24.0,-26.0
29135,-25.0,-25.0,-38.0
29137,-24.0,-29.0,-37.0
29139,-18.0,-19.0,-30.0
29141,-33.0,-36.0,-26.0
29143,-23.0,-19.0,-12.0
29145,-26.0,-28.0,-28.0
29147,-16.0,-29.0,-25.0
29149,-19.0,-26.0,-33.0
29151,-26.0,-31.0,-44.0
29153,-17.0,-23.0,-32.0
29155,-26.0,-25.0,-17.0
29157,-33.0,-36.0,-19.0
29159,-22.0,-23.0,-29.0
29161,-27.0,-28.0,-26.0
29163,-26.0,-24.0,-13.0
29165,-40.0,-40.0,-36.0
29167,-23.0,-23.0,-24.0
29169,-19.0,-23.0,-17.0
29171,-28.0,-33.0,-33.0
29173,-22.0,-26.0,-33.0
29175,-18.0,-25.0,-15.0
29177,-22.0,-24.0,-34.0
29181,-28.0,-30.0,-43.0
29183,-37.0,-41.0,-39.0
29185,-17.0,-26.0,-33.0
29186,-17.0,-28.0,-20.0
29187,-15.0,-24.0,-22.0
29189,-38.0,-41.0,-39.0
29195,3.0,-6.0,-19.0
29197,,-31.0,-33.0
29201,-21.0,-28.0,-20.0
29203,-29.0,-27.0,-40.0
29205,-28.0,-19.0,-28.0
29207,-18.0,-24.0,-15.0
29209,-39.0,-41.0,-32.0
29211,-7.0,-11.0,-7.0
29213,-49.0,-50.0,-48.0
29215,-23.0,-23.0,-18.0
29217,-14.0,-24.0,-14.0
29219,-26.0,-32.0,-31.0
29221,-14.0,-13.0,-18.0
29223,-29.0,-29.0,-39.0
29225,-31.0,-34.0,-27.0
29229,-19.0,-21.0,-18.0
30001,-31.0,-31.0,-34.0
30003,-28.0,-31.0,-38.0
30005,-41.0,-46.0,-51.0
30007,-33.0,-41.0,-43.0
30009,-45.0,-47.0,-47.0
30013,-32.0,-32.0,-41.0
30017,-28.0,-31.0,-36.0
30021,-23.0,-32.0,-34.0
30023,-31.0,-37.0,-40.0
30027,-32.0,-26.0,-38.0
30029,-42.0,-41.0,-39.0
30031,-51.0,-50.0,-50.0
30035,-45.0,-49.0,-63.0
30041,-24.0,-30.0,-32.0
30043,-36.0,-45.0,-45.0
30047,-31.0,-33.0,-29.0
30049,-37.0,-39.0,-41.0
30053,-38.0,-43.0,-32.0
30057,-44.0,-41.0,-59.0
30061,-38.0,-38.0,-38.0
30063,-36.0,-37.0,-41.0
30067,-44.0,-43.0,-45.0
30073,,,
30077,-30.0,-42.0,-35.0
30081,-39.0,-31.0,-35.0
30083,-41.0,-35.0,-36.0
30085,-42.0,-42.0,-50.0
30087,-30.0,-32.0,-40.0
30089,-36.0,-39.0,-39.0
30093,-37.0,-33.0,-40.0
30095,-33.0,-33.0,-38.0
30099,-38.0,-42.0,-34.0
30105,-28.0,-35.0,-37.0
30111,-32.0,-30.0,-36.0
31001,-18.0,-26.0,-19.0
31003,,-26.0,-26.0
31013,-14.0,-9.0,-13.0
31019,-28.0,-30.0,-33.0
31021,-18.0,-27.0,-33.0
31023,-19.0,-30.0,-36.0
31025,-28.0,-33.0,-29.0
31027,-19.0,-32.0,-42.0
31031,-34.0,-34.0,-39.0
31033,-26.0,-26.0,-43.0
31035,-28.0,-28.0,-42.0
31037,-6.0,-8.0,-8.0
31039,-24.0,-27.0,-36.0
31041,-14.0,-16.0,-30.0
31043,-23.0,-16.0,13.0
31045,-30.0,-28.0,-35.0
31047,-12.0,-19.0,-20.0
31049,,,
31051,-25.0,-25.0,-30.0
31053,-22.0,-23.0,-29.0
31055,-30.0,-31.0,-34.0
31059,-20.0,-20.0,-27.0
31067,-21.0,-19.0,-21.0
31079,-26.0,-32.0,-35.0
31081,-22.0,-26.0,-34.0
31089,-9.0,-14.0,-26.0
31093,-21.0,-29.0,-38.0
31095,-22.0,-24.0,-34.0
31097,,,-34.0
31099,-29.0,-31.0,-42.0
31101,-26.0,-24.0,-29.0
31105,-41.0,-38.0,-49.0
31107,-25.0,-32.0,-45.0
31109,-26.0,-30.0,-30.0
31111,-14.0,-21.0,-22.0
31119,-17.0,-19.0,-23.0
31121,-24.0,-30.0,-37.0
31123,-22.0,-27.0,-36.0
31127,-27.0,-30.0,-32.0
31131,-16.0,-16.0,-23.0
31137,-30.0,-29.0,-45.0
31139,-24.0,-24.0,-40.0
31141,-17.0,-17.0,-16.0
31143,-22.0,-17.0,-37.0
31145,-18.0,-38.0,-24.0
31147,-13.0,-11.0,-23.0
31151,-24.0,-22.0,-34.0
31153,-30.0,-32.0,-31.0
31155,-27.0,-27.0,-24.0
31157,-18.0,-23.0,-26.0
31159,-32.0,-40.0,-19.0
31167,-20.0,-31.0,-33.0
31169,-19.0,-12.0,-17.0
31173,-30.0,-40.0,-40.0
31177,-23.0,-36.0,-21.0
31179,-26.0,-29.0,-45.0
31185,-31.0,-31.0,-27.0
32001,-28.0,-37.0,-31.0
32003,-56.0,-58.0,-56.0
32005,-47.0,-52.0,-46.0
32007,-35.0,-39.0,-34.0
