FIPS,Total population,Male,Female,Under 5 years,5 to 9 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),16 years and over,18 years and over,62 years and over,65 years and over,18 years and over!!Male,18 years and over!!Female,65 years and over!!Male,65 years and over!!Female,One race,Two or more races,Exclusively White,Exclusively Black or African American,Margin of Error!!Exclusively Black or African American,Exclusively American Indian and Alaska Native,Exclusively American Indian and Alaska Native!!Cherokee tribal grouping,Exclusively American Indian and Alaska Native!!Chippewa tribal grouping,Exclusively American Indian and Alaska Native!!Navajo tribal grouping,Exclusively American Indian and Alaska Native!!Sioux tribal grouping,Exclusively Asian,Exclusively Asian!!Asian Indian,Exclusively Asian!!Chinese,Exclusively Asian!!Filipino,Exclusively Asian!!Japanese,Exclusively Asian!!Korean,Exclusively Asian!!Vietnamese,Exclusively Asian!!Other Asian,Exclusively Native Hawaiian and Other Pacific Islander,Exclusively Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Exclusively Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Exclusively Native Hawaiian and Other Pacific Islander!!Samoan,Exclusively Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Exclusively Some other race,Interracial White and Black or African American,Interracial White and American Indian and Alaska Native,Interracial White and Asian,Interracial Black or African American and American Indian and Alaska Native,Total White,Total Black or African American,Total American Indian and Alaska Native,Total Asian,Total Native Hawaiian and Other Pacific Islander,Total Some other race,Hispanic or Latino (of any race),Hispanic or Latino (of any race)!!Mexican,Hispanic or Latino (of any race)!!Puerto Rican,Hispanic or Latino (of any race)!!Cuban,Hispanic or Latino (of any race)!!Other Hispanic or Latino,Not Hispanic or Latino,Not Hispanic or Latino!!White alone,Not Hispanic or Latino!!Black or African American alone,Not Hispanic or Latino!!American Indian and Alaska Native alone,Not Hispanic or Latino!!Asian alone,Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino!!Some other race alone,Not Hispanic or Latino!!Two or more races,Not Hispanic or Latino!!Interracial Two races including Some other race,"Not Hispanic or Latino!!Interracial Two races excluding Some other race, and Three or more races",Total housing units
51107,406850,201651,205199,28912,31432,20980,48241,69708,63778,23461,19016,22929,10924,3868,36.4,305449,291892,47598,37721,143081,148811,16700,21021,382240,24610,257087,28674,2220,1118,0,0,0,0,77374,40967,5469,6453,675,4835,6934,12041,301,0,0,0,0,17686,5822,434,10633,392,279967,37463,2967,90016,904,22445,56335,9608,4997,599,41131,350515,224276,27976,1118,77231,301,1217,18396,196,18200,136509
51121,98985,51636,47349,3560,3507,18585,13909,8982,10613,5386,4771,7235,3302,1606,28.4,86672,84681,15452,12143,44267,40414,5280,6863,97849,1136,84925,4448,597,365,0,0,0,0,7318,2531,1598,318,0,698,1031,1142,70,0,0,0,0,723,0,0,0,0,86039,5022,0,7762,0,841,3286,794,546,94,1852,95699,82693,4338,365,7318,70,0,915,0,915,40710
51153,468011,233834,234177,34901,32758,29290,62604,71102,67189,30907,21615,29185,13998,3331,35.4,354733,340362,60040,46514,167959,172403,20754,25760,438507,29504,273188,97459,2718,1695,0,0,0,0,38547,7111,3092,6333,829,4438,4361,12383,178,0,0,0,0,27440,8774,1046,10094,222,298868,112183,5739,53177,962,32144,113113,12750,7542,1549,91272,354898,195735,95782,1695,38376,131,1082,22097,899,21198,150475
51161,94073,45242,48831,4021,5490,4832,11650,10892,12561,7124,6218,10884,6723,2084,43.4,77314,75223,22858,19691,35244,39979,8336,11355,88739,5334,81789,4465,747,62,0,0,0,0,2307,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,85918,6245,1138,3704,0,1886,2958,0,0,0,0,91115,80429,4222,62,2307,116,0,3979,892,3087,41020
51165,81244,39572,41672,4391,5308,4969,9331,9240,11050,4622,6391,8363,4891,1955,41.1,65809,63454,18832,15209,30613,32841,6952,8257,80184,1060,77185,2100,424,0,0,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,78148,2669,0,904,0,0,5964,0,0,0,0,75280,71584,2076,0,413,0,147,1060,0,1060,35844
51177,134238,66295,67943,8230,9423,8793,16009,17914,17947,9691,7858,12022,5800,1388,37.4,105190,101049,24781,19210,48719,52330,8561,10649,127611,6627,96410,23160,1127,279,0,0,0,0,3113,266,394,417,147,283,1272,334,67,0,0,0,0,4582,1744,523,1408,476,102288,25750,1748,5292,0,6387,13761,5243,3103,533,4882,120477,90309,22220,279,3024,67,122,4456,159,4297,48147
51179,149960,75079,74881,9905,10288,10612,19751,21521,21531,10371,7460,10389,4275,742,35.8,115104,110713,19555,15406,55577,55136,7180,8226,141893,8067,97976,26907,1961,245,0,0,0,0,5958,1589,505,1007,96,1477,268,1016,0,0,0,0,0,10807,3002,836,1693,251,104820,31974,2149,8327,0,11476,20361,4983,3499,526,11353,129599,90521,26529,245,5741,0,248,6315,83,6232,50458
51199,67846,31895,35951,3937,4571,3606,8286,9501,7628,4973,3961,7097,2868,1571,39.2,52998,51690,13349,11536,25067,26623,5063,6473,63619,4227,50229,9384,1010,74,0,0,0,0,3184,0,0,0,0,0,0,0,0,0,0,0,0,748,1051,367,1057,0,53538,11171,551,5024,1119,1333,4471,824,1283,501,1863,63375,47574,9308,74,3184,0,250,2985,523,2462,27908
51510,160530,77087,83443,11064,8233,7056,33437,31188,20085,8299,8181,11544,5035,3016,36.5,133272,131095,23911,19595,62052,69043,8595,11000,151838,8692,100922,36569,2477,0,0,0,0,0,9090,1624,1103,1723,329,1872,896,1543,82,0,0,0,0,5175,2151,0,3292,44,107953,40474,529,14875,350,6270,26887,1958,2130,434,22365,133643,82842,34330,0,9068,82,224,7097,276,6821,76527
51550,242634,118384,124250,15072,17523,14803,34222,33733,31055,18070,14313,19636,9258,3151,37.1,189761,184435,39643,32045,89348,95087,13891,18154,233610,9024,146670,72849,2016,212,0,0,0,0,9053,1326,1278,3825,420,668,1020,516,128,0,0,0,0,4698,3032,1316,1952,430,154270,77688,2460,12604,810,5177,15846,4615,4471,671,6089,226788,137621,70954,212,8754,128,612,8507,0,8507,91783
51650,134313,64444,69869,8344,6137,12393,20709,14893,15392,10499,7927,12090,5781,2824,36.6,109757,106770,24932,20695,50609,56161,8612,12083,128039,6274,55091,67768,1653,317,0,0,0,0,2668,0,0,0,0,0,0,0,237,0,0,0,0,1958,2876,110,1401,0,60292,71769,760,5084,803,2535,8086,0,0,0,0,126227,50237,67216,243,2668,237,605,5021,136,4885,60096
51680,82126,38123,44003,5526,4608,15507,11348,6402,7152,3457,4889,5911,4310,1685,28.4,67335,66122,14941,11906,30588,35534,4645,7261,79886,2240,52897,23311,757,277,0,0,0,0,1889,0,0,0,0,0,0,0,0,0,0,0,0,1512,690,106,789,68,54733,24580,725,2813,0,1713,3617,893,1481,48,1195,78509,50756,23230,149,1889,0,483,2002,0,2002,32521
51700,178626,87141,91485,12716,10428,14645,29225,21431,20269,10376,10976,13718,7708,1991,33.8,140997,137348,29109,23417,65243,72105,9855,13562,171236,7390,85037,75446,1813,126,0,0,0,0,6400,743,370,901,203,1124,424,2635,381,0,0,0,0,3846,3424,488,705,175,90720,81195,1258,8580,816,4834,16401,6324,4028,1793,4256,162225,75545,73315,126,6334,187,699,6019,584,5435,78028
51710,244076,127098,116978,15896,12322,32698,46944,28127,23950,13468,13286,16571,6779,3921,30.7,200900,196302,35063,27271,102935,93367,11486,15785,231071,13005,113964,98688,2512,614,0,0,0,0,9250,964,886,4438,189,213,1171,1389,211,0,0,0,0,8344,5609,1457,1896,730,125400,106523,4117,11980,578,9990,20407,5897,5316,636,8558,223669,105132,97582,485,9079,154,446,10791,94,10697,98218
