FIPS,03/29/20_residential,04/05/20_residential,03/29/20_workplaces,04/05/20_workplaces,03/29/20_transit,04/05/20_transit,03/29/20_parks,04/05/20_parks,03/29/20_grocery,04/05/20_grocery,03/29/20retail,04/05/20retail
1131,,,-31.0,-38.0,,,,,-17.0,-17.0,-49.0,-61.0
1133,,,-21.0,-27.0,,,,,1.0,-12.0,-28.0,-42.0
2122,14.0,14.0,-24.0,-21.0,,,,,-28.0,-15.0,-49.0,-37.0
4001,20.0,17.0,-27.0,-30.0,-8.0,-16.0,-35.0,-23.0,-13.0,-8.0,-38.0,-38.0
4003,8.0,9.0,-29.0,-34.0,-23.0,-30.0,-14.0,-18.0,-21.0,-22.0,-37.0,-41.0
4005,12.0,13.0,-38.0,-41.0,-34.0,-36.0,-25.0,-34.0,-24.0,-27.0,-55.0,-59.0
4007,11.0,11.0,-28.0,-32.0,,,95.0,72.0,16.0,9.0,-14.0,-21.0
4009,11.0,12.0,-19.0,-24.0,,,-63.0,-63.0,14.0,17.0,-21.0,-17.0
4011,,,-28.0,-30.0,,,,,-10.0,-13.0,-37.0,-65.0
4012,,,-21.0,-23.0,-50.0,-54.0,-54.0,-65.0,-35.0,-42.0,-61.0,-64.0
4013,10.0,11.0,-33.0,-38.0,-44.0,-50.0,-6.0,-26.0,-18.0,-21.0,-40.0,-44.0
4015,9.0,9.0,-37.0,-39.0,-23.0,-30.0,-13.0,-27.0,-13.0,-11.0,-36.0,-39.0
4017,10.0,11.0,-28.0,-34.0,-12.0,-21.0,11.0,5.0,-9.0,-15.0,-29.0,-35.0
4019,10.0,11.0,-36.0,-39.0,-43.0,-48.0,-16.0,-27.0,-16.0,-16.0,-43.0,-45.0
4021,8.0,9.0,-31.0,-33.0,-28.0,-39.0,1.0,-21.0,-23.0,-22.0,-27.0,-31.0
4023,18.0,19.0,-33.0,-37.0,-25.0,-31.0,-29.0,-40.0,-47.0,-49.0,-56.0,-58.0
4025,9.0,9.0,-38.0,-42.0,-27.0,-30.0,6.0,-10.0,-15.0,-15.0,-40.0,-45.0
4027,10.0,11.0,-27.0,-28.0,-53.0,-61.0,-17.0,-41.0,-21.0,-24.0,-45.0,-52.0
5001,,,-11.0,-26.0,,,,,-7.0,8.0,-22.0,-23.0
5003,,,-27.0,-21.0,,,,,-4.0,6.0,-24.0,-32.0
5005,11.0,13.0,-26.0,-26.0,,,,,-2.0,18.0,-30.0,-33.0
5007,9.0,11.0,-34.0,-35.0,-65.0,-74.0,56.0,-16.0,-16.0,-21.0,-36.0,-48.0
5009,14.0,17.0,-32.0,-37.0,,,,,-17.0,-12.0,-25.0,-36.0
5011,,,-37.0,-33.0,,,,,-17.0,-7.0,-28.0,-40.0
5015,-1.0,-1.0,-27.0,-33.0,,,,,14.0,-3.0,-27.0,-49.0
5017,,,-25.0,-27.0,,,,,6.0,4.0,-19.0,-22.0
5019,,,-22.0,-31.0,-23.0,-35.0,,,2.0,-4.0,-33.0,-42.0
5021,,,-21.0,-32.0,,,,,-2.0,-2.0,-7.0,-10.0
5023,,,-37.0,-35.0,,,,,0.0,43.0,-16.0,-48.0
5025,,,-33.0,-33.0,,,,,,,,
5027,,,-20.0,-31.0,,,,,-20.0,-11.0,-18.0,-20.0
5029,,,-25.0,-23.0,-2.0,-21.0,,,4.0,2.0,2.0,-25.0
5031,4.0,7.0,-24.0,-28.0,-5.0,-9.0,-59.0,-59.0,-3.0,0.0,-32.0,-39.0
5033,14.0,16.0,-21.0,-24.0,-11.0,-16.0,,,-1.0,4.0,-16.0,-28.0
5035,15.0,15.0,-26.0,-28.0,-17.0,-22.0,,,-11.0,6.0,-15.0,-29.0
5037,,,-7.0,-17.0,,,,,90.0,93.0,-49.0,-55.0
5039,,,-32.0,-30.0,,,,,,,-17.0,-25.0
5041,,,-33.0,-25.0,,,,,0.0,11.0,-8.0,-22.0
5043,,,-16.0,-20.0,,,,,-10.0,5.0,-27.0,-27.0
5045,8.0,10.0,-31.0,-31.0,,,-21.0,-23.0,-15.0,-14.0,-32.0,-40.0
5047,,,-16.0,-20.0,8.0,-19.0,,,12.0,-3.0,-8.0,-10.0
5049,,,-28.0,-24.0,,,,,,,,
5051,7.0,9.0,-32.0,-37.0,,,17.0,-14.0,-12.0,-1.0,-32.0,-40.0
5053,,,-26.0,-29.0,,,,,-17.0,6.0,-10.0,-6.0
5055,12.0,14.0,-20.0,-24.0,,,,,-4.0,-2.0,-18.0,-32.0
5057,,,-24.0,-27.0,,,,,-13.0,-3.0,-19.0,-33.0
