,FIPS,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline
Date,,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
251,8075,2.0,0.0,1.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,-3.0,-3.0,-4.0,-17.0,-21.0,-27.0,-29.0,-32.0,-18.0,-22.0,-34.0,-38.0,-39.0,-39.0,-37.0,-24.0,-25.0,-36.0,-39.0,-38.0,-39.0,-38.0,-23.0,-29.0,-40.0,-41.0,-44.0,-43.0,-45.0,-29.0,-1.0,5.0,-35.0,1.0,0.0,4.0
252,8077,2.0,4.0,7.0,3.0,2.0,2.0,5.0,5.0,0.0,3.0,4.0,6.0,2.0,7.0,2.0,-2.0,4.0,2.0,1.0,0.0,3.0,0.0,-9.0,-11.0,-26.0,-24.0,-24.0,-22.0,-31.0,-24.0,-34.0,4.286164670768895,-0.017382029087099255,1.5419873194706895,5.732475968966133,2.6912094379963767,2.64268767005153,2.820014229302216,3.616068851042569,2.4301534687585007,2.06950453562118,4.4924503676950325,2.683622326539805,5.5077586563676455,2.683649278593197,5.3201864520347195,1.4817354935267593,1.80040812310954,3.1460376000571384,-0.7522455058114664,1.1635483357694187,-2.6684380509264707,-6.181497698477756,-14.979710343126055,-7.518624695716784,-9.44970544064508,-16.084139380306404
253,8081,-18.49633745791922,-15.533841214855414,-27.487087900972558,-29.229701934640595,-32.77660638131264,-45.36801235419651,-40.02541937888174,-39.56939849088796,-36.758504415610666,-42.39472437913076,-39.4598757786937,-40.4158750774928,-44.50629385815402,-47.66418725005097,-45.78008069906378,-41.486961431703705,-48.8010522981046,-44.301510477384234,-42.75702340897161,-44.30248321180769,-37.0,-38.0,-42.56063550861541,-34.14797993259361,-34.17192575204096,-38.60107548592156,-34.19489883706486,-34.0805342369563,-40.0,3.2947302520184865,-0.45309555332795476,-11.073520919985972,-39.0,-41.0,-36.0,-38.0,-37.0,-37.0,-39.0,-37.0,-38.0,-34.0,-44.0,-40.0,-41.0,-41.0,-40.0,-40.0,-34.0,-1.0,-3.0,-35.0,-2.0,-2.0,4.518461244932701,3.518461244932701,2.8099214936216605
254,8083,1.6504465944156568,-4.106709818710691,-9.886027705160016,-9.75404235567706,-10.729757631197792,-9.860704961530985,-9.514309168333654,-11.722353516498194,-9.973686450077974,-17.027536762579818,-13.777289061006568,-15.736123726747625,-25.65897949605951,-27.045455391509257,-30.521666070176483,-32.99368111730694,-33.36855726652031,-29.058140369752152,-27.891308568703323,-32.68958310323185,-33.766632908206425,-31.955626182578236,-37.08341590052442,-41.00000000000001,-30.653698632516207,-30.058140369752156,-39.023246705329505,-36.27240917489623,-18.57114254090251,-20.975614627081125,-31.809874280764898,-10.555383734798102,-14.899609063982377,-18.149856765555626,-17.91224682936851,-19.13678106765175,-22.209682693931654,-16.40642334982194,-10.323054662154291,1.1847976428350362,1.8627337869737408,-8.94185963024785,-11.543404317158826,-8.720442368296968,3.6663363979023353,4.136228193876497,2.8099214936216605,1.3801570127566796,5.607158009000421,2.2857363292396995,0.47246367327347233,4.749752298426752,3.517423225782939,-2.0,-2.0,-1.0,0.0
255,8085,3.0,3.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,-2.0,0.0,-1.0,-4.0,-4.0,-7.0,-24.0,-27.0,-31.0,-33.0,-40.0,-29.0,-35.0,-45.0,-47.0,-48.0,-48.0,-46.0,-33.0,-39.0,-47.0,-49.0,-49.0,-50.0,-48.0,-34.0,-39.0,-51.0,-51.0,-51.0,-55.0,-53.0,-36.0,-1.0,0.0,-47.0,0.0,1.0,0.0,3.0,3.0,3.0
256,8087,4.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,-3.0,-4.0,-4.0,-4.0,-7.0,-25.0,-32.0,-39.0,-45.0,-47.0,-31.0,-34.0,-50.0,-52.0,-53.0,-53.0,-51.0,-38.0,-37.0,-51.0,-55.0,-53.0,-54.0,-52.0,-41.0,-43.0,-54.0,-55.0,-55.0,-56.0,-55.0,-38.0,1.0,-3.0,-41.0,1.0,0.0,1.0,-1.0,1.0,-2.0
257,8089,1.0,4.0,2.0,1.0,2.0,4.0,-1.0,2.0,4.0,0.0,2.0,1.0,-2.0,-1.0,0.0,2.0,-1.0,0.0,-1.0,-5.0,-10.0,-19.0,-22.0,-28.0,-27.0,-35.0,-24.0,-31.0,-39.0,-41.0,-41.0,-42.0,-40.0,-29.0,-38.0,-43.0,-43.0,-43.0,-44.0,-43.0,-34.0,-41.0,-44.0,-43.0,-45.0,-44.0,-45.0,-30.0,1.0,1.0,-16.0,2.0,0.0,0.0,3.0,4.0,-1.0
258,8091,,,,,,,,,,,,,,12.0,,,,,,,2.0,,,,,,,3.0,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
259,8093,3.0,2.0,11.0,4.0,3.0,3.0,3.0,3.0,1.0,11.0,3.0,2.0,0.0,-9.0,-4.0,-8.0,-14.0,-28.0,-32.0,-42.0,-44.0,-26.0,-28.0,-32.0,-41.0,-44.0,-21.134061599564042,-23.7477230059773,-47.0,-48.0,-36.0,-36.0,-24.566946950938434,-30.45827169830677,-31.3323057067733,-41.0,-47.0,-48.0,-51.0,-24.08640145079941,-26.01597493018333,-28.769305790125685,-50.0,-36.0,-36.0,-42.0,2.7135926326160678,1.1729554272622382,-9.148660273856347,-10.882171987508853,-26.940901568080296,-49.0,-49.0,-3.6845623605182296,-10.55454434442951,-50.0,-51.0
260,8095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-36.0,,,,,,,,,
261,8097,-10.306141793778217,-9.410238928060657,-30.126435322763285,-24.894170295558133,-2.0,4.0,-24.0,0.0,3.0,-37.17134244346385,-32.81019843905041,-2.689026130707447,0.5545482611365264,2.0,0.0,2.0,-38.72378365908901,-35.915795568145214,4.0,4.0,-1.4400708154864346,-2.166564579271594,2.0,-28.588034116544605,-25.794365194843525,3.0,2.0,3.0,5.0,-9.202523544832435,-5.929081358106282,-4.9125698708503025,-11.26211602355002,11.0,9.0,5.0,2.0,2.414738115354336,3.319892665432604,4.0,-20.894618459280323,-4.0,2.0,6.0,1.7732939228778175,5.0,2.0,-2.0,2.0,1.0,3.0,0.0,-17.0,-25.0,-24.0,-24.0,-25.0
262,8099,-11.0,-17.0,-23.0,-30.0,-30.0,-38.0,-34.0,-32.0,-28.0,-36.0,-38.0,-40.0,-41.0,-39.0,-30.0,-17.0,-36.0,-41.0,-41.0,-41.0,-41.0,-24.0,1.0,1.0,-20.0,-3.0,1.0,1.0,4.0,4.0,-2.0,9.0,2.0,3.0,3.0,2.0,4.0,2.0,8.0,4.0,3.0,1.0,0.0,3.0,2.0,8.0,2.0,1.0,-1.0,-11.0,-4.0,-9.0,-22.0,-34.0,-38.0,-48.0,-49.0
263,8101,-29.0,-32.0,-42.0,-48.0,-50.0,-54.0,-53.0,-40.0,-40.0,-52.0,-55.0,-56.0,-57.0,-56.0,-41.0,-42.0,-53.0,-57.0,-57.0,-57.0,-57.0,-41.0,2.0,15.0,-20.0,-5.0,-1.0,-1.0,8.0,0.0,2.0,6.0,-3.0,-1.0,0.0,11.0,7.0,10.0,4.0,5.0,1.0,0.0,0.0,2.0,12.0,8.0,3.0,0.0,0.0,6.0,2.0,2.0,0.0,-12.0,-26.0,-37.0,-27.0
264,8103,,,,,-33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.0,-33.0,-35.0,,,,,-39.0,-47.0,-40.0,,,,-46.0,-44.0,-42.0,-41.0,,,,-42.0,-44.0,-35.0,-44.0,,
265,8105,-46.0,-42.0,-43.0,-44.0,-44.0,-37.0,-44.0,3.7487985397698944,3.7770944581699664,-14.499513632788274,3.0669737862247985,1.3641214165027074,-5.548349090508014,4.15933803573292,3.83921732043111,-0.6671791563725256,4.319147980878356,0.9755822711401296,5.068418430060767,1.339703687642837,2.657878934097741,6.952609186116228,2.333589578186263,5.637323227333261,4.317703337042388,3.9100531287512994,2.863635049290981,2.8421066081030477,1.953581920539681,-1.9093469428772547,6.333589578186263,5.181810295745884,2.136364950709019,3.386121767103156,0.6588516685211943,-4.658851668521193,-3.751687827441832,-3.332820843627475,-17.091391515084666,-20.61532287673281,-21.297147630277905,-24.227756465793686,-16.024417728859866,-8.684242131804517,-16.50193101104769,-20.022973085023903,-23.002417378259423,-24.250729550817585,-30.04739081388377,-24.568432887859977,-19.888052778150847,-21.365566060338676,-30.524904096071594,-42.0,-34.0,-31.752660561865284,-25.09333698393157
266,8107,-21.00097273442345,-24.70382510414554,-31.00097273442345,-32.77466091246573,-32.0,-34.342121065902255,-29.751215918029317,-19.25170228524104,2.0,2.0,-23.0,3.0,1.0,0.0,2.0,6.0,3.0,11.0,3.0,3.0,2.0,3.0,6.0,3.0,10.0,3.0,2.0,3.0,1.0,5.0,0.8489635767243106,1.9820341582137968,1.6430896925728282,2.0475314298087772,6.35162944388387,0.10138174231061976,1.2143632308576093,4.756071181119818,0.5174232257829385,3.7201867104041786,1.0950628596175538,4.243928818880183,1.6610555343590314,1.8574529234304373,3.6536514196594356,3.130947330333193,0.6663363979023353,-3.2386007424801115,-6.560664598341407,-12.983024964506791,-16.292403842125186,-22.774980616342248,-19.185741236271266,-23.275476019488746,-35.584902109963906,-32.304050801218324,-36.61979577438655
267,8109,,,,,-37.827840122551095,-39.15622286110546,,,,,,,-35.82251204615103,,,,,,,-39.51308595567587,,,,,,-44.90592794667544,-42.53637987386214,,,,-44.3515822310271,-44.14886595926263,-44.167869820198604,-39.148818746405865,,,,-41.48248234850353,-51.899609063982375,-44.41707950262208,-45.34526334833404,,,,-46.26184744780963,-43.601877145457124,-39.148818746405865,-44.33465440839066,,,,-9.881824477978636,-13.268087909383409,-33.80256459177883,-23.700192043175218,,
268,8113,-16.415097890036094,-15.146837133819874,5.821521239858031,2.3569103074271722,-4.181160509201857,2.815202357164964,2.0591311760451467,3.0,10.0,1.0,-2.0,-6.0,-25.0,-9.0,-16.0,-36.0,-49.0,-53.0,-61.0,-59.0,-36.0,-41.0,-56.0,-61.0,-63.0,-66.0,-66.0,-45.0,-47.0,-62.0,-65.0,-66.0,-68.0,-66.0,-43.0,,,-47.0,-63.0,-67.0,-67.0,,,,-66.0,-66.0,-45.0,0.0,2.0,,,-25.0,3.0,2.0,-1.0,2.0,
269,8117,5.0,1.0,12.0,2.0,1.0,2.0,1.0,3.0,-2.0,11.0,3.0,3.0,0.0,0.0,3.0,1.0,9.0,0.0,-2.0,-6.0,-17.0,-7.0,-12.0,-30.0,-45.0,-49.0,-58.0,-58.0,-33.0,-33.0,-53.0,-58.0,-61.0,-65.0,-63.0,-43.0,-41.0,-61.0,-63.0,-66.0,-67.0,-65.0,-42.0,-42.0,-63.0,-66.0,-65.0,-65.0,-66.0,-41.0,-3.0,5.0,-9.0,3.0,1.0,1.0,1.0
270,8119,1.0,-3.0,2.0,4.0,2.0,0.0,-2.0,8.0,-2.0,5.0,3.0,-1.0,3.0,5.0,3.0,-5.0,4.0,3.0,0.0,-1.0,-2.0,0.0,-11.0,-13.0,-23.0,-30.0,-34.0,-34.0,-36.0,-42.0,-34.0,-39.0,-39.0,-40.0,-42.0,-45.0,-45.0,-37.0,-39.0,-44.0,-45.0,-42.0,-41.0,-45.0,-36.0,-41.0,-43.0,-45.0,-44.0,-41.0,2.935202330607209,-2.4805422776717334,-24.0,6.0,-2.0,-2.0,3.0
271,8121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4214773866955785,,,,,-4.903291573924376,,7.0,,
272,8123,7.0,0.0,5.0,6.0,2.649277774021736,-1.4868309568364797,8.0,9.0,0.0,7.0,3.0,2.2925980567189495,-3.4983611185167955,8.0,6.0,0.0,-14.207044393064958,-24.148070123931312,-14.586675196992063,-17.4127879389022,-26.26212176362676,-14.092021546503732,-18.049304744472373,-29.23890562686646,-19.39526088927272,-10.07026117892571,-13.432205815521987,-21.143780113298114,-18.134488509518594,-2.0,-13.419656456295773,-22.232637394723838,-13.202097234933538,-11.79101633604695,-18.68356295212121,-21.01484378955181,-6.0,-17.861401154348037,-19.27248205323463,-12.17143343576786,-14.465892986324564,-20.28479702865105,-20.723407610632,-2.0,-13.912751277348303,-24.367633356684905,-19.784995382655083,-7.401925829423407,-9.300740677640297,-13.144040286989835,-10.855985502892096,-10.484372180079834,-12.860153571075843,-15.5676834400436,-21.530972897604126,-22.97572807235233,-18.0
273,8125,-9.860153571075843,-11.484372180079836,-10.484372180079834,-30.932872937145603,-16.641326013791378,-19.671976918016092,-17.822409076523932,-26.791745277358253,-10.732809398087818,-13.73280939808782,-31.865387851106036,-32.72739430739,-29.948198389257964,-14.276332215676279,-18.429651211504673,-12.299607048565866,-37.0,-38.0,-53.0,-53.0,-36.0,-35.0,-42.0,-45.0,-51.0,-51.0,-53.0,-44.0,-40.0,-49.0,-47.0,-53.0,-52.0,-56.0,-47.0,-48.0,-49.0,-52.0,-56.0,-51.0,-53.0,-47.0,0.007587922177420869,5.947206476088801,-14.0,-2.0,3.0,-2.0,2.6935679580304863,1.4416586287581388,2.699237645680057,11.0,-5.0,7.0,7.0,5.021707073160809,
274,9001,4.34839200362391,9.436637848453309,7.0,-5.0,7.0,2.0,-30.836736748729678,-29.125973974021736,0.00037159821630038906,2.878868976124992,5.50594556989048,11.0,0.0,-25.322368706742395,-25.33952048032654,5.0,-12.0,-21.366271318263266,-24.603471469620164,-14.069350565698917,-16.457144732787444,-21.61563104304911,-30.386474432505043,-30.54418940954154,-37.57926140204846,-41.01814551756222,-23.876838439285088,-20.937390688648566,-23.954480312542064,-31.78067158556064,-33.398045924991905,-30.583494971814407,-23.120713752037723,-15.481441281018819,-15.481441281018819,-20.0192712361115,-24.085295528241122,-23.486259090046698,-21.82119835972265,-22.95324694398189,-15.948429134954011,-16.948429134954008,-19.953246943981885,-25.55228338217631,-25.019271236111503,-22.35421050578746,-25.019271236111503,-15.948429134954011,3.066024292129617,7.537829955092684,-9.872769224768643,-7.665060730324043,-7.929157898842509,-13.259279359490591,-10.65542511226829,-17.589400820138675,-15.056388674073867
275,9003,-14.254461550462715,-19.523376528009056,-18.589400820138675,-19.72144940439791,-15.650607303240415,-20.716631595370032,-18.24964374143484,-4.0,-21.650607303240417,-22.452534426851567,-24.518558718981183,-25.051570865045992,-24.650607303240413,-18.381692325694075,-18.11759515717561,-19.91952228078676,,2.532215017717373,0.07877678313328475,-25.82554312691191,-25.866907002314065,-18.0,-27.0,-25.0,-27.0,-20.0,0.8779346275606713,0.18300886056457805,-21.800952971699335,-26.6722340256469,-25.0,-38.0,-36.0,-8.024686391575019,-10.914738718253105,-39.0,-29.0,-32.89381821278661,-36.45173187141913,-39.0,-14.92218973505963,-15.767135581324313,-45.0,-44.0,-42.0,-33.0,-34.428898038761005,-18.29826470832309,-19.128392122159074,-32.67266539974339,-41.0,-44.0,-42.0,-39.0,-39.15111135893694,-44.17030028308738,-36.0
276,9005,-30.997291816478068,-4.0,-5.0,-22.0,-32.36172962479423,-14.0,-14.0,-15.0,-15.0,-2.0,4.0,5.0,6.0,3.0,2.0,5.0,-1.0,8.0,7.0,4.0,8.0,5.0,2.0,5.0,5.0,7.0,3.0,4.0,6.0,-2.0,4.0,4.0,-15.0,-17.0,-25.0,-30.0,-29.0,-18.0,-15.0,-26.0,-32.0,-32.0,-38.0,-41.0,-21.0,-19.0,-36.0,-39.0,-36.0,-38.0,-40.0,-21.0,-27.0,-33.0,-36.0,-38.0,-38.0
277,9007,-37.0,-23.0,1.0,0.0,-20.0,1.0,0.0,0.0,2.0,4.0,-1.0,9.0,2.0,2.0,2.0,3.0,3.0,2.0,7.0,3.0,2.0,2.0,1.0,2.0,2.0,9.0,2.0,0.0,-4.0,-10.0,-4.0,-9.0,-24.0,-38.0,-43.0,-52.0,-53.0,-34.0,-35.0,-46.0,-52.0,-57.0,-58.0,-58.0,-45.0,-43.0,-56.0,-59.0,-59.0,-62.0,-60.0,-44.0,-45.0,-56.0,-60.0,-60.0,-61.0
278,9009,-60.0,-45.0,0.0,-1.0,-28.0,-1.0,1.0,-1.0,1.0,6.0,-4.0,8.0,1.0,2.0,2.0,4.0,6.0,-23.494779472930354,-23.302091942135004,-25.211038875235275,-26.967708090390325,6.0,-36.91196202871284,-39.71272752948371,-43.21185525327967,-36.89830400071287,-30.048979437186155,-26.871987548002632,-30.846174644374695,-34.90627207453203,-33.279749364728666,-35.24194376446773,-35.100078367973715,-35.66573578558607,-19.484855783143704,-19.866366960864536,-32.71291695523964,-31.512406955845115,-29.453731054077057,-27.21358021241453,-30.314140878339348,-20.122423726647455,-21.260321020381983,-21.650006699079164,-23.667167142845564,-7.7668462355607435,-11.173465517048083,-13.624285139775383,8.0,3.0,2.0,-5.7349094912314955,2.13149024444038,0.9460591327068278,-2.5303730512780125,2.0,1.0
279,9011,5.0,4.15415365928569,2.555339220958032,0.2168711210652227,2.0,7.0,0.0,-1.0,-1.3029052147412072,-3.4286044690567317,-9.881423457976569,-3.0,-8.0,-4.0,-11.0,-15.113389932330945,-15.180464228749974,-33.0,-46.0,-50.0,-60.0,-59.0,-31.0,-35.0,-53.0,-59.0,-61.0,-65.0,-63.0,-42.0,-43.0,-63.0,-66.0,-66.0,-67.0,-66.0,-44.0,-45.0,-64.0,-67.0,-67.0,-67.0,-66.0,-43.0,0.0,3.0,-9.54387612157585,-12.0,-6.0,-5.0,-5.0,-7.0,1.0,1.0,2.0,3.0,2.0
280,9013,3.0,2.0,-3.0,1.0,4.0,3.0,1.0,1.0,1.0,-3.0,-2.0,4.0,0.0,-1.0,-1.0,-5.0,-10.0,-29.0,-34.0,-42.0,-49.0,-56.0,-57.0,-67.0,-68.0,-56.0,-60.0,-60.0,-65.0,-66.0,-72.0,-74.0,-63.0,-64.0,-64.0,-66.0,-66.0,-72.0,-74.0,-64.0,-64.0,-64.0,-64.0,-66.0,-72.0,6.0,-2.0,5.0336433286958915,-0.383960761311989,2.16605476742046,4.41038059797842,2.9738063695771175,2.454422555735643,0.05570000773767596,3.5223271786326102,2.98610734273886,2.546558168415644
281,9015,3.4562629617992213,1.8053274836195687,3.9672136668441955,2.6280587780289877,4.632392553621551,1.3365947243036351,2.0671901612988997,0.5185531170189207,-3.300063570986389,-1.199618134204638,-4.164210749370684,-8.930041271730746,-8.99467192359993,-12.191069312671335,-18.667279991338564,-23.26505249988754,-18.359559540965186,-23.067466955085553,-23.37057058082741,-18.349865159565347,-30.24025375415188,-26.32529686296494,-25.296741112232265,-14.916952809035056,-19.863223120639955,-21.782632038484746,-20.552050523666626,-21.677970592882527,-22.710937248503278,-28.046493410659014,-16.35158246093558,-22.210533680444897,-23.92812228763346,-22.306660748069223,-18.570293981076478,-18.944106626461767,-37.89126135584655,-12.262480357963137,-18.21815554787481,-19.1447725804369,-20.268934846255114,-20.32534171317346,-34.18375962368528,-41.98829127164981,-5.995139128995122,-6.0414632839602405,-12.777511555708786,-40.10322959498939,-40.472388397521854,-34.86806186337382,-33.54599800751252,-18.43625849352695,-19.41207790956946,-17.69603868218518,-39.05814036975215,-41.766680121063196,-48.671152011141714
282,10001,-44.12088156121138,-19.325537357435504,-21.84974060034401,-18.359386477961344,-46.00186885041926,-39.4573012434448,-36.21865328810792,-37.43301651896553,-23.33260642674695,-26.567905087638533,-24.540344408011315,-37.52410287581086,-45.23858350199429,-44.39300307565967,-25.35492869484119,-25.00768014741584,-28.781565394192597,-23.860752174387752,-30.605176396414432,-22.67595453155272,-23.94416807491217,-27.653775626751777,3.839487081644234,-2.107700625003686,-18.0,0.0,3.0,0.0,-5.0,4.0,-11.0,16.0,-1.0,3.0,7.0,3.0,1.0,-4.0,9.0,5.0,4.0,3.0,2.0,4.0,-4.0,13.0,3.0,-1.0,-5.0,-14.0,-3.0,-13.0,-6.588728975748942,-8.757561655515174,-20.0,-34.0,-38.0
283,10003,-53.0,-4.9263943352814055,1.2770557734112562,1.4458884531774876,-49.0,-23.0,-30.0,-33.0,-42.0,2.4458884531774876,0.0,-49.0,-52.0,-50.0,-33.0,-37.0,-1.1688326797662314,-45.0,-54.0,-53.0,-57.0,-54.0,-36.0,-43.0,-45.0,-54.0,-54.0,-54.0,-54.0,-30.0,1.0,0.0,-28.0,-35.0,0.0,-1.0,3.0,4.0,-7.0,9.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,0.0,4.0,3.0,6.0,0.0,3.0,0.0
284,10005,-7.0,-3.0,-9.0,-18.0,-30.0,-34.0,-44.0,-42.0,-27.0,-30.0,-42.0,-47.0,-49.0,-54.0,-54.0,-39.0,-40.0,-49.0,-53.0,-54.0,-55.0,-56.0,-39.0,-40.0,-51.0,-55.0,-55.0,-55.0,-56.0,-39.0,2.0,5.0,-26.0,-3.0,-1.0,-5.0,10.0,1.0,1.0,4.0,3.0,0.0,1.0,4.0,3.0,6.0,5.0,5.0,2.0,1.0,11.0,4.0,5.0,5.0,6.0,1.0,-1.0
285,12001,-5.0,0.0,1.0,-15.0,-22.0,-26.0,-31.0,-24.0,-20.0,-20.0,-28.0,-33.0,-36.0,-41.0,-34.0,-31.0,-29.0,-15.990028693630078,-13.545988606565615,-6.75833561694454,-15.89131243793585,-16.585034272048397,-24.472662955747463,-25.333296712631967,-29.62115409485305,-31.592682397949766,-17.619977467115845,-16.78079285529905,-23.110832052766256,-28.457603829974182,-29.7617665980565,-30.170617926333403,-26.543786409005623,-19.094948711136542,-18.11733518020355,-25.709184170906415,-28.859810682031494,-28.601036167939192,-28.77705926661689,-28.955367450906834,-19.804649436411644,-20.61993596322268,-30.586046432989317,-34.5631441274617,-34.99285282984388,-35.2811014433266,-35.463510701149275,-23.574840903045324,-6.792152402205602,-6.82857920929462,-21.371695288056056,-16.184495698886316,-16.38871675651495,-16.240652321273323,-14.023274087862804,-18.310431501671747,-21.30219207182004
286,12003,-18.73566478964615,-21.464728149135,-21.240550168840194,-19.426642020811425,-17.51537832309597,-18.951802901677997,-22.258151767694113,-39.0,-22.985244711070305,-24.015636799401964,-21.43306866203528,-16.12958661172965,-39.0,-22.943887071342363,-41.0,-16.71981908873419,-12.576941013265461,-43.0,-37.0,-31.0,-27.0,-39.0,-43.0,-43.0,-46.0,-37.0,-33.0,3.0,3.0,-14.0,4.0,4.0,4.0,-10.429163550910955,-11.37005939015879,-18.51509989263252,-9.932442782312833,-18.08660128329654,-15.754757088335213,-13.317282458229316,-10.697406802906643,-12.90771848466124,-13.45194379522287,-8.380566528978216,-0.006196172531104236,-0.44177048793419504,6.0,-3.058342911517353,-8.041653198928554,-13.50540046548398,-2.2547772162441886,-10.082972862350196,-5.306800315855057,4.0,-7.7882789279837,-13.752199087486979,-17.117801382267647
287,12005,-13.63797040885124,-18.644004257184076,-17.714499819919574,5.0,8.0,-21.523757939737077,-24.13937057004888,-18.463031938885937,-20.92614883232436,-19.803357101345302,-16.925986508126083,-29.712895207370277,-28.94257904147406,-13.008933580594354,-21.90851611248914,-27.058096220054498,5.0,-39.20976964338624,-36.52187894788823,-22.891409210916173,-22.990571861904137,-21.27887392475263,-27.22055680311721,-24.011931162349324,-28.449341211289205,-34.02500451187227,-19.388283646932145,-11.245108403202606,-8.144261775858661,-17.570433743047815,-18.852578318188097,-10.067595830473982,3.0574209585259466,6.0,6.0,8.0,3.0,5.0,9.0,6.0,6.0,5.0,9.0,2.0,3.0,8.0,3.0,6.0,4.0,1.0,-1.0,-10.0,-14.0,-24.0,-27.0,-33.0,-30.0
288,12007,-32.0,-34.0,-34.0,-37.0,-39.0,-45.0,-43.0,-40.0,-45.0,-43.0,-46.0,-47.0,-48.0,-45.0,-41.0,-40.0,0.0,-43.0,-48.0,-46.0,-46.0,-47.0,-41.0,2.2632890746451766,0.9952601439896781,-15.0,4.0,3.0,0.0,9.0,4.205392920054147,0.9905202879793564,7.0,7.0,-15.348502924738904,-14.913601367466736,-18.34850292473891,-3.5437287725633952,-7.957172814789436,-9.295947610809813,-12.308199339656753,-13.049256707677126,-17.01356365506295,-15.647281029671117,-14.199519442478456,-14.04501078066529,-13.961025728178177,-6.2559505326127995,-7.733878889307616,-9.957169327424799,2.0,8.466987853935192,3.066024292129617,1.0660242921296166,-1.3349392696759588,-4.136866393287109,-0.2689149775463421
