,Date,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential,FIPS
56,2020-04-11,-33.7974243480122,2.1549658500540487,38.232117171892845,-29.999999999999996,-44.0,15.745727356378257,1037
57,2020-03-29,-37.0,-15.0,-18.206512649774584,-39.83939428332814,-23.0,7.0,1039
58,2020-04-05,-47.0,-17.0,-35.65957795664399,-53.828442112834665,-33.0,8.0,1039
59,2020-04-11,-30.0,6.0,-38.697125711148466,-45.964837991877765,-20.0,8.0,1039
60,2020-03-29,-57.0,-17.0,-13.264897215507073,-32.96894288444396,-35.0,6.019928009526156,1041
61,2020-04-05,-58.0,-10.0,-22.873296024676627,-50.09698768015312,-28.0,7.050476812336013,1041
62,2020-04-11,-58.0,-10.0,-16.689959310396123,-38.084062413118,-33.0,7.759981062245711,1041
63,2020-03-29,-33.0,-2.0,86.0,-33.0,-29.0,8.0,1043
64,2020-04-05,-53.0,-10.0,65.0,-38.0,-34.0,9.0,1043
65,2020-04-11,-39.0,13.0,38.0,-33.0,-28.0,9.0,1043
66,2020-03-29,-34.0,-9.0,14.01498498012151,-17.0,-25.0,11.0,1045
67,2020-04-05,-44.0,-22.0,-7.154998611227505,-39.0,-31.0,12.0,1045
68,2020-04-11,-32.0,0.0,1.1435554067300142,-39.0,-23.0,16.0,1045
69,2020-03-29,-27.0,-2.0,-1.8221833759583939,-28.124321276637854,-22.0,5.0,1047
70,2020-04-05,-37.0,-16.0,-8.433404441596606,-44.43783936168108,-35.0,5.0,1047
71,2020-04-11,-30.0,7.0,0.9491625845004226,-36.74592765982711,-22.0,5.0,1047
72,2020-03-29,-38.0,-7.0,9.0,-33.0,-23.0,11.0,1049
73,2020-04-05,-52.0,-21.0,-4.0,-49.0,-23.0,12.0,1049
74,2020-04-11,-43.0,2.0,-4.0,-33.0,-16.0,17.0,1049
75,2020-03-29,-40.0,-13.0,50.0,-23.883877548383527,-37.0,8.0,1051
76,2020-04-05,-47.0,-11.0,30.0,-39.33605341991016,-40.0,16.0,1051
77,2020-04-11,-35.0,6.0,49.0,-18.058036710693727,-33.0,21.0,1051
78,2020-03-29,-35.0,-20.0,-6.105579636317546,-39.67083622601293,-27.0,7.0,1053
79,2020-04-05,-39.0,-7.0,-21.281830151294127,-49.729178700893755,-31.0,7.0,1053
80,2020-04-11,-32.0,-7.0,-18.77798493418663,-42.91324992834752,-28.0,7.0,1053
81,2020-03-29,-47.0,-13.0,19.0,-27.0,-33.0,9.0,1055
82,2020-04-05,-58.0,-22.0,-23.0,-35.0,-36.0,11.0,1055
83,2020-04-11,-42.0,1.0,-23.0,-37.0,-30.0,8.0,1055
84,2020-03-29,-23.0,-4.873903488567259,18.353497903136574,-30.66351071189714,-28.0,12.0,1057
85,2020-04-05,-39.0,-6.526129055298731,1.4869134098383596,-39.10900714126476,-28.0,13.000000000000002,1057
86,2020-04-11,-39.0,0.8178653748235979,5.849222334544432,-36.7725178531619,-32.0,13.109007141264758,1057
87,2020-03-29,-27.0,-4.0,-3.6060562290031104,-31.890284768623754,-14.0,5.0,1059
88,2020-04-05,-45.0,-15.0,-8.969557054652384,-30.38684787863185,-21.0,5.0,1059
89,2020-04-11,-19.0,-15.0,-12.246915266816549,-20.899699401077847,-21.0,5.0,1059
90,2020-03-29,-34.0,-4.0,3.864112062788664,-23.488529773412814,-28.0,-2.0,1061
91,2020-04-05,-42.0,-7.0,-17.49791147840999,-41.7769757355716,-33.0,-2.0,1061
92,2020-04-11,-42.0,14.0,-13.381087562289697,-37.30823207456123,-27.0,-2.0,1061
93,2020-03-29,11.0,-22.0,4.654743432242079,-32.0,-33.0,12.294586410931355,1063
94,2020-04-05,11.0,-29.0,-11.2588109430867,-40.0,-33.0,13.589172821862713,1063
95,2020-04-11,11.0,-29.0,-0.17862852334239945,-47.0,-44.0,13.47293205465678,1063
96,2020-03-29,-46.0,-29.0,7.494331800702116,-30.9040750906577,-14.0,10.32883171829515,1065
97,2020-04-05,-41.0,-36.0,-10.384454705258149,-39.269383393771804,-39.0,10.710547335858418,1065
98,2020-04-11,-41.0,-36.0,4.753275557119899,-42.25099205951668,-29.0,10.992452129299172,1065
99,2020-03-29,-46.0,-8.0,-4.981882978021678,-22.317279063945794,-29.0,9.93654418721084,1067
100,2020-04-05,-49.0,-19.0,-19.45277694981662,-41.658639531972895,-33.0,11.468272093605421,1067
101,2020-04-11,-49.0,-19.0,-7.919141666116979,-36.87308837442168,-21.0,12.809632561632522,1067
102,2020-03-29,-46.0,-18.0,23.0,-27.0,-30.0,9.0,1069
103,2020-04-05,-58.0,-25.0,2.0,-44.0,-36.0,11.0,1069
104,2020-04-11,-45.0,-5.0,14.0,-35.0,-29.0,10.0,1069
