,fips,Total population,Male,Female,Under 5 years,5 to 9 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),16 years and over,18 years and over,62 years and over,65 years and over,18 years and over!!Male,18 years and over!!Female,65 years and over!!Male,65 years and over!!Female,One race,Two or more races,Exclusively White,Exclusively Black or African American,Margin of Error!!Exclusively Black or African American,Exclusively American Indian and Alaska Native,Exclusively American Indian and Alaska Native!!Cherokee tribal grouping,Exclusively American Indian and Alaska Native!!Chippewa tribal grouping,Exclusively American Indian and Alaska Native!!Navajo tribal grouping,Exclusively American Indian and Alaska Native!!Sioux tribal grouping,Exclusively Asian,Exclusively Asian!!Asian Indian,Exclusively Asian!!Chinese,Exclusively Asian!!Filipino,Exclusively Asian!!Japanese,Exclusively Asian!!Korean,Exclusively Asian!!Vietnamese,Exclusively Asian!!Other Asian,Exclusively Native Hawaiian and Other Pacific Islander,Exclusively Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Exclusively Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Exclusively Native Hawaiian and Other Pacific Islander!!Samoan,Exclusively Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Exclusively Some other race,Interracial White and Black or African American,Interracial White and American Indian and Alaska Native,Interracial White and Asian,Interracial Black or African American and American Indian and Alaska Native,Total White,Total Black or African American,Total American Indian and Alaska Native,Total Asian,Total Native Hawaiian and Other Pacific Islander,Total Some other race,Hispanic or Latino (of any race),Hispanic or Latino (of any race)!!Mexican,Hispanic or Latino (of any race)!!Puerto Rican,Hispanic or Latino (of any race)!!Cuban,Hispanic or Latino (of any race)!!Other Hispanic or Latino,Not Hispanic or Latino,Not Hispanic or Latino!!White alone,Not Hispanic or Latino!!Black or African American alone,Not Hispanic or Latino!!American Indian and Alaska Native alone,Not Hispanic or Latino!!Asian alone,Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino!!Some other race alone,Not Hispanic or Latino!!Two or more races,Not Hispanic or Latino!!Interracial Two races including Some other race,"Not Hispanic or Latino!!Interracial Two races excluding Some other race, and Three or more races",Total housing units
0,1001,1.0,0.48224869153852895,0.5207772066619338,0.06565313651193981,0.058766971653500664,0.06385942599849652,0.14728482355659736,0.1244785198228533,0.13325448612447924,0.06587665138568669,0.062436810529798395,0.09172737101368111,0.04520953608858793,0.014477040324881655,0.0003275009851819773,0.7995693145688326,0.772650551249953,0.1862985302221637,0.1514139474271507,0.36129723291130905,0.41135331833864397,0.06588032859864865,0.08553361882850205,0.9834795321836505,0.019546366016812193,0.5578823740095387,0.38683231285648795,0.012948388571640672,0.003324724236135723,0.0,0.0,0.0,0.0,0.01821632919234745,0.0030269349720359446,0.0005845833176234367,0.0015873205386002925,0.0002683674305104033,0.004635059187419989,0.0028459429840173005,0.0018681701751809472,0.0,0.0,0.0,0.0,0.0,0.01722379188914075,0.002914595117403683,0.0009611298674093514,0.0008695936895608418,0.0,0.575608261640108,0.39924759639733465,0.007630062078200272,0.021333150419401554,0.0,0.018822195579255782,0.03258022711006141,0.010547464129362364,0.0015935616416354183,0.0013189531080898891,0.003051899384176447,0.9704456710904013,0.5456532409703552,0.38479304297054107,0.0028816059206418013,0.018131034117534063,0.0,0.00028501037193740507,0.018701736739391853,0.0010803921381996034,0.017621344601192253,0.4429545281232
1,1003,1.0,0.5184746262785208,0.5536241148701809,0.05349134539732494,0.04644472856018883,0.051268686073957515,0.11554878048780488,0.12780291109362707,0.14809697088906373,0.08147619984264359,0.07412470495672699,0.13351691581431943,0.06620771046420142,0.018818843430369787,0.00021636506687647522,0.8665519276160504,0.840214398111723,0.2639457120377655,0.21854346970889063,0.39853461841070026,0.4416797797010228,0.10059500393391031,0.11794846577498033,1.055064909520063,0.017033831628638866,0.9232838316286389,0.10107199055861527,0.0021931549960660895,0.006274586939417781,0.0,0.0,0.0,0.0,0.011496852871754525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022128245476003147,0.0,0.0,0.0,0.0,0.012716365066876475,0.00111624704956727,0.010326514555468135,0.0036339496459480724,0.0,0.939993115656963,0.10218823760818253,0.01692564909520063,0.015455350118017309,0.0,0.013758851298190402,0.04982297403619197,0.0253147128245476,0.007587529504327301,0.001578481510621558,0.015342250196695516,1.0222757671125098,0.889683320220299,0.09996066089693155,0.005945121951219512,0.011496852871754525,0.00022128245476003147,0.0007277734067663257,0.014240755310778914,0.0006245082612116444,0.01361624704956727,0.5735247836349331
2,1005,1.0,0.4897434703349262,0.5214718308943069,0.06227182741733038,0.06148697569010298,0.08004886416320674,0.14208815443097314,0.12372801724399884,0.12474932427183492,0.060816327674115135,0.06343979672922935,0.0929021293393527,0.04473225479472313,0.015772264349843843,0.00028011268401444134,0.8047697268994286,0.7790605976075835,0.187996477187773,0.15340664848391966,0.3700371588124608,0.4090234387951227,0.06604678099974177,0.08735986748417791,0.9816947193150086,0.02952058191422447,0.5905577658913053,0.3550886175060055,0.008623923920119998,0.0019836660374289304,0.0,0.0,0.0,0.0,0.022107527013160103,0.002546467282226437,0.0011860755355823126,0.001908672941574525,0.0004282823406525006,0.0025229625722557473,0.0011087129573621188,0.0011870095530659899,0.000291226810500657,0.0,0.0,0.0,0.0,0.011665916056608194,0.01029062756045265,0.0027570493361079437,0.004550291862761549,0.00034085990625703475,0.6142798104276637,0.370068325181386,0.006978143656290351,0.0321861948858802,0.0020840918626453264,0.01803031425637886,0.047793479168361686,0.018644358539406283,0.01027964534775771,0.002136547335295564,0.011005862519216475,0.9634218220608713,0.564802523215659,0.35225914296919575,0.0016299285620799892,0.02207636321844807,0.000291226810500657,0.0006271078030641691,0.021735529481923723,0.0009067781156823158,0.020828751366241408,0.46896629049234023
3,1007,1.0,0.48909139683942665,0.531030205083235,0.059001187409746116,0.060997507396211924,0.07459488724318604,0.1422937303907558,0.13283769837668472,0.12668453099398633,0.06274085384955554,0.06393217655588053,0.09066955866601567,0.04442697989196577,0.014501886876803111,0.00014535601953404194,0.8230416917245255,0.795586630788811,0.18560990246660086,0.14959842543478455,0.37507928601421403,0.42050734477459684,0.06484350618738091,0.08475491924740364,1.0043308331699898,0.01579076875267162,0.6806286984302623,0.2853525342777473,0.00461735296921565,0.0023381150446471653,0.0,0.0,0.0,0.0,0.018373545941731673,0.0028344600594396923,0.0018055288081945354,0.0004712794737744692,0.00014038504920058228,0.0022577132718465984,0.0024875320643597885,0.001808217175462122,0.00033476696465986296,0.0,0.0,0.0,0.0,0.017303172510941576,0.00603397429597861,0.0028767347445252203,0.0031734169793824246,0.0013642078730008306,0.6939164517442634,0.29330324877789815,0.0067217152419905895,0.022676380735669216,0.0008383634121728595,0.018690569743650697,0.04672189000128273,0.02701481873286761,0.0036840960921423883,0.0012008664028331864,0.014822108773439552,0.9733997119213789,0.6525646474571067,0.2841949022279393,0.0022061291009543103,0.01833759083635869,0.00033476696465986296,0.0012920642646214995,0.014469611069738394,0.0006006379506162321,0.013868973119122162,0.4477822153922507
4,1009,1.0,0.4926730379701995,0.5154371082924399,0.06346892867407579,0.06459527278635893,0.0574077937680268,0.12658324935046847,0.12404986888210039,0.13166773973633802,0.0693232955766597,0.06774309080741504,0.10531022239919648,0.05712625867186244,0.016170854051294908,0.00041728148512363476,0.8028060120628566,0.7778214310440761,0.21764446920474537,0.17860733512235383,0.37500058798231195,0.40282084306176424,0.07795269100878591,0.10065464411356793,0.9889778545727252,0.019132291689914316,0.840716624237593,0.1223847048108347,0.006172707356127553,0.0025358191734078986,0.0,0.0,0.0,0.0,0.006290686643058054,0.0007890025022254312,0.00040269045505222673,0.00015221000388904667,7.665094887382407e-05,0.00027209994956348945,5.939902590792065e-05,0.0003365216872209769,0.00015810623072549465,0.0,0.0,0.0,0.0,0.016891913477105985,0.0010530224372352697,0.00036818660912041985,0.0005173393102053824,0.00020789659067772223,0.8586874749580744,0.12800394990232603,0.008770575497011964,0.010371940173000187,0.00024021664889232615,0.020061094921610154,0.053156944500995965,0.01651747441345691,0.001899600614161258,0.00014522188319399717,0.010039918759820996,0.9549532017616437,0.5868669394803128,0.11808223389312975,0.0010455855350388675,0.0057095539967059825,0.00015810623072549465,0.0012326645199184588,0.01011706447779066,0.0003081617766000111,0.009808902701190647,0.4548735327166219
5,1011,1.0,0.4863112443948442,0.5212713174858922,0.0634974784486757,0.059884988070743696,0.0868808441326492,0.14567071440295473,0.1233186782877946,0.12440899778932421,0.06038032901390318,0.060367660910948785,0.08697718445508859,0.0395311142140883,0.015111366153736231,0.00022099863979695383,0.8025334032219849,0.7770150447697167,0.174000557149715,0.14161966482291313,0.3670338165823673,0.4099812281873494,0.060717303245733815,0.08090236157717931,0.9839830854769663,0.0235994764037698,0.5172943786380458,0.42038508244543177,0.00879439904173244,0.002443854272511272,0.0,0.0,0.0,0.0,0.029476758451721232,0.0036697048630345685,0.0011470982387039698,0.002286382059038506,0.0004532243541414746,0.00475025850254588,0.002638605249982724,0.0020220199168744938,0.00018388394611469622,0.0,0.0,0.0,0.0,0.014199127723141641,0.007429635735974532,0.001876576998047119,0.0032122635447597954,0.000372994022512174,0.536493156306301,0.4332376664944147,0.006101702482267208,0.03643409572400284,0.0013159194893832952,0.019020226955050703,0.041968089008117576,0.01750087898780473,0.008603102763750653,0.002116392514507887,0.00932101095509731,0.9656144728726187,0.4978027467776591,0.41744252752385136,0.002039793117607453,0.029398981421904058,0.00018388394611469622,0.00046511671806455314,0.018281423367417428,0.0009591013401120886,0.01732232202730534,0.44823474190037826
6,1013,1.0,0.511906945354869,0.5364936364402326,0.0626464086928816,0.059920907749256874,0.06551346667525082,0.1406918220876317,0.1297552995456135,0.13322492345211503,0.07344466319099872,0.06907135240659701,0.1103095549811675,0.05628091253152512,0.013994078632621436,0.00030659779415401184,0.8451173270193868,0.8180000606884107,0.22016928179701709,0.18058454614531402,0.395516254904416,0.4224838057839947,0.0819354512126834,0.09864909493263067,1.0154896495841754,0.03291093221092619,0.7193196448473382,0.24253451465969128,0.010215485203136112,0.004714964477845573,0.0,0.0,0.0,0.0,0.024291832864585586,0.0026088237682559603,0.0025882054168222977,0.004986927801252529,0.0006156741872288326,0.0037598638942223975,0.002472180862413629,0.0027014334147750048,0.0008788374322991814,0.0,0.0,0.0,0.0,0.0237498553024157,0.009776886503241117,0.008113106401733117,0.006845925483661175,0.0002066069374535428,0.7498817714246521,0.25666166596032913,0.014041099684125757,0.03379419486474889,0.0024796011839601766,0.02678223867461812,0.06259275645130469,0.018551882528293706,0.010395539322751298,0.003701489935283095,0.01311644673140279,0.985807825343797,0.6862678317712146,0.24138605660817278,0.003295533559367869,0.024141561765676868,0.0005738587042167621,0.0018903336795956273,0.028252649255552358,0.0008707880876976286,0.02738186116785473,0.555662467373503
7,1015,1.0,0.47654660815220684,0.5126334103716015,0.06182104616236897,0.061959541925264226,0.06449574558328357,0.1408588468496542,0.10913466116146009,0.11785989422386109,0.07188795692781774,0.06799276359638873,0.10594925861486926,0.056385087468730256,0.015243189903658885,0.00034710500575623013,0.8074649216200542,0.777246877353346,0.216079358072139,0.1775775359872584,0.369221047893566,0.40802582945977994,0.0746059362746371,0.10297159971262129,0.9651250357059389,0.024054982817869417,0.7361569156993604,0.21412310542124352,0.005557142486172064,0.0009261904143620107,0.0,0.0,0.0,0.0,0.0036874496870861356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010231374483886883,0.0042154647831242915,0.0026314194950098247,0.006639140633791235,0.00022505561470478763,0.7539795891869433,0.2215499407065015,0.004232776753486198,0.013797640378439672,0.0,0.01751971400624962,0.03868359777368061,0.0,0.0,0.0,0.0,0.9504964207501276,0.71245682827391,0.21412310542124352,0.0009261904143620107,0.0036874496870861356,0.0,0.0,0.019302846953526017,0.0025362036580193373,0.01676664329550668,0.4664537294312152
8,1017,1.0,0.49486852002136933,0.532367228101818,0.059759502641953406,0.04959164860391099,0.11585120381597869,0.12875848972954504,0.1264051132943566,0.12200774707349699,0.05553475183334908,0.0636313411576716,0.08586902090465746,0.03703264311031569,0.013329764647282883,0.0003691312247891983,0.8170053059186306,0.7921984026718227,0.17869892291997239,0.13623142866225604,0.3766890652347807,0.41550933743704216,0.058354511615325406,0.07787691704693062,1.016169623850327,0.011066124272860509,0.6602781137027872,0.31305680758095017,0.006447773153057666,0.0014054723918337534,0.0,0.0,0.0,0.0,0.03357372538096866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007855504793786982,0.0027271749060085414,0.0014582163888782872,0.0017591674308382742,0.0006949797257632688,0.6706492582498846,0.31839678620707546,0.0035586685064753092,0.03584378691266566,0.0,0.008742844979359727,0.03852517555260947,0.007080105956213301,0.006205176122886329,0.0006577486690259507,0.005181322062610084,0.9887105725705778,0.6322244136454136,0.3104475310212765,0.0014054723918337534,0.03357372538096866,0.0,0.0016216718246070089,0.009437758306478358,0.0,0.009437758306478358,0.4303818766920533
9,1019,1.0,0.4806630295913634,0.5202119777874795,0.06049961909843817,0.058397804320422596,0.06486564819246764,0.1290486245077894,0.11584984925478578,0.12775965604628634,0.06262868850712484,0.0699260928878568,0.10397435440764036,0.054068042632651046,0.019662600600311102,0.00043538002488797034,0.8053882659590942,0.7742597274852694,0.22090596160999773,0.17770499764060255,0.3667760202346418,0.40748370725062766,0.07556508709741533,0.1021399105431872,0.9803301892292166,0.020544818149626307,0.8007038318389506,0.12632670424785178,0.0076297718663904945,0.005107673563082197,0.0,0.0,0.0,0.0,0.008262979309562176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039929000269769886,0.0008279843883348872,0.0005168526777285538,0.0013040329072953971,4.4204505332047365e-05,0.8198641219771861,0.1344905286033302,0.009913635395435296,0.012189499794044784,0.0,0.043196091520487784,0.09077619799256349,0.0,0.0,0.0,0.0,0.9100988093862793,0.7563434955898661,0.12324431811061981,0.0040616365079250635,0.008009438691203293,0.0,0.0008459977775852542,0.017593922709079862,0.0004981507716265338,0.01709577193745333,0.44802985232341824
