FIPS,01/01/20,01/02/20,01/03/20,01/04/20,01/05/20,01/06/20,01/07/20,01/08/20,01/09/20,01/10/20,01/11/20,01/12/20,01/13/20,01/14/20,01/15/20,01/16/20,01/17/20,01/18/20,01/19/20,01/20/20,01/21/20,01/22/20,01/23/20,01/24/20,01/25/20,01/26/20,01/27/20,01/28/20,01/29/20,01/30/20,01/31/20,02/01/20,02/02/20,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/10/20,04/11/20,04/12/20
25013,183.75,260.6666666666667,571.25,800.625,140.0,278.57142857142856,,,,0.0,,,,,20.666666666666668,,,,,,,1.0,15.6,1.0,39.0,,,,42.0,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,22.5,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,
25015,,,,,,,,,,0.0,,,,,20.666666666666668,,,,,,,0.0,2.5,0.0,40.0,,,,43.0,0.5,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,9.0,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,
25017,,,,,,,,,,,,,,,30.25,,,,,,,,34.0,,39.0,,,,40.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25021,,,,,,,,,,,,,,,31.0,,,,,,,,4.0,,39.0,,,,37.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25025,177.8125,250.68965517241378,384.375,433.75,164.33333333333334,329.6875,282.8125,273.0,203.125,224.66666666666666,143.66666666666666,106.7741935483871,159.6875,256.6666666666667,236.53333333333333,281.07142857142856,185.33333333333334,232.5,323.125,209.66666666666666,226.25,409.46875,276.3125,315.73333333333335,132.34375,185.71428571428572,271.3333333333333,201.33333333333334,169.5,178.94117647058823,316.875,338.3333333333333,308.0,328.4375,383.57142857142856,229.66666666666666,134.2,231.78571428571428,164.0,186.25,197.85714285714286,339.0625,226.875,334.88,207.5,216.66666666666666,208.92857142857142,290.9375,158.92857142857142,204.7058823529412,194.11764705882354,226.66666666666666,281.53846153846155,325.7142857142857,313.21875,295.35714285714283,269.0,185.75,226.2962962962963,290.3225806451613,216.33333333333334,336.07142857142856,256.74074074074076,201.4814814814815,229.0909090909091,447.58620689655174,181.33333333333334,244.64285714285714,299.64285714285717,252.58064516129033,188.95833333333334,227.03703703703704,246.78571428571428,203.1818181818182,166.0,157.80645161290323,261.48148148148147,257.0,201.3793103448276,254.21052631578948,146.875,153.125,186.15384615384616,178.75,170.0,180.76923076923077,168.1818181818182,177.8125,78.27586206896552,106.25,116.29629629629629,106.19047619047619,132.10526315789474,141.25
25027,175.0,317.3333333333333,516.25,680.625,162.0,340.625,293.75,279.3333333333333,226.875,286.0,204.66666666666666,132.5,261.25,379.2857142857143,248.73333333333332,372.5,224.66666666666666,258.125,356.25,243.33333333333334,339.375,430.0,350.0,652.6666666666666,273.375,246.42857142857142,296.0,272.0,248.06666666666666,277.625,343.125,327.3333333333333,253.33333333333334,378.75,607.8571428571429,340.6666666666667,322.6666666666667,383.57142857142856,172.66666666666666,276.25,293.6363636363636,621.875,228.75,423.84615384615387,261.42857142857144,220.0,265.7142857142857,315.625,322.0,226.92307692307693,233.75,278.75,243.57142857142858,300.0,312.0,348.0,356.25,219.33333333333334,217.33333333333334,249.375,193.125,304.0,261.3333333333333,190.0,231.42857142857142,393.3333333333333,198.125,190.0,298.6666666666667,290.0,219.16666666666666,296.875,248.66666666666666,151.66666666666666,178.125,228.75,286.0,249.375,290.625,265.3333333333333,186.875,180.625,226.42857142857142,261.875,276.25,263.3333333333333,221.25,318.125,200.66666666666666,243.75,236.25,168.66666666666666,161.875,215.0
26021,,,,,,,,,,,,,,,15.0,,,,,,,,,,9.0,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26027,,,,,,,,,,,,,,,14.0,,,,,,,,,,9.0,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26037,,,,,,,,,,1.0,,,,,13.333333333333334,,,,,,,2.0,5.5,1.0,20.0,,,,26.0,10.5,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,5.0,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,
26081,346.6666666666667,372.0,448.0,396.6666666666667,404.0,426.0,542.0,441.42857142857144,527.3333333333334,600.0,571.3333333333334,550.0,647.3333333333334,652.6666666666666,558.5,198.66666666666666,357.3333333333333,280.6666666666667,242.0,358.6666666666667,544.0,332.8,349.53333333333336,212.85714285714286,474.06666666666666,406.42857142857144,452.14285714285717,460.7142857142857,498.26666666666665,500.0,535.3333333333334,550.6666666666666,525.7142857142857,787.3333333333334,586.4285714285714,588.5714285714286,510.7142857142857,682.8571428571429,640.0,688.0,626.1538461538462,293.3333333333333,331.3333333333333,280.7692307692308,336.9230769230769,332.85714285714283,349.2857142857143,382.0,406.9230769230769,393.0769230769231,419.3333333333333,490.0,479.2857142857143,498.57142857142856,752.8571428571429,565.3333333333334,542.6666666666666,469.2857142857143,526.0,536.0,604.6666666666666,670.0,696.4285714285714,489.1666666666667,295.3333333333333,259.2857142857143,338.0,282.0,352.85714285714283,327.3333333333333,365.0,392.0,337.85714285714283,404.1666666666667,387.3333333333333,391.46666666666664,418.0,480.6666666666667,502.14285714285717,238.0,210.66666666666666,230.66666666666666,327.85714285714283,349.3333333333333,448.57142857142856,370.0,325.3333333333333,368.0,348.0,347.3333333333333,420.0,487.3333333333333,568.6666666666666,543.3333333333334
26085,,,,,,,,,,,,,,,25.5,,,,,,,,,,15.0,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
