FIPS,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit
1117,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
1119,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
1121,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
1123,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
1125,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.9,0.4,9455,47,1,2,0
1127,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
1129,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
1131,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.1,0.0,105,5,0,0,0
1133,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
2013,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
2016,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
2020,737506.0,737506.0,737506.0,737503.0,737501.0,737501.0,737500.0,737495.0,3.5,2.6,53537,696,2,9,1
2050,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
2060,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
2068,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
2070,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
2090,,,,737503.0,737501.0,737501.0,737500.0,737495.0,2.0,1.0,16547,213,3,12,0
2100,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
2110,,,,737503.0,737501.0,737501.0,737500.0,737495.0,2.6,1.4,12550,308,7,8,5
2122,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,1
2130,,,,737503.0,737501.0,737501.0,737500.0,737495.0,3.6,1.5,9157,309,2,8,3
2150,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
2164,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
