,FIPS,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban
89,2188,,,,737503.0,737501.0,737501.0,737500.0,737495.0
90,2195,,,,737503.0,737501.0,737501.0,737500.0,737495.0
91,2198,,,,737503.0,737501.0,737501.0,737500.0,737495.0
92,2220,,,,737503.0,737501.0,737501.0,737500.0,737495.0
93,2230,,,,737503.0,737501.0,737501.0,737500.0,737495.0
94,2240,,,,737503.0,737501.0,737501.0,737500.0,737495.0
95,2261,,,,737503.0,737501.0,737501.0,737500.0,737495.0
96,2275,,,,737503.0,737501.0,737501.0,737500.0,737495.0
97,2282,,,,737503.0,737501.0,737501.0,737500.0,737495.0
98,2290,,,,737503.0,737501.0,737501.0,737500.0,737495.0
100,4001,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0
101,4003,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0
102,4005,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0
103,4007,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0
104,4009,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0
105,4011,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0
106,4012,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0
107,4013,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0
108,4015,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0
109,4017,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0
110,4019,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0
111,4021,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0
112,4023,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0
113,4025,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0
114,4027,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0
116,5001,,,,737501.0,737503.0,737503.0,737500.0,737495.0
117,5003,,,,737501.0,737503.0,737503.0,737500.0,737495.0
118,5005,,,,737501.0,737503.0,737503.0,737500.0,737495.0
119,5007,,,,737501.0,737503.0,737503.0,737500.0,737495.0
120,5009,,,,737501.0,737503.0,737503.0,737500.0,737495.0
121,5011,,,,737501.0,737503.0,737503.0,737500.0,737495.0
122,5013,,,,737501.0,737503.0,737503.0,737500.0,737495.0
123,5015,,,,737501.0,737503.0,737503.0,737500.0,737495.0
124,5017,,,,737501.0,737503.0,737503.0,737500.0,737495.0
125,5019,,,,737501.0,737503.0,737503.0,737500.0,737495.0
126,5021,,,,737501.0,737503.0,737503.0,737500.0,737495.0
127,5023,,,,737501.0,737503.0,737503.0,737500.0,737495.0
128,5025,,,,737501.0,737503.0,737503.0,737500.0,737495.0
129,5027,,,,737501.0,737503.0,737503.0,737500.0,737495.0
130,5029,,,,737501.0,737503.0,737503.0,737500.0,737495.0
131,5031,,,,737501.0,737503.0,737503.0,737500.0,737495.0
132,5033,,,,737501.0,737503.0,737503.0,737500.0,737495.0
133,5035,,,,737501.0,737503.0,737503.0,737500.0,737495.0
134,5037,,,,737501.0,737503.0,737503.0,737500.0,737495.0
135,5039,,,,737501.0,737503.0,737503.0,737500.0,737495.0
136,5041,,,,737501.0,737503.0,737503.0,737500.0,737495.0
137,5043,,,,737501.0,737503.0,737503.0,737500.0,737495.0
138,5045,,,,737501.0,737503.0,737503.0,737500.0,737495.0
139,5047,,,,737501.0,737503.0,737503.0,737500.0,737495.0
140,5049,,,,737501.0,737503.0,737503.0,737500.0,737495.0
141,5051,,,,737501.0,737503.0,737503.0,737500.0,737495.0
142,5053,,,,737501.0,737503.0,737503.0,737500.0,737495.0
143,5055,,,,737501.0,737503.0,737503.0,737500.0,737495.0
144,5057,,,,737501.0,737503.0,737503.0,737500.0,737495.0
145,5059,,,,737501.0,737503.0,737503.0,737500.0,737495.0
146,5061,,,,737501.0,737503.0,737503.0,737500.0,737495.0
147,5063,,,,737501.0,737503.0,737503.0,737500.0,737495.0
148,5065,,,,737501.0,737503.0,737503.0,737500.0,737495.0
149,5067,,,,737501.0,737503.0,737503.0,737500.0,737495.0
150,5069,,,,737501.0,737503.0,737503.0,737500.0,737495.0
151,5071,,,,737501.0,737503.0,737503.0,737500.0,737495.0
152,5073,,,,737501.0,737503.0,737503.0,737500.0,737495.0
153,5075,,,,737501.0,737503.0,737503.0,737500.0,737495.0
154,5077,,,,737501.0,737503.0,737503.0,737500.0,737495.0
155,5079,,,,737501.0,737503.0,737503.0,737500.0,737495.0
156,5081,,,,737501.0,737503.0,737503.0,737500.0,737495.0
157,5083,,,,737501.0,737503.0,737503.0,737500.0,737495.0
158,5085,,,,737501.0,737503.0,737503.0,737500.0,737495.0
159,5087,,,,737501.0,737503.0,737503.0,737500.0,737495.0
160,5089,,,,737501.0,737503.0,737503.0,737500.0,737495.0
161,5091,,,,737501.0,737503.0,737503.0,737500.0,737495.0
162,5093,,,,737501.0,737503.0,737503.0,737500.0,737495.0
163,5095,,,,737501.0,737503.0,737503.0,737500.0,737495.0
164,5097,,,,737501.0,737503.0,737503.0,737500.0,737495.0
165,5099,,,,737501.0,737503.0,737503.0,737500.0,737495.0
166,5101,,,,737501.0,737503.0,737503.0,737500.0,737495.0
167,5103,,,,737501.0,737503.0,737503.0,737500.0,737495.0
168,5105,,,,737501.0,737503.0,737503.0,737500.0,737495.0
169,5107,,,,737501.0,737503.0,737503.0,737500.0,737495.0
170,5109,,,,737501.0,737503.0,737503.0,737500.0,737495.0
171,5111,,,,737501.0,737503.0,737503.0,737500.0,737495.0
172,5113,,,,737501.0,737503.0,737503.0,737500.0,737495.0
173,5115,,,,737501.0,737503.0,737503.0,737500.0,737495.0
174,5117,,,,737501.0,737503.0,737503.0,737500.0,737495.0
175,5119,,,,737501.0,737503.0,737503.0,737500.0,737495.0
176,5121,,,,737501.0,737503.0,737503.0,737500.0,737495.0
177,5123,,,,737501.0,737503.0,737503.0,737500.0,737495.0
178,5125,,,,737501.0,737503.0,737503.0,737500.0,737495.0
179,5127,,,,737501.0,737503.0,737503.0,737500.0,737495.0
180,5129,,,,737501.0,737503.0,737503.0,737500.0,737495.0
181,5131,,,,737501.0,737503.0,737503.0,737500.0,737495.0
182,5133,,,,737501.0,737503.0,737503.0,737500.0,737495.0
183,5135,,,,737501.0,737503.0,737503.0,737500.0,737495.0
184,5137,,,,737501.0,737503.0,737503.0,737500.0,737495.0
185,5139,,,,737501.0,737503.0,737503.0,737500.0,737495.0
186,5141,,,,737501.0,737503.0,737503.0,737500.0,737495.0
187,5143,,,,737501.0,737503.0,737503.0,737500.0,737495.0
188,5145,,,,737501.0,737503.0,737503.0,737500.0,737495.0
189,5147,,,,737501.0,737503.0,737503.0,737500.0,737495.0
190,5149,,,,737501.0,737503.0,737503.0,737500.0,737495.0
192,6001,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
193,6003,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
194,6005,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
195,6007,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
196,6009,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
197,6011,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
198,6013,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
199,6015,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
200,6017,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
201,6019,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
202,6021,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
203,6023,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
204,6025,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
205,6027,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
206,6029,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
207,6031,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
208,6033,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
209,6035,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
210,6037,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
211,6039,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
212,6041,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
213,6043,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
214,6045,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
215,6047,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
216,6049,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
217,6051,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
218,6053,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
219,6055,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
220,6057,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
221,6059,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
222,6061,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
223,6063,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
224,6065,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
225,6067,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
226,6069,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
227,6071,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
228,6073,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
229,6075,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
230,6077,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
231,6079,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
232,6081,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
233,6083,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
234,6085,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
235,6087,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
236,6089,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
237,6091,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
238,6093,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
239,6095,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
240,6097,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
241,6099,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
242,6101,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
243,6103,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
244,6105,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
245,6107,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
246,6109,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
247,6111,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
248,6113,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
249,6115,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0
251,8001,737508.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
252,8003,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
253,8005,737508.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
254,8007,737508.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
255,8009,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
256,8011,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
257,8013,737508.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
258,8014,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
259,8015,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
260,8017,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
261,8019,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
262,8021,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
263,8023,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
264,8025,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
265,8027,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
266,8029,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
267,8031,737508.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
268,8033,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
269,8035,737508.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
270,8037,737508.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
271,8039,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
272,8041,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
273,8043,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
274,8045,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
275,8047,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
276,8049,737508.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
277,8051,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
278,8053,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
279,8055,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
280,8057,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
281,8059,737508.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
282,8061,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
283,8063,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
284,8065,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
285,8067,737508.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
286,8069,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
287,8071,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
288,8073,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
289,8075,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
290,8077,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
291,8079,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
292,8081,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
293,8083,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
294,8085,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
295,8087,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
296,8089,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
297,8091,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
298,8093,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
299,8095,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
300,8097,737508.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
301,8099,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
302,8101,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
303,8103,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
304,8105,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
305,8107,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
306,8109,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
307,8111,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
308,8113,737508.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
309,8115,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
310,8117,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
311,8119,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
312,8121,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
313,8123,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
314,8125,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0
316,9001,737507.0,737507.0,737507.0,737501.0,737500.0,737500.0,737500.0,737495.0
317,9003,737507.0,737507.0,737507.0,737501.0,737500.0,737500.0,737500.0,737495.0
318,9005,737507.0,737507.0,737507.0,737501.0,737500.0,737500.0,737500.0,737495.0
319,9007,737507.0,737507.0,737507.0,737501.0,737500.0,737500.0,737500.0,737495.0
320,9009,737507.0,737507.0,737507.0,737501.0,737500.0,737500.0,737500.0,737495.0
321,9011,737507.0,737507.0,737507.0,737501.0,737500.0,737500.0,737500.0,737495.0
322,9013,737507.0,737507.0,737507.0,737501.0,737500.0,737500.0,737500.0,737495.0
323,9015,737507.0,737507.0,737507.0,737501.0,737500.0,737500.0,737500.0,737495.0
325,10001,737508.0,737508.0,737508.0,737500.0,737496.0,737496.0,737500.0,737495.0
326,10003,737508.0,737508.0,737508.0,737500.0,737496.0,737496.0,737500.0,737495.0
327,10005,737508.0,737508.0,737508.0,737500.0,737496.0,737496.0,737500.0,737495.0
329,11001,737516.0,737509.0,737509.0,737500.0,737500.0,737500.0,737500.0,737495.0
331,12001,737509.0,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
332,12003,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
333,12005,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
334,12007,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
335,12009,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
336,12011,737511.0,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
337,12013,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
338,12015,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
339,12017,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
340,12019,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
341,12021,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
342,12023,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
343,12027,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
344,12029,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
345,12031,737509.0,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
346,12033,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
347,12035,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
348,12037,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
349,12039,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
350,12041,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
351,12043,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
352,12045,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
353,12047,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
354,12049,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
355,12051,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
356,12053,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
357,12055,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
358,12057,737511.0,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
359,12059,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
360,12061,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
361,12063,,737501.0,737501.0,737500.0,737504.0,737504.0,737500.0,737495.0
