,Retail & recreation,Retail & recreation,Grocery & pharmacy,Grocery & pharmacy,Parks,Parks,Transit stations,Transit stations,Workplaces,Workplaces,Residential,Residential
Date,2020-03-29,2020-04-05,2020-03-29,2020-04-05,2020-03-29,2020-04-05,2020-03-29,2020-04-05,2020-03-29,2020-04-05,2020-03-29,2020-04-05
FIPS,,,,,,,,,,,,
12003,-23.0,-38.0,-8.0,-6.0,,,-45.0,-55.0,-27.0,-30.0,-3.0,-3.0
12005,-38.0,-49.0,-16.0,-24.0,-2.0,-20.0,-50.0,-62.0,-27.0,-32.0,8.0,10.0
12007,-26.0,-45.0,0.0,-3.0,,,,,-26.0,-38.0,0.0,0.0
12009,-44.0,-56.0,-22.0,-36.0,-26.0,-67.0,-37.0,-55.0,-38.0,-45.0,11.0,14.0
12011,-52.0,-56.0,-28.0,-30.0,-62.0,-69.0,-72.0,-77.0,-42.0,-45.0,16.0,18.0
12013,-38.0,-49.0,-5.0,-14.0,,,,,-28.0,-35.0,,
12015,-49.0,-61.0,-25.0,-35.0,-35.0,-61.0,-33.0,-51.0,-40.0,-44.0,10.0,13.0
12017,-38.0,-54.0,-15.0,-28.0,-35.0,-78.0,,,-36.0,-42.0,9.0,12.0
12019,-33.0,-46.0,-15.0,-27.0,1.0,-46.0,,,-34.0,-39.0,10.0,13.0
12021,-56.0,-63.0,-29.0,-37.0,-62.0,-76.0,-56.0,-63.0,-44.0,-48.0,14.0,16.0
12023,-36.0,-46.0,-8.0,-14.0,-41.0,-57.0,-25.0,-41.0,-25.0,-29.0,8.0,11.0
12027,-35.0,-50.0,-21.0,-20.0,-28.0,-57.0,,,-26.0,-30.0,12.0,9.0
12029,-30.0,-34.0,-4.0,-6.0,,,,,-31.0,-33.0,,
12031,-36.0,-48.0,-13.0,-24.0,-26.0,-60.0,-40.0,-52.0,-33.0,-39.0,10.0,13.0
12033,-38.0,-45.0,-10.0,-15.0,-11.0,-16.0,-47.0,-55.0,-32.0,-36.0,9.0,11.0
12035,-44.0,-57.0,-16.0,-27.0,-34.0,-72.0,,,-40.0,-47.0,10.0,13.0
12037,-56.0,-83.0,-12.0,-23.0,-14.0,-23.0,,,-30.0,-43.0,,
12039,-24.0,-32.0,-10.0,-11.0,,,-36.0,-48.0,-31.0,-32.0,14.0,17.0
12041,-26.0,-40.0,-1.0,-12.0,,-36.0,,,-24.0,-33.0,,
12043,-62.0,-62.0,,,-65.0,-65.0,-39.0,-50.0,-30.0,-22.0,,
12045,-28.0,-77.0,-1.0,-17.0,,,,,-16.0,-24.0,,
12047,-16.0,-33.0,-4.0,-3.0,,,-28.0,-45.0,-24.0,-36.0,,
12049,-30.0,-38.0,-29.0,-32.0,-30.0,-52.0,,,-29.0,-27.0,,
12051,-34.0,-46.0,-10.0,-16.0,-42.0,-64.0,,,-28.0,-29.0,12.0,15.0
12053,-36.0,-47.0,-16.0,-30.0,-10.0,-64.0,-37.0,-41.0,-36.0,-43.0,10.0,12.0
12055,-44.0,-55.0,-21.0,-31.0,-49.0,-66.0,,,-36.0,-44.0,9.0,12.0
12057,-52.0,-56.0,-30.0,-34.0,-53.0,-75.0,-67.0,-74.0,-42.0,-46.0,14.0,15.0
12059,-19.0,-43.0,-12.0,-19.0,,,,,-18.0,-14.0,,
12061,-46.0,-58.0,-29.0,-33.0,-30.0,-65.0,-47.0,-64.0,-38.0,-43.0,11.0,14.0
12063,-29.0,-43.0,-11.0,-14.0,,-24.0,-32.0,-44.0,-32.0,-35.0,12.0,13.0
12065,-20.0,-55.0,-10.0,-13.0,,,,,-28.0,-32.0,,
12067,,,,,,,,,-28.0,-30.0,,
12069,-42.0,-54.0,-24.0,-35.0,-24.0,-66.0,-57.0,-68.0,-41.0,-46.0,12.0,14.0
12071,-55.0,-61.0,-28.0,-38.0,-60.0,-76.0,-69.0,-75.0,-41.0,-46.0,12.0,14.0
12073,-45.0,-50.0,-22.0,-24.0,0.0,-20.0,-50.0,-62.0,-36.0,-40.0,11.0,13.0
12075,-35.0,-49.0,-12.0,-19.0,-20.0,-48.0,,,-31.0,-34.0,12.0,15.0
12077,,,-5.0,-14.0,,,,,-28.0,-40.0,,
12079,-41.0,-58.0,-2.0,-14.0,,,-26.0,-45.0,-31.0,-41.0,,
12081,-48.0,-59.0,-22.0,-36.0,-28.0,-73.0,-63.0,-74.0,-36.0,-44.0,11.0,14.0
12083,-41.0,-52.0,-21.0,-29.0,-40.0,-65.0,-31.0,-46.0,-34.0,-41.0,9.0,12.0
12085,-50.0,-60.0,-28.0,-39.0,-28.0,-55.0,-59.0,-63.0,-37.0,-43.0,12.0,14.0
12086,-57.0,-60.0,-35.0,-36.0,-77.0,-80.0,-71.0,-73.0,-46.0,-48.0,18.0,19.0
12087,-74.0,-77.0,-47.0,-54.0,-76.0,-79.0,-76.0,-80.0,-55.0,-57.0,15.0,16.0
12089,-40.0,-50.0,-18.0,-24.0,-24.0,-60.0,-68.0,-68.0,-34.0,-41.0,10.0,13.0
12091,-39.0,-47.0,-14.0,-23.0,-7.0,-27.0,-62.0,-67.0,-32.0,-41.0,9.0,12.0
12093,-37.0,-55.0,-10.0,-22.0,-23.0,-56.0,-84.0,-89.0,-33.0,-34.0,11.0,14.0
12095,-70.0,-73.0,-42.0,-47.0,-59.0,-81.0,-80.0,-84.0,-53.0,-56.0,17.0,19.0
12097,-64.0,-68.0,-40.0,-45.0,-49.0,-67.0,-65.0,-73.0,-54.0,-58.0,18.0,19.0
12099,-49.0,-55.0,-23.0,-33.0,-65.0,-76.0,-61.0,-68.0,-40.0,-44.0,15.0,17.0
12101,-40.0,-49.0,-24.0,-33.0,-10.0,-65.0,-25.0,-43.0,-35.0,-41.0,11.0,13.0
12103,-51.0,-58.0,-25.0,-32.0,-16.0,-62.0,-44.0,-58.0,-39.0,-44.0,12.0,14.0
12105,-40.0,-50.0,-22.0,-31.0,-28.0,-55.0,-29.0,-41.0,-38.0,-44.0,11.0,14.0
12107,-23.0,-40.0,-15.0,-14.0,-20.0,-44.0,,,-33.0,-35.0,9.0,11.0
12109,-48.0,-60.0,-13.0,-21.0,-53.0,-79.0,-34.0,-47.0,-41.0,-47.0,11.0,14.0
12111,-40.0,-51.0,-14.0,-24.0,-22.0,-53.0,-52.0,-62.0,-34.0,-41.0,11.0,14.0
12113,-28.0,-35.0,-13.0,-24.0,17.0,-3.0,,,-32.0,-36.0,9.0,10.0
12115,-52.0,-63.0,-28.0,-40.0,-59.0,-76.0,-28.0,-46.0,-41.0,-46.0,11.0,14.0
12117,-48.0,-58.0,-21.0,-37.0,-19.0,-71.0,-74.0,-83.0,-42.0,-48.0,13.0,16.0
12119,-50.0,-66.0,-21.0,-36.0,-31.0,-69.0,-36.0,-50.0,-45.0,-50.0,10.0,14.0
12121,-28.0,-39.0,-14.0,-14.0,0.0,-20.0,-42.0,-50.0,-27.0,-34.0,11.0,14.0
12123,-34.0,-38.0,-7.0,2.0,,,,,-25.0,-26.0,,
12125,-44.0,-42.0,-5.0,-11.0,,,,,-35.0,-38.0,,
12127,-42.0,-58.0,-19.0,-34.0,-10.0,-73.0,-39.0,-59.0,-38.0,-46.0,10.0,14.0
12129,-25.0,-36.0,-20.0,-17.0,20.0,4.0,,,-20.0,-29.0,16.0,17.0
12131,-46.0,-54.0,-23.0,-32.0,-29.0,-44.0,-21.0,-41.0,-31.0,-36.0,9.0,13.0
12133,-33.0,-42.0,5.0,8.0,,,,,-31.0,-36.0,,
13001,-28.0,-44.0,-16.0,-20.0,,,,,-19.0,-19.0,,
13003,-29.0,-55.0,12.0,8.0,,,,,-26.0,-35.0,,
13005,-26.0,-21.0,-15.0,-27.0,,,,,-20.0,-27.0,,
13009,-34.0,-45.0,-20.0,-26.0,,,,,-31.0,-36.0,13.0,12.0
13011,-35.0,-50.0,,,,,,,-19.0,-30.0,,
13013,-35.0,-45.0,-12.0,-15.0,-37.0,,,,-34.0,-42.0,11.0,14.0
13015,-42.0,-46.0,-5.0,-9.0,40.0,74.0,-25.0,-31.0,-33.0,-34.0,9.0,10.0
13017,-28.0,-41.0,9.0,1.0,,,,,-30.0,-26.0,,
13019,-28.0,-42.0,5.0,-13.0,,,,,-20.0,-25.0,,
13021,-43.0,-54.0,-16.0,-22.0,36.0,-3.0,-27.0,-40.0,-32.0,-36.0,10.0,12.0
13023,-31.0,-46.0,-8.0,8.0,,,,,-37.0,-40.0,,
13025,-27.0,-69.0,-4.0,-7.0,,,,,-28.0,-28.0,,
13027,-38.0,-50.0,-5.0,-16.0,,,,,-23.0,-36.0,,
13029,-45.0,-55.0,-19.0,-24.0,-9.0,-32.0,-29.0,-43.0,-36.0,-36.0,18.0,20.0
13031,-41.0,-51.0,-12.0,-26.0,,-31.0,,,-35.0,-40.0,9.0,19.0
13033,-24.0,-35.0,-7.0,-17.0,-23.0,-2.0,,,-14.0,-26.0,,
13035,-30.0,-47.0,-6.0,-9.0,,,-13.0,-26.0,-31.0,-40.0,-1.0,-1.0
13039,-35.0,-48.0,3.0,-4.0,7.0,-40.0,-29.0,-41.0,-30.0,-35.0,16.0,18.0
13043,-57.0,-67.0,-20.0,-28.0,,,,,-24.0,-27.0,,
13045,-38.0,-42.0,-18.0,-18.0,12.0,-8.0,-25.0,-23.0,-36.0,-35.0,10.0,11.0
13047,-38.0,-52.0,-8.0,-20.0,14.0,-35.0,,,-33.0,-41.0,16.0,20.0
13049,-31.0,-49.0,7.0,-9.0,,,,,-25.0,-32.0,,
13051,-50.0,-56.0,-24.0,-29.0,-32.0,-51.0,-48.0,-56.0,-41.0,-45.0,11.0,13.0
13053,-53.0,-61.0,-39.0,-45.0,,,,,-36.0,-34.0,,
13055,-15.0,-30.0,-2.0,-5.0,,,,,-42.0,-29.0,,
13057,-39.0,-47.0,-20.0,-28.0,59.0,60.0,,,-40.0,-44.0,12.0,14.0
13059,-51.0,-55.0,-24.0,-27.0,-21.0,-45.0,-30.0,-24.0,-41.0,-46.0,12.0,14.0
13063,-30.0,-40.0,-18.0,-20.0,15.0,-10.0,-80.0,-85.0,-33.0,-40.0,11.0,13.0
13065,,,-2.0,-2.0,,,,,-25.0,-20.0,,
13067,-49.0,-55.0,-22.0,-28.0,-47.0,-54.0,-38.0,-48.0,-41.0,-47.0,13.0,15.0
13069,-41.0,-50.0,-8.0,-16.0,,,,,-23.0,-32.0,11.0,14.0
13071,-31.0,-40.0,-6.0,-13.0,,,,,-25.0,-28.0,13.0,15.0
13073,-35.0,-49.0,-7.0,-19.0,-20.0,-19.0,-44.0,-47.0,-37.0,-44.0,11.0,13.0
13075,-17.0,-36.0,2.0,-2.0,,,-21.0,-67.0,-21.0,-28.0,,
13077,-46.0,-53.0,-16.0,-22.0,-56.0,,-15.0,-15.0,-35.0,-43.0,11.0,13.0
13079,,,,,,,,,-20.0,-27.0,,
13081,-28.0,-44.0,-22.0,-21.0,,,-10.0,-33.0,-35.0,-37.0,,
13083,-49.0,-52.0,-9.0,-23.0,,,-16.0,-32.0,-23.0,-34.0,,
13085,-49.0,-61.0,-25.0,-37.0,17.0,6.0,,,-37.0,-37.0,0.0,0.0
13087,-24.0,-39.0,-10.0,-12.0,,,,,-19.0,-30.0,-3.0,-3.0
13089,-47.0,-52.0,-26.0,-25.0,-15.0,-12.0,-27.0,-34.0,-42.0,-47.0,13.0,15.0
13091,-26.0,-42.0,-5.0,-18.0,,,,,-26.0,-26.0,,
13093,-59.0,-59.0,-25.0,-28.0,,,-28.0,-36.0,-21.0,-30.0,,
13095,-51.0,-55.0,-24.0,-29.0,-37.0,-44.0,-30.0,-51.0,-34.0,-37.0,11.0,13.0
13097,-40.0,-47.0,-26.0,-24.0,-2.0,-3.0,-28.0,-39.0,-37.0,-42.0,11.0,13.0
13099,-73.0,-57.0,-23.0,-29.0,,,,,-27.0,-32.0,,
13103,-28.0,-31.0,-7.0,-17.0,,,,,-33.0,-37.0,16.0,17.0
13105,-13.0,-23.0,3.0,-21.0,,,,,-25.0,-27.0,,
13107,-21.0,-36.0,17.0,5.0,,,,,-9.0,-29.0,,
13109,-22.0,-38.0,4.0,-22.0,,,,,-23.0,-31.0,,
13111,-45.0,-54.0,-21.0,-29.0,38.0,16.0,,,-38.0,-42.0,,
13113,-40.0,-48.0,-29.0,-32.0,25.0,20.0,,,-43.0,-51.0,13.0,17.0
13115,-36.0,-45.0,-8.0,-12.0,28.0,28.0,,,-28.0,-35.0,9.0,10.0
13117,-45.0,-54.0,-32.0,-45.0,3.0,4.0,,,-42.0,-49.0,13.0,15.0
13119,-42.0,-52.0,-15.0,-13.0,-22.0,-29.0,-22.0,-28.0,-28.0,-35.0,,
13121,-54.0,-59.0,-26.0,-29.0,-44.0,-49.0,-47.0,-53.0,-43.0,-48.0,13.0,15.0
13123,-45.0,-48.0,-31.0,-28.0,,,,,-33.0,-39.0,2.0,2.0
13127,-45.0,-55.0,-22.0,-29.0,-32.0,-39.0,-39.0,-53.0,-40.0,-45.0,10.0,13.0
13129,-30.0,-45.0,-8.0,-14.0,,,-20.0,-30.0,-33.0,-39.0,15.0,18.0
13131,-35.0,-42.0,-6.0,-13.0,,,,,-35.0,-37.0,-1.0,-1.0
13133,-17.0,-41.0,-13.0,-27.0,,,,,-36.0,-44.0,,
13135,-50.0,-54.0,-24.0,-26.0,-9.0,-8.0,-42.0,-54.0,-46.0,-50.0,15.0,16.0
13137,-35.0,-44.0,-10.0,-24.0,,,,,-27.0,-37.0,13.0,16.0
13139,-39.0,-48.0,-19.0,-26.0,51.0,59.0,-20.0,-17.0,-34.0,-40.0,10.0,12.0
13141,,,6.0,-17.0,,,,,-24.0,-28.0,,
13143,-27.0,-69.0,-6.0,26.0,-29.0,-37.0,-22.0,-36.0,-33.0,-37.0,8.0,8.0
13145,-4.0,-35.0,9.0,0.0,,0.0,,,-41.0,-50.0,13.0,13.0
13147,-18.0,-32.0,-6.0,-11.0,,,,,-17.0,-25.0,,
13149,,,2.0,-15.0,,,,,-31.0,-38.0,,
13151,-42.0,-51.0,-13.0,-21.0,22.0,-34.0,,,-41.0,-48.0,12.0,14.0
13153,-39.0,-52.0,-15.0,-29.0,-6.0,-23.0,,,-36.0,-40.0,10.0,13.0
13155,,,-2.0,-14.0,,,,,-26.0,-32.0,,
13157,-61.0,-65.0,-38.0,-39.0,,,-22.0,-16.0,-30.0,-37.0,16.0,19.0
13159,-39.0,-47.0,-2.0,-13.0,,,,,-9.0,-19.0,,
13161,-27.0,-41.0,-12.0,-18.0,,,,,-21.0,-21.0,,
13163,-28.0,-42.0,-3.0,-13.0,,,,,-13.0,-24.0,,
13165,-33.0,-42.0,2.0,-17.0,,,,,-25.0,-38.0,,
13167,,,-9.0,-13.0,,,,,-26.0,-30.0,,
13169,-25.0,-37.0,4.0,-14.0,,,,,-38.0,-39.0,8.0,8.0
13171,-34.0,-49.0,-6.0,-14.0,,,,,-36.0,-43.0,,
13173,-43.0,-62.0,-6.0,-15.0,,,,,-35.0,-39.0,,
13175,-42.0,-53.0,-15.0,-25.0,,,-27.0,-37.0,-31.0,-33.0,14.0,16.0
13177,-45.0,-52.0,-21.0,-24.0,,,,,-28.0,-35.0,11.0,11.0
13179,-32.0,-45.0,-17.0,-23.0,-17.0,-57.0,-22.0,-28.0,-27.0,-35.0,10.0,19.0
13181,,,,,,,,,-27.0,-27.0,,
13183,,,,,,,,,-30.0,-34.0,,
13185,-45.0,-52.0,-17.0,-24.0,-13.0,-42.0,-21.0,-37.0,-29.0,-33.0,8.0,10.0
13187,-35.0,-52.0,19.0,16.0,,,,,-37.0,-42.0,6.0,6.0
13189,-14.0,-32.0,4.0,-2.0,,,-21.0,-44.0,-18.0,-26.0,,
13191,-49.0,-59.0,0.0,-9.0,,,,,-39.0,-39.0,,
13193,-35.0,-59.0,-4.0,-16.0,,,,,-22.0,-29.0,,
13195,-51.0,-56.0,-17.0,-6.0,,,,,-24.0,-29.0,8.0,8.0
13197,,,12.0,-9.0,,,,,-27.0,-29.0,,
13199,-21.0,-45.0,-4.0,-7.0,,,,,-26.0,-39.0,,
13201,-58.0,-58.0,,,,,,,-30.0,-40.0,,
13205,-21.0,-34.0,-25.0,-28.0,,,,,-13.0,-27.0,,
13207,-39.0,-55.0,3.0,-3.0,11.0,-2.0,-35.0,-43.0,-32.0,-37.0,-2.0,-2.0
13209,,,-7.0,-5.0,,,,,-26.0,-28.0,,
13211,-33.0,-45.0,-14.0,-18.0,,,-27.0,-41.0,-30.0,-30.0,,
13213,-18.0,-29.0,1.0,-6.0,,,,,-25.0,-39.0,13.0,18.0
13215,-44.0,-53.0,-8.0,-14.0,19.0,-8.0,-56.0,-69.0,-29.0,-34.0,9.0,12.0
13217,-31.0,-37.0,-14.0,-9.0,-13.0,-21.0,,,-36.0,-42.0,10.0,13.0
13219,-46.0,-56.0,-7.0,-27.0,,,,,-37.0,-38.0,0.0,0.0
13221,,,0.0,-12.0,,,,,-41.0,-38.0,,
13223,-34.0,-43.0,-25.0,-30.0,-55.0,-47.0,,,-36.0,-42.0,11.0,13.0
13225,-39.0,-59.0,-16.0,-28.0,,,-24.0,-40.0,-33.0,-36.0,7.0,7.0
13227,-27.0,-38.0,-16.0,-22.0,,,,,-30.0,-32.0,9.0,9.0
13229,-48.0,-61.0,-14.0,-23.0,,,,,-26.0,-40.0,,
13231,-38.0,-54.0,3.0,-11.0,,,,,-38.0,-42.0,,
13233,-21.0,-33.0,-4.0,-3.0,,,,,-31.0,-33.0,12.0,15.0
13235,-54.0,-65.0,-12.0,-26.0,,,,,-31.0,-37.0,,
13237,-3.0,-33.0,2.0,-9.0,,,-59.0,-59.0,-28.0,-31.0,,
13241,-42.0,-52.0,-2.0,-20.0,37.0,11.0,,,-40.0,-42.0,,
13243,-64.0,-64.0,,,,,,,-32.0,-41.0,,
13245,-40.0,-50.0,-5.0,-16.0,26.0,3.0,-51.0,-54.0,-31.0,-39.0,8.0,11.0
13247,-43.0,-46.0,-11.0,-12.0,-18.0,-4.0,,,-39.0,-42.0,12.0,13.0
13249,,,,,,,,,-36.0,-38.0,,
13251,-37.0,-67.0,0.0,-21.0,,,,,-29.0,-26.0,,
13253,-7.0,-31.0,-18.0,-16.0,,,,,-22.0,-33.0,,
13255,-27.0,-39.0,-13.0,-20.0,,,,,-31.0,-41.0,8.0,16.0
13257,-24.0,-43.0,-9.0,-6.0,,,,,-27.0,-38.0,1.0,1.0
13261,-29.0,-43.0,-25.0,-35.0,,,,,-21.0,-28.0,1.0,1.0
13263,,,,,-9.0,-9.0,,,-29.0,-43.0,,
13267,-32.0,-41.0,3.0,-11.0,,,,,-23.0,-25.0,,
13269,,,4.0,-7.0,,,,,-15.0,-30.0,,
13271,-55.0,-73.0,0.0,-15.0,,,,,-28.0,-28.0,,
13273,-27.0,-67.0,-17.0,-23.0,,,,,-33.0,-33.0,,
13275,-35.0,-47.0,-9.0,-14.0,,,,,-28.0,-38.0,15.0,17.0
13277,-40.0,-50.0,-26.0,-32.0,,,-24.0,-36.0,-25.0,-33.0,14.0,15.0
13279,-31.0,-47.0,-12.0,-18.0,,,,,-23.0,-26.0,-2.0,-2.0
13281,-38.0,-55.0,-3.0,-15.0,,,,,-22.0,-39.0,,
13283,,,-4.0,-17.0,,,,,-26.0,-38.0,,
13285,-36.0,-47.0,-10.0,-15.0,,,-28.0,-38.0,-27.0,-37.0,10.0,21.0
13287,-61.0,-71.0,23.0,8.0,,,-22.0,-66.0,-23.0,-35.0,,
13289,,,,,,,,,-36.0,-36.0,,
13291,-30.0,-40.0,11.0,-8.0,22.0,-10.0,,,-36.0,-38.0,,
13293,-25.0,-40.0,-8.0,-10.0,,,,,-36.0,-33.0,-4.0,-4.0
13295,-20.0,-40.0,7.0,-9.0,-28.0,-57.0,,,-28.0,-36.0,15.0,17.0
13297,-28.0,-38.0,7.0,4.0,,,,,-35.0,-40.0,9.0,13.0
13299,-39.0,-50.0,-18.0,-20.0,,,,,-23.0,-38.0,11.0,11.0
13301,,,,,,,,,-32.0,-30.0,,
13303,-12.0,-31.0,-31.0,-34.0,,,,,-13.0,-25.0,,
13305,-30.0,-48.0,-8.0,-15.0,,,,,-33.0,-40.0,-2.0,-2.0
13311,-43.0,-61.0,-2.0,-17.0,-16.0,-42.0,,,-29.0,-37.0,9.0,9.0
13313,-34.0,-48.0,-7.0,-19.0,-45.0,4.0,-23.0,-39.0,-25.0,-43.0,9.0,15.0
13315,,,13.0,-6.0,,,,,-24.0,-32.0,,
13317,-31.0,-43.0,-14.0,-11.0,,,,,-22.0,-26.0,,
13319,,,0.0,-3.0,,,,,-24.0,-29.0,,
13321,-28.0,-43.0,-9.0,-20.0,,,,,-28.0,-32.0,,
15001,-61.0,-58.0,-47.0,-33.0,-77.0,-79.0,-84.0,-88.0,-41.0,-43.0,15.0,14.0
15003,-53.0,-52.0,-32.0,-22.0,-58.0,-61.0,-69.0,-73.0,-44.0,-45.0,16.0,16.0
15007,-69.0,-67.0,-53.0,-42.0,-74.0,-69.0,-83.0,-84.0,-48.0,-46.0,26.0,23.0
15009,-64.0,-64.0,-40.0,-32.0,-73.0,-77.0,-85.0,-88.0,-54.0,-57.0,17.0,17.0
16001,-49.0,-47.0,-23.0,-20.0,33.0,42.0,-54.0,-57.0,-43.0,-44.0,11.0,11.0
16005,-39.0,-34.0,-24.0,-21.0,-6.0,-10.0,-28.0,-29.0,-37.0,-39.0,9.0,9.0
16007,-53.0,-28.0,,-17.0,,,,,-36.0,-44.0,,
16009,-65.0,-16.0,4.0,-6.0,,,,,-35.0,-45.0,,
16011,-21.0,-22.0,-13.0,-5.0,,,,,-38.0,-33.0,14.0,15.0
16013,-83.0,-84.0,-48.0,-50.0,,,-49.0,-59.0,-62.0,-65.0,,
16015,-62.0,-57.0,,,-50.0,-12.0,,,-48.0,-50.0,,
16017,-40.0,-42.0,-34.0,-32.0,-22.0,-22.0,,,-38.0,-42.0,14.0,16.0
16019,-38.0,-38.0,-11.0,-7.0,59.0,34.0,-21.0,-28.0,-34.0,-37.0,9.0,9.0
16021,-23.0,-29.0,-9.0,-4.0,,,,,-18.0,-25.0,,
16027,-41.0,-38.0,-15.0,-8.0,35.0,42.0,-15.0,-19.0,-37.0,-39.0,9.0,9.0
16029,-50.0,-53.0,-2.0,-6.0,,,,,-27.0,-31.0,,
16031,-7.0,-7.0,-10.0,2.0,,,,,-26.0,-31.0,0.0,0.0
16035,-61.0,-54.0,0.0,-14.0,,,,,-28.0,-30.0,,
16039,-35.0,-34.0,-9.0,1.0,,,-25.0,-19.0,-29.0,-32.0,14.0,14.0
16041,-6.0,-3.0,-4.0,-10.0,,,,,-27.0,-27.0,,
16043,-36.0,-64.0,-5.0,2.0,-33.0,-33.0,,,-57.0,-51.0,,
16045,-20.0,-9.0,-25.0,1.0,,,,,-34.0,-34.0,,
16047,-42.0,-42.0,-10.0,-4.0,,,,,-21.0,-21.0,,
16049,-60.0,-74.0,-12.0,-15.0,,,,,-46.0,-31.0,,
16051,-39.0,-39.0,-10.0,-12.0,-56.0,-63.0,,,-45.0,-45.0,9.0,9.0
16053,-8.0,-5.0,-44.0,-44.0,,,-13.0,-4.0,-27.0,-19.0,6.0,6.0
16055,-42.0,-42.0,-20.0,-15.0,26.0,15.0,-18.0,-19.0,-40.0,-41.0,10.0,10.0
16057,-54.0,-51.0,-33.0,-22.0,,,,,-47.0,-50.0,20.0,20.0
16059,-26.0,-23.0,-20.0,-27.0,,,,,-28.0,-28.0,,
16063,,,,,,,,,-44.0,-44.0,,
16065,-29.0,-28.0,-19.0,-28.0,,,,,-59.0,-61.0,20.0,20.0
16067,-43.0,-41.0,10.0,27.0,,,-11.0,-17.0,-33.0,-30.0,1.0,1.0
16069,-46.0,-38.0,-14.0,-5.0,-24.0,-24.0,-55.0,-55.0,-31.0,-30.0,18.0,16.0
16071,,,,,,,,,-42.0,-39.0,,
16073,-14.0,-30.0,13.0,12.0,,,,,-20.0,-25.0,,
16075,-33.0,-42.0,-10.0,-5.0,,,,,-26.0,-29.0,5.0,5.0
16077,,-26.0,-7.0,-9.0,,,,,-34.0,-32.0,,
16079,-31.0,-28.0,4.0,-4.0,,,,,-31.0,-31.0,,
16081,-73.0,-69.0,-20.0,-19.0,,,,,-47.0,-50.0,,
16083,-43.0,-40.0,-13.0,-7.0,-6.0,7.0,,,-25.0,-30.0,8.0,8.0
16085,-86.0,-84.0,-58.0,-54.0,-57.0,-60.0,,,-60.0,-57.0,,
16087,-23.0,-17.0,-15.0,2.0,,,,,-39.0,-35.0,,
17001,-42.0,-42.0,-15.0,-15.0,,,-30.0,-20.0,-27.0,-26.0,16.0,16.0
17003,,,,,,,,,-30.0,-27.0,,
17005,-36.0,-39.0,-2.0,2.0,,,-5.0,-22.0,-21.0,-26.0,,
17007,-41.0,-36.0,-23.0,-6.0,,,-65.0,-59.0,-38.0,-35.0,21.0,20.0
17011,-43.0,-36.0,-9.0,14.0,,,,,-25.0,-23.0,3.0,3.0
17015,-60.0,-52.0,-9.0,14.0,,,,,-32.0,-38.0,,
17017,-21.0,-17.0,-10.0,10.0,,,,,-6.0,-33.0,,
17019,-54.0,-50.0,-29.0,-25.0,44.0,112.0,-48.0,-41.0,-40.0,-38.0,13.0,12.0
17021,-31.0,-36.0,-30.0,-20.0,,,,,-20.0,-25.0,9.0,9.0
17023,-28.0,-35.0,,,,,-15.0,-24.0,-32.0,-32.0,,
17025,-25.0,-33.0,,,,,,,-27.0,-27.0,,
17027,-28.0,-34.0,-4.0,-2.0,,,,,-29.0,-33.0,14.0,14.0
17029,-35.0,-40.0,-11.0,-5.0,,,,,-27.0,-28.0,18.0,16.0
17031,-58.0,-54.0,-26.0,-20.0,-45.0,0.0,-63.0,-61.0,-45.0,-45.0,15.0,14.0
17033,-24.0,-36.0,2.0,22.0,,,,,-27.0,-31.0,,
17035,-65.0,-62.0,,,,,-23.0,-27.0,-33.0,-35.0,,
17037,-52.0,-44.0,-20.0,-6.0,,,,,-37.0,-34.0,14.0,11.0
17039,-65.0,-37.0,-29.0,-23.0,,,,,-22.0,-22.0,,
17041,-53.0,-55.0,-3.0,14.0,,,,,-30.0,-38.0,,
17045,-25.0,-27.0,-20.0,10.0,,,,,-38.0,-36.0,,
17047,,,,,,,,,-39.0,-44.0,,
17049,-42.0,-47.0,-2.0,2.0,,,-26.0,-29.0,-36.0,-37.0,12.0,12.0
17051,-33.0,-31.0,-16.0,-10.0,,,,,-19.0,-16.0,,
17053,-59.0,-51.0,-18.0,-11.0,,,,,-22.0,-24.0,,
17055,-17.0,-30.0,9.0,1.0,,,-34.0,-34.0,-28.0,-31.0,14.0,13.0
17057,-37.0,-25.0,-19.0,-12.0,,,,,-26.0,-22.0,17.0,15.0
17059,,,,,,,,,,-39.0,,
17061,-46.0,-60.0,-2.0,2.0,,,,,-21.0,-26.0,,
17063,-43.0,-35.0,-24.0,-7.0,,,-22.0,-14.0,-34.0,-31.0,19.0,18.0
17065,-50.0,-44.0,,,,,,,-33.0,-40.0,,
17067,-44.0,-37.0,-16.0,17.0,,,,,-24.0,-18.0,,
17071,,,,,,,,,-23.0,-26.0,,
17073,-44.0,-38.0,-18.0,2.0,,,-35.0,-35.0,-31.0,-27.0,18.0,16.0
17075,-38.0,-31.0,-2.0,16.0,,,-39.0,-43.0,-24.0,-22.0,3.0,3.0
17077,-47.0,-55.0,-14.0,-17.0,22.0,-9.0,,,-33.0,-36.0,18.0,17.0
17079,-41.0,-54.0,,,,,,,-27.0,-34.0,,
17081,-37.0,-46.0,-21.0,-22.0,,,-10.0,-23.0,-39.0,-45.0,14.0,15.0
17083,-39.0,-47.0,10.0,-24.0,,,,,-23.0,-23.0,,
17085,-59.0,-46.0,-13.0,-2.0,,,,,-38.0,-38.0,,
17087,-22.0,-54.0,,,-20.0,-20.0,,,-35.0,-37.0,,
