,Grocery & pharmacy,Grocery & pharmacy,Grocery & pharmacy
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
6077,-16.0,-21.0,-1.0
6079,-29.0,-39.0,-19.0
6081,-26.0,-32.0,-20.0
6083,-17.0,-26.0,-12.0
6085,-33.0,-45.0,-26.0
6087,-27.0,-37.0,-16.0
6089,-15.0,-11.0,3.0
6093,-20.0,-17.0,2.0
6095,-21.0,-23.0,-4.0
6097,-22.0,-24.0,-14.0
6099,-19.0,-25.0,-4.0
6101,-18.0,-21.0,-4.0
6103,-9.0,-5.0,11.0
6105,-20.0,0.0,0.0
6107,-13.0,-12.0,-2.0
6109,-17.0,-31.0,1.0
6111,-24.0,-29.0,-18.0
6113,-23.0,-28.0,-9.0
6115,-12.0,-15.0,9.0
8001,-25.0,-15.0,-4.0
8003,-28.0,-15.0,-15.0
8005,-30.0,-25.0,-12.0
8007,-28.0,-20.0,-20.0
8011,,,
8013,-32.0,-30.0,-15.0
8015,-31.0,-34.0,-34.0
8019,-55.0,-53.0,-53.0
8021,,,
8029,-20.0,-11.0,-11.0
8031,-25.0,-20.0,-8.0
8035,-36.0,-34.0,-19.0
8037,-47.0,-42.0,-33.0
8039,-16.0,-25.0,-25.0
8041,-22.0,-17.0,-8.0
8043,-13.0,2.0,2.0
8045,-35.0,-30.0,-17.0
8047,,,
8049,-49.0,-50.0,-43.0
8051,-43.0,-38.0,-38.0
8055,-43.0,-10.0,-10.0
8059,-41.0,-34.0,-17.0
8061,,,
8063,-20.0,-20.0,-20.0
8065,-33.0,-34.0,-34.0
8067,-28.0,-15.0,-7.0
8069,-27.0,-20.0,-6.0
8071,-23.0,-27.0,-27.0
8073,-31.0,-12.0,-12.0
8075,-15.0,-13.0,-13.0
8077,-21.0,-15.0,-7.0
8081,-22.0,-24.0,-24.0
8083,-14.0,2.0,2.0
8085,-31.0,-21.0,-10.0
8087,-33.0,-27.0,-17.0
8089,-28.0,-17.0,-17.0
8091,,,
8093,-44.0,-41.0,-41.0
8095,,,
8097,-56.0,-53.0,-53.0
8099,-25.0,-4.0,-4.0
8101,-21.0,-10.0,-1.0
8103,,,
8105,-24.0,-20.0,-20.0
8107,-49.0,-52.0,-48.0
8109,,,
8113,,,
8117,-73.0,-73.0,-71.0
8119,-23.0,-19.0,-19.0
8121,,,
8123,-26.0,-17.0,-6.0
8125,-22.0,-26.0,-26.0
