,Grocery & pharmacy,Grocery & pharmacy,Grocery & pharmacy
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
20111,-27.0,-28.0,-28.0
20113,-9.0,-20.0,-20.0
20115,,,
20117,,,
20121,-16.0,-13.0,-13.0
20123,,,
20125,13.0,-7.0,-7.0
20127,,,
20131,,,
20133,15.0,-8.0,-8.0
20139,-7.0,7.0,7.0
20143,,,
20145,2.0,-21.0,-21.0
20149,-26.0,-31.0,-9.0
20151,-2.0,-13.0,-13.0
20155,-11.0,-21.0,-7.0
20159,10.0,-25.0,-25.0
20161,-34.0,-32.0,-32.0
20167,-2.0,-24.0,-24.0
20169,-16.0,-32.0,-21.0
20171,,,
20173,-16.0,-16.0,-3.0
20175,-1.0,-21.0,-21.0
20177,-16.0,-16.0,-2.0
20181,,,
20189,,,
20191,10.0,17.0,17.0
20193,,-22.0,-22.0
20195,-14.0,-27.0,-27.0
20197,,,
20201,,,
20205,2.0,-9.0,-9.0
20209,-10.0,-9.0,-8.0
21001,-16.0,6.0,6.0
21003,0.0,7.0,7.0
21005,-5.0,-3.0,-3.0
21007,,,
21009,-9.0,11.0,12.0
21011,-9.0,-11.0,-11.0
21013,-12.0,-3.0,-3.0
21015,-16.0,-20.0,-5.0
21017,-25.0,-13.0,-13.0
21019,-11.0,-8.0,1.0
21021,-15.0,-11.0,-11.0
21023,,,
21025,,,
21027,7.0,19.0,19.0
21029,-10.0,-6.0,8.0
21031,4.0,15.0,15.0
21033,10.0,-2.0,-2.0
21035,-10.0,-11.0,-11.0
21037,-4.0,-11.0,4.0
21039,,,
21041,-18.0,-10.0,-10.0
21043,-6.0,-1.0,-1.0
21045,5.0,15.0,15.0
21047,-11.0,-1.0,4.0
21049,-8.0,-4.0,-16.0
21051,-12.0,2.0,2.0
21053,,,
21055,-2.0,6.0,6.0
21059,-16.0,-6.0,0.0
21061,,,
21065,-11.0,-4.0,-4.0
21067,-12.0,-7.0,-1.0
21069,0.0,13.0,13.0
21071,-6.0,-5.0,-5.0
21073,-15.0,-7.0,-3.0
21075,-12.0,6.0,6.0
21077,58.0,58.0,58.0
21079,9.0,19.0,19.0
21081,-10.0,-7.0,-7.0
21083,-6.0,4.0,4.0
21085,8.0,24.0,24.0
21087,,,
21089,-5.0,7.0,7.0
21091,,,
21093,-16.0,-11.0,-2.0
21095,3.0,15.0,15.0
21097,-49.0,-14.0,-14.0
21099,3.0,14.0,14.0
21101,23.0,65.0,55.0
21103,1.0,23.0,23.0
21107,-18.0,-20.0,-3.0
21109,,,
21111,-10.0,-6.0,5.0
21113,-24.0,-19.0,-9.0
21115,-17.0,62.0,62.0
21117,-8.0,-9.0,3.0
21119,,,
21121,-15.0,13.0,13.0
21123,-5.0,12.0,12.0
21125,-14.0,-1.0,3.0
21127,-33.0,-28.0,-28.0
21133,-11.0,0.0,0.0
21135,-14.0,-14.0,-14.0
21137,16.0,38.0,38.0
21139,4.0,17.0,17.0
21141,-5.0,12.0,12.0
21143,,,
21145,-13.0,-9.0,-8.0
21147,5.0,15.0,15.0
21149,,,
21151,-15.0,-6.0,-3.0
21155,-4.0,3.0,3.0
21157,7.0,5.0,5.0
21161,,,
21163,4.0,8.0,8.0
21165,,,
21167,-9.0,-9.0,-9.0
21169,-16.0,-16.0,-16.0
21171,,,
21173,-3.0,10.0,10.0
21175,,,
21177,-2.0,15.0,15.0
21179,-15.0,-8.0,5.0
21181,,,
21183,8.0,29.0,29.0
21185,-6.0,19.0,19.0
21187,,,
21191,-19.0,-12.0,-12.0
21193,-12.0,-5.0,-5.0
21195,-12.0,-3.0,-22.0
21197,-4.0,-2.0,-2.0
21199,-22.0,-11.0,-9.0
21203,-21.0,-4.0,-4.0
21205,1.0,8.0,8.0
21207,10.0,23.0,23.0
21209,-23.0,-22.0,-13.0
21211,-4.0,-2.0,11.0
21213,-8.0,-2.0,-2.0
21215,6.0,6.0,6.0
21217,-5.0,28.0,28.0
21219,0.0,15.0,15.0
21221,-2.0,17.0,17.0
21223,,,
21225,-10.0,6.0,6.0
21227,-23.0,-19.0,-13.0
21229,,,
21231,-21.0,-11.0,-11.0
21233,-8.0,10.0,10.0
21235,3.0,6.0,6.0
21237,,,
21239,-17.0,-21.0,-13.0
22001,-5.0,11.0,23.0
22003,-19.0,-10.0,-10.0
22005,-21.0,-7.0,4.0
22007,-8.0,-3.0,-3.0
22009,-8.0,-1.0,5.0
22011,-10.0,-7.0,-7.0
22013,-15.0,-8.0,-8.0
22015,-19.0,-15.0,-8.0
22017,-9.0,-7.0,0.0
22019,-19.0,-16.0,-9.0
22021,,,
22023,10.0,10.0,10.0
22025,-20.0,-24.0,-24.0
22027,-18.0,-14.0,-14.0
22029,-16.0,-16.0,-16.0
22031,-16.0,-12.0,-12.0
22033,-16.0,-8.0,3.0
22037,-9.0,-3.0,-3.0
22039,-4.0,1.0,1.0
22041,-8.0,3.0,3.0
22043,-13.0,17.0,17.0
22045,-11.0,0.0,7.0
22047,-4.0,0.0,0.0
22049,-8.0,-5.0,-5.0
22051,-20.0,-12.0,-5.0
22053,-12.0,-7.0,-7.0
22055,-22.0,-16.0,-4.0
22057,-13.0,-10.0,2.0
22059,-9.0,2.0,2.0
22061,-26.0,-15.0,2.0
22063,-12.0,-3.0,9.0
22065,-8.0,6.0,6.0
22067,-8.0,-9.0,-9.0
22069,-24.0,-16.0,-16.0
22071,-35.0,-30.0,-26.0
22073,-15.0,-10.0,-1.0
22075,-21.0,-14.0,-14.0
22077,-12.0,-3.0,-3.0
22079,-15.0,-8.0,0.0
22081,,,
22083,-10.0,1.0,1.0
22085,-6.0,-15.0,-15.0
22087,1.0,19.0,23.0
22089,-13.0,-9.0,20.0
22091,-20.0,-20.0,-20.0
22093,-11.0,-4.0,-4.0
22095,-3.0,-1.0,-1.0
22097,-16.0,1.0,20.0
22099,-14.0,-4.0,14.0
22101,-11.0,-3.0,-8.0
22103,-19.0,-13.0,2.0
22105,-6.0,-4.0,5.0
22109,-12.0,-6.0,0.0
22111,6.0,13.0,13.0
22113,-3.0,7.0,12.0
22115,-21.0,-9.0,-10.0
22117,-1.0,13.0,18.0
22119,-19.0,-5.0,-9.0
22121,1.0,15.0,15.0
22123,-29.0,-2.0,-2.0
22125,-19.0,-19.0,-19.0
22127,0.0,0.0,0.0
23001,-21.0,-18.0,4.0
23003,9.0,-3.0,9.0
23005,-36.0,-35.0,-22.0
23007,-21.0,-32.0,-13.0
23009,-1.0,-9.0,-25.0
23011,-19.0,-20.0,2.0
23013,-24.0,-24.0,-24.0
23015,-15.0,-20.0,-20.0
23017,-27.0,-21.0,2.0
23019,-14.0,-20.0,-3.0
23021,-8.0,-17.0,-17.0
23023,-11.0,-8.0,-8.0
23025,-15.0,-12.0,7.0
23027,-20.0,-22.0,-28.0
23029,-8.0,-19.0,-19.0
23031,-23.0,-19.0,1.0
24001,-17.0,-22.0,-6.0
24003,-31.0,-33.0,-19.0
24005,-21.0,-17.0,0.0
24009,-33.0,-37.0,-10.0
24011,-21.0,-16.0,-8.0
24013,-35.0,-35.0,-15.0
24015,-32.0,-29.0,-17.0
24017,-18.0,-19.0,-7.0
24019,-6.0,-5.0,-5.0
24021,-30.0,-31.0,-19.0
24023,-20.0,-6.0,-6.0
24025,-30.0,-32.0,-10.0
24027,-45.0,-48.0,-35.0
24029,-14.0,-18.0,-18.0
24031,-30.0,-35.0,-28.0
24033,-26.0,-27.0,-19.0
24035,-33.0,-42.0,-24.0
24037,-19.0,-24.0,3.0
24039,-7.0,-5.0,-5.0
24041,-23.0,-25.0,-9.0
24043,-20.0,-21.0,-6.0
24045,-23.0,-24.0,-16.0
24047,-21.0,-24.0,-8.0
25001,-28.0,-26.0,-7.0
25003,-31.0,-26.0,-6.0
25005,-32.0,-23.0,0.0
25007,-41.0,-36.0,-36.0
25009,-39.0,-28.0,-15.0
25011,-40.0,-31.0,-7.0
25013,-28.0,-18.0,1.0
25015,-39.0,-30.0,-9.0
25017,-41.0,-32.0,-19.0
25019,-38.0,-35.0,-35.0
25021,-37.0,-28.0,-11.0
25023,-32.0,-22.0,-3.0
25025,-41.0,-29.0,-19.0
25027,-36.0,-29.0,-12.0
26001,,,
26003,-57.0,-45.0,-45.0
26005,-17.0,-10.0,-4.0
26007,-17.0,-10.0,-10.0
26009,-20.0,-8.0,-8.0
26011,-9.0,13.0,13.0
26013,-44.0,-44.0,-44.0
26015,-9.0,-1.0,18.0
26017,-25.0,-22.0,-11.0
26019,-7.0,-3.0,-3.0
26021,-22.0,-13.0,-2.0
26023,-36.0,-20.0,-10.0
26025,-24.0,-11.0,-8.0
26027,-15.0,3.0,3.0
26029,-20.0,-22.0,-22.0
26031,-14.0,-7.0,-7.0
26033,-3.0,21.0,21.0
26035,-17.0,-6.0,4.0
26037,-36.0,-29.0,-18.0
26039,-40.0,-34.0,-34.0
26041,-24.0,-22.0,-14.0
26043,-13.0,-13.0,-13.0
26045,-35.0,-29.0,-22.0
26047,-32.0,-25.0,-28.0
26049,-25.0,-21.0,-10.0
26051,-6.0,-2.0,-2.0
26053,-35.0,-33.0,-33.0
26055,-30.0,-30.0,-26.0
26057,-31.0,-16.0,-7.0
26059,-22.0,-16.0,-15.0
26061,-27.0,-18.0,-18.0
26063,-5.0,-5.0,-5.0
26065,-31.0,-27.0,-22.0
26067,-24.0,-16.0,1.0
26069,-5.0,28.0,28.0
26071,-14.0,-9.0,-9.0
26073,-36.0,-32.0,-25.0
26075,-23.0,-19.0,-9.0
26077,-34.0,-28.0,-20.0
26079,-11.0,-5.0,-5.0
26081,-31.0,-25.0,-20.0
26085,5.0,10.0,10.0
26087,-30.0,-28.0,-18.0
26089,-12.0,-33.0,-33.0
26091,-23.0,-18.0,-11.0
26093,-29.0,-22.0,-13.0
26095,,,
26097,-39.0,-37.0,-37.0
26099,-30.0,-27.0,-14.0
26101,-17.0,-12.0,-12.0
26103,-39.0,-31.0,-16.0
26105,-24.0,-7.0,-11.0
26107,-18.0,-10.0,1.0
26109,-35.0,-18.0,-18.0
26111,-27.0,-26.0,-9.0
26113,,,
26115,-30.0,-25.0,-9.0
26117,-17.0,-8.0,8.0
26119,-14.0,-12.0,-12.0
26121,-22.0,-14.0,-8.0
26123,-13.0,17.0,18.0
26125,-35.0,-33.0,-22.0
26127,-5.0,17.0,17.0
26129,-14.0,0.0,0.0
26131,,,
26133,-5.0,10.0,10.0
26135,-12.0,-14.0,-14.0
26137,-36.0,-38.0,-37.0
26139,-32.0,-27.0,-20.0
26141,-19.0,-4.0,-4.0
26143,-9.0,30.0,30.0
26145,-24.0,-21.0,-16.0
26147,-30.0,-30.0,-15.0
26149,-31.0,-23.0,-19.0
26151,-8.0,-13.0,-13.0
26153,-37.0,-32.0,-32.0
26155,-25.0,-14.0,-5.0
26157,-19.0,-14.0,-18.0
26159,-24.0,-14.0,4.0
26161,-48.0,-48.0,-38.0
26163,-25.0,-22.0,-11.0
26165,-21.0,-11.0,-7.0
27001,-46.0,-35.0,-35.0
27003,-34.0,-12.0,2.0
27005,-21.0,62.0,62.0
27007,-29.0,-13.0,3.0
27009,-33.0,-5.0,5.0
27011,,,
27013,-38.0,-25.0,-10.0
27015,-39.0,-21.0,-21.0
27017,-45.0,-30.0,-14.0
27019,-39.0,-22.0,1.0
27021,-22.0,-4.0,-4.0
27023,,,
27025,-41.0,-15.0,3.0
27027,-25.0,-22.0,0.0
27029,-34.0,-28.0,-28.0
27031,-47.0,-58.0,-58.0
27033,,,
27035,-31.0,-17.0,0.0
27037,-37.0,-21.0,-4.0
27039,-35.0,-17.0,-17.0
27041,-38.0,-20.0,-20.0
27043,-31.0,-10.0,-10.0
27045,-25.0,-7.0,-7.0
27047,-29.0,4.0,-4.0
27049,-38.0,-4.0,13.0
27051,,,
27053,-37.0,-22.0,-6.0
27055,-30.0,-11.0,-11.0
27057,-32.0,-4.0,-4.0
27059,-40.0,-12.0,14.0
27061,-29.0,-21.0,-4.0
27063,,,
27065,-39.0,-12.0,-12.0
27067,-25.0,-13.0,-7.0
27071,-32.0,-18.0,-18.0
27073,,,
27075,-48.0,-16.0,-16.0
27077,,,
27079,-22.0,-4.0,-4.0
27081,,,
27083,-33.0,-12.0,-12.0
27085,-31.0,-14.0,-14.0
27087,,,
27089,,,
27091,-27.0,-16.0,-16.0
27093,-49.0,-17.0,-17.0
27095,-30.0,4.0,4.0
27097,-37.0,-17.0,-17.0
27099,-37.0,-7.0,5.0
27101,,,
27103,-43.0,-27.0,-10.0
27105,-20.0,-3.0,-3.0
27107,,,
27109,-35.0,-12.0,-1.0
27111,-15.0,3.0,0.0
27113,-21.0,-23.0,-23.0
27115,-58.0,-11.0,9.0
27117,-20.0,-20.0,-20.0
27119,-28.0,-19.0,-19.0
27121,,,
27123,-34.0,-17.0,-3.0
27125,,,
27127,-2.0,-16.0,-16.0
27129,,,
27131,-28.0,-7.0,14.0
27133,,,
27135,-26.0,-23.0,-23.0
27137,-41.0,-17.0,-8.0
27139,-41.0,-24.0,-6.0
27141,-37.0,-17.0,8.0
27143,,,
27145,-37.0,-21.0,-2.0
27147,-27.0,-13.0,22.0
27149,-26.0,-4.0,-4.0
27151,-27.0,-15.0,-15.0
27153,-20.0,-7.0,-7.0
27157,-25.0,13.0,13.0
27159,-27.0,-8.0,-8.0
27161,-45.0,-9.0,-9.0
27163,-39.0,-21.0,-7.0
27165,,,
27167,,,
27169,-35.0,-8.0,-4.0
27171,-37.0,-20.0,7.0
27173,,,
28001,-10.0,-26.0,-14.0
28003,-9.0,-13.0,-13.0
28005,-13.0,-31.0,-31.0
28007,11.0,-11.0,-11.0
28009,,,
28011,1.0,-16.0,-16.0
28013,2.0,-30.0,-30.0
28015,,,
28017,-16.0,-25.0,-25.0
28021,,,
28023,-10.0,-10.0,-10.0
28025,8.0,-3.0,-3.0
28027,18.0,-8.0,-8.0
28029,-2.0,-8.0,-8.0
28031,-7.0,-28.0,-28.0
28035,-8.0,-11.0,5.0
28039,9.0,25.0,25.0
28041,-10.0,-6.0,-6.0
28043,10.0,-14.0,-14.0
28045,-7.0,-10.0,5.0
28047,-13.0,-21.0,-5.0
28049,0.0,-8.0,8.0
28051,13.0,-6.0,-6.0
28053,-9.0,9.0,9.0
28057,14.0,-8.0,-8.0
28059,-9.0,-18.0,-5.0
28061,-3.0,-8.0,-8.0
28063,,,
28065,6.0,16.0,16.0
28067,1.0,-15.0,8.0
28069,,,
28071,-21.0,-28.0,-28.0
28073,-11.0,-14.0,-9.0
28075,-14.0,-13.0,-6.0
28077,4.0,-18.0,-18.0
28079,-23.0,-35.0,-35.0
28081,-12.0,-20.0,-8.0
28083,6.0,-7.0,-7.0
28085,-13.0,-18.0,-18.0
28087,8.0,13.0,29.0
28089,-11.0,-24.0,-8.0
28091,-7.0,-12.0,-12.0
28093,4.0,-4.0,-4.0
28095,-7.0,25.0,25.0
28097,-23.0,-29.0,-29.0
28099,-7.0,-20.0,-20.0
28101,-7.0,-13.0,-13.0
28103,10.0,2.0,2.0
28105,-20.0,-28.0,-22.0
28107,7.0,-11.0,4.0
28109,0.0,-1.0,3.0
28111,-4.0,-21.0,-21.0
28113,-9.0,-11.0,-2.0
28115,-3.0,-21.0,-10.0
28117,-3.0,-3.0,-3.0
28119,,,
28121,-12.0,-20.0,-3.0
28123,-1.0,-4.0,-4.0
28127,-3.0,-9.0,-9.0
28129,7.0,-35.0,-35.0
28131,-22.0,-26.0,-26.0
28133,25.0,-1.0,-1.0
28135,-6.0,13.0,13.0
28137,-1.0,-2.0,-2.0
28139,-17.0,-14.0,-14.0
28141,8.0,0.0,0.0
28143,16.0,-12.0,-12.0
28145,-8.0,-16.0,-16.0
28147,2.0,-11.0,-11.0
28149,-11.0,-13.0,-2.0
28151,5.0,-9.0,9.0
28153,11.0,-14.0,-14.0
28155,-9.0,-18.0,-18.0
28157,-8.0,-22.0,-22.0
28159,-6.0,-2.0,-2.0
28161,-2.0,-8.0,-8.0
28163,11.0,-8.0,-8.0
29001,55.0,57.0,57.0
29003,5.0,12.0,12.0
29007,-9.0,2.0,2.0
29009,19.0,14.0,10.0
29011,,,
29013,15.0,30.0,30.0
29015,128.0,136.0,136.0
29017,-18.0,-9.0,-9.0
29019,-18.0,6.0,11.0
29021,2.0,10.0,21.0
29023,-5.0,1.0,-3.0
29025,,,
29027,-1.0,6.0,6.0
29029,16.0,13.0,2.0
29031,-20.0,-11.0,-17.0
29033,,,
29037,-17.0,-12.0,1.0
29039,-5.0,-12.0,-12.0
29041,,,
29043,-10.0,-6.0,2.0
29045,-10.0,-8.0,-8.0
29047,-17.0,-3.0,7.0
29049,-8.0,-10.0,-10.0
29051,-23.0,-3.0,1.0
29053,-19.0,-2.0,-2.0
29055,-7.0,1.0,1.0
29057,,,
29059,8.0,17.0,17.0
29061,,,
29063,3.0,3.0,3.0
29065,,,
29067,-14.0,-21.0,-21.0
29069,10.0,21.0,21.0
29071,2.0,4.0,16.0
29073,,,
29075,,,
29077,-30.0,-21.0,-22.0
29079,-7.0,2.0,2.0
29081,-20.0,-20.0,-20.0
29083,2.0,11.0,11.0
29085,,,
29089,,,
29091,-16.0,3.0,-5.0
29093,4.0,10.0,10.0
29095,-14.0,-11.0,-3.0
29097,-10.0,0.0,-1.0
29099,-16.0,-11.0,5.0
29101,-5.0,-12.0,10.0
29105,-2.0,1.0,-3.0
29107,-8.0,-3.0,-3.0
29109,-2.0,18.0,18.0
29111,,,
29113,-14.0,2.0,14.0
29115,-7.0,-4.0,-4.0
29117,-6.0,11.0,11.0
29119,9.0,1.0,1.0
29121,-19.0,6.0,6.0
29123,,,
29125,,,
29127,1.0,-1.0,-2.0
29131,3.0,13.0,13.0
29133,,,
29135,14.0,23.0,23.0
29137,,,
29139,-8.0,2.0,2.0
29141,23.0,21.0,21.0
29143,-4.0,7.0,7.0
29145,-7.0,-3.0,-7.0
29147,-10.0,-17.0,-17.0
29149,4.0,2.0,2.0
29151,-6.0,-7.0,-7.0
29153,,,
29155,5.0,22.0,22.0
29157,-13.0,-16.0,-16.0
29159,7.0,22.0,-1.0
29161,-17.0,-8.0,-8.0
29163,-2.0,-11.0,-11.0
29165,15.0,18.0,26.0
29167,-13.0,4.0,-2.0
29169,-9.0,-14.0,-6.0
29171,,,
29173,,,
29175,-17.0,-8.0,-8.0
29177,1.0,5.0,5.0
29181,-2.0,-2.0,-2.0
29183,-13.0,-10.0,6.0
29185,-4.0,8.0,8.0
29186,,,
29187,3.0,-6.0,4.0
29189,-21.0,-17.0,-5.0
29195,0.0,1.0,1.0
29197,,,
29201,0.0,-4.0,6.0
29203,,,
29205,,,
29207,-5.0,-2.0,-2.0
29209,19.0,14.0,14.0
29211,,,
29213,-7.0,-2.0,-4.0
29215,13.0,97.0,97.0
29217,13.0,6.0,6.0
29219,-5.0,6.0,6.0
29221,-9.0,20.0,20.0
29223,6.0,9.0,9.0
29225,-13.0,4.0,4.0
29229,2.0,23.0,23.0
30001,-11.0,-20.0,-20.0
30003,-7.0,-7.0,-7.0
30005,,,
30007,-3.0,-5.0,-5.0
30009,-30.0,-21.0,-21.0
30013,-26.0,-14.0,-26.0
30017,,,
30021,-7.0,-2.0,-2.0
30023,-26.0,-12.0,-12.0
30027,-31.0,-22.0,-22.0
30029,-29.0,-27.0,-12.0
30031,-39.0,-34.0,-27.0
30035,-28.0,-17.0,-17.0
30041,-4.0,4.0,4.0
30043,,,
30047,-22.0,-9.0,-9.0
30049,-34.0,-21.0,-22.0
30053,-29.0,-18.0,-18.0
30057,,,
30061,-54.0,-61.0,-61.0
30063,-30.0,-18.0,-19.0
30067,-29.0,-16.0,-16.0
30073,,,
30077,,,
30081,-20.0,-8.0,6.0
30083,-22.0,-15.0,-15.0
30085,-20.0,-20.0,-20.0
30087,,,
30089,-27.0,-24.0,-24.0
30093,-15.0,3.0,3.0
30095,,,
30099,,,
30105,,,
30111,-21.0,-8.0,-7.0
31001,-14.0,-9.0,-9.0
31003,,,
31013,-7.0,-2.0,-2.0
31019,-16.0,-17.0,-8.0
31021,,,
31023,,,
31025,,,
31027,,,
31031,,,
31033,-20.0,-20.0,-20.0
31035,,,
31037,-10.0,-8.0,-8.0
31039,,,
31041,-14.0,-11.0,-11.0
31043,7.0,49.0,49.0
31045,,,
31047,3.0,0.0,0.0
31049,,,
31051,,,
31053,-5.0,3.0,3.0
31055,-7.0,-5.0,6.0
31059,,,
31067,6.0,9.0,9.0
31079,-20.0,-27.0,-20.0
31081,,,
31089,6.0,-4.0,-4.0
31093,,,
31095,,,
31097,,,
31099,,,
31101,-20.0,-22.0,-22.0
31105,,,
31107,,,
31109,-19.0,-18.0,-5.0
31111,-4.0,3.0,3.0
31119,-7.0,-18.0,3.0
31121,,,
31123,,,
31127,,,
31131,3.0,51.0,51.0
31137,-8.0,16.0,16.0
31139,,,
31141,-2.0,0.0,0.0
31143,,,
31145,,,
31147,-2.0,-2.0,-2.0
31151,-10.0,14.0,14.0
31153,-15.0,-11.0,0.0
31155,18.0,20.0,20.0
31157,-3.0,-1.0,-1.0
31159,,,
31167,,,
31169,,,
31173,,,
31177,-9.0,-9.0,-9.0
31179,,,
31185,,,
32001,-11.0,-15.0,-15.0
32003,-26.0,-24.0,-15.0
32005,-35.0,-42.0,-42.0
32007,10.0,0.0,20.0
32013,-1.0,2.0,2.0
32015,-12.0,-14.0,-14.0
32019,-5.0,-5.0,16.0
32021,,,
32023,-15.0,-19.0,-14.0
32027,,,
32029,,,
32031,-21.0,-23.0,-11.0
32033,-4.0,-13.0,-13.0
32510,-13.0,-17.0,-2.0
33001,-28.0,-11.0,0.0
33003,-30.0,-6.0,-18.0
33005,-36.0,-20.0,-6.0
33007,-21.0,9.0,9.0
33009,-37.0,-23.0,-18.0
33011,-37.0,-28.0,-9.0
33013,-31.0,-22.0,-6.0
33015,-36.0,-32.0,-4.0
33017,-38.0,-27.0,-6.0
33019,-22.0,-9.0,-9.0
34001,-30.0,2.0,6.0
34003,-37.0,-15.0,-5.0
34005,-39.0,4.0,17.0
34007,-30.0,-1.0,6.0
34009,-27.0,3.0,7.0
34011,-19.0,-1.0,-2.0
34013,-27.0,-20.0,-13.0
34015,-30.0,-10.0,-5.0
34017,-38.0,-18.0,-16.0
34019,-35.0,-3.0,14.0
34021,-25.0,31.0,30.0
34023,-41.0,-7.0,-1.0
34025,-34.0,5.0,13.0
34027,-39.0,-16.0,9.0
34029,-31.0,-3.0,9.0
34031,-34.0,-23.0,-14.0
34033,-21.0,0.0,-16.0
34035,-36.0,-1.0,10.0
34037,-27.0,-24.0,-1.0
34039,-32.0,-19.0,-12.0
34041,-37.0,2.0,-8.0
35001,-22.0,-17.0,-12.0
35005,-26.0,-20.0,-11.0
35006,-7.0,8.0,8.0
35007,-29.0,-29.0,-29.0
35009,-17.0,-5.0,-4.0
35015,-20.0,-14.0,-9.0
35017,-9.0,4.0,4.0
35019,-30.0,-9.0,-9.0
35023,,,
35025,-9.0,-8.0,-5.0
35027,-41.0,-43.0,-33.0
35028,-33.0,-34.0,-34.0
35029,-16.0,-20.0,-20.0
35031,1.0,7.0,-48.0
35035,-25.0,-19.0,-12.0
35037,-4.0,1.0,1.0
35039,-20.0,-15.0,-15.0
35041,-23.0,-17.0,-17.0
35043,-13.0,-4.0,-4.0
35045,-15.0,-4.0,-16.0
35047,-22.0,-6.0,-6.0
35049,-23.0,-19.0,-15.0
35051,-4.0,4.0,4.0
35053,-8.0,-7.0,-7.0
35055,-29.0,-25.0,-14.0
35057,-7.0,9.0,9.0
35059,,,
35061,-8.0,27.0,39.0
36001,-30.0,-23.0,37.0
36003,-15.0,-2.0,-15.0
36005,-30.0,-22.0,-12.0
36007,-27.0,-23.0,5.0
36009,-15.0,-5.0,19.0
36011,-15.0,-12.0,10.0
36013,-8.0,3.0,12.0
36015,-14.0,-3.0,37.0
36017,-12.0,-10.0,9.0
36019,-18.0,-7.0,39.0
36021,-40.0,-10.0,20.0
36023,-9.0,-1.0,6.0
36025,-23.0,-13.0,0.0
36027,-28.0,-28.0,51.0
36029,-23.0,-20.0,12.0
36031,-35.0,-29.0,-29.0
36033,-18.0,-13.0,-11.0
36035,-25.0,-12.0,-12.0
36037,-22.0,-16.0,1.0
36039,-30.0,-8.0,5.0
36043,-19.0,-8.0,9.0
36045,-24.0,-13.0,21.0
36047,-33.0,-30.0,-19.0
36049,-17.0,-9.0,-9.0
36051,-7.0,-8.0,36.0
36053,-18.0,-15.0,4.0
36055,-27.0,-23.0,12.0
36057,-20.0,-11.0,-11.0
36059,-34.0,-32.0,-3.0
36061,-51.0,-47.0,-42.0
36063,-15.0,-9.0,35.0
36065,-25.0,-14.0,34.0
36067,-29.0,-27.0,0.0
36069,-21.0,-18.0,1.0
36071,-38.0,-31.0,6.0
36073,-7.0,8.0,8.0
36075,-14.0,-6.0,20.0
36077,-29.0,-10.0,7.0
36079,-31.0,-20.0,-20.0
36081,-37.0,-38.0,-22.0
36083,-23.0,-17.0,32.0
36085,-31.0,-28.0,6.0
36087,-35.0,-24.0,-8.0
36089,-22.0,-16.0,22.0
36091,-29.0,-21.0,25.0
36093,-24.0,-17.0,27.0
36095,-22.0,-4.0,-4.0
36097,-4.0,4.0,4.0
36099,31.0,2.0,2.0
36101,-23.0,-21.0,8.0
36103,-31.0,-30.0,9.0
36105,-8.0,9.0,9.0
36107,-15.0,-8.0,-2.0
36109,-34.0,-29.0,37.0
36111,-30.0,-23.0,8.0
36113,-21.0,-12.0,7.0
36115,-19.0,-11.0,20.0
36117,-8.0,-3.0,64.0
36119,-37.0,-34.0,0.0
36121,-4.0,-8.0,-8.0
36123,-13.0,-2.0,-2.0
37001,-7.0,-6.0,4.0
37003,10.0,13.0,13.0
37005,-11.0,-5.0,-5.0
37007,2.0,-1.0,-1.0
37009,1.0,-14.0,-14.0
37011,-18.0,-20.0,-20.0
37013,-7.0,-5.0,1.0
37015,-3.0,3.0,3.0
37017,5.0,-4.0,6.0
37019,-11.0,-17.0,-3.0
37021,-30.0,-27.0,-18.0
37023,-3.0,-13.0,3.0
37025,-26.0,-20.0,-8.0
37027,-8.0,-10.0,5.0
37029,,,
37031,-13.0,-16.0,-3.0
37033,38.0,4.0,4.0
37035,-8.0,-19.0,-7.0
37037,-20.0,-13.0,-11.0
37039,-14.0,-12.0,-12.0
37041,-1.0,10.0,10.0
37043,-14.0,-12.0,-12.0
37045,-5.0,-4.0,9.0
37047,3.0,-1.0,10.0
37049,-2.0,-10.0,-3.0
37051,-11.0,-16.0,-7.0
37053,-7.0,-9.0,-9.0
37055,-27.0,-28.0,-18.0
37057,-12.0,-9.0,6.0
37059,-9.0,-12.0,3.0
37061,-3.0,-4.0,7.0
37063,-28.0,-21.0,-18.0
37065,12.0,6.0,17.0
37067,-28.0,-21.0,-8.0
37069,-8.0,-9.0,10.0
37071,-26.0,-20.0,-9.0
37073,,,
37075,,,
37077,-14.0,-15.0,-7.0
37079,-6.0,2.0,2.0
37081,-29.0,-21.0,-11.0
37083,-8.0,-11.0,1.0
37085,-3.0,-6.0,6.0
37087,-21.0,-22.0,-1.0
37089,-26.0,-21.0,-3.0
37091,9.0,47.0,47.0
37093,3.0,1.0,8.0
37097,-7.0,-14.0,1.0
37099,-25.0,-26.0,-9.0
37101,-14.0,-13.0,-4.0
37103,-8.0,-6.0,-6.0
37105,1.0,-4.0,1.0
37107,-4.0,1.0,12.0
37109,-2.0,-5.0,16.0
37111,-2.0,-7.0,5.0
37113,-8.0,-9.0,-9.0
37115,-20.0,-12.0,-12.0
37117,0.0,7.0,-4.0
37119,-23.0,-17.0,-9.0
37121,-10.0,-10.0,-10.0
37123,24.0,4.0,4.0
37125,-11.0,-18.0,-2.0
37127,-1.0,-3.0,3.0
37129,-17.0,-21.0,-14.0
37131,22.0,21.0,21.0
