,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit,FIPS
2312,0.0,0.0,0,0,0,0,0,13047
2326,0.0,0.0,0,0,0,0,0,13049
184,3.3,2.0,36749,471,3,16,2,13051
1063,0.0,0.0,0,0,0,0,0,13053
2329,0.0,0.0,0,0,0,0,0,13055
847,0.3,0.1,6360,16,0,1,0,13057
141,3.7,2.5,34713,1432,8,14,4,13059
2382,0.0,0.0,0,0,0,0,0,13061
163,3.4,1.9,60814,556,2,18,2,13063
2402,0.0,0.0,0,0,0,0,0,13065
398,1.8,0.7,38884,298,1,8,1,13067
2415,0.0,0.0,0,0,0,0,0,13069
2425,0.0,0.0,0,0,0,0,1,13071
988,0.1,0.0,324,3,0,0,0,13073
2441,0.0,0.0,0,0,0,0,0,13075
1038,0.0,0.0,788,5,0,0,0,13077
2460,0.0,0.0,0,0,0,0,0,13079
2470,0.0,0.0,0,0,0,0,0,13081
2493,0.0,0.0,0,0,0,0,0,13083
2508,0.0,0.0,0,0,0,0,0,13085
2516,0.0,0.0,0,0,0,0,0,13087
45,5.7,5.0,109867,1416,4,29,8,13089
2554,0.0,0.0,0,0,0,0,0,13091
2558,0.0,0.0,0,0,0,0,0,13093
325,2.2,1.2,19415,191,3,11,2,13095
738,0.4,0.1,32237,67,1,2,0,13097
2573,0.0,0.0,0,0,0,0,0,13099
2577,0.0,0.0,0,0,0,0,0,13101
2586,0.0,0.0,0,0,0,0,0,13103
2588,0.0,0.0,0,0,0,0,0,13105
2598,0.0,0.0,0,0,0,0,1,13107
2610,0.0,0.0,0,0,0,0,0,13109
2614,0.0,0.0,0,0,0,0,0,13111
962,0.1,0.0,2855,29,0,1,0,13113
2633,0.0,0.0,0,0,0,0,0,13115
982,0.1,0.0,1090,7,0,0,0,13117
2648,0.0,0.0,0,0,0,0,0,13119
48,5.6,6.4,171216,2329,8,26,8,13121
2707,0.0,0.0,0,0,0,0,0,13123
2711,0.0,0.0,0,0,0,0,0,13125
2715,0.0,0.0,0,0,0,0,0,13127
2723,0.0,0.0,0,0,0,0,0,13129
2727,0.0,0.0,0,0,0,0,0,13131
2758,0.0,0.0,0,0,0,0,0,13133
502,1.3,0.5,33970,160,1,7,1,13135
2784,0.0,0.0,0,0,0,0,0,13137
637,0.8,0.4,10155,49,1,3,0,13139
2801,0.0,0.0,0,0,0,0,1,13141
2814,0.0,0.0,0,0,0,0,0,13143
2832,0.0,0.0,0,0,0,0,0,13145
2838,0.0,0.0,0,0,0,0,0,13147
2847,0.0,0.0,0,0,0,0,0,13149
878,0.2,0.0,17286,27,0,1,1,13151
1064,0.0,0.0,75,1,0,0,0,13153
2924,0.0,0.0,0,0,0,0,0,13155
2936,0.0,0.0,0,0,0,0,0,13157
2951,0.0,0.0,0,0,0,0,0,13159
2958,0.0,0.0,0,0,0,0,0,13161
2962,0.0,0.0,0,0,0,0,0,13163
2977,0.0,0.0,0,0,0,0,0,13165
2986,0.0,0.0,0,0,0,0,0,13167
827,0.3,0.1,9284,31,1,5,0,13169
3068,0.0,0.0,0,0,0,0,0,13171
3078,0.0,0.0,0,0,0,0,0,13173
3088,0.0,0.0,0,0,0,0,0,13175
1028,0.0,0.0,629,4,0,0,0,13177
3126,0.0,0.0,0,0,0,0,0,13179
3132,0.0,0.0,0,0,0,0,0,13181
1129,0.0,0.0,0,0,0,0,0,13183
1138,0.0,0.0,0,0,0,0,0,13185
1142,0.0,0.0,0,0,0,0,0,13187
1225,0.0,0.0,0,0,0,0,0,13189
1227,0.0,0.0,0,0,0,0,0,13191
1153,0.0,0.0,0,0,0,0,0,13193
1158,0.0,0.0,0,0,0,0,0,13195
1181,0.0,0.0,0,0,0,0,1,13197
1262,0.0,0.0,0,0,0,0,0,13199
1271,0.0,0.0,0,0,0,0,1,13201
1283,0.0,0.0,0,0,0,0,0,13205
953,0.1,0.0,684,13,0,0,0,13207
1303,0.0,0.0,0,0,0,0,0,13209
1319,0.0,0.0,0,0,0,0,0,13211
1336,0.0,0.0,0,0,0,0,0,13213
336,2.2,1.2,28692,160,2,14,1,13215
1357,0.0,0.0,0,0,0,0,0,13217
975,0.1,0.0,766,21,0,1,0,13219
1393,0.0,0.0,0,0,0,0,0,13221
1000,0.1,0.0,545,13,0,0,0,13223
1449,0.0,0.0,0,0,0,0,1,13225
1479,0.0,0.0,0,0,0,0,0,13227
1481,0.0,0.0,0,0,0,0,0,13229
1485,0.0,0.0,0,0,0,0,0,13231
1505,0.0,0.0,0,0,0,0,0,13233
1540,0.0,0.0,0,0,0,0,0,13235
1545,0.0,0.0,0,0,0,0,0,13237
1552,0.0,0.0,0,0,0,0,0,13239
1553,0.0,0.0,0,0,0,0,0,13241
1558,0.0,0.0,0,0,0,0,0,13243
394,1.9,1.0,18191,162,1,6,1,13245
903,0.2,0.0,11078,23,1,1,1,13247
1654,0.0,0.0,0,0,0,0,0,13249
1671,0.0,0.0,0,0,0,0,0,13251
1675,0.0,0.0,0,0,0,0,0,13253
1726,0.0,0.0,0,0,0,0,0,13255
875,0.2,0.1,0,2,0,0,0,13257
1749,0.0,0.0,0,0,0,0,0,13259
1774,0.0,0.0,0,0,0,0,0,13261
1786,0.0,0.0,0,0,0,0,0,13263
1787,0.0,0.0,0,0,0,0,0,13265
1794,0.0,0.0,0,0,0,0,0,13267
1796,0.0,0.0,0,0,0,0,0,13269
1802,0.0,0.0,0,0,0,0,0,13271
1805,0.0,0.0,0,0,0,0,0,13273
1813,0.0,0.0,0,0,0,0,0,13275
1818,0.0,0.0,0,0,0,0,0,13277
1827,0.0,0.0,0,0,0,0,0,13279
1829,0.0,0.0,0,0,0,0,0,13281
1836,0.0,0.0,0,0,0,0,0,13283
1841,0.0,0.0,0,0,0,0,0,13285
1845,0.0,0.0,0,0,0,0,0,13287
1849,0.0,0.0,0,0,0,0,1,13289
1859,0.0,0.0,0,0,0,0,0,13291
1872,0.0,0.0,0,0,0,0,0,13293
956,0.1,0.0,1372,17,0,0,0,13295
1904,0.0,0.0,0,0,0,0,0,13297
1908,0.0,0.0,0,0,0,0,1,13299
1909,0.0,0.0,0,0,0,0,0,13301
1922,0.0,0.0,0,0,0,0,0,13303
869,0.2,0.1,0,2,0,0,0,13305
1953,0.0,0.0,0,0,0,0,0,13307
1970,0.0,0.0,0,0,0,0,0,13309
1974,0.0,0.0,0,0,0,0,0,13311
1979,0.0,0.0,0,0,0,0,0,13313
1985,0.0,0.0,0,0,0,0,0,13315
1986,0.0,0.0,0,0,0,0,0,13317
1989,0.0,0.0,0,0,0,0,0,13319
2012,0.0,0.0,0,0,0,0,0,13321
577,1.0,0.4,2819,119,2,2,1,15001
34,6.4,5.9,146342,2575,11,26,8,15003
3000,0.0,0.0,0,0,0,0,0,15005
3006,0.0,0.0,0,0,0,0,0,15007
346,2.1,1.1,5950,230,2,3,2,15009
326,2.2,1.2,46228,280,3,10,0,16001
2045,0.0,0.0,0,0,0,0,0,16003
245,2.7,1.5,19134,347,4,11,1,16005
2139,0.0,0.0,0,0,0,0,0,16007
863,0.2,0.0,223,37,0,1,0,16009
965,0.1,0.0,231,2,0,0,2,16011
407,1.8,0.8,7978,341,4,9,1,16013
2181,0.0,0.0,0,0,0,0,0,16015
910,0.2,0.1,0,2,0,0,0,16017
429,1.7,0.8,13047,175,2,4,3,16019
2193,0.0,0.0,0,0,0,0,0,16021
2245,0.0,0.0,0,0,0,0,1,16023
2264,0.0,0.0,0,0,0,0,0,16025
521,1.2,0.5,13859,124,2,4,0,16027
2280,0.0,0.0,0,0,0,0,0,16029
2308,0.0,0.0,0,0,0,0,0,16031
2371,0.0,0.0,0,0,0,0,0,16033
2396,0.0,0.0,0,0,0,0,0,16035
2488,0.0,0.0,0,0,0,0,1,16037
2597,0.0,0.0,0,0,0,0,0,16039
819,0.3,0.1,1697,12,0,1,0,16041
2666,0.0,0.0,0,0,0,0,1,16043
2694,0.0,0.0,0,0,0,0,0,16045
2722,0.0,0.0,0,0,0,0,0,16047
2913,0.0,0.0,0,0,0,0,0,16049
