,fips,03/01/20_M_idx,03/01/20_M_m50,03/01/20_M_samples,03/02/20_M_idx,03/02/20_M_m50,03/02/20_M_samples,03/03/20_M_idx,03/03/20_M_m50,03/03/20_M_samples,03/04/20_M_idx,03/04/20_M_m50,03/04/20_M_samples,03/05/20_M_idx,03/05/20_M_m50,03/05/20_M_samples,03/06/20_M_idx,03/06/20_M_m50,03/06/20_M_samples,03/07/20_M_idx,03/07/20_M_m50,03/07/20_M_samples,03/08/20_M_idx,03/08/20_M_m50,03/08/20_M_samples,03/09/20_M_idx,03/09/20_M_m50,03/09/20_M_samples,03/10/20_M_idx,03/10/20_M_m50,03/10/20_M_samples,03/11/20_M_idx,03/11/20_M_m50,03/11/20_M_samples,03/12/20_M_idx,03/12/20_M_m50,03/12/20_M_samples,03/13/20_M_idx,03/13/20_M_m50,03/13/20_M_samples,03/14/20_M_idx,03/14/20_M_m50,03/14/20_M_samples,03/15/20_M_idx,03/15/20_M_m50,03/15/20_M_samples,03/16/20_M_idx,03/16/20_M_m50,03/16/20_M_samples,03/17/20_M_idx,03/17/20_M_m50,03/17/20_M_samples,03/18/20_M_idx,03/18/20_M_m50,03/18/20_M_samples,03/19/20_M_idx,03/19/20_M_m50,03/19/20_M_samples,03/20/20_M_idx,03/20/20_M_m50,03/20/20_M_samples,03/21/20_M_idx,03/21/20_M_m50,03/21/20_M_samples,03/22/20_M_idx,03/22/20_M_m50,03/22/20_M_samples,03/23/20_M_idx,03/23/20_M_m50,03/23/20_M_samples,03/24/20_M_idx,03/24/20_M_m50,03/24/20_M_samples,03/25/20_M_idx,03/25/20_M_m50,03/25/20_M_samples,03/26/20_M_idx,03/26/20_M_m50,03/26/20_M_samples,03/27/20_M_idx,03/27/20_M_m50,03/27/20_M_samples,03/28/20_M_idx,03/28/20_M_m50,03/28/20_M_samples,03/29/20_M_idx,03/29/20_M_m50,03/29/20_M_samples,03/30/20_M_idx,03/30/20_M_m50,03/30/20_M_samples,03/31/20_M_idx,03/31/20_M_m50,03/31/20_M_samples,04/01/20_M_idx,04/01/20_M_m50,04/01/20_M_samples,04/02/20_M_idx,04/02/20_M_m50,04/02/20_M_samples,04/03/20_M_idx,04/03/20_M_m50,04/03/20_M_samples,04/04/20_M_idx,04/04/20_M_m50,04/04/20_M_samples,04/05/20_M_idx,04/05/20_M_m50,04/05/20_M_samples
28,32.0,62.0,4.3839999999999995,57432.0,99.0,7.002999999999999,56257.0,100.0,7.0489999999999995,57046.0,99.0,7.03,57830.0,104.0,7.374,56371.0,107.0,7.582000000000001,56455.0,84.0,5.9879999999999995,58620.0,70.0,4.953,58905.0,95.0,6.747000000000001,57423.0,97.0,6.876,54894.0,96.0,6.827000000000001,57251.0,98.0,6.972,55979.0,100.0,7.06,55530.0,67.0,4.763999999999999,54679.0,48.0,3.435,53357.0,80.0,5.683,49248.0,61.0,4.353,52457.0,43.0,3.096,51009.0,25.0,1.829,47984.0,39.0,2.752,45056.0,5.0,0.363,40964.0,2.0,0.163,46331.0,12.0,0.8759999999999999,49152.0,12.0,0.85,50915.0,11.0,0.843,49322.0,10.0,0.742,50472.0,19.0,1.389,47423.0,3.0,0.257,49569.0,0.0,0.040999999999999995,51010.0,7.0,0.529,51546.0,9.0,0.687,51742.0,11.0,0.79,51047.0,9.0,0.6859999999999999,50958.0,16.0,1.138,50385.0,2.0,0.165,49639.0,0.0,0.035,51328.0
29,33.0,58.0,5.19,18708.0,97.0,8.597999999999999,19446.0,100.0,8.833,19830.0,95.0,8.472000000000001,20787.0,104.0,9.258,19789.0,113.0,10.011000000000001,19408.0,82.0,7.249,19710.0,63.0,5.609,19802.0,97.0,8.583,19992.0,96.0,8.554,19784.0,100.0,8.837,19518.0,99.0,8.753,19755.0,94.0,8.31,19189.0,62.0,5.559,18571.0,39.0,3.51,18467.0,64.0,5.736000000000001,18636.0,47.0,4.1930000000000005,19085.0,40.0,3.597,18624.0,32.0,2.847,18370.0,45.0,4.0,17175.0,16.0,1.454,15212.0,4.0,0.409,17075.0,13.0,1.232,18484.0,8.0,0.748,18934.0,17.0,1.5519999999999998,18353.0,22.0,1.99,18888.0,31.0,2.822,18893.0,3.0,0.317,18607.0,0.0,0.034,19475.0,2.0,0.215,19370.0,10.0,0.965,19477.0,9.0,0.855,19544.0,4.0,0.44,18865.0,7.0,0.684,18754.0,6.0,0.588,18749.0,0.0,0.06,19215.0
30,34.0,60.0,4.296,159560.0,100.0,7.153,166620.0,98.0,7.0120000000000005,171741.0,99.0,7.152,177096.0,104.0,7.442,168758.0,102.0,7.364,167506.0,82.0,5.912000000000001,166681.0,59.0,4.242,167686.0,93.0,6.718,174319.0,93.0,6.659,171694.0,94.0,6.787999999999999,170846.0,90.0,6.471,170244.0,82.0,5.892,164460.0,52.0,3.775,158331.0,27.0,1.962,156098.0,49.0,3.576,156717.0,28.0,2.004,163082.0,22.0,1.6159999999999999,158089.0,18.0,1.349,156535.0,31.0,2.26,140760.0,5.0,0.36,121298.0,0.0,0.037000000000000005,135765.0,0.0,0.037000000000000005,151400.0,2.0,0.146,157226.0,0.0,0.045,150862.0,3.0,0.237,156088.0,5.0,0.396,157102.0,0.0,0.032,151488.0,0.0,0.03,155453.0,0.0,0.045,159379.0,0.0,0.045,157920.0,0.0,0.06,158690.0,0.0,0.063,155046.0,0.0,0.055999999999999994,152505.0,0.0,0.052000000000000005,148973.0,0.0,0.038,155826.0
31,35.0,61.0,3.668,29042.0,99.0,5.899,30229.0,99.0,5.899,30858.0,100.0,5.943,31679.0,109.0,6.51,30174.0,117.0,6.96,29559.0,93.0,5.577999999999999,30090.0,59.0,3.5180000000000002,30869.0,100.0,5.98,31849.0,104.0,6.202999999999999,31683.0,106.0,6.352,32454.0,107.0,6.3839999999999995,31408.0,103.0,6.162000000000001,31017.0,71.0,4.263,29639.0,45.0,2.728,29513.0,77.0,4.579,29553.0,63.0,3.799,30439.0,59.0,3.5180000000000002,29959.0,51.0,3.068,28996.0,60.0,3.594,27670.0,21.0,1.273,25164.0,13.0,0.774,27499.0,40.0,2.404,28706.0,22.0,1.334,29570.0,21.0,1.284,28640.0,17.0,1.0490000000000002,29452.0,21.0,1.25,29186.0,5.0,0.332,28911.0,1.0,0.10099999999999999,30427.0,14.0,0.836,29699.0,20.0,1.2329999999999999,29775.0,20.0,1.19,29874.0,21.0,1.2930000000000001,29300.0,28.0,1.7069999999999999,28952.0,9.0,0.55,28213.0,1.0,0.099,29045.0
32,36.0,51.0,2.673,261993.0,100.0,5.176,274423.0,98.0,5.085,283364.0,99.0,5.144,294023.0,105.0,5.479,277703.0,106.0,5.52,276221.0,77.0,3.988,274997.0,49.0,2.541,279308.0,94.0,4.905,288253.0,93.0,4.849,283574.0,95.0,4.918,281885.0,91.0,4.751,280496.0,86.0,4.475,270613.0,47.0,2.4730000000000003,257039.0,21.0,1.1159999999999999,254719.0,50.0,2.633,256554.0,28.0,1.482,269178.0,23.0,1.225,260575.0,16.0,0.835,259091.0,22.0,1.159,235704.0,1.0,0.055999999999999994,209402.0,0.0,0.035,229538.0,0.0,0.031,248617.0,0.0,0.045,256436.0,0.0,0.039,246499.0,0.0,0.049,256513.0,1.0,0.059000000000000004,258631.0,0.0,0.027999999999999997,248072.0,0.0,0.025,256900.0,0.0,0.033,261067.0,0.0,0.035,258983.0,0.0,0.039,259262.0,0.0,0.039,253867.0,0.0,0.035,246673.0,0.0,0.036000000000000004,240592.0,0.0,0.028999999999999998,255897.0
33,37.0,73.0,7.162000000000001,204000.0,100.0,9.776,216349.0,96.0,9.38,220981.0,98.0,9.629,228175.0,100.0,9.749,218005.0,113.0,11.052,214501.0,93.0,9.091000000000001,213504.0,72.0,7.0329999999999995,209759.0,98.0,9.618,219709.0,99.0,9.732000000000001,218768.0,101.0,9.934,216092.0,101.0,9.937999999999999,215320.0,102.0,9.995,211163.0,73.0,7.202000000000001,203237.0,45.0,4.462,199675.0,79.0,7.707000000000001,203191.0,68.0,6.6370000000000005,210164.0,60.0,5.9,205590.0,63.0,6.228,204422.0,71.0,6.928999999999999,193013.0,37.0,3.6239999999999997,170194.0,14.0,1.45,185482.0,40.0,3.944,201386.0,42.0,4.117,206307.0,46.0,4.581,200295.0,40.0,3.927,203359.0,45.0,4.481,202861.0,23.0,2.3169999999999997,198434.0,10.0,1.0390000000000001,208703.0,31.0,3.0860000000000003,206641.0,19.0,1.944,205733.0,23.0,2.289,205521.0,30.0,2.975,203979.0,38.0,3.775,202538.0,19.0,1.949,195615.0,5.0,0.5579999999999999,200534.0
34,38.0,60.0,2.608,11242.0,96.0,4.128,11909.0,96.0,4.146,12211.0,100.0,4.277,12660.0,102.0,4.376,12192.0,116.0,4.974,11782.0,91.0,3.9189999999999996,11665.0,62.0,2.6839999999999997,11561.0,96.0,4.117,12239.0,99.0,4.268,12247.0,103.0,4.428999999999999,12057.0,106.0,4.556,12236.0,113.0,4.853,11540.0,76.0,3.2560000000000002,11038.0,39.0,1.683,10667.0,84.0,3.6319999999999997,10999.0,81.0,3.468,11453.0,69.0,2.986,11353.0,62.0,2.67,11052.0,69.0,2.986,10468.0,12.0,0.532,8928.0,6.0,0.271,10134.0,56.0,2.436,11260.0,54.0,2.3280000000000003,11833.0,53.0,2.278,11354.0,54.0,2.318,11642.0,60.0,2.6039999999999996,11542.0,20.0,0.86,11483.0,7.0,0.304,11982.0,42.0,1.811,12171.0,43.0,1.859,12277.0,31.0,1.334,12228.0,15.0,0.684,11801.0,30.0,1.298,11504.0,3.0,0.165,11361.0,1.0,0.05,11575.0
35,39.0,63.0,5.02,211087.0,95.0,7.605,222186.0,98.0,7.797999999999999,228081.0,100.0,7.944,234502.0,105.0,8.359,224845.0,113.0,9.036,220704.0,93.0,7.455,219133.0,66.0,5.291,217308.0,95.0,7.606,227478.0,97.0,7.731,225326.0,98.0,7.818,223700.0,98.0,7.817,222827.0,97.0,7.747999999999999,215845.0,55.0,4.398,207756.0,35.0,2.8,204654.0,69.0,5.546,207849.0,54.0,4.351,215506.0,43.0,3.4339999999999997,210830.0,44.0,3.513,210079.0,50.0,3.9960000000000004,195856.0,12.0,0.96,168799.0,7.0,0.609,193610.0,29.0,2.314,207270.0,5.0,0.402,212006.0,18.0,1.4569999999999999,206740.0,20.0,1.5959999999999999,211276.0,17.0,1.4140000000000001,210783.0,1.0,0.129,213381.0,1.0,0.135,221932.0,9.0,0.73,215994.0,11.0,0.883,216157.0,12.0,1.03,215992.0,21.0,1.733,212920.0,29.0,2.316,210448.0,14.0,1.136,206147.0,0.0,0.055,210201.0
36,40.0,74.0,7.175,93503.0,98.0,9.425,98812.0,100.0,9.581,99965.0,96.0,9.273,102040.0,106.0,10.222999999999999,99489.0,121.0,11.686,97696.0,104.0,10.058,97895.0,68.0,6.575,97212.0,93.0,8.934,101503.0,99.0,9.516,101016.0,99.0,9.535,100660.0,106.0,10.193,99432.0,108.0,10.423,96550.0,73.0,7.082999999999999,92777.0,52.0,5.05,89038.0,82.0,7.9510000000000005,89589.0,70.0,6.712000000000001,91639.0,62.0,5.994,91634.0,58.0,5.557,90501.0,66.0,6.394,84371.0,36.0,3.508,73797.0,16.0,1.574,84247.0,48.0,4.656000000000001,91642.0,50.0,4.802,94098.0,53.0,5.159,91635.0,48.0,4.609,93371.0,48.0,4.671,93242.0,28.0,2.7760000000000002,92351.0,18.0,1.755,95167.0,30.0,2.8810000000000002,94825.0,39.0,3.8160000000000003,94555.0,41.0,4.013,94483.0,40.0,3.9219999999999997,94099.0,36.0,3.455,92076.0,16.0,1.6159999999999999,89803.0,10.0,0.9590000000000001,91687.0
37,41.0,57.0,2.947,58973.0,94.0,4.878,61160.0,97.0,5.05,62437.0,100.0,5.159,63952.0,107.0,5.532,61461.0,109.0,5.632000000000001,60498.0,78.0,4.053,61082.0,58.0,3.005,61395.0,95.0,4.938,62705.0,102.0,5.27,61768.0,101.0,5.224,62475.0,100.0,5.195,60847.0,97.0,5.013,59875.0,40.0,2.077,57982.0,28.0,1.489,57070.0,68.0,3.529,57194.0,56.0,2.9219999999999997,59562.0,52.0,2.699,57848.0,47.0,2.438,55659.0,57.0,2.9810000000000003,54187.0,14.0,0.768,48580.0,6.0,0.344,53892.0,21.0,1.087,56657.0,6.0,0.336,58739.0,13.0,0.6729999999999999,56547.0,10.0,0.526,58196.0,10.0,0.563,57480.0,0.0,0.043,57695.0,0.0,0.035,59425.0,2.0,0.128,59652.0,9.0,0.513,60206.0,9.0,0.512,59434.0,12.0,0.66,58771.0,19.0,0.983,57913.0,1.0,0.062,56765.0,0.0,0.043,58887.0
